,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,811.6,807.11,808.23,812.77,807.51,806.94,807.99,807.75,808.09,808.68,807.62,808.73,808.46,808.37,808.74,808.13,808.51,808.04,808.49,808.61,808.09,808.03,808.2,808.52
1,-750.21,-746.68,-747.3,-751.15,-747.41,-746.85,-747.65,-747.21,-747.68,-748.0,-747.2,-748.01,-748.01,-747.82,-748.28,-747.72,-748.04,-747.7,-747.93,-748.0,-747.71,-747.58,-747.81,-748.04
2,-103.45,-102.67,-103.11,-103.84,-102.4,-102.36,-102.62,-102.81,-102.68,-102.94,-102.7,-102.97,-102.73,-102.82,-102.73,-102.69,-102.74,-102.62,-102.82,-102.87,-102.65,-102.72,-102.67,-102.76
3,-3.6304,-3.5519,-3.6387,-3.6095,-3.5265,-3.5443,-3.5311,-3.5506,-3.5405,-3.5696,-3.5447,-3.5724,-3.5429,-3.5464,-3.5473,-3.542,-3.5473,-3.5415,-3.5553,-3.5591,-3.5475,-3.5561,-3.5415,-3.5479
4,-0.01227,-0.012148,-0.012563,-0.012462,-0.012038,-0.012098,-0.012069,-0.012112,-0.012082,-0.012209,-0.012059,-0.012236,-0.012078,-0.012085,-0.012096,-0.012085,-0.012099,-0.01207,-0.012169,-0.012158,-0.01211,-0.012153,-0.012079,-0.01211
5,5.3776,5.3758,5.3695,5.3389,5.3685,5.3751,5.3646,5.3719,5.3761,5.372,5.3723,5.3701,5.3776,5.3749,5.3746,5.3747,5.3717,5.3751,5.3737,5.3723,5.3743,5.3744,5.3746,5.373
6,3.0971,3.1575,3.1555,3.1785,3.157,3.1517,3.1624,3.1533,3.1494,3.15,3.1526,3.1504,3.147,3.1509,3.1498,3.1503,3.1526,3.1507,3.1507,3.1528,3.1501,3.1501,3.1496,3.1515
7,0.089678,0.092012,0.093598,0.089538,0.09209,0.09348,0.092483,0.09246,0.09333,0.093173,0.092881,0.092906,0.092954,0.092808,0.092777,0.092842,0.092736,0.093084,0.092732,0.092706,0.092755,0.092767,0.092751,0.092828
8,0.022313,0.021142,0.020424,0.022127,0.0212,0.02046,0.020786,0.020892,0.020472,0.020521,0.020665,0.02067,0.020664,0.02068,0.020734,0.020691,0.020769,0.020592,0.020775,0.020778,0.020757,0.020745,0.020765,0.020727
9,-8.3119e-05,-0.00010033,-0.00010606,-0.00010525,-0.00012077,-0.00011599,-0.00013923,-0.00013223,-0.0001355,-0.00013476,-0.00013459,-0.00013424,-0.00013373,-0.00013508,-0.00013654,-0.00013714,-0.00013778,-0.00013558,-0.00013833,-0.0001382,-0.00013882,-0.00013893,-0.00013935,-0.00013605
10,-4.297e-05,-3.6937e-05,-3.177e-05,-3.2549e-05,-1.7115e-05,-1.7607e-05,-4.5002e-06,-7.2736e-06,-5.194e-06,-7.1669e-06,-6.8109e-06,-5.4721e-06,-6.5768e-06,-5.5105e-06,-4.257e-06,-3.8388e-06,-3.6721e-06,-4.459e-06,-3.6505e-06,-3.8733e-06,-3.313e-06,-3.5219e-06,-2.9186e-06,-4.6938e-06
11,-2.4543e-06,8.7716e-07,-3.4604e-06,-3.7759e-06,1.6025e-06,-1.3856e-06,,,,-4.464e-07,,,,,,,,,,,,,,
