,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,197.53,198.78,194.63,195.6,195.42,196.76,194.3,195.61,196.39,195.66,194.92,196.19,196.69,196.1,195.86,196.6,195.54,195.57,195.8,195.67,195.58,195.96,195.85,195.75,195.91,195.77,195.68,195.61,195.87,195.74,196.07,195.6
1,-190.16,-191.18,-187.76,-188.31,-188.08,-189.29,-187.31,-188.35,-188.87,-188.52,-187.78,-188.87,-189.31,-188.79,-188.56,-189.17,-188.3,-188.35,-188.53,-188.43,-188.33,-188.62,-188.56,-188.47,-188.62,-188.47,-188.42,-188.37,-188.59,-188.48,-188.75,-188.39
2,-20.903,-21.145,-20.413,-20.829,-20.885,-21.001,-20.536,-20.799,-21.062,-20.682,-20.68,-20.869,-20.922,-20.858,-20.84,-20.965,-20.786,-20.759,-20.817,-20.786,-20.79,-20.88,-20.835,-20.815,-20.836,-20.84,-20.801,-20.784,-20.828,-20.801,-20.862,-20.751
3,-0.21101,-0.21248,-0.20144,-0.20925,-0.21123,-0.21428,-0.20287,-0.21002,-0.2139,-0.20563,-0.20625,-0.20866,-0.2102,-0.20896,-0.20934,-0.21115,-0.20809,-0.20799,-0.20942,-0.20864,-0.2084,-0.21027,-0.20961,-0.20908,-0.20929,-0.20999,-0.20875,-0.20823,-0.20871,-0.20903,-0.20962,-0.2078
4,-0.00010307,-0.00010244,-9.6524e-05,-0.00010118,-0.00010423,-0.00010583,-9.8327e-05,-0.00010267,-0.00010524,-9.9529e-05,-9.9817e-05,-0.00010155,-0.00010212,-0.00010156,-0.00010195,-0.00010364,-0.00010165,-0.00010109,-0.00010204,-0.00010172,-0.0001016,-0.00010281,-0.00010212,-0.00010192,-0.00010211,-0.00010277,-0.00010176,-0.00010137,-0.00010169,-0.00010211,-0.00010242,-0.00010115
5,1.5816,1.5806,1.5649,1.5572,1.5626,1.5575,1.5556,1.5608,1.5615,1.5608,1.5603,1.5576,1.5569,1.5593,1.561,1.56,1.5588,1.5601,1.5603,1.5591,1.5602,1.5604,1.5599,1.56,1.5598,1.5598,1.5601,1.5597,1.5601,1.56,1.56,1.56
6,1.0113,0.98213,0.98874,0.99102,0.998,0.9922,0.99683,0.99174,0.99515,0.99462,0.99466,0.99591,0.99743,0.99442,0.99222,0.99348,0.99536,0.99318,0.99309,0.99466,0.99318,0.99306,0.99344,0.99339,0.99348,0.99356,0.99332,0.99365,0.99329,0.99334,0.99346,0.99335
7,0.034204,0.034354,0.034347,0.032936,0.033539,0.033505,0.03268,0.033047,0.033554,0.033377,0.033159,0.0336,0.03295,0.033232,0.033298,0.033318,0.033124,0.033162,0.03322,0.032966,0.033289,0.033249,0.033204,0.033182,0.033227,0.03323,0.0332,0.033186,0.033176,0.033184,0.033199,0.033212
8,0.0044818,0.0042876,0.0042507,0.0048131,0.0048636,0.0046355,0.0050507,0.0048096,0.0046567,0.0047264,0.0048645,0.0046275,0.0048302,0.0046999,0.0047374,0.0046986,0.0047237,0.0047703,0.0047447,0.0047947,0.0047328,0.004724,0.0047753,0.0047666,0.004743,0.004735,0.004749,0.0047593,0.0047684,0.0047625,0.0047515,0.0047454
9,-2.8377e-06,-7.3379e-06,2.9812e-06,4.4046e-06,-1.6583e-05,7.7939e-06,6.6593e-06,1.1885e-05,3.7242e-06,4.6836e-06,2.2395e-06,5.3649e-06,1.5586e-05,1.3364e-05,6.7698e-06,1.0556e-05,1.7559e-05,1.0636e-05,1.0427e-05,1.7516e-05,8.3464e-06,1.1013e-05,8.332e-06,1.0154e-05,1.0535e-05,1.1034e-05,1.1012e-05,1.0723e-05,1.0165e-05,1.0369e-05,1.0822e-05,1.0796e-05
10,,,,,2.3354e-06,,,2.3934e-06,,,,,2.5949e-06,2.7708e-06,,1.81e-06,2.2593e-06,2.1301e-06,2.2875e-06,2.4266e-06,,2.3417e-06,,2.2768e-06,2.1713e-06,2.0203e-06,2.1844e-06,2.063e-06,2.0676e-06,2.0466e-06,2.03e-06,2.0912e-06
