,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,390.94,386.72,384.78,381.09,382.49,383.75,381.66,384.29,383.83,381.53,383.01,383.66,381.76,381.54,382.99,383.17,382.8,382.41,382.48,383.46,383.58,382.66,383.0,382.65,382.89,382.65,382.67,382.51,383.05,382.92,383.03,382.94,383.14
1,-358.1,-355.12,-353.54,-350.63,-352.04,-352.79,-351.09,-353.24,-353.12,-351.24,-352.41,-352.86,-351.26,-351.33,-352.24,-352.54,-352.2,-351.95,-352.04,-352.71,-352.83,-352.15,-352.41,-352.13,-352.24,-352.13,-352.15,-352.05,-352.45,-352.29,-352.44,-352.31,-352.45
2,-54.498,-53.355,-52.986,-52.219,-52.206,-52.698,-52.327,-52.788,-52.471,-52.045,-52.358,-52.546,-52.26,-51.983,-52.492,-52.385,-52.363,-52.221,-52.214,-52.504,-52.507,-52.268,-52.35,-52.274,-52.405,-52.28,-52.277,-52.227,-52.359,-52.381,-52.347,-52.379,-52.44
3,-1.2522,-1.1998,-1.1856,-1.1457,-1.1565,-1.1735,-1.161,-1.1765,-1.1606,-1.151,-1.1506,-1.1692,-1.1509,-1.1438,-1.1683,-1.1542,-1.1595,-1.1513,-1.1481,-1.1652,-1.1625,-1.1549,-1.1601,-1.1559,-1.1574,-1.1566,-1.1546,-1.1524,-1.1565,-1.1612,-1.1572,-1.16,-1.1631
4,-0.0021926,-0.0020992,-0.0020557,-0.0019484,-0.002015,-0.0020524,-0.0020313,-0.0020342,-0.0020143,-0.0019761,-0.0019871,-0.0020351,-0.0019738,-0.0019673,-0.0020286,-0.0019884,-0.0020008,-0.0019831,-0.0019704,-0.0020175,-0.00201,-0.0019851,-0.002005,-0.001992,-0.0019952,-0.0019981,-0.0019888,-0.0019841,-0.0019952,-0.0020132,-0.0019983,-0.0020055,-0.0020078
5,2.6268,2.5861,2.6403,2.5535,2.6278,2.6068,2.621,2.6205,2.615,2.6111,2.6104,2.608,2.6176,2.6125,2.611,2.6134,2.6117,2.6127,2.6124,2.6112,2.6109,2.6125,2.6126,2.6109,2.6119,2.6127,2.6124,2.6118,2.6127,2.611,2.6124,2.6118,2.6121
6,1.6125,1.6518,1.6468,1.697,1.6516,1.6566,1.6381,1.6482,1.6492,1.6504,1.6429,1.6475,1.646,1.6456,1.6481,1.6453,1.6462,1.6444,1.6462,1.6469,1.6481,1.6457,1.6451,1.6473,1.646,1.6456,1.6455,1.6465,1.6452,1.6472,1.6458,1.6463,1.6458
7,0.049868,0.051528,0.055238,0.048491,0.055126,0.052976,0.052966,0.054166,0.053174,0.053712,0.052569,0.052877,0.053542,0.05272,0.052386,0.052496,0.052713,0.052391,0.052809,0.052959,0.052778,0.052513,0.052529,0.05275,0.052684,0.052642,0.052587,0.052566,0.052551,0.052636,0.052768,0.05265,0.052713
8,0.009547,0.0088052,0.0072412,0.010277,0.0072551,0.0082132,0.0080957,0.0076756,0.0080412,0.0078693,0.0083022,0.0081541,0.0078764,0.0082797,0.0083869,0.0083162,0.0082437,0.0083799,0.0081978,0.0081621,0.0082154,0.0083197,0.0083224,0.0082313,0.0082654,0.0082614,0.0082953,0.0083067,0.0083151,0.0082744,0.0082261,0.0082756,0.0082484
9,-1.743e-05,-2.7888e-05,-3.0192e-05,3.2712e-06,-2.6793e-05,-2.469e-05,-1.4755e-05,-2.5016e-05,-1.5897e-05,-2.5984e-05,-1.4319e-05,-1.3877e-05,-1.9698e-05,-1.6828e-05,-1.2862e-05,-1.3132e-05,-1.4877e-05,-1.2577e-05,-1.5463e-05,-1.7007e-05,-1.4584e-05,-1.2886e-05,-1.3813e-05,-1.4011e-05,-1.492e-05,-1.2886e-05,-1.3972e-05,-1.3292e-05,-1.3628e-05,-1.3504e-05,-1.5237e-05,-1.4104e-05,-1.4853e-05
10,4.0292e-06,8.066e-06,8.6269e-08,-2.5145e-07,2.5373e-06,1.8122e-06,2.0506e-06,1.1378e-06,1.4646e-06,7.5961e-07,1.6713e-06,1.0859e-06,1.416e-06,1.4357e-06,1.8662e-06,1.1561e-06,1.4148e-06,1.6379e-06,1.3787e-06,2.8493e-06,1.3648e-06,1.276e-06,1.1983e-06,2.2456e-06,2.6031e-06,2.5404e-06,2.5549e-06,1.8864e-06,2.1256e-06,1.3732e-06,2.4872e-06,2.4041e-06,1.7934e-06
