,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,646.38,646.47,644.75,640.85,641.16,640.52,641.33,641.34,640.46,642.01,641.7,642.37,640.99,640.48,641.08,640.35,641.43,641.7,641.56,641.5,641.17,640.98,641.83,641.68,641.36,641.52,641.26,640.95,641.25,641.69,641.27
1,-591.13,-591.42,-590.59,-587.12,-587.33,-586.88,-587.33,-587.55,-586.98,-587.96,-587.81,-588.23,-587.3,-586.69,-587.24,-586.72,-587.51,-587.76,-587.63,-587.64,-587.43,-587.14,-587.84,-587.72,-587.42,-587.65,-587.36,-587.21,-587.41,-587.74,-587.45
2,-89.12,-88.799,-87.908,-87.548,-87.593,-87.455,-87.763,-87.562,-87.258,-87.819,-87.661,-87.899,-87.469,-87.569,-87.622,-87.417,-87.697,-87.718,-87.697,-87.631,-87.528,-87.615,-87.759,-87.736,-87.717,-87.642,-87.671,-87.528,-87.615,-87.717,-87.596
3,-2.9211,-2.9528,-2.9286,-2.8547,-2.8983,-2.8478,-2.8987,-2.8858,-2.873,-2.894,-2.8854,-2.8974,-2.8794,-2.8783,-2.8774,-2.8712,-2.877,-2.8823,-2.8857,-2.8825,-2.8719,-2.881,-2.8875,-2.8842,-2.8891,-2.8815,-2.8834,-2.8736,-2.8814,-2.8878,-2.8759
4,-0.0090101,-0.0090465,-0.0090082,-0.008581,-0.0088113,-0.0085451,-0.0088571,-0.0087761,-0.008732,-0.0088294,-0.008823,-0.008826,-0.0087635,-0.0087243,-0.0087709,-0.0087126,-0.0087165,-0.0087723,-0.0087992,-0.0087511,-0.0087337,-0.0087538,-0.0087907,-0.0087642,-0.0088034,-0.0087765,-0.0087707,-0.0087463,-0.0087573,-0.0087944,-0.0087293
5,4.264,4.2798,4.2337,4.2605,4.2728,4.2505,4.2496,4.2402,4.2456,4.2555,4.2574,4.2513,4.2529,4.2548,4.2496,4.2488,4.2494,4.2513,4.2511,4.2511,4.25,4.2489,4.2501,4.2501,4.2495,4.2504,4.2507,4.2506,4.2495,4.2504,4.2501
6,2.5221,2.5434,2.5954,2.5639,2.5469,2.5733,2.5659,2.5825,2.5736,2.5656,2.5641,2.5667,2.5676,2.5647,2.5688,2.5685,2.5677,2.5661,2.5659,2.5671,2.5677,2.5684,2.5674,2.5673,2.5678,2.5666,2.5668,2.5665,2.5679,2.567,2.5669
7,0.0782,0.080969,0.076799,0.076564,0.07949,0.078041,0.078556,0.078118,0.078467,0.079751,0.079817,0.078369,0.079127,0.079289,0.078306,0.07858,0.078492,0.078368,0.078378,0.078437,0.078447,0.078487,0.078401,0.078354,0.078515,0.078425,0.078487,0.078435,0.078464,0.078544,0.078393
8,0.014812,0.013511,0.015014,0.015485,0.014283,0.014904,0.014696,0.014939,0.014649,0.014148,0.014109,0.014705,0.014399,0.01436,0.014705,0.014607,0.014648,0.014664,0.014662,0.014626,0.014631,0.014635,0.014673,0.014679,0.014618,0.014666,0.014605,0.014667,0.014644,0.014597,0.014684
9,-7.7423e-05,-4.7384e-05,-7.2822e-05,-6.2619e-05,-6.7663e-05,-8.401e-05,-9.603e-05,-9.2211e-05,-9.3238e-05,-8.0573e-05,-9.256e-05,-9.367e-05,-9.3405e-05,-8.8768e-05,-8.8965e-05,-9.3186e-05,-9.1856e-05,-9.3817e-05,-9.5187e-05,-9.4696e-05,-9.2506e-05,-9.3581e-05,-9.4917e-05,-9.4791e-05,-9.4842e-05,-9.3036e-05,-9.3521e-05,-9.5082e-05,-9.381e-05,-9.5201e-05,-9.3565e-05
10,-2.5553e-05,-3.7045e-05,-2.1673e-05,-3.025e-05,-2.5501e-05,-1.0509e-05,-2.0712e-06,-5.0211e-06,-3.2664e-06,-1.6344e-05,-6.1411e-06,-3.0746e-06,-4.6083e-06,-8.0048e-06,-7.3916e-06,-4.0918e-06,-5.1099e-06,-3.4147e-06,-2.3772e-06,-3.026e-06,-4.6688e-06,-3.6845e-06,-2.5491e-06,-2.6663e-06,-2.8137e-06,-4.1241e-06,-3.637e-06,-2.6039e-06,-3.5028e-06,-2.5653e-06,-3.5902e-06
11,1.578e-06,2.21e-06,-1.9502e-06,1.299e-06,2.727e-07,4.8023e-08,,,,1.787e-06,,,,,,,,,,,,,,,,,,,,,
