,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,218.49,215.72,215.2,219.82,217.23,216.95,218.14,217.01,218.36,217.59,217.82,217.21,217.63,218.19,217.62,217.26,217.69,217.57,217.46,217.46,217.54,217.46,217.51,217.67,217.57,217.48,217.47,217.6,217.69,217.58,217.6
1,-219.98,-217.24,-216.79,-221.18,-218.76,-218.53,-219.62,-218.62,-219.84,-219.08,-219.35,-218.75,-219.11,-219.66,-219.07,-218.76,-219.17,-219.08,-218.95,-218.97,-219.03,-218.96,-218.99,-219.15,-219.07,-219.0,-218.99,-219.07,-219.15,-219.08,-219.1
2,-8.6791,-8.5555,-8.5632,-8.7969,-8.6311,-8.5624,-8.6543,-8.5247,-8.6473,-8.6305,-8.6029,-8.5899,-8.6474,-8.6566,-8.6816,-8.6303,-8.6619,-8.6323,-8.6444,-8.6216,-8.6503,-8.6294,-8.6548,-8.6577,-8.6332,-8.6201,-8.6191,-8.6636,-8.6714,-8.6288,-8.6294
3,-0.12253,-0.1201,-0.12002,-0.12162,-0.11818,-0.11959,-0.12106,-0.11676,-0.11964,-0.11968,-0.11894,-0.11971,-0.12065,-0.12037,-0.12146,-0.12071,-0.12044,-0.12002,-0.12035,-0.11981,-0.12002,-0.11996,-0.12053,-0.12089,-0.12014,-0.11984,-0.11972,-0.12019,-0.12091,-0.11985,-0.11984
4,-0.0019675,-0.0019576,-0.0019965,-0.0019859,-0.0019165,-0.0019739,-0.0019836,-0.0019019,-0.0019577,-0.0019638,-0.0019425,-0.0019539,-0.0019666,-0.0019756,-0.0019818,-0.0019625,-0.0019622,-0.0019548,-0.0019717,-0.0019607,-0.0019613,-0.0019585,-0.0019729,-0.0019772,-0.0019584,-0.0019587,-0.0019576,-0.0019647,-0.0019759,-0.0019584,-0.0019541
5,-0.0088049,-0.0087526,-0.0089264,-0.0089353,-0.0088701,-0.0089351,-0.0089275,-0.0089549,-0.0089399,-0.0089585,-0.0089415,-0.0089279,-0.0089243,-0.0089359,-0.0089322,-0.0089241,-0.0089322,-0.0089289,-0.0089324,-0.00893,-0.0089304,-0.0089286,-0.0089321,-0.0089279,-0.0089305,-0.0089287,-0.0089267,-0.0089291,-0.0089291,-0.0089268,-0.0089286
6,-0.0062729,-0.0062029,-0.0063497,-0.0063628,-0.0063137,-0.0063536,-0.006344,-0.006372,-0.0063587,-0.0063703,-0.0063614,-0.0063483,-0.0063472,-0.0063565,-0.0063523,-0.0063473,-0.0063524,-0.0063505,-0.0063515,-0.0063498,-0.00635,-0.0063494,-0.0063518,-0.0063491,-0.0063512,-0.0063502,-0.0063485,-0.0063503,-0.0063497,-0.0063486,-0.0063497
7,1.9446e-05,1.869e-05,2.4393e-05,2.5453e-05,2.4064e-05,2.4972e-05,2.5204e-05,2.5145e-05,2.512e-05,2.5006e-05,2.5056e-05,2.4801e-05,2.469e-05,2.4594e-05,2.5051e-05,2.516e-05,2.4881e-05,2.4851e-05,2.4922e-05,2.4782e-05,2.4799e-05,2.4733e-05,2.4824e-05,2.4887e-05,2.4962e-05,2.4958e-05,2.4863e-05,2.481e-05,2.4892e-05,2.4777e-05,2.4781e-05
8,-1.7597e-05,-1.754e-05,-1.7411e-05,-1.7549e-05,-1.7458e-05,-1.7352e-05,-1.7424e-05,-1.7412e-05,-1.7433e-05,-1.7439e-05,-1.7393e-05,-1.7414e-05,-1.7481e-05,-1.7417e-05,-1.7456e-05,-1.7432e-05,-1.7426e-05,-1.741e-05,-1.7459e-05,-1.7419e-05,-1.7451e-05,-1.7442e-05,-1.7436e-05,-1.7446e-05,-1.7442e-05,-1.7442e-05,-1.7422e-05,-1.7424e-05,-1.7425e-05,-1.7433e-05,-1.743e-05
9,4.2312e-06,4.3044e-06,4.3495e-06,4.3513e-06,4.3557e-06,4.3291e-06,4.3282e-06,4.3281e-06,4.3325e-06,4.3308e-06,4.3348e-06,4.3253e-06,4.3569e-06,4.3339e-06,4.3353e-06,4.3256e-06,4.339e-06,4.332e-06,4.344e-06,4.3368e-06,4.3414e-06,4.3454e-06,4.3446e-06,4.3416e-06,4.3367e-06,4.3403e-06,4.3385e-06,4.3399e-06,4.3329e-06,4.3425e-06,4.3398e-06
