,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,195.4,195.4,195.4,198.94,195.12,195.34,197.13,197.13,197.13,198.05,197.27,196.41,196.41,196.96,197.83,197.2,196.71,196.71,196.84,196.78,196.92,196.92,197.19,197.2,196.98,196.57,196.58,196.85,196.79,196.83,196.9,196.96,196.58,196.82,196.87,196.79,196.71,197.01,197.02,197.14,196.93,196.88
1,-195.79,-195.79,-195.79,-198.76,-195.3,-195.84,-197.29,-197.29,-197.29,-198.15,-197.51,-196.63,-196.63,-197.17,-197.89,-197.35,-196.99,-196.87,-197.07,-196.96,-197.07,-197.07,-197.32,-197.36,-197.1,-196.79,-196.77,-197.03,-196.95,-197.01,-197.11,-197.13,-196.79,-197.01,-197.08,-196.97,-196.92,-197.19,-197.19,-197.31,-197.11,-197.06
2,-7.6796,-7.6796,-7.6796,-8.3,-7.9354,-7.6395,-7.962,-7.962,-7.962,-8.0219,-7.8874,-7.9043,-7.9043,-7.9056,-8.0557,-7.9733,-7.8436,-7.9612,-7.8991,-7.9349,-7.9754,-7.9754,-7.9885,-7.9634,-7.9928,-7.9046,-7.9292,-7.9411,-7.9594,-7.939,-7.9044,-7.9555,-7.9075,-7.9287,-7.9171,-7.9373,-7.9115,-7.9399,-7.9544,-7.9461,-7.9467,-7.9457
3,-0.081665,-0.081665,-0.081665,-0.087143,-0.082188,-0.078581,-0.082999,-0.082999,-0.082999,-0.083097,-0.081629,-0.082416,-0.082416,-0.082847,-0.084891,-0.083355,-0.082064,-0.08343,-0.082544,-0.083152,-0.08386,-0.08386,-0.08405,-0.083549,-0.084293,-0.082741,-0.082874,-0.083319,-0.083504,-0.083433,-0.082696,-0.083484,-0.082994,-0.083132,-0.082857,-0.083344,-0.082946,-0.083371,-0.083586,-0.083368,-0.083468,-0.083382
4,-0.00076565,-0.00076565,-0.00076565,-0.00077987,-0.00074882,-0.00073122,-0.00075961,-0.00075961,-0.00075961,-0.00075594,-0.00074748,-0.00075543,-0.00075543,-0.00075875,-0.00077412,-0.0007615,-0.00075741,-0.00075699,-0.00075743,-0.00075614,-0.00076287,-0.00076287,-0.00076842,-0.00076321,-0.00076667,-0.00075902,-0.00075923,-0.00075784,-0.00075933,-0.00076304,-0.0007584,-0.00076071,-0.00075799,-0.00075819,-0.00075788,-0.00076196,-0.00075904,-0.0007618,-0.00076181,-0.0007617,-0.00076137,-0.00076038
5,-0.0069254,-0.0069254,-0.0069254,-0.0069473,-0.0069958,-0.0069349,-0.0069136,-0.0069136,-0.0069136,-0.0069216,-0.0069232,-0.0068481,-0.0068481,-0.0068792,-0.0068942,-0.0069016,-0.0069056,-0.0068946,-0.0069001,-0.0069004,-0.0069033,-0.0069033,-0.0068971,-0.0068939,-0.0068919,-0.0068923,-0.0068994,-0.0068898,-0.0068936,-0.0068961,-0.0068958,-0.0068951,-0.0068951,-0.0068936,-0.006894,-0.0068939,-0.0068939,-0.0068936,-0.0068935,-0.0068936,-0.0068934,-0.0068936
6,-0.0052543,-0.0052543,-0.0052543,-0.0052764,-0.0053136,-0.005261,-0.0052439,-0.0052439,-0.0052439,-0.0052492,-0.0052559,-0.0051938,-0.0051938,-0.0052191,-0.0052315,-0.0052348,-0.0052389,-0.0052298,-0.0052333,-0.0052348,-0.0052368,-0.0052368,-0.0052325,-0.0052295,-0.0052284,-0.0052281,-0.0052343,-0.005226,-0.0052295,-0.0052313,-0.0052306,-0.0052305,-0.0052303,-0.0052294,-0.0052295,-0.0052294,-0.0052296,-0.0052293,-0.0052292,-0.0052293,-0.0052291,-0.0052291
7,2.7142e-05,2.7142e-05,2.7142e-05,2.9291e-05,2.8743e-05,2.9419e-05,2.9002e-05,2.9002e-05,2.9002e-05,2.8242e-05,2.9101e-05,2.8867e-05,2.8867e-05,2.8256e-05,2.8232e-05,2.8592e-05,2.8663e-05,2.8631e-05,2.8407e-05,2.8637e-05,2.8408e-05,2.8408e-05,2.8513e-05,2.8546e-05,2.8579e-05,2.8533e-05,2.8568e-05,2.8434e-05,2.8666e-05,2.8617e-05,2.8514e-05,2.8578e-05,2.8564e-05,2.8596e-05,2.8564e-05,2.8537e-05,2.8635e-05,2.8568e-05,2.86e-05,2.8569e-05,2.8578e-05,2.8562e-05
8,-1.2993e-05,-1.2993e-05,-1.2993e-05,-1.3007e-05,-1.3168e-05,-1.311e-05,-1.3091e-05,-1.3091e-05,-1.3091e-05,-1.3151e-05,-1.298e-05,-1.2927e-05,-1.2927e-05,-1.3114e-05,-1.3107e-05,-1.3136e-05,-1.3175e-05,-1.3101e-05,-1.3129e-05,-1.3075e-05,-1.3178e-05,-1.3178e-05,-1.3127e-05,-1.3074e-05,-1.31e-05,-1.3053e-05,-1.3124e-05,-1.3134e-05,-1.3055e-05,-1.3101e-05,-1.3109e-05,-1.3097e-05,-1.3084e-05,-1.3089e-05,-1.3103e-05,-1.3101e-05,-1.3069e-05,-1.3102e-05,-1.3089e-05,-1.3105e-05,-1.3095e-05,-1.3095e-05
9,3.2543e-06,3.2543e-06,3.2543e-06,2.4559e-06,3.302e-06,3.3233e-06,3.1149e-06,3.1149e-06,3.1149e-06,3.3293e-06,3.0909e-06,3.2519e-06,3.2519e-06,3.3065e-06,3.2488e-06,3.313e-06,3.3209e-06,3.3064e-06,3.3097e-06,3.2871e-06,3.3194e-06,3.3194e-06,3.3058e-06,3.2931e-06,3.2973e-06,3.2693e-06,3.2998e-06,3.3248e-06,3.287e-06,3.3095e-06,3.3097e-06,3.3073e-06,3.3038e-06,3.3029e-06,3.306e-06,3.3084e-06,3.293e-06,3.3068e-06,3.3019e-06,3.3097e-06,3.3042e-06,3.3062e-06
