,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,206.81,209.33,210.04,207.55,207.85,208.97,209.6,208.98,208.36,209.33,209.69,208.91,208.63,208.39,208.38,209.44,209.22,208.74,208.69,208.73,209.02,209.14,208.72,208.9,208.88,209.03,208.74,208.89,208.76,208.85,208.91,208.88,208.87,208.71
1,-208.08,-209.81,-210.64,-208.21,-208.59,-209.62,-210.23,-209.54,-209.0,-209.99,-210.24,-209.62,-209.21,-209.07,-209.08,-210.08,-209.84,-209.4,-209.37,-209.41,-209.68,-209.76,-209.38,-209.55,-209.54,-209.68,-209.42,-209.53,-209.42,-209.52,-209.58,-209.52,-209.51,-209.37
2,-7.7702,-8.6158,-8.4965,-8.4371,-8.3848,-8.4889,-8.4994,-8.568,-8.4853,-8.4602,-8.5659,-8.412,-8.5563,-8.4472,-8.4211,-8.4946,-8.5118,-8.4643,-8.4465,-8.4429,-8.4668,-8.5012,-8.4681,-8.4784,-8.4641,-8.4755,-8.4535,-8.4858,-8.4649,-8.4555,-8.4603,-8.493,-8.4853,-8.4667
3,-0.090004,-0.10262,-0.10169,-0.10261,-0.10056,-0.10217,-0.10245,-0.10403,-0.10183,-0.10123,-0.10338,-0.10101,-0.10351,-0.1021,-0.10153,-0.10232,-0.10242,-0.10205,-0.10151,-0.10171,-0.10195,-0.10248,-0.10208,-0.10192,-0.1017,-0.10185,-0.10171,-0.10221,-0.10203,-0.10163,-0.10173,-0.10258,-0.10229,-0.10195
4,-0.0010394,-0.0011932,-0.0012225,-0.0011797,-0.0011826,-0.0012002,-0.0012165,-0.001218,-0.0012008,-0.0011907,-0.0012206,-0.001193,-0.0012161,-0.0012008,-0.0012034,-0.001212,-0.0012031,-0.0011967,-0.0011944,-0.0011986,-0.001204,-0.0012086,-0.0012003,-0.0012002,-0.0011959,-0.0012012,-0.001197,-0.0012026,-0.0011979,-0.0011963,-0.0011991,-0.0012039,-0.0012018,-0.0011979
5,-0.0078551,-0.0078166,-0.0076721,-0.007853,-0.0077962,-0.0077292,-0.007788,-0.0077527,-0.0077652,-0.0077708,-0.007756,-0.0077254,-0.0077529,-0.0077397,-0.0077456,-0.0077524,-0.0077647,-0.007753,-0.0077518,-0.007758,-0.0077491,-0.0077534,-0.0077523,-0.0077514,-0.0077531,-0.0077483,-0.0077534,-0.0077539,-0.0077529,-0.0077495,-0.0077513,-0.0077518,-0.0077515,-0.0077504
6,-0.0060747,-0.0060511,-0.0059348,-0.0060617,-0.0060311,-0.0059711,-0.0060148,-0.0059918,-0.0059961,-0.0060056,-0.0059912,-0.0059667,-0.0059897,-0.0059823,-0.0059859,-0.0059919,-0.0060017,-0.0059958,-0.0059909,-0.0059952,-0.0059877,-0.0059914,-0.0059892,-0.005994,-0.0059906,-0.0059876,-0.005992,-0.0059893,-0.0059931,-0.0059879,-0.0059895,-0.0059895,-0.0059903,-0.0059893
7,2.0552e-05,2.5159e-05,2.0747e-05,2.4243e-05,2.4432e-05,2.3245e-05,2.3392e-05,2.4556e-05,2.3071e-05,2.3924e-05,2.2938e-05,2.2753e-05,2.3599e-05,2.327e-05,2.3387e-05,2.3543e-05,2.3739e-05,2.4083e-05,2.333e-05,2.3255e-05,2.327e-05,2.3338e-05,2.3252e-05,2.3953e-05,2.3195e-05,2.3355e-05,2.3438e-05,2.3307e-05,2.37e-05,2.3218e-05,2.3277e-05,2.3262e-05,2.3354e-05,2.3379e-05
8,-1.3854e-05,-1.3478e-05,-1.3569e-05,-1.3819e-05,-1.3481e-05,-1.3667e-05,-1.367e-05,-1.3494e-05,-1.3657e-05,-1.3568e-05,-1.3647e-05,-1.3635e-05,-1.3655e-05,-1.3612e-05,-1.3601e-05,-1.3586e-05,-1.3584e-05,-1.3472e-05,-1.361e-05,-1.3605e-05,-1.3618e-05,-1.3594e-05,-1.3636e-05,-1.3505e-05,-1.3609e-05,-1.3582e-05,-1.3594e-05,-1.3612e-05,-1.3548e-05,-1.3597e-05,-1.3594e-05,-1.3613e-05,-1.3598e-05,-1.3604e-05
9,3.1757e-06,3.5878e-06,3.5684e-06,3.3232e-06,3.4601e-06,3.3514e-06,3.3109e-06,3.5032e-06,3.4354e-06,3.4302e-06,3.389e-06,3.3667e-06,3.4225e-06,3.4073e-06,3.4252e-06,3.4493e-06,3.4508e-06,3.4826e-06,3.4301e-06,3.4077e-06,3.4077e-06,3.4185e-06,3.3934e-06,3.5021e-06,3.4167e-06,3.4178e-06,3.4244e-06,3.4494e-06,3.4468e-06,3.408e-06,3.4069e-06,3.4119e-06,3.4169e-06,3.4214e-06
