,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,853.04,853.15,854.75,849.87,851.41,851.87,853.01,852.29,853.22,850.67,851.15,851.8,851.5,851.23,851.8,851.54,851.71,851.74,852.32,851.64,851.91,852.21,851.84,851.67,851.52,852.04,851.86,851.65,851.97
1,-872.64,-872.16,-873.74,-868.87,-870.55,-870.95,-872.09,-871.65,-872.44,-870.08,-870.52,-871.05,-870.8,-870.5,-871.01,-870.83,-871.01,-871.0,-871.51,-870.92,-871.15,-871.41,-871.12,-870.94,-870.79,-871.27,-871.14,-870.9,-871.19
2,-33.803,-34.455,-34.478,-34.441,-34.379,-34.408,-34.404,-34.139,-34.274,-34.085,-34.139,-34.241,-34.201,-34.223,-34.29,-34.199,-34.196,-34.234,-34.307,-34.216,-34.25,-34.289,-34.209,-34.226,-34.225,-34.266,-34.208,-34.248,-34.278
3,-0.78369,-0.80002,-0.80727,-0.80169,-0.79088,-0.80123,-0.80349,-0.79163,-0.79214,-0.79019,-0.78843,-0.79324,-0.792,-0.79278,-0.79525,-0.79309,-0.79202,-0.79352,-0.79554,-0.79378,-0.79429,-0.79578,-0.79382,-0.7936,-0.7929,-0.79527,-0.79366,-0.7949,-0.79536
4,-0.008976,-0.0098905,-0.007286,-0.0092732,-0.0092682,-0.0091158,-0.0090369,-0.0080476,-0.009164,-0.0087297,-0.0086739,-0.0091221,-0.0089608,-0.0088836,-0.0089656,-0.0087695,-0.0088759,-0.0090242,-0.0090391,-0.008868,-0.0089049,-0.0091007,-0.0089693,-0.0089611,-0.0088738,-0.0089931,-0.0088904,-0.0091327,-0.0089535
5,2.3451,2.4261,2.4213,2.4101,2.4513,2.4369,2.4341,2.4396,2.4383,2.439,2.4417,2.4418,2.4382,2.4463,2.4399,2.4379,2.4395,2.4402,2.4391,2.4389,2.4396,2.4399,2.4396,2.4397,2.4396,2.4407,2.4393,2.4397,2.4397
6,0.042284,0.044451,0.043807,0.044,0.046153,0.044698,0.04468,0.045146,0.044205,0.043942,0.044516,0.044248,0.044301,0.044135,0.044429,0.044321,0.044316,0.044394,0.044307,0.044372,0.044373,0.044387,0.044363,0.04433,0.044341,0.044398,0.044371,0.044368,0.044236
7,0.023675,0.024566,0.02441,0.024436,0.02481,0.02468,0.024654,0.02467,0.024627,0.024597,0.024628,0.024621,0.024602,0.024618,0.024634,0.024606,0.024626,0.024636,0.024628,0.024623,0.024631,0.024639,0.024628,0.024622,0.024619,0.024629,0.024628,0.024626,0.02461
8,-0.00028193,-0.00040169,-0.00051546,-0.00065072,-0.00033118,-0.00031428,-0.00023996,-0.00024188,-0.00025549,-0.00031255,-0.00023793,-0.00029524,-0.00024983,-0.00025529,-0.00028752,-0.00025784,-0.00027076,-0.00026267,-0.00029015,-0.00027102,-0.00027192,-0.00028213,-0.00030332,-0.00025866,-0.00026562,-0.00025299,-0.00026397,-0.00026942,-0.00030399
9,3.1941e-05,0.00016826,0.00029398,0.00042241,0.00010849,8.504e-05,7.8181e-06,1.4375e-05,2.1195e-05,8.1746e-05,5.4726e-06,6.6042e-05,1.9098e-05,2.2104e-05,5.8444e-05,2.6168e-05,4.0683e-05,3.232e-05,6.08e-05,4.0724e-05,4.1826e-05,5.1999e-05,7.4046e-05,2.8026e-05,3.5009e-05,2.2718e-05,3.3951e-05,3.9427e-05,7.4256e-05
10,3.3827e-05,1.4851e-05,-2.0433e-06,1.1244e-05,3.8689e-06,1.5025e-06,3.1958e-06,4.1114e-06,2.273e-06,2.5809e-06,4.3696e-06,-3.5879e-06,-2.0852e-07,2.0929e-06,3.2473e-06,1.0851e-06,4.3249e-06,1.2436e-06,3.4464e-06,4.9319e-07,2.9318e-06,3.2454e-06,1.1757e-06,4.2243e-06,2.5724e-06,3.0351e-06,3.266e-06,2.5124e-06,1.4855e-06
11,1.3176e-05,1.4071e-05,2.7379e-05,2.132e-05,2.378e-05,,,,,,,2.7896e-05,,,,,,,,,,,,,,,,,
12,5.368e-07,1.6427e-05,1.9949e-06,4.941e-06,8.0559e-06,,,,,,,3.3522e-06,,,,,,,,,,,,,,,,,
13,,-2.5451e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
