,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,932.36,932.4,930.34,928.85,930.26,929.38,929.62,929.52,930.26,929.48,930.1,929.72,929.98,929.63,930.15,929.6,929.78,929.19,930.06,930.25,929.86,929.55,930.2,930.08,929.95
1,-955.43,-954.77,-952.97,-951.38,-952.69,-951.67,-952.09,-951.91,-952.68,-951.93,-952.5,-952.23,-952.41,-952.04,-952.59,-952.03,-952.27,-951.69,-952.49,-952.66,-952.26,-951.97,-952.64,-952.5,-952.39
2,-35.951,-36.492,-36.308,-36.41,-36.501,-36.64,-36.468,-36.534,-36.508,-36.481,-36.529,-36.426,-36.503,-36.52,-36.486,-36.497,-36.443,-36.433,-36.505,-36.518,-36.531,-36.513,-36.495,-36.511,-36.495
3,-0.77028,-0.78954,-0.77457,-0.77707,-0.79273,-0.79049,-0.7888,-0.78984,-0.78694,-0.78566,-0.78952,-0.78549,-0.78817,-0.78833,-0.78878,-0.78874,-0.78665,-0.78591,-0.7867,-0.78836,-0.78906,-0.78876,-0.7884,-0.78886,-0.78732
4,-0.0090159,-0.0074035,-0.0078031,-0.0078693,-0.0086268,-0.0089725,-0.0089143,-0.0090751,-0.0086829,-0.0091996,-0.0089644,-0.0091555,-0.0089384,-0.0087984,-0.0087344,-0.0087946,-0.0088691,-0.0086504,-0.0089892,-0.0087732,-0.0088342,-0.0091106,-0.0088699,-0.0089764,-0.0089382
5,2.7925,2.7012,2.6876,2.6778,2.6783,2.6798,2.6886,2.6752,2.683,2.6837,2.6851,2.6855,2.6847,2.681,2.6784,2.6873,2.6832,2.6841,2.6846,2.6849,2.6855,2.6839,2.6838,2.6841,2.6838
6,0.049094,0.047995,0.049245,0.048515,0.04989,0.049058,0.050051,0.049298,0.049165,0.049185,0.049064,0.049055,0.049166,0.049151,0.049133,0.049318,0.049251,0.049226,0.049239,0.049232,0.049127,0.049207,0.04924,0.049225,0.049148
7,0.026985,0.026551,0.026516,0.026332,0.026433,0.026316,0.026505,0.026306,0.026401,0.026402,0.026354,0.02637,0.026372,0.026384,0.026331,0.026432,0.026397,0.026387,0.026389,0.026389,0.026378,0.02638,0.02639,0.026397,0.026385
8,-0.00025673,-0.0003451,-0.0005012,-0.00036428,-0.00044119,-0.000408,-0.00033394,-0.00042339,-0.00040185,-0.00045567,-0.00039709,-0.00039766,-0.00039495,-0.00040461,-0.00039396,-0.00044946,-0.00041993,-0.00040282,-0.00040284,-0.00043083,-0.00040623,-0.00039321,-0.00040607,-0.00041227,-0.00041548
9,0.00012423,0.00019042,0.00029909,0.00015694,0.00022269,0.00020641,0.00015733,0.00021918,0.00020114,0.00023988,0.00020099,0.00019595,0.00020078,0.00020216,0.00019775,0.00023733,0.00021308,0.00020202,0.0002027,0.00022332,0.00020661,0.00019541,0.00020404,0.00020901,0.00021081
10,1.9726e-05,-3.9904e-06,5.9277e-06,-1.4029e-06,-1.7109e-06,-4.176e-06,-7.8489e-07,-5.9315e-07,-4.0522e-06,-3.7933e-06,-1.8127e-06,-2.492e-06,-3.0304e-06,-2.1078e-06,-1.7902e-06,3.9258e-06,-3.8304e-06,-2.0686e-06,2.659e-06,1.5208e-06,-2.5787e-06,-2.1075e-06,2.2168e-06,-2.7531e-06,-1.2903e-06
11,6.7013e-06,2.0782e-05,2.3387e-05,1.9667e-05,3.0382e-05,2.6245e-05,2.3093e-05,2.6071e-05,2.6528e-05,2.6938e-05,2.4328e-05,2.5362e-05,2.5589e-05,2.5345e-05,2.6574e-05,1.9711e-05,2.6676e-05,2.4828e-05,2.0019e-05,2.1448e-05,2.4756e-05,2.4705e-05,2.0486e-05,2.536e-05,2.4204e-05
12,,5.5261e-06,5.5336e-06,9.6072e-06,1.6183e-06,2.6075e-06,1.6539e-06,1.1098e-06,2.088e-06,2.2038e-06,1.5606e-06,1.8848e-06,1.9287e-06,1.5955e-06,1.8675e-06,3.7673e-07,2.3516e-06,1.3665e-06,1.0271e-06,1.0742e-06,1.5558e-06,1.4965e-06,1.1445e-06,1.7259e-06,1.3274e-06
