,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,269.17,272.73,269.19,269.37,270.89,270.69,270.45,270.89,270.0,270.56,270.74,270.61,270.55,270.88,270.67,270.55,270.55,270.38,270.45,270.56,270.6,270.4,270.63,270.64,270.59,270.46,270.57,270.48,270.49,270.63,270.61,270.59,270.57
1,-267.9,-271.53,-268.01,-268.4,-269.98,-269.58,-269.34,-269.75,-269.03,-269.48,-269.68,-269.52,-269.47,-269.81,-269.58,-269.5,-269.53,-269.31,-269.39,-269.51,-269.56,-269.38,-269.59,-269.6,-269.55,-269.41,-269.54,-269.42,-269.42,-269.57,-269.56,-269.52,-269.52
2,-17.486,-17.351,-17.339,-17.15,-17.086,-17.276,-17.281,-17.302,-17.137,-17.247,-17.231,-17.255,-17.244,-17.232,-17.26,-17.215,-17.188,-17.235,-17.232,-17.214,-17.206,-17.193,-17.207,-17.214,-17.207,-17.218,-17.199,-17.23,-17.238,-17.231,-17.22,-17.231,-17.216
3,-0.12778,-0.12373,-0.12403,-0.12033,-0.12031,-0.12267,-0.12186,-0.12226,-0.12078,-0.12254,-0.12267,-0.12222,-0.12192,-0.12186,-0.12253,-0.12211,-0.12173,-0.12212,-0.12195,-0.12189,-0.12141,-0.12135,-0.12149,-0.12139,-0.12168,-0.12167,-0.12177,-0.12194,-0.12189,-0.12187,-0.12181,-0.12188,-0.12167
4,-7.8204e-05,-7.5346e-05,-7.5134e-05,-7.2868e-05,-7.2748e-05,-7.419e-05,-7.4165e-05,-7.3941e-05,-7.2833e-05,-7.4472e-05,-7.4156e-05,-7.3994e-05,-7.403e-05,-7.3976e-05,-7.4285e-05,-7.4132e-05,-7.3878e-05,-7.4119e-05,-7.3923e-05,-7.3845e-05,-7.3749e-05,-7.3632e-05,-7.3753e-05,-7.3566e-05,-7.3878e-05,-7.3915e-05,-7.3786e-05,-7.4117e-05,-7.3935e-05,-7.405e-05,-7.3986e-05,-7.395e-05,-7.3761e-05
5,0.75187,0.72777,0.71976,0.73586,0.73848,0.73716,0.72942,0.7289,0.72943,0.73008,0.72697,0.72972,0.73039,0.72868,0.72931,0.7287,0.72915,0.72932,0.72916,0.72932,0.72939,0.72938,0.72931,0.72923,0.72933,0.7292,0.7292,0.72921,0.72918,0.7292,0.7292,0.72932,0.7293
6,0.016207,0.016136,0.015902,0.016876,0.016287,0.016307,0.016192,0.015761,0.01623,0.016174,0.01587,0.01606,0.016143,0.016027,0.016087,0.016133,0.01607,0.016075,0.016026,0.016087,0.016033,0.016012,0.016034,0.016057,0.016005,0.016097,0.016093,0.016088,0.016088,0.016094,0.01609,0.016034,0.016037
7,0.007603,0.0073233,0.0073667,0.0075562,0.0074725,0.0073225,0.0073735,0.007222,0.0073984,0.0073458,0.0072368,0.0072769,0.0073887,0.0072675,0.0073801,0.0074537,0.007385,0.0073789,0.0073403,0.0073775,0.0073367,0.0073252,0.007341,0.0073398,0.0073252,0.0073825,0.0073811,0.0073786,0.0073806,0.0073817,0.0073794,0.0073382,0.0073405
8,-8.7209e-05,-8.2197e-05,-7.0148e-05,-4.5236e-05,-5.0185e-05,-5.9625e-05,-5.5247e-05,-6.7789e-05,-5.2947e-05,-5.7495e-05,-6.3085e-05,-6.2025e-05,-5.4853e-05,-6.2292e-05,-5.5208e-05,-5.0979e-05,-5.5128e-05,-5.4995e-05,-5.7525e-05,-5.4987e-05,-5.7532e-05,-5.8429e-05,-5.7468e-05,-5.7388e-05,-5.8455e-05,-5.4813e-05,-5.4935e-05,-5.5004e-05,-5.4917e-05,-5.4931e-05,-5.4971e-05,-5.7437e-05,-5.7396e-05
9,2.4001e-05,-9.792e-07,2.0587e-06,3.3468e-06,-1.2537e-06,-2.4689e-06,2.555e-08,-3.115e-07,4.7389e-06,-1.0378e-06,-6.0037e-07,6.0341e-06,-6.3582e-07,-7.2724e-07,-8.8192e-07,5.4777e-06,6.2885e-06,2.0498e-06,6.2041e-06,5.2301e-06,3.4695e-06,6.3149e-06,6.1137e-06,6.1358e-06,5.085e-06,4.7709e-06,5.6805e-06,6.148e-06,6.0901e-06,4.8949e-06,6.0649e-06,6.3426e-06,6.4042e-06
10,9.2072e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
