,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,462.11,464.54,464.6,463.38,462.55,462.32,462.87,461.99,463.41,463.23,462.88,461.69,462.61,462.07,462.14,462.4,462.28,462.38,462.54,462.22,462.6,462.32,462.67,462.43,462.49,462.41,462.41,462.5,462.21,462.23,462.33,462.56,462.53,462.44,462.19,462.41
1,-459.61,-461.54,-462.0,-460.39,-460.03,-459.49,-460.0,-459.09,-460.47,-460.36,-460.0,-458.82,-459.72,-459.2,-459.38,-459.55,-459.46,-459.55,-459.79,-459.43,-459.75,-459.48,-459.86,-459.63,-459.7,-459.59,-459.62,-459.69,-459.41,-459.4,-459.58,-459.76,-459.69,-459.64,-459.43,-459.6
2,-29.268,-29.816,-29.419,-29.751,-29.344,-29.629,-29.663,-29.682,-29.737,-29.655,-29.676,-29.658,-29.678,-29.654,-29.557,-29.638,-29.606,-29.621,-29.547,-29.584,-29.643,-29.631,-29.602,-29.593,-29.582,-29.613,-29.584,-29.603,-29.592,-29.62,-29.547,-29.592,-29.629,-29.592,-29.559,-29.603
3,-0.35031,-0.35526,-0.35109,-0.36058,-0.34871,-0.35971,-0.35634,-0.35919,-0.35968,-0.35671,-0.35857,-0.35962,-0.35803,-0.35807,-0.35644,-0.35804,-0.35727,-0.35691,-0.35644,-0.35589,-0.35773,-0.35702,-0.35694,-0.3564,-0.35646,-0.35692,-0.35704,-0.35664,-0.35687,-0.357,-0.35621,-0.35647,-0.35698,-0.35662,-0.35561,-0.35701
4,-0.00090878,-0.00092699,-0.00093281,-0.00094364,-0.00092602,-0.00094643,-0.00093985,-0.00095049,-0.00095039,-0.00093896,-0.00094265,-0.00094732,-0.00094558,-0.00094228,-0.00094276,-0.00094534,-0.00094316,-0.00094085,-0.00094285,-0.00094068,-0.00094342,-0.00094365,-0.00094172,-0.00093663,-0.00093994,-0.00094295,-0.00094169,-0.00094402,-0.00094148,-0.00094262,-0.00094131,-0.00094069,-0.00094243,-0.00094274,-0.00094089,-0.00094321
5,1.1914,1.1801,1.2313,1.222,1.2183,1.2215,1.229,1.2173,1.2165,1.2229,1.2196,1.2168,1.2163,1.2183,1.2155,1.2189,1.2189,1.2205,1.2194,1.2179,1.2175,1.2195,1.2188,1.22,1.2189,1.2186,1.2191,1.2189,1.2192,1.2196,1.2192,1.2193,1.219,1.2191,1.219,1.2191
6,0.023028,0.024901,0.023254,0.022243,0.024743,0.023209,0.023408,0.023043,0.023229,0.023033,0.023111,0.023162,0.023089,0.022984,0.02288,0.023008,0.022891,0.023136,0.02279,0.022872,0.022968,0.023107,0.023033,0.022931,0.023057,0.023004,0.022933,0.022861,0.022869,0.022989,0.023,0.022943,0.022936,0.022951,0.022945,0.02294
7,0.01236,0.012287,0.012641,0.012467,0.012639,0.012523,0.012592,0.012471,0.012476,0.012489,0.012528,0.012462,0.012464,0.012495,0.012468,0.012501,0.012483,0.0125,0.012467,0.012476,0.012482,0.012495,0.012495,0.012468,0.012492,0.012491,0.012475,0.012473,0.012468,0.012476,0.012482,0.012474,0.012483,0.012481,0.012481,0.012477
8,-0.00017934,-0.00011142,-0.0001321,-0.00020503,-0.00012634,-0.00014175,-0.00017423,-0.00019342,-0.00015151,-0.00015717,-0.00015407,-0.00015734,-0.00015669,-0.00015718,-0.00015803,-0.00015694,-0.00015841,-0.0001554,-0.0001601,-0.00015777,-0.00015793,-0.00015601,-0.00015753,-0.00015726,-0.00015484,-0.00015782,-0.00015746,-0.00015867,-0.00015887,-0.00015728,-0.00015898,-0.000158,-0.00015777,-0.00015803,-0.00015781,-0.00015857
9,6.3732e-05,9.4212e-06,1.2144e-05,6.9646e-05,2.108e-05,2.7555e-05,5.5331e-05,8.1922e-05,3.9588e-05,3.9292e-05,3.9432e-05,4.1345e-05,4.3318e-05,4.3475e-05,4.3055e-05,4.171e-05,3.9856e-05,4.1569e-05,4.3625e-05,4.2418e-05,4.3244e-05,4.1617e-05,4.3394e-05,4.2621e-05,4.0592e-05,4.2074e-05,4.2807e-05,4.3763e-05,4.4058e-05,4.2958e-05,4.4549e-05,4.373e-05,4.3262e-05,4.3401e-05,4.3342e-05,4.3504e-05
10,1.0281e-05,,6.6818e-06,2.6612e-05,1.3052e-05,2.0613e-05,1.1922e-05,1.0115e-05,1.7377e-05,5.2123e-06,2.8943e-06,5.907e-06,2.1572e-06,1.7788e-05,1.5452e-05,2.5597e-06,5.4375e-06,1.9665e-06,3.0071e-06,8.8046e-06,2.3662e-06,2.2778e-06,2.3745e-06,4.7459e-06,5.2655e-06,3.5984e-06,3.4967e-06,1.1291e-05,8.4088e-06,2.0795e-06,2.4634e-06,1.5156e-05,4.6191e-06,2.6202e-06,1.081e-05,2.2434e-06
11,1.2749e-05,,,1.9081e-05,7.5011e-06,1.5869e-06,1.5258e-05,1.6663e-05,3.2305e-06,,,,,2.6936e-06,5.7194e-06,,,,,,,,,,,,,9.467e-06,,,,5.4053e-06,,,9.8674e-06,
12,2.5018e-06,,,2.1532e-06,,,1.2781e-06,1.8413e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
