,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,697.77,696.74,697.73,701.5,698.83,697.35,698.43,698.64,697.34,698.4,697.56,698.32,698.6,697.74,698.55,698.18,697.69,698.46,697.96,697.81,698.6,698.46,698.33,698.44,697.96,698.42,697.99,698.15,698.32,697.95,698.18
1,-708.17,-707.45,-708.1,-711.9,-708.81,-707.62,-708.61,-708.75,-707.79,-708.5,-707.81,-708.49,-708.74,-708.09,-708.8,-708.48,-708.06,-708.69,-708.22,-708.15,-708.81,-708.71,-708.59,-708.67,-708.2,-708.67,-708.22,-708.39,-708.6,-708.21,-708.44
2,-32.296,-32.014,-32.393,-32.342,-32.735,-32.45,-32.554,-32.616,-32.288,-32.621,-32.481,-32.557,-32.574,-32.384,-32.482,-32.433,-32.36,-32.5,-32.478,-32.391,-32.523,-32.48,-32.468,-32.503,-32.483,-32.481,-32.505,-32.487,-32.45,-32.473,-32.473
3,-0.68278,-0.68163,-0.68697,-0.68184,-0.69119,-0.6874,-0.68903,-0.69159,-0.68276,-0.69146,-0.68796,-0.6878,-0.69006,-0.68334,-0.68775,-0.68473,-0.68358,-0.6868,-0.68666,-0.68486,-0.68793,-0.68661,-0.68661,-0.68678,-0.68713,-0.68557,-0.68797,-0.68673,-0.68479,-0.68613,-0.68598
4,-0.021381,-0.021532,-0.021745,-0.021635,-0.021307,-0.021268,-0.021277,-0.02122,-0.021,-0.021208,-0.021173,-0.021387,-0.021513,-0.021383,-0.020865,-0.021096,-0.021019,-0.02143,-0.021348,-0.021327,-0.021504,-0.021326,-0.021198,-0.021266,-0.021387,-0.021265,-0.021235,-0.021457,-0.021168,-0.021314,-0.021211
5,1.9496,1.9314,1.9634,1.9835,1.9527,1.9595,1.9411,1.9446,1.9593,1.9544,1.9573,1.9511,1.9504,1.9537,1.9531,1.9546,1.954,1.9549,1.9546,1.9546,1.9524,1.9568,1.9534,1.9543,1.9542,1.9548,1.9546,1.954,1.9534,1.9546,1.955
6,0.031279,0.032077,0.031583,0.032132,0.031582,0.032134,0.031834,0.03156,0.032274,0.032239,0.032183,0.032017,0.032088,0.031771,0.032121,0.03192,0.031839,0.031864,0.03219,0.031843,0.031838,0.032033,0.031834,0.031792,0.032036,0.031912,0.031894,0.03194,0.031829,0.031853,0.031878
7,0.019112,0.019204,0.019414,0.019554,0.019236,0.019291,0.019242,0.019202,0.019389,0.019344,0.019294,0.019257,0.019257,0.019294,0.019289,0.019299,0.019292,0.019277,0.019315,0.019295,0.019284,0.019319,0.019292,0.019281,0.019302,0.019294,0.019298,0.019299,0.019286,0.019295,0.019286
8,-2.3821e-05,-0.00032176,-4.3598e-05,-0.00017995,-0.0001361,-3.3055e-05,-5.9067e-05,-5.7839e-05,-6.7176e-05,-4.5763e-05,-0.00010543,-7.2465e-05,-8.6746e-05,-0.00012277,-0.00010083,-8.0036e-05,-3.2336e-05,-4.4672e-05,-7.246e-05,-4.8337e-05,-6.0513e-05,-5.6955e-05,-8.2012e-05,-7.0212e-05,-7.5034e-05,-7.574e-05,-7.9873e-05,-7.0468e-05,-9.7961e-05,-7.3588e-05,-8.3138e-05
9,0.00012962,0.00031029,4.4254e-05,0.00021205,0.00011781,6.2918e-06,2.8876e-05,2.3132e-05,4.5603e-05,1.2727e-05,8.8398e-05,4.5531e-05,5.9438e-05,0.0001066,8.3244e-05,5.8401e-05,9.7226e-06,2.2712e-05,4.9652e-05,2.4237e-05,3.8754e-05,3.6386e-05,5.9799e-05,4.5587e-05,5.1733e-05,5.5272e-05,5.8017e-05,4.6705e-05,7.5364e-05,5.2161e-05,6.3573e-05
10,-1.2075e-05,1.7867e-05,1.8993e-05,-5.226e-06,3.5363e-06,9.3939e-06,1.3641e-05,7.1861e-06,2.3074e-05,1.9075e-05,5.5573e-06,8.6087e-06,7.7511e-06,1.3946e-05,7.6574e-06,7.162e-06,1.3546e-05,1.3809e-05,1.1877e-05,1.9088e-05,1.7498e-05,1.5178e-05,1.3459e-05,1.4206e-05,1.3959e-05,1.3853e-05,1.9345e-05,1.4821e-05,1.278e-05,1.406e-05,1.2996e-05
11,1.4312e-05,1.2808e-05,1.2462e-05,1.8476e-05,,,9.9592e-06,,1.3121e-06,5.8132e-06,,,,9.4496e-06,,,8.6156e-06,8.7157e-06,1.0599e-05,2.9604e-06,4.5166e-06,7.137e-06,8.6972e-06,7.794e-06,8.3856e-06,8.4883e-06,2.7462e-06,7.2747e-06,9.0408e-06,7.6357e-06,8.8807e-06
12,1.229e-06,2.7805e-06,-2.1273e-06,-3.7036e-07,,,,,,,,,,,,,,,1.0346e-06,,,,,,,,,,,,
