,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1675.8,1698.4,1686.4,1688.8,1688.3,1687.9,1685.3,1688.6,1689.6,1691.7,1692.5,1689.0,1691.7,1688.7,1689.5
1,-1683.7,-1703.4,-1694.0,-1696.2,-1695.4,-1695.5,-1692.9,-1696.4,-1696.9,-1698.9,-1699.1,-1696.5,-1698.2,-1695.7,-1696.8
2,-213.31,-215.55,-213.15,-213.46,-213.68,-213.27,-213.37,-213.31,-213.53,-213.63,-214.25,-213.44,-214.22,-213.83,-213.68
3,-34.945,-35.51,-35.32,-35.243,-35.319,-35.167,-35.123,-35.044,-35.255,-35.171,-35.235,-35.099,-35.324,-35.282,-35.168
4,-5.5407,-5.5257,-5.5527,-5.4689,-5.4796,-5.5151,-5.4886,-5.5008,-5.518,-5.5004,-5.508,-5.4943,-5.5127,-5.5191,-5.5109
5,9.993,10.066,9.9596,10.039,10.063,10.02,10.043,10.023,10.026,10.042,10.035,10.04,10.033,10.033,10.037
6,3.4856,3.362,3.4469,3.3945,3.3993,3.439,3.4246,3.4343,3.4281,3.4253,3.4243,3.4245,3.4249,3.429,3.4248
7,-0.033432,-0.039603,-0.047228,-0.040836,-0.045409,-0.047839,-0.050785,-0.02806,-0.049139,-0.049986,-0.042401,-0.047121,-0.025076,-0.043423,-0.0405
8,0.013024,0.012118,0.011107,0.015347,0.018753,0.018971,0.017005,-0.0056825,0.01819,0.02019,0.012492,0.015689,-0.0088054,0.010951,0.0086101
9,0.0086521,0.005426,0.0026491,0.0047839,0.0022189,-0.00064203,-0.00063518,-0.0018252,-0.0012037,-0.0018143,-0.0026815,-0.0011515,-0.0022385,-0.001954,-0.0025141
10,-0.00065223,-0.00089746,-0.0012707,-0.00091309,-0.0010887,-0.0011805,-0.0011459,-0.0011704,-0.001187,-0.0010951,-0.0011475,-0.0012059,-0.0011278,-0.001169,-0.0011615
11,-0.00032098,-0.00028517,-0.00029259,-0.00028622,-0.0003157,-0.00025776,-0.00028091,-0.00029427,-0.0003031,-0.00025143,-0.00027396,-0.00030273,-0.00027873,-0.00029087,-0.00027946
12,-8.0358e-05,-8.5969e-05,-8.0207e-05,-6.792e-05,-6.7848e-05,-6.2292e-05,-5.7033e-05,-6.0313e-05,-6.9649e-05,-5.5526e-05,-6.2699e-05,-5.3199e-05,-4.2553e-05,-6.0065e-05,-5.6294e-05
13,-1.8846e-05,-2.0575e-05,-1.1486e-05,-2.4254e-05,-5.5262e-06,-3.6574e-06,6.8423e-06,-9.4314e-06,1.0707e-06,2.685e-06,-1.0563e-05,-7.1435e-06,-9.2583e-06,-5.0248e-06,-5.4567e-06
14,6.8246e-07,-2.0197e-06,-1.9684e-06,-3.6841e-06,1.7134e-06,4.771e-07,3.0733e-06,-2.321e-06,-1.0815e-06,1.6483e-06,-2.345e-06,-4.532e-07,-1.6777e-06,-5.6653e-07,-1.6945e-06
