,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,1916.5,1917.4,1919.3,1926.4,1924.2,1921.7,1919.6,1920.9,1919.6,1921.7,1920.2,1918.8,1917.5,1917.6
1,-1892.0,-1891.6,-1898.5,-1903.8,-1899.9,-1897.8,-1895.7,-1896.3,-1896.7,-1899.1,-1897.6,-1896.4,-1894.0,-1894.1
2,-253.95,-254.36,-251.08,-252.04,-253.54,-253.0,-253.17,-253.67,-252.28,-251.98,-252.21,-251.99,-252.83,-252.8
3,-46.505,-47.113,-46.181,-46.718,-46.894,-46.87,-46.785,-47.093,-46.702,-46.672,-46.501,-46.554,-46.786,-46.761
4,-9.78,-9.8973,-9.4868,-9.6985,-9.7327,-9.7471,-9.6932,-9.7364,-9.7032,-9.6918,-9.6548,-9.6922,-9.6853,-9.7383
5,9.5901,9.6515,9.8515,9.802,9.8048,9.7599,9.7751,9.7837,9.781,9.7831,9.7835,9.7843,9.7894,9.7746
6,3.308,3.2393,3.3423,3.3485,3.3499,3.3674,3.3626,3.3647,3.3475,3.3472,3.3643,3.3563,3.3604,3.3571
7,-0.1832,-0.21235,-0.20381,-0.19404,-0.20358,-0.20504,-0.20379,-0.20575,-0.19884,-0.20254,-0.2,-0.19777,-0.20489,-0.20152
8,-0.046214,-0.054881,-0.055912,-0.041335,-0.05111,-0.051951,-0.053693,-0.047955,-0.060256,-0.057496,-0.057184,-0.061605,-0.053795,-0.057802
9,-0.020683,-0.024693,-0.021515,-0.02384,-0.026699,-0.026759,-0.026741,-0.02635,-0.028056,-0.027905,-0.02755,-0.028227,-0.027889,-0.02822
10,-0.0092133,-0.011558,-0.011673,-0.010376,-0.011144,-0.011162,-0.011032,-0.011203,-0.011586,-0.011579,-0.011499,-0.011731,-0.01159,-0.011597
11,-0.0039864,-0.004777,-0.0048759,-0.0043631,-0.0043326,-0.0043758,-0.004258,-0.0044786,-0.0045892,-0.0045441,-0.004508,-0.0046599,-0.0045767,-0.0045922
12,-0.0016827,-0.002047,-0.0021069,-0.0018942,-0.0018004,-0.0018483,-0.0017911,-0.001912,-0.0019572,-0.001934,-0.0019308,-0.0020172,-0.0019595,-0.0019731
13,-0.00071072,-0.00088224,-0.00091825,-0.00082302,-0.00077539,-0.00082301,-0.00078944,-0.00085318,-0.00086976,-0.00085525,-0.00085972,-0.00091489,-0.0008737,-0.0008848
14,-0.00030895,-0.00039571,-0.00041993,-0.00037189,-0.00034591,-0.00038529,-0.00035934,-0.00039549,-0.00039518,-0.00039059,-0.00039118,-0.00042353,-0.00039803,-0.00040633
15,-0.00013743,-0.00017654,-0.00019208,-0.00016832,-0.00015416,-0.0001828,-0.0001661,-0.00018537,-0.00018206,-0.00017992,-0.00017857,-0.00019937,-0.00018513,-0.00019074
16,-6.3537e-05,-8.319e-05,-8.9262e-05,-7.7357e-05,-7.0259e-05,-8.9299e-05,-7.8467e-05,-8.9162e-05,-8.4532e-05,-8.4012e-05,-8.2289e-05,-9.516e-05,-8.5513e-05,-9.0226e-05
17,-2.8911e-05,-3.8132e-05,-4.1051e-05,-3.4842e-05,-3.1077e-05,-4.3376e-05,-3.6973e-05,-4.2658e-05,-3.9554e-05,-3.9608e-05,-3.8124e-05,-4.5984e-05,-4.0237e-05,-4.361e-05
18,-1.3555e-05,-1.8723e-05,-1.9508e-05,-1.5785e-05,-1.4184e-05,-2.153e-05,-1.7802e-05,-2.1074e-05,-1.8709e-05,-1.8829e-05,-1.7817e-05,-2.2221e-05,-1.9004e-05,-2.1227e-05
19,-6.2908e-06,-8.4744e-06,-8.9204e-06,-7.1108e-06,-6.4819e-06,-1.0823e-05,-8.6101e-06,-1.0196e-05,-9.0148e-06,-9.026e-06,-8.2951e-06,-1.0877e-05,-8.9836e-06,-1.0438e-05
20,,,,,,-5.4203e-06,,-5.178e-06,,,,-5.3119e-06,,-5.1821e-06
