,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,123.87,126.36,125.23,124.86,124.49,125.24,125.34,124.89,125.3,125.1,125.11,124.98,124.68,125.13,124.77,124.7,124.77,124.97,125.02,124.78,125.12,124.95,124.9,124.99,124.84,124.99,125.1,124.7,124.98,124.96,124.85,124.97,124.96,124.94
1,-170.4,-172.66,-171.63,-171.24,-170.95,-171.67,-171.69,-171.33,-171.69,-171.57,-171.53,-171.39,-171.13,-171.53,-171.22,-171.14,-171.21,-171.42,-171.44,-171.22,-171.54,-171.39,-171.34,-171.41,-171.28,-171.42,-171.52,-171.14,-171.41,-171.4,-171.29,-171.4,-171.38,-171.37
2,-5.9981,-6.1995,-6.1205,-6.1429,-6.0573,-6.0792,-6.1801,-6.0788,-6.1338,-6.0566,-6.1016,-6.1045,-6.0679,-6.118,-6.0725,-6.0861,-6.0817,-6.076,-6.1016,-6.0814,-6.0997,-6.0856,-6.0832,-6.097,-6.0891,-6.0986,-6.1008,-6.0809,-6.0916,-6.0853,-6.0824,-6.0938,-6.103,-6.0907
3,-0.028348,-0.032174,-0.03114,-0.030962,-0.029879,-0.030479,-0.032517,-0.030218,-0.030979,-0.030859,-0.03035,-0.031221,-0.030146,-0.030872,-0.030337,-0.030194,-0.030562,-0.030697,-0.03114,-0.030176,-0.030769,-0.03085,-0.030459,-0.03072,-0.030641,-0.030991,-0.030643,-0.030646,-0.030793,-0.030447,-0.030557,-0.030919,-0.030768,-0.030861
4,-0.00031746,-0.00036207,-0.00035967,-0.00035862,-0.0003374,-0.0003468,-0.0003731,-0.00034229,-0.00035311,-0.0003512,-0.00034091,-0.00035509,-0.00033872,-0.00035105,-0.00034342,-0.0003429,-0.00034759,-0.00034925,-0.00035572,-0.00034181,-0.0003499,-0.00035094,-0.00034616,-0.00034985,-0.00034886,-0.0003533,-0.00034778,-0.00034847,-0.00035033,-0.00034573,-0.00034682,-0.00035244,-0.00034964,-0.00035183
5,2.2114,2.1907,2.1885,2.2052,2.2007,2.2012,2.1942,2.1923,2.1938,2.1896,2.1951,2.1926,2.1904,2.1921,2.193,2.1922,2.1944,2.1935,2.193,2.1947,2.1934,2.1939,2.1946,2.1936,2.1935,2.1939,2.194,2.1934,2.1934,2.1931,2.1931,2.1934,2.1934,2.1935
6,0.72606,0.70754,0.73179,0.71663,0.69984,0.71761,0.72279,0.71517,0.7208,0.71885,0.71494,0.71838,0.72021,0.71847,0.71891,0.72031,0.71844,0.71913,0.71912,0.71807,0.71945,0.71947,0.71815,0.71967,0.71964,0.71963,0.71945,0.71936,0.71931,0.71959,0.71953,0.7194,0.71939,0.71941
7,0.0080858,0.0088759,0.0080196,0.0091169,0.010973,0.0097072,0.009156,0.010543,0.0092289,0.0096499,0.01047,0.0094949,0.0095197,0.0099679,0.0098064,0.0095215,0.0097532,0.0097143,0.0098412,0.0098233,0.0097686,0.0095805,0.0097907,0.0097757,0.009779,0.00963,0.0096192,0.0097741,0.009788,0.0097061,0.0097011,0.0097225,0.0097739,0.0097275
8,0.0021893,0.0014926,0.0023931,0.0013557,0.00064857,0.00099757,0.0014125,0.00076178,0.0013152,0.0010742,0.00075754,0.001157,0.0011433,0.00092788,0.0010153,0.0011718,0.0010378,0.0010607,0.0010007,0.0010039,0.0010337,0.0011297,0.001025,0.0010317,0.0010336,0.0011039,0.0011097,0.0010303,0.0010245,0.0010629,0.00107,0.0010536,0.0010302,0.0010527
9,-4.9808e-05,-3.3024e-05,-1.2549e-05,-2.6274e-05,-3.3469e-05,-2.4425e-05,-8.6291e-06,-3.2142e-05,-9.6261e-06,-2.0733e-05,-2.9008e-05,-1.6924e-05,-1.7974e-05,-2.3621e-05,-2.539e-05,-2.5157e-05,-2.3163e-05,-2.0862e-05,-2.3161e-05,-2.592e-05,-2.0755e-05,-1.7748e-05,-2.4258e-05,-2.121e-05,-2.0931e-05,-1.9271e-05,-1.921e-05,-2.1117e-05,-2.1679e-05,-2.0011e-05,-1.9993e-05,-2.0334e-05,-2.0977e-05,-2.0307e-05
10,-1.6674e-06,-2.3311e-06,-3.585e-06,-3.2866e-06,9.2379e-07,-1.2947e-06,,3.9928e-07,,-6.4792e-07,-4.3635e-08,1.487e-07,3.1038e-07,-5.4147e-07,4.32e-07,-7.88e-07,-5.8171e-07,7.5427e-07,-1.0049e-07,4.3589e-07,-9.9956e-08,-3.8023e-07,-3.1095e-07,-2.4994e-07,-6.4942e-07,-5.0184e-09,3.263e-07,-3.961e-07,3.9668e-08,-3.9994e-07,-5.1038e-07,-2.2985e-07,-6.1248e-07,-3.5627e-07
