,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,233.93,232.5,233.1,232.84,234.04,233.23,234.06,233.63,233.44,233.8,233.73,234.01,233.79,234.12,233.82,233.72,233.79,233.92,233.77,233.73,233.66,233.69,233.76,233.75,233.74,233.8,233.79,233.59
1,-292.73,-291.7,-292.12,-291.9,-292.91,-292.29,-292.84,-292.5,-292.46,-292.72,-292.66,-292.98,-292.7,-293.03,-292.75,-292.67,-292.73,-292.83,-292.71,-292.69,-292.6,-292.64,-292.71,-292.69,-292.67,-292.74,-292.73,-292.56
2,-19.663,-19.295,-19.482,-19.431,-19.621,-19.426,-19.709,-19.617,-19.48,-19.573,-19.555,-19.523,-19.576,-19.576,-19.563,-19.539,-19.542,-19.582,-19.548,-19.531,-19.547,-19.541,-19.543,-19.558,-19.558,-19.556,-19.554,-19.519
3,-0.33317,-0.32649,-0.32749,-0.32715,-0.32969,-0.32605,-0.33048,-0.32931,-0.32654,-0.32835,-0.32857,-0.32767,-0.32795,-0.32846,-0.32876,-0.32798,-0.32817,-0.32893,-0.32828,-0.32763,-0.32803,-0.32772,-0.32817,-0.32846,-0.32829,-0.32799,-0.32822,-0.32748
4,-0.01052,-0.010307,-0.010676,-0.010386,-0.010771,-0.010525,-0.010776,-0.010615,-0.010682,-0.010624,-0.010846,-0.010497,-0.010771,-0.010586,-0.010638,-0.010682,-0.010553,-0.0106,-0.010605,-0.010708,-0.01061,-0.010663,-0.010644,-0.01064,-0.010561,-0.010702,-0.010613,-0.010658
5,3.2619,3.2655,3.2813,3.3007,3.2902,3.2914,3.2961,3.294,3.2922,3.2891,3.2873,3.2906,3.2895,3.2894,3.2895,3.2901,3.2895,3.2901,3.2901,3.2906,3.2898,3.2897,3.29,3.2899,3.29,3.2897,3.2898,3.2898
6,1.0873,1.097,1.0677,1.0668,1.0835,1.0786,1.0783,1.0778,1.0792,1.0805,1.0802,1.0789,1.0801,1.0797,1.0806,1.0794,1.0804,1.0799,1.08,1.0792,1.0802,1.0803,1.0799,1.0802,1.0798,1.0803,1.08,1.08
7,0.012483,0.011653,0.012798,0.013003,0.013939,0.013102,0.012672,0.013449,0.013313,0.013249,0.013227,0.013215,0.013168,0.013235,0.013075,0.013147,0.013162,0.013295,0.013253,0.01326,0.013234,0.013182,0.013251,0.01323,0.013214,0.013202,0.013194,0.013197
8,0.0023851,0.0029522,0.0020761,0.0017972,0.0013111,0.0017008,0.0019063,0.0014797,0.0015632,0.0016136,0.0016262,0.0016012,0.0016279,0.0015998,0.0016813,0.0016379,0.0016315,0.0015592,0.0015838,0.0015795,0.0015909,0.0016198,0.0015845,0.001591,0.0015993,0.001609,0.00161,0.0016095
9,-2.688e-05,-9.8028e-05,-8.4007e-05,-8.5511e-05,-7.7876e-05,-7.5674e-05,-7.6528e-05,-6.985e-05,-7.6414e-05,-7.2311e-05,-7.1445e-05,-7.7072e-05,-7.1617e-05,-7.4959e-05,-6.9319e-05,-7.0048e-05,-6.9276e-05,-6.8755e-05,-6.7757e-05,-6.9928e-05,-6.8307e-05,-6.8493e-05,-6.8879e-05,-6.9326e-05,-6.8601e-05,-6.7995e-05,-6.8269e-05,-6.8683e-05
10,-4.448e-05,-1.664e-05,-1.256e-05,-9.5611e-06,-4.403e-06,-3.3039e-06,-3.1558e-06,-4.1463e-06,8.889e-07,-6.1572e-07,-1.0271e-06,-4.4566e-07,-1.5225e-06,4.2608e-08,6.7212e-07,8.6177e-07,2.477e-07,1.0263e-06,-1.3599e-07,6.6695e-07,1.1061e-06,8.8694e-07,6.4632e-07,3.8288e-07,9.3632e-07,5.9112e-07,5.4631e-07,9.924e-07
11,-8.931e-07,5.5076e-06,2.7994e-06,,,,,,,,,,,,,,,,,,,,,,,,,
