,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,361.74,364.06,361.98,364.21,362.23,363.47,364.84,363.94,363.46,363.21,363.34,363.32,363.23,363.6,363.45,363.36,362.65,363.9,363.44,363.55,362.95,363.49,363.21,363.03,363.01,363.32,362.96,363.42,362.94,363.1,363.15,363.02
1,-423.82,-426.27,-424.28,-425.95,-424.28,-425.35,-426.57,-425.63,-425.5,-425.07,-425.37,-425.38,-425.26,-425.57,-425.53,-425.37,-424.65,-425.94,-425.47,-425.51,-425.0,-425.43,-425.25,-425.1,-425.03,-425.31,-424.99,-425.42,-424.95,-425.11,-425.13,-425.05
2,-41.786,-41.613,-41.462,-42.042,-41.725,-41.882,-42.039,-42.065,-41.731,-41.911,-41.754,-41.715,-41.743,-41.81,-41.711,-41.779,-41.776,-41.745,-41.762,-41.818,-41.732,-41.836,-41.742,-41.719,-41.769,-41.79,-41.749,-41.784,-41.77,-41.769,-41.796,-41.756
3,-1.2801,-1.2711,-1.2546,-1.2957,-1.2857,-1.296,-1.2964,-1.3072,-1.2889,-1.29,-1.285,-1.2806,-1.2821,-1.2859,-1.2781,-1.2808,-1.2834,-1.2762,-1.2783,-1.2855,-1.2808,-1.2833,-1.2791,-1.279,-1.2785,-1.2816,-1.279,-1.2789,-1.2795,-1.2813,-1.2816,-1.2785
4,-0.039913,-0.042045,-0.039031,-0.041112,-0.041716,-0.042217,-0.04237,-0.043226,-0.042007,-0.041637,-0.04239,-0.042112,-0.042282,-0.041768,-0.042021,-0.04209,-0.041947,-0.042072,-0.042203,-0.042378,-0.042194,-0.042303,-0.042216,-0.04211,-0.04221,-0.042142,-0.042028,-0.042074,-0.042254,-0.04213,-0.042294,-0.042178
5,4.3256,4.3856,4.3567,4.362,4.3879,4.3848,4.3911,4.3878,4.3878,4.3782,4.384,4.382,4.3846,4.3886,4.3834,4.3861,4.3846,4.3829,4.383,4.3848,4.3846,4.3857,4.3848,4.385,4.3848,4.3847,4.3848,4.3855,4.3845,4.3847,4.3848,4.3847
6,1.4519,1.4295,1.4245,1.4699,1.4316,1.4376,1.4322,1.4376,1.4404,1.4405,1.4396,1.4424,1.4387,1.4405,1.4419,1.4393,1.4397,1.4427,1.4427,1.4395,1.4403,1.4395,1.4401,1.4402,1.4401,1.4404,1.4403,1.4399,1.4404,1.4404,1.4402,1.4403
7,0.019831,0.015704,0.020013,0.015905,0.017003,0.015675,0.016678,0.016864,0.016499,0.017528,0.017618,0.01632,0.01769,0.01692,0.016838,0.016883,0.016767,0.016624,0.016807,0.016738,0.016729,0.016917,0.016921,0.016832,0.016794,0.016768,0.016766,0.016907,0.016871,0.016799,0.016766,0.01681
8,0.0020963,0.0037859,0.0014083,0.0029793,0.0021821,0.0028649,0.0022248,0.0021209,0.0024178,0.0018737,0.0018163,0.0024733,0.0018081,0.0021309,0.0021609,0.0021344,0.0021932,0.0022854,0.0021836,0.0022101,0.0022142,0.002116,0.0021159,0.0021625,0.0021758,0.0021878,0.0021901,0.0021222,0.002142,0.0021769,0.0021942,0.0021753
9,-0.00012578,-0.00013182,-0.00010747,-0.00012755,-9.1322e-05,-0.00011099,-6.9726e-05,-7.1518e-05,-0.00010145,-9.6431e-05,-7.7788e-05,-9.461e-05,-9.3612e-05,-9.7266e-05,-7.6317e-05,-9.0683e-05,-9.338e-05,-9.2859e-05,-9.0807e-05,-8.3866e-05,-9.1486e-05,-9.3382e-05,-9.4634e-05,-9.1482e-05,-9.2094e-05,-9.1588e-05,-9.1086e-05,-9.2647e-05,-9.0753e-05,-8.8479e-05,-9.1223e-05,-9.2181e-05
10,-5.0943e-06,-5.558e-06,-1.9146e-05,-4.6165e-06,-3.5243e-05,3.193e-06,-4.0668e-05,-2.3271e-05,-4.2636e-07,-5.7809e-06,-2.0193e-05,1.7874e-06,-5.977e-06,1.0893e-06,-1.368e-05,-1.1199e-06,8.0227e-07,3.2902e-06,3.1076e-06,-9.0097e-06,3.1569e-06,6.1899e-06,5.0088e-06,2.2224e-06,7.6494e-06,5.7877e-06,5.6407e-06,7.9004e-06,2.1206e-06,-1.1113e-06,4.8139e-06,6.8394e-06
11,,,2.5015e-06,,2.6411e-06,,3.7828e-06,6.7029e-06,,,5.9114e-06,,,,7.4636e-06,,,,,,,,,,,,,,,,,
