,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,528.39,527.57,525.01,522.08,524.4,524.64,525.21,525.17,526.36,525.6,525.33,524.96,523.95,525.56,523.87,525.39,525.3,524.53,524.38,525.09,524.57,525.0,524.38,524.69
1,-593.28,-592.77,-589.99,-587.07,-589.75,-589.51,-590.32,-590.35,-591.35,-590.65,-590.47,-590.29,-589.14,-590.62,-589.2,-590.47,-590.46,-589.74,-589.51,-590.22,-589.76,-590.21,-589.59,-589.89
2,-63.867,-63.508,-63.747,-63.775,-63.437,-63.872,-63.637,-63.594,-63.764,-63.7,-63.615,-63.432,-63.568,-63.699,-63.435,-63.683,-63.604,-63.559,-63.624,-63.623,-63.577,-63.557,-63.557,-63.566
3,-2.5718,-2.5176,-2.5512,-2.5589,-2.5077,-2.5599,-2.5537,-2.5346,-2.5501,-2.5536,-2.5533,-2.5411,-2.5403,-2.5442,-2.5345,-2.5384,-2.5423,-2.5352,-2.5511,-2.543,-2.5393,-2.533,-2.5412,-2.5357
4,-0.075357,-0.075319,-0.075816,-0.075767,-0.074655,-0.075621,-0.075695,-0.075086,-0.075518,-0.07589,-0.075512,-0.075325,-0.075506,-0.075456,-0.07521,-0.075259,-0.075296,-0.075203,-0.075546,-0.07535,-0.075325,-0.075183,-0.075271,-0.075185
5,5.4659,5.4285,5.4459,5.4789,5.4877,5.4772,5.4763,5.4796,5.4785,5.4837,5.4786,5.4799,5.4844,5.4777,5.4789,5.4784,5.4786,5.4788,5.4793,5.4788,5.4792,5.4792,5.4789,5.479
6,1.8235,1.8032,1.802,1.8369,1.7779,1.8081,1.8052,1.7968,1.7971,1.7992,1.8016,1.802,1.8005,1.8036,1.8015,1.8011,1.8008,1.8001,1.801,1.8008,1.8003,1.8008,1.801,1.8007
7,0.019463,0.021684,0.022568,0.018173,0.021204,0.020302,0.021207,0.020218,0.02104,0.020687,0.020472,0.020851,0.020441,0.020298,0.020762,0.020384,0.020512,0.020685,0.020559,0.020619,0.020681,0.02049,0.020646,0.020568
8,0.0042717,0.0026938,0.0022861,0.0045258,0.0025253,0.0031437,0.0026434,0.003086,0.0027073,0.0028231,0.0029368,0.0027578,0.0029704,0.0030292,0.0027786,0.0029654,0.002901,0.00281,0.0028799,0.0028433,0.0028213,0.00292,0.0028268,0.0028652
9,-3.3657e-05,-7.3867e-05,-0.00013566,-0.00013314,-0.00015727,-0.00011722,-0.00014284,-0.0001258,-0.000132,-0.00013302,-0.00013613,-0.00011824,-0.00013953,-0.00014771,-0.00013854,-0.00013487,-0.00013647,-0.00012287,-0.0001395,-0.0001395,-0.00013665,-0.00012932,-0.000141,-0.00013733
10,-0.00010208,-8.5394e-05,-1.9859e-05,-4.4487e-05,-4.7248e-06,-3.3885e-05,-6.7815e-06,-2.6669e-05,-1.6109e-05,-7.8699e-06,-4.8252e-06,-2.9954e-05,-1.6732e-07,6.7476e-06,-9.9314e-07,-1.3534e-06,-5.3634e-08,-1.6541e-05,6.8246e-06,6.096e-06,4.3248e-07,-7.2035e-06,9.1777e-06,7.5748e-07
11,7.6947e-06,3.7757e-06,9.9437e-06,1.336e-05,,1.0662e-05,,1.3694e-05,1.2463e-05,,,1.2768e-05,,,,,,1.5163e-05,,,,,,
12,,,,6.2797e-06,,4.2079e-06,,1.3812e-06,4.6755e-07,,,3.0187e-07,,,,,,-2.2038e-07,,,,,,
