,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,728.79,727.06,731.21,729.59,730.79,728.35,729.22,728.48,727.35,729.22,729.94,728.59,729.12,728.68,728.48,728.94,728.96,728.83
1,-791.43,-789.08,-794.41,-792.65,-793.82,-791.26,-792.01,-791.2,-789.94,-792.05,-792.73,-791.43,-791.91,-791.49,-791.43,-791.79,-791.8,-791.73
2,-89.961,-90.281,-89.351,-89.484,-89.513,-89.579,-89.704,-89.756,-89.858,-89.677,-89.689,-89.654,-89.7,-89.676,-89.526,-89.627,-89.654,-89.597
3,-4.9424,-5.1698,-4.8857,-4.9323,-4.9078,-4.9723,-4.9724,-4.989,-5.0083,-4.9549,-4.971,-4.9622,-4.9727,-4.973,-4.9827,-4.982,-4.9745,-4.9678
4,-0.18612,-0.19123,-0.18376,-0.18543,-0.1845,-0.18642,-0.18589,-0.18646,-0.18798,-0.18608,-0.18677,-0.18553,-0.18619,-0.18664,-0.1876,-0.18741,-0.18689,-0.18617
5,6.5914,6.5848,6.5814,6.5692,6.5709,6.5738,6.5792,6.5801,6.5638,6.5804,6.572,6.5737,6.5733,6.5718,6.5722,6.574,6.5728,6.5734
6,2.2077,2.1724,2.1655,2.1702,2.1428,2.1617,2.1505,2.1565,2.1607,2.1512,2.1566,2.154,2.1577,2.1601,2.1569,2.1554,2.1566,2.1554
7,0.025265,0.026432,0.022943,0.024129,0.025226,0.025827,0.025165,0.024729,0.024997,0.024909,0.024899,0.025163,0.0252,0.02505,0.025151,0.025373,0.025248,0.025432
8,0.0037828,0.0027932,0.0038213,0.0035151,0.0029326,0.0027054,0.0029031,0.0031644,0.0030546,0.0030214,0.0030771,0.0029244,0.002938,0.0030047,0.0029418,0.0028075,0.0028969,0.002784
9,0.00032075,-2.8838e-05,0.0004348,0.00010551,-3.921e-05,-6.0227e-05,-0.00010124,-9.9264e-05,-9.8056e-05,-5.8166e-05,-0.0001134,-9.6093e-05,-0.00010753,-0.00011132,-0.00010756,-0.00011185,-0.00010711,-8.9532e-05
10,-9.3444e-05,-0.00011788,-0.00012316,-0.00010604,-0.0001083,-0.00010474,-9.2111e-05,-9.4198e-05,-9.3922e-05,-0.00011181,-8.1297e-05,-9.283e-05,-8.4696e-05,-8.1048e-05,-8.408e-05,-7.734e-05,-8.2299e-05,-9.6764e-05
11,-4.2381e-05,-9.8237e-06,-2.4961e-05,-1.5447e-05,-1.4859e-06,-8.2601e-06,5.9444e-06,2.4084e-06,2.6137e-06,2.9765e-06,8.3002e-06,3.1085e-06,5.7209e-06,5.5589e-06,5.1849e-06,5.1462e-06,4.3693e-06,2.0215e-06
12,5.9679e-06,,6.8513e-06,8.9063e-06,,,,,,,,,,,,,,
