,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,982.74,982.11,978.03,985.11,981.6,980.8,981.21,981.34,981.2,981.35,981.58,981.4,981.86,980.66,980.37,980.84,981.86
1,-1037.6,-1040.2,-1033.8,-1041.4,-1038.1,-1037.0,-1037.3,-1037.6,-1037.5,-1038.0,-1037.8,-1037.7,-1038.0,-1036.8,-1036.8,-1037.1,-1038.1
2,-119.44,-116.61,-118.72,-118.28,-118.12,-118.25,-118.33,-118.26,-118.22,-117.94,-118.28,-118.24,-118.38,-118.33,-118.09,-118.3,-118.26
3,-9.2133,-8.7155,-8.9859,-8.9044,-8.8407,-8.9822,-9.0302,-8.9937,-8.9446,-8.9191,-8.9351,-8.9186,-8.9712,-8.9664,-8.9201,-8.9587,-8.9568
4,-0.44096,-0.43598,-0.44911,-0.4148,-0.41759,-0.42386,-0.43052,-0.4249,-0.42269,-0.42105,-0.42328,-0.42472,-0.42441,-0.42004,-0.42261,-0.42434,-0.42275
5,7.6719,7.6539,7.7005,7.6732,7.6523,7.67,7.6723,7.6629,7.6622,7.6652,7.6664,7.6667,7.6638,7.6654,7.6668,7.6663,7.6653
6,2.4763,2.5233,2.4894,2.4901,2.4946,2.4942,2.4907,2.5032,2.4978,2.4991,2.4964,2.4992,2.5051,2.5011,2.4996,2.4962,2.5
7,0.025712,0.027136,0.024288,0.028591,0.028024,0.027626,0.029627,0.029224,0.028961,0.028724,0.029112,0.028829,0.029533,0.028382,0.028866,0.029325,0.028384
8,0.0042879,0.0031847,0.0045708,0.0028695,0.0033591,0.003103,0.002484,0.002677,0.0028805,0.0029357,0.0026859,0.0028171,0.0026031,0.0030511,0.0028624,0.0026887,0.0030583
9,0.00044793,0.0012522,0.00062941,0.00020586,-0.00014037,0.00025086,-1.7247e-05,-0.00013225,-0.00013697,-0.00010437,-0.00011024,-7.7106e-05,-0.00011588,-0.0001602,-0.0001153,-0.00010926,-0.00014931
10,-6.4386e-05,-6.613e-05,-9.5451e-05,-9.2896e-05,-9.5122e-05,-9.573e-05,-0.00010231,-8.8204e-05,-8.2563e-05,-9.242e-05,-9.7059e-05,-0.00010895,-8.6747e-05,-5.2646e-05,-9.1747e-05,-9.8537e-05,-7.4219e-05
11,-7.4931e-05,-8.7261e-05,-2.154e-05,-4.4729e-05,7.8423e-07,-2.8839e-05,-1.7883e-05,2.4674e-06,-8.5759e-07,-6.1811e-06,-5.1127e-06,1.6236e-06,-7.1215e-06,5.3631e-06,-3.877e-06,-1.0202e-06,4.6199e-06
12,1.1873e-05,2.3085e-06,1.2089e-05,5.4319e-06,,7.6828e-06,5.068e-06,,,,,,,,,,
13,4.554e-06,,2.1423e-07,,,,,,,,,,,,,,
