,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1471.6,1458.3,1460.5,1459.1,1459.3,1465.0,1458.1,1460.7,1456.4,1461.6,1461.6,1459.7,1461.5,1460.8,1460.4,1461.4,1459.6,1460.9,1460.7,1460.5
1,-1496.7,-1485.6,-1489.7,-1487.4,-1488.7,-1493.0,-1487.3,-1489.0,-1485.0,-1490.2,-1490.5,-1488.4,-1490.5,-1489.6,-1489.3,-1490.2,-1488.6,-1489.5,-1489.8,-1489.4
2,-182.67,-180.97,-179.57,-180.1,-179.38,-180.41,-179.45,-180.33,-180.02,-180.06,-179.75,-179.92,-179.66,-179.8,-179.74,-179.88,-179.67,-180.01,-179.64,-179.8
3,-25.117,-24.565,-24.317,-24.634,-24.369,-24.548,-24.333,-24.429,-24.425,-24.335,-24.396,-24.41,-24.396,-24.399,-24.39,-24.427,-24.397,-24.42,-24.366,-24.418
4,-3.1016,-3.0482,-2.9238,-2.909,-2.9137,-2.9675,-2.952,-2.9969,-2.9329,-2.9562,-2.9545,-2.9477,-2.9361,-2.9361,-2.9527,-2.9471,-2.9515,-2.9634,-2.9431,-2.9596
5,9.5528,9.3596,9.4726,9.5293,9.5235,9.4854,9.4772,9.4719,9.4913,9.4933,9.4976,9.4971,9.495,9.493,9.4921,9.4942,9.4951,9.4922,9.4947,9.493
6,3.0425,3.083,3.2419,3.1973,3.1476,3.1688,3.1727,3.1815,3.1703,3.1645,3.1685,3.1685,3.1746,3.1733,3.175,3.1716,3.1687,3.1696,3.172,3.171
7,-0.010871,0.012992,-0.020363,-0.018723,-0.015041,-0.019829,-0.021123,-0.022552,-0.01959,-0.021799,-0.011205,-0.010595,-0.010021,-0.019488,-0.001671,-0.0040281,-0.0093249,-0.0040319,0.0027366,-0.0036819
8,0.0084882,0.010851,0.021865,0.019973,0.022621,0.019943,0.021631,0.022733,0.021257,0.020513,0.011636,0.010294,0.010549,0.01944,0.00059015,0.0034662,0.0091413,0.0037733,-0.0030087,0.0030942
9,0.012162,0.014972,0.0046939,0.0070702,0.0060127,0.0038421,0.0023972,0.0027183,0.0011114,0.0027279,0.0017267,0.00078945,0.00113,0.0012985,0.00091946,0.00080195,0.00070145,0.00075257,0.00076073,0.00083449
10,0.0006963,0.00066932,0.00047478,0.00044134,0.00022947,-6.4512e-05,5.2678e-05,2.5447e-05,-4.5256e-06,0.00012931,-4.5552e-05,-0.00012933,-3.97e-05,0.00010096,-4.5085e-05,-0.00020284,-6.809e-05,-9.0308e-05,-0.00038763,-8.5067e-05
11,-0.00013951,-0.00012457,-0.00013489,-0.00013986,-0.00015825,-0.00019115,-0.00017127,-0.00013499,-0.00015102,-0.00018099,-0.0001822,-0.00014879,-0.00016844,-0.00016332,-0.00016189,-0.0001453,-0.00015697,-0.00015957,-0.00011629,-0.00015532
12,-6.7368e-05,-3.2344e-05,-3.7576e-05,-4.975e-05,-3.4445e-05,-4.5773e-05,-2.7051e-05,-3.8294e-05,-2.4422e-05,-2.9933e-05,-5.1606e-05,-2.1324e-05,-5.0914e-05,-3.1169e-05,-1.3404e-05,-1.3701e-05,-4.1842e-05,-2.6578e-05,1.6814e-06,-2.0585e-05
13,-1.9512e-05,-2.8273e-05,2.8252e-06,-1.4384e-06,-1.5393e-05,-1.1152e-05,6.1361e-06,6.3938e-06,9.5596e-07,5.8787e-06,5.2026e-06,4.6642e-07,1.2737e-05,1.0345e-05,1.1694e-06,-5.0326e-07,1.402e-05,3.0866e-06,-4.8948e-07,6.6915e-06
14,-9.3718e-07,-1.3151e-06,,,5.0875e-06,4.8656e-06,,,,,,,1.9381e-06,2.8978e-06,,,1.3842e-06,,,
