,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,170.21,167.98,168.52,169.67,170.07,170.13,170.03,169.84,170.02,169.81,169.77,170.13,170.0,169.78,169.62,169.77,169.88,169.94
1,-321.13,-318.75,-319.2,-320.32,-320.6,-320.78,-320.53,-320.48,-320.69,-320.45,-320.46,-320.74,-320.66,-320.44,-320.3,-320.44,-320.54,-320.61
2,-25.493,-25.709,-25.746,-25.796,-25.921,-25.794,-25.939,-25.809,-25.786,-25.813,-25.753,-25.829,-25.795,-25.8,-25.766,-25.782,-25.782,-25.778
3,-0.92374,-0.92751,-0.96978,-0.95073,-0.95702,-0.95199,-0.96532,-0.95824,-0.95522,-0.95742,-0.95439,-0.95787,-0.95659,-0.95267,-0.95493,-0.9582,-0.95673,-0.95689
4,-0.017141,-0.015462,-0.01715,-0.016872,-0.017224,-0.016805,-0.017272,-0.017355,-0.01714,-0.017032,-0.016934,-0.017144,-0.017182,-0.016972,-0.017133,-0.017167,-0.017065,-0.017138
5,19.794,19.794,19.801,19.812,19.825,19.813,19.813,19.813,19.812,19.813,19.812,19.813,19.812,19.812,19.812,19.812,19.812,19.812
6,2.3626,2.4184,2.3974,2.3933,2.4035,2.3966,2.397,2.3979,2.3983,2.3983,2.3987,2.3974,2.3986,2.398,2.3982,2.3981,2.3983,2.3984
7,0.12092,0.11885,0.11307,0.11506,0.10636,0.11438,0.11374,0.11256,0.11317,0.11364,0.11239,0.11351,0.11372,0.11314,0.11318,0.11325,0.11309,0.11308
8,0.030047,0.036837,0.047136,0.04143,0.053944,0.044521,0.045531,0.046718,0.046262,0.045298,0.047186,0.045815,0.045605,0.04622,0.046164,0.046036,0.046253,0.046277
9,0.0063707,0.0047981,0.00029541,0.0024417,0.00086527,0.00036655,0.00013848,0.00019741,9.7241e-05,0.00010777,0.00018478,0.00013048,7.3033e-05,0.00025404,0.00038419,0.00015464,0.00010129,0.00029876
10,5.9192e-05,6.0934e-06,0.00032167,6.4593e-05,0.00038615,0.00067524,0.00086909,0.00060951,0.00076355,0.00076658,0.0010768,0.00085134,0.00061331,0.0011635,0.0012423,0.00096691,0.0013828,0.0013186
11,0.00053223,0.0014478,0.0012356,0.0014498,0.0013316,0.0010278,0.00085199,0.0012481,0.0010715,0.0011054,0.00065445,0.00096533,0.0012111,0.00052039,0.00034687,0.00083011,0.0004991,0.0003596
12,0.00014564,0.00012446,3.122e-05,3.2531e-05,5.1137e-05,1.3885e-05,2.5229e-05,1.2479e-05,1.5409e-05,1.7742e-05,1.3026e-05,1.1678e-05,1.1814e-05,1.1024e-05,1.4778e-05,1.259e-05,1.466e-05,1.4124e-05
13,1.6836e-05,5.7256e-05,2.2781e-05,1.5805e-05,4.9042e-05,1.3361e-05,2.1274e-05,1.0777e-05,2.154e-05,1.8725e-05,1.3759e-05,1.9e-05,1.5768e-05,1.7396e-05,1.5566e-05,1.8163e-05,1.477e-05,1.6422e-05
14,2.3344e-06,1.0908e-05,2.9457e-06,3.3603e-06,4.4626e-06,5.367e-06,5.0882e-06,9.5005e-06,7.4287e-06,4.6776e-06,9.89e-06,6.1962e-06,7.4205e-06,6.7663e-06,8.6864e-06,5.6429e-06,8.9355e-06,8.4848e-06
15,,3.8847e-06,,,,,,,,,,,,,,,,
