,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,188.36,189.17,187.01,188.99,187.28,188.24,187.7,186.99,187.24,187.35,187.66,187.75,187.6,187.83,187.55,187.89,187.93,187.55,187.63,187.6
1,-350.4,-351.25,-349.49,-351.32,-349.74,-350.69,-350.26,-349.62,-349.82,-349.95,-350.21,-350.23,-350.12,-350.33,-350.13,-350.39,-350.43,-350.09,-350.16,-350.15
2,-31.614,-31.62,-31.25,-31.473,-31.339,-31.31,-31.224,-31.172,-31.223,-31.193,-31.236,-31.305,-31.26,-31.281,-31.201,-31.28,-31.282,-31.25,-31.252,-31.235
3,-1.4005,-1.4035,-1.4064,-1.3604,-1.3542,-1.3758,-1.3583,-1.3414,-1.3432,-1.3493,-1.3603,-1.3635,-1.3611,-1.3577,-1.3557,-1.3585,-1.359,-1.3539,-1.3577,-1.3614
4,-0.024261,-0.022362,-0.025795,-0.021755,-0.022358,-0.023554,-0.022626,-0.021464,-0.021876,-0.022512,-0.022883,-0.022937,-0.022616,-0.022678,-0.022631,-0.022723,-0.022349,-0.022375,-0.022561,-0.022684
5,21.839,21.765,21.811,21.811,21.804,21.785,21.794,21.79,21.793,21.792,21.793,21.795,21.794,21.793,21.794,21.794,21.794,21.794,21.794,21.794
6,2.5922,2.6205,2.6148,2.6409,2.6355,2.6451,2.6398,2.6369,2.6387,2.6391,2.6386,2.6371,2.6371,2.6375,2.6376,2.6375,2.6375,2.6374,2.6375,2.6375
7,0.14751,0.12737,0.1268,0.12328,0.12754,0.12614,0.12758,0.12769,0.12659,0.12737,0.12617,0.1276,0.12635,0.12673,0.12683,0.12708,0.12706,0.12704,0.127,0.127
8,0.015467,0.045894,0.0478,0.051896,0.048309,0.050475,0.04811,0.047823,0.049384,0.048384,0.049638,0.047575,0.049239,0.048794,0.048492,0.048168,0.048228,0.048237,0.048303,0.048305
9,0.0073531,0.0028268,0.00045355,0.0012767,-0.00042918,-0.00044524,-0.00029819,-0.00010791,-4.1397e-05,-0.0002851,-9.5165e-06,0.00011716,-0.00012757,-1.1174e-07,0.00017658,0.00036542,0.0003746,0.00031955,0.00017448,0.00025952
10,2.1584e-05,0.0003628,0.00066033,0.00041995,0.0013708,0.0012619,0.0014068,0.0015295,0.0016155,0.0015321,0.0016105,0.0016418,0.0015494,0.0016657,0.0017013,0.0016328,0.001609,0.0016275,0.0017393,0.0016974
11,0.0005877,0.00081101,0.00075583,0.00087471,0.00055587,0.00058505,0.00044313,0.00033433,0.00019259,0.0003732,0.00021203,0.00016467,0.00031914,0.00015332,9.609e-05,4.7219e-05,5.9651e-05,7.8177e-05,6.7853e-05,6.2148e-05
12,3.1822e-05,1.308e-05,7.784e-06,6.616e-05,2.2924e-05,1.8528e-05,2.1009e-05,2.3493e-05,1.898e-05,2.254e-05,2.0934e-05,2.6094e-05,2.6932e-05,2.423e-05,2.6967e-05,2.8338e-05,2.6829e-05,2.7675e-05,2.5862e-05,2.6641e-05
13,2.6681e-05,1.6564e-05,,5.8343e-05,1.6623e-05,1.6696e-05,1.2533e-05,7.0019e-06,6.8026e-06,5.7565e-06,6.2337e-06,4.9088e-06,9.0788e-06,7.268e-06,4.421e-06,4.9137e-06,4.2331e-06,4.5722e-06,4.7676e-06,4.5489e-06
14,2.2326e-06,9.3534e-06,,8.9244e-06,9.0914e-06,7.682e-06,8.7852e-06,,,,,,,,,,,,,
