,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,2.3602,2.9787,2.8886,2.6309,2.6775,2.7201,2.9108,2.7934,2.9682,2.7834,2.8218,2.8063,2.9919,2.9565,2.8803,2.8805,2.807,2.9007,2.8884,2.8473,2.8582,2.8516,2.8848,2.9079,2.8584,2.8496,2.8527,2.902,2.8086,2.8406,2.9009,2.8668,2.8814,2.8616,2.8446
1,-19.204,-19.802,-19.698,-19.473,-19.507,-19.534,-19.72,-19.609,-19.779,-19.615,-19.653,-19.631,-19.807,-19.767,-19.698,-19.697,-19.626,-19.717,-19.708,-19.668,-19.681,-19.676,-19.706,-19.726,-19.679,-19.665,-19.673,-19.721,-19.626,-19.661,-19.719,-19.687,-19.699,-19.68,-19.665
2,-0.89393,-0.91721,-0.93428,-0.89746,-0.91086,-0.92667,-0.93132,-0.92545,-0.93024,-0.90978,-0.9093,-0.91589,-0.92565,-0.9303,-0.92335,-0.92429,-0.92161,-0.92522,-0.92152,-0.92046,-0.91833,-0.91626,-0.92001,-0.92319,-0.92037,-0.92554,-0.92086,-0.92248,-0.92394,-0.92032,-0.92307,-0.92087,-0.92321,-0.92243,-0.92112
3,-0.001093,-0.0011549,-0.0011971,-0.0010871,-0.0011303,-0.001159,-0.0011552,-0.0011624,-0.0011448,-0.0011048,-0.0011084,-0.0011158,-0.0011301,-0.0011414,-0.0011379,-0.0011363,-0.0011318,-0.0011332,-0.0011302,-0.0011346,-0.0011172,-0.0011239,-0.0011334,-0.0011367,-0.0011281,-0.0011387,-0.0011341,-0.0011352,-0.0011406,-0.0011306,-0.0011352,-0.0011309,-0.0011349,-0.0011356,-0.001133
4,-1.9622e-08,-2.0711e-08,-2.217e-08,-1.8898e-08,-2.0277e-08,-1.9469e-08,-1.9395e-08,-1.9782e-08,-2.0436e-08,-1.8683e-08,-1.8828e-08,-1.8443e-08,-1.9233e-08,-1.9479e-08,-1.8314e-08,-2.0017e-08,-1.9859e-08,-1.944e-08,-1.9061e-08,-2.0014e-08,-1.8594e-08,-1.9059e-08,-1.8738e-08,-1.9668e-08,-1.895e-08,-1.9481e-08,-1.9321e-08,-1.9248e-08,-2.0124e-08,-1.9381e-08,-1.865e-08,-1.869e-08,-1.8672e-08,-1.9558e-08,-1.9097e-08
5,1.9927,1.9906,1.9873,1.9777,1.9813,1.9807,1.9805,1.9799,1.9796,1.9805,1.9804,1.9795,1.9797,1.9803,1.9801,1.9801,1.98,1.9801,1.98,1.9801,1.9801,1.9801,1.9801,1.9801,1.9801,1.9801,1.9801,1.9801,1.9801,1.9801,1.9801,1.9801,1.9801,1.9801,1.9801
6,0.23966,0.24508,0.23833,0.24382,0.24134,0.23992,0.24008,0.23969,0.24057,0.2398,0.23955,0.24028,0.24034,0.24009,0.24032,0.2403,0.24031,0.2403,0.24034,0.2403,0.24031,0.24031,0.24031,0.24031,0.24031,0.24031,0.24032,0.24031,0.24031,0.24031,0.24031,0.24031,0.24031,0.24031,0.24031
7,0.014074,0.012448,0.012956,0.012865,0.013435,0.01239,0.012529,0.012536,0.012523,0.012328,0.012405,0.012682,0.012575,0.012429,0.012594,0.012484,0.012531,0.012517,0.012457,0.012483,0.012488,0.012485,0.012493,0.012492,0.01249,0.012493,0.012488,0.012489,0.012492,0.012489,0.01249,0.01249,0.01249,0.01249,0.01249
8,0.0023856,0.0050635,0.0034845,0.0042674,0.0033483,0.004333,0.0041271,0.0041014,0.0041574,0.0043342,0.004253,0.0039594,0.0040759,0.0042837,0.0040895,0.004224,0.0041683,0.004181,0.0042544,0.0042215,0.0042151,0.0042193,0.004209,0.0042116,0.0042133,0.0042097,0.0042169,0.0042147,0.0042109,0.0042148,0.0042133,0.004214,0.0042141,0.0042141,0.0042141
9,0.00025643,8.2551e-06,0.00011265,7.067e-05,0.00010279,0.00016642,0.00016193,0.00016509,0.00013113,0.00016833,0.00015575,0.00014875,0.00015927,0.00013466,0.00015027,0.00014629,0.00015094,0.00015122,0.00014634,0.00014941,0.00014914,0.00014908,0.00015013,0.00014928,0.00014941,0.00014959,0.00014903,0.00014926,0.00015006,0.00014925,0.00014933,0.00014935,0.00014933,0.00014933,0.00014933
10,1.2092e-05,,3.9843e-07,3.2292e-05,1.3935e-05,5.192e-06,2.5567e-06,5.2382e-06,2.352e-06,4.7982e-06,4.7042e-06,3.3744e-06,3.6481e-06,2.6845e-06,2.767e-06,2.9748e-06,3.2815e-06,3.2283e-06,3.1168e-06,3.1418e-06,2.7693e-06,3.2507e-06,3.2647e-06,3.0274e-06,3.2557e-06,3.1947e-06,2.8443e-06,3.2091e-06,3.2114e-06,3.1732e-06,3.1652e-06,3.221e-06,3.2069e-06,3.178e-06,3.2156e-06
11,2.8038e-06,,,1.1369e-06,6.5636e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
