,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,72.134,73.241,72.727,73.486,73.255,73.459,73.222,73.089,73.155,72.413,73.193,73.034,73.108,73.408,73.179,73.074,73.209,73.206,73.043,73.058,73.089,73.12,73.234,73.155,73.056,73.144,73.143,73.05,73.227,73.085,73.144
1,-148.66,-149.34,-148.88,-149.74,-149.48,-149.65,-149.43,-149.19,-149.35,-148.67,-149.38,-149.18,-149.29,-149.58,-149.34,-149.29,-149.38,-149.41,-149.23,-149.26,-149.28,-149.31,-149.41,-149.34,-149.26,-149.34,-149.34,-149.25,-149.4,-149.27,-149.33
2,-12.058,-12.447,-12.385,-12.289,-12.327,-12.356,-12.341,-12.443,-12.356,-12.291,-12.362,-12.398,-12.369,-12.379,-12.384,-12.328,-12.373,-12.342,-12.355,-12.341,-12.359,-12.354,-12.366,-12.363,-12.344,-12.351,-12.35,-12.351,-12.37,-12.361,-12.364
3,-0.15507,-0.16323,-0.16049,-0.16326,-0.16281,-0.16464,-0.16423,-0.16659,-0.16232,-0.16334,-0.16441,-0.16518,-0.16467,-0.16473,-0.16437,-0.16458,-0.16486,-0.16361,-0.16461,-0.16392,-0.16434,-0.16446,-0.16448,-0.16462,-0.16395,-0.16413,-0.16409,-0.16463,-0.16386,-0.16438,-0.16433
4,-0.00013846,-0.00014603,-0.00014409,-0.00014656,-0.00014626,-0.00014786,-0.00014811,-0.00015019,-0.00014636,-0.00014702,-0.00014836,-0.00014888,-0.00014783,-0.00014831,-0.00014787,-0.00014845,-0.00014851,-0.00014692,-0.00014816,-0.00014731,-0.00014792,-0.00014803,-0.0001481,-0.00014804,-0.00014738,-0.00014746,-0.00014784,-0.00014815,-0.0001472,-0.000148,-0.00014773
5,9.9509,9.9816,9.9625,9.9651,9.9788,9.9622,9.9652,9.9629,9.9631,9.9625,9.9633,9.9628,9.9645,9.9633,9.9638,9.964,9.9634,9.9638,9.9637,9.9638,9.9636,9.9639,9.9638,9.9638,9.9638,9.9638,9.9638,9.9638,9.9638,9.9638,9.9639
6,1.1495,1.1347,1.1353,1.144,1.1427,1.1466,1.1465,1.1462,1.1461,1.1463,1.1446,1.1461,1.1444,1.1452,1.1449,1.1448,1.1451,1.1449,1.145,1.145,1.1452,1.1449,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.1449
7,0.050617,0.047981,0.050973,0.04985,0.048605,0.050708,0.049992,0.049767,0.049964,0.049732,0.049789,0.049923,0.050305,0.04984,0.049861,0.049999,0.05017,0.049982,0.04996,0.050008,0.050026,0.050029,0.050001,0.050006,0.049972,0.049977,0.049976,0.04999,0.049973,0.049972,0.049969
8,0.024812,0.027501,0.023142,0.024986,0.027087,0.023901,0.025026,0.025112,0.024642,0.025065,0.024933,0.0248,0.024005,0.024858,0.024736,0.024483,0.024304,0.024553,0.024601,0.024489,0.024438,0.024427,0.024485,0.024502,0.024517,0.024513,0.024513,0.024511,0.024513,0.024513,0.024509
9,0.0005943,-0.000596,0.00096906,0.0011454,0.0022717,0.0015337,0.0013025,0.0020907,0.0019087,0.001743,0.0024605,0.002152,0.0022731,0.0023323,0.0023435,0.0021209,0.0016504,0.0017168,0.0021239,0.0021994,0.0025991,0.0024596,0.0025897,0.0020329,0.0025125,0.0023915,0.0025573,0.0022995,0.0026598,0.002553,0.0025157
10,0.0012589,0.0018169,0.001269,0.0014753,0.00023625,0.0010784,0.0010684,0.00058789,0.00067789,0.00094819,0.00016837,0.00039968,0.0005084,0.00023899,0.00034703,0.00062985,0.0010571,0.00099517,0.00056675,0.00051182,0.00012936,0.00029974,0.00015362,0.000677,0.00021807,0.00033804,0.00017675,0.00042376,9.3862e-05,0.00017965,0.00021395
11,6.132e-05,5.6448e-05,3.2644e-05,9.9438e-05,0.00010065,0.00010122,6.0665e-05,0.00010897,8.6154e-05,8.4501e-05,9.6425e-05,0.00010945,9.2871e-05,8.8567e-05,0.00010024,8.448e-05,8.8054e-05,9.578e-05,9.2249e-05,8.7546e-05,9.9669e-05,0.00010342,0.00010287,9.6889e-05,0.00010437,0.00010353,0.00010544,9.8305e-05,9.1151e-05,0.00010518,9.9968e-05
12,3.9251e-05,6.7392e-05,3.7077e-05,6.6385e-05,1.0973e-05,3.2064e-05,3.0745e-05,1.1976e-05,2.0189e-05,3.6541e-05,4.0066e-06,1.0861e-05,1.5454e-05,8.768e-06,5.3555e-06,1.9201e-05,1.208e-05,3.4245e-06,1.2138e-05,1.7663e-05,4.1834e-06,5.0776e-06,3.5594e-06,8.0971e-06,4.1274e-06,4.8763e-06,2.943e-06,9.2879e-06,2.5789e-06,3.2284e-06,8.6225e-06
13,2.6079e-06,3.4758e-06,2.9548e-06,4.1813e-06,9.7387e-06,1.3439e-06,3.8028e-06,3.2158e-06,3.2968e-06,2.5658e-06,,3.7329e-06,3.5213e-06,,,3.5782e-06,2.901e-06,,3.8805e-06,3.7189e-06,,,,,,,,,,,
