,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,95.467,95.105,95.854,95.253,95.866,95.195,95.249,95.43,95.139,95.121,95.42,95.247,95.386,95.589,95.166,95.316,95.132,95.287,95.369,95.349,95.481,95.207,95.373
1,-188.32,-187.89,-188.62,-188.05,-188.53,-188.02,-188.01,-188.14,-187.92,-187.91,-188.14,-188.03,-188.16,-188.33,-187.94,-188.11,-187.93,-188.07,-188.11,-188.12,-188.23,-188.0,-188.13
2,-13.414,-13.512,-13.508,-13.479,-13.619,-13.461,-13.525,-13.573,-13.507,-13.49,-13.558,-13.499,-13.508,-13.538,-13.51,-13.492,-13.485,-13.499,-13.538,-13.512,-13.53,-13.487,-13.523
3,-0.1681,-0.16981,-0.17014,-0.16796,-0.17029,-0.16918,-0.17101,-0.17145,-0.16939,-0.16973,-0.17078,-0.16915,-0.17008,-0.17134,-0.17112,-0.16968,-0.16917,-0.17003,-0.1709,-0.17019,-0.17049,-0.16931,-0.17053
4,-0.0001943,-0.00019568,-0.00019872,-0.00019564,-0.00019754,-0.00019687,-0.00019866,-0.00019974,-0.0001977,-0.0001972,-0.00019902,-0.00019659,-0.00019802,-0.00019948,-0.00019927,-0.00019764,-0.00019686,-0.00019798,-0.00019888,-0.00019807,-0.00019844,-0.0001972,-0.00019868
5,11.92,11.957,11.955,11.945,11.95,11.956,11.955,11.95,11.951,11.953,11.953,11.953,11.952,11.952,11.952,11.952,11.952,11.953,11.952,11.952,11.952,11.952,11.953
6,1.3817,1.3841,1.3709,1.3727,1.3784,1.3762,1.3755,1.3789,1.3787,1.3768,1.3785,1.3781,1.3776,1.378,1.3778,1.3781,1.3779,1.3778,1.3779,1.3778,1.378,1.3778,1.3778
7,0.065293,0.059592,0.059756,0.0603,0.059542,0.059236,0.0587,0.058656,0.059641,0.059077,0.058893,0.058877,0.059407,0.059038,0.059011,0.059001,0.059162,0.059079,0.059087,0.059083,0.059086,0.059105,0.059093
8,0.024524,0.034234,0.031875,0.03125,0.031345,0.031965,0.032401,0.032779,0.031409,0.031733,0.032045,0.032258,0.031233,0.032037,0.031941,0.031865,0.031734,0.03177,0.031734,0.031794,0.031789,0.031778,0.031776
9,-0.00078086,-0.00044152,-0.00034185,5.5383e-05,0.00012342,-0.00014597,0.00056057,0.00078314,0.00023374,0.0012769,0.0010817,0.0003584,0.00074766,0.00068821,0.0015168,0.0013347,0.0014572,0.0015174,0.0017017,0.0016179,0.0016319,0.0017371,0.0015893
10,0.0010396,0.00028232,0.0014437,0.0014844,0.0015705,0.0013348,0.0014063,0.001014,0.0016086,0.00075059,0.0007244,0.0012695,0.0012949,0.0012221,0.0004732,0.00062535,0.00054651,0.00048372,0.00031515,0.00039184,0.00036948,0.00028003,0.00042304
11,0.00010849,4.2932e-05,2.8477e-05,1.9933e-05,2.2509e-05,1.3794e-05,5.0108e-05,5.0616e-05,3.1198e-05,6.2025e-05,5.5552e-05,2.9526e-05,4.4543e-05,3.4755e-05,8.137e-05,7.6608e-05,8.1122e-05,7.9917e-05,9.8372e-05,9.2118e-05,9.2106e-05,9.6624e-05,9.2709e-05
12,7.1071e-05,7.8008e-05,4.1976e-05,4.625e-05,5.1398e-05,4.6248e-05,3.2634e-05,3.404e-05,4.444e-05,2.2518e-05,2.6747e-05,5.1591e-05,4.2299e-05,4.5889e-05,1.893e-05,2.0209e-05,1.9148e-05,2.0344e-05,5.1336e-06,8.5908e-06,7.9918e-06,5.023e-06,7.6718e-06
13,2.8087e-06,3.1864e-06,2.5253e-06,2.0761e-06,2.5074e-06,2.5035e-06,2.2409e-06,1.8946e-06,2.119e-06,5.4345e-07,9.8529e-07,1.8777e-06,1.0464e-06,1.4355e-06,5.5255e-07,6.3092e-07,5.974e-07,6.4347e-07,,,,,
