,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,117.6,116.11,115.99,116.61,116.79,116.71,116.6,116.44,116.25,116.62,116.3,116.75,116.77,116.7,116.83,116.39,116.72,116.69,116.53,116.61,116.7
1,-226.6,-225.15,-225.28,-225.86,-225.91,-225.86,-225.66,-225.59,-225.38,-225.74,-225.45,-225.82,-225.81,-225.76,-225.92,-225.51,-225.8,-225.78,-225.61,-225.71,-225.8
2,-15.015,-14.963,-14.714,-14.771,-14.889,-14.858,-14.954,-14.863,-14.877,-14.896,-14.862,-14.941,-14.96,-14.954,-14.921,-14.892,-14.933,-14.918,-14.919,-14.913,-14.915
3,-0.1935,-0.19024,-0.18363,-0.18496,-0.18643,-0.18611,-0.18792,-0.186,-0.1862,-0.18577,-0.18646,-0.18829,-0.18807,-0.18801,-0.18687,-0.18582,-0.18757,-0.18663,-0.18736,-0.18673,-0.1863
4,-0.00035595,-0.00034611,-0.00033723,-0.00034588,-0.00034273,-0.00034314,-0.0003451,-0.00034125,-0.00034072,-0.00034009,-0.00034265,-0.00034635,-0.00034554,-0.00034549,-0.00034255,-0.00034017,-0.0003437,-0.000342,-0.00034383,-0.00034254,-0.00034133
5,13.91,13.922,13.902,13.932,13.913,13.916,13.912,13.914,13.913,13.913,13.913,13.913,13.913,13.913,13.912,13.912,13.912,13.913,13.913,13.913,13.913
6,1.6332,1.6432,1.6418,1.6275,1.6406,1.6361,1.6386,1.6381,1.6376,1.6386,1.639,1.6384,1.6382,1.6383,1.6391,1.639,1.6391,1.6384,1.6388,1.6388,1.6388
7,0.070788,0.066964,0.070776,0.067852,0.065503,0.065328,0.066532,0.066328,0.066601,0.066597,0.066,0.06669,0.066752,0.065608,0.066334,0.066361,0.066362,0.066295,0.066279,0.066279,0.06636
8,0.037742,0.041569,0.037812,0.040762,0.043419,0.043087,0.042031,0.041804,0.041356,0.041408,0.042286,0.041272,0.041086,0.042674,0.041689,0.041698,0.041664,0.041851,0.041805,0.041732,0.041705
9,5.9489e-05,-0.00039841,-0.00058942,-0.00070631,-0.00048667,-0.0004512,-0.00048707,-3.4435e-05,1.1674e-05,-0.00023857,-0.00029343,-0.00012696,-0.00016492,-7.5786e-05,0.00039331,0.00021068,0.00039099,-3.0156e-05,0.00034188,0.00024904,3.093e-05
10,0.00058346,0.00053222,0.0010207,0.00090281,0.00091814,0.001059,0.001115,0.00084304,0.00081798,0.00097991,0.0009907,0.00092483,0.00094843,0.00091205,0.00046234,0.00063765,0.00045547,0.00086688,0.0004985,0.00059901,0.00081145
11,9.2219e-05,0.00010517,0.00013366,0.00018671,6.9646e-05,7.4709e-05,8.7798e-05,0.00013444,0.00015485,0.00010451,9.0044e-05,0.00014157,0.00012311,0.00012584,0.00019847,0.00019041,0.0001986,0.00014731,0.00019648,0.00019059,0.00016674
12,6.3203e-05,5.1666e-05,8.1267e-05,8.2914e-05,5.5789e-05,5.8028e-05,5.688e-05,3.2154e-05,2.8497e-05,5.1837e-05,5.4658e-05,1.5e-05,3.9216e-05,4.5177e-05,3.5062e-06,3.9134e-06,1.9542e-06,2.3226e-05,1.044e-05,4.7497e-06,9.373e-06
13,2.9624e-06,5.1637e-06,4.0589e-06,3.2343e-06,3.9053e-06,4.8456e-06,4.3445e-06,2.9814e-06,2.7109e-06,4.4203e-06,5.6662e-06,2.8186e-06,3.3104e-06,3.5058e-06,,,,3.3177e-06,2.2718e-06,,
