,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,150.61,152.07,152.96,152.38,152.61,153.41,153.02,153.37,152.95,152.76,153.59,152.04,152.75,152.58,152.61,152.87,152.8,153.01,153.06,152.75,152.98,152.96,152.95,152.61,153.01,152.78,152.94,152.79
1,-288.77,-290.08,-290.68,-290.41,-290.56,-291.24,-290.91,-291.27,-290.82,-290.75,-291.39,-290.03,-290.63,-290.55,-290.56,-290.81,-290.76,-290.96,-290.96,-290.68,-290.91,-290.89,-290.86,-290.56,-290.92,-290.72,-290.86,-290.75
2,-20.916,-21.046,-21.353,-21.04,-21.094,-21.213,-21.157,-21.154,-21.168,-21.067,-21.238,-21.067,-21.166,-21.083,-21.101,-21.108,-21.097,-21.111,-21.152,-21.121,-21.118,-21.113,-21.148,-21.102,-21.133,-21.114,-21.135,-21.095
3,-0.60657,-0.6235,-0.62583,-0.60738,-0.6241,-0.62515,-0.61962,-0.61786,-0.62697,-0.61412,-0.62881,-0.61825,-0.62455,-0.61907,-0.62038,-0.61975,-0.61878,-0.61899,-0.62,-0.61874,-0.62009,-0.61953,-0.62112,-0.61744,-0.62104,-0.61897,-0.61726,-0.61816
4,-0.0091053,-0.0091446,-0.0090179,-0.0089992,-0.0093183,-0.009331,-0.0091172,-0.0090859,-0.0093295,-0.0091371,-0.0093054,-0.0092026,-0.0092377,-0.0091739,-0.0091799,-0.0091974,-0.0091456,-0.0091744,-0.0091852,-0.0091158,-0.0091779,-0.0091616,-0.0091821,-0.0091227,-0.0091928,-0.0091587,-0.0091351,-0.0091544
5,17.855,17.877,17.879,17.837,17.847,17.841,17.838,17.84,17.838,17.841,17.838,17.838,17.838,17.839,17.839,17.838,17.838,17.839,17.838,17.839,17.839,17.839,17.839,17.839,17.839,17.839,17.839,17.839
6,2.1337,2.1375,2.1413,2.1576,2.1496,2.1554,2.1511,2.1501,2.1502,2.151,2.152,2.1519,2.1516,2.1504,2.1507,2.1511,2.151,2.1511,2.1511,2.151,2.1511,2.1511,2.1511,2.1512,2.1508,2.151,2.1511,2.1511
7,0.10503,0.10298,0.10182,0.097998,0.10169,0.10323,0.1038,0.10213,0.10206,0.10139,0.10206,0.10251,0.10246,0.10146,0.10218,0.10178,0.10175,0.10185,0.1019,0.10182,0.10187,0.10184,0.10184,0.10187,0.10196,0.10183,0.10188,0.10188
8,0.020898,0.024437,0.031413,0.042965,0.036217,0.034923,0.036126,0.041198,0.040792,0.036934,0.033671,0.040058,0.040031,0.041773,0.040176,0.041368,0.04113,0.041033,0.041115,0.040961,0.041322,0.04124,0.040019,0.04109,0.041032,0.041386,0.041337,0.041234
9,0.016444,0.016615,0.010044,0.0035992,0.0063118,0.0057618,0.0032984,0.00021962,0.00034315,0.0051414,0.0078204,0.00063025,0.00064449,0.00011647,0.00081517,0.00016334,0.00037415,0.00033231,0.0002672,0.00046914,0.00012273,0.00016397,0.0013846,0.00024487,0.00023246,0.00012068,0.00016045,0.00013627
10,0.00040588,0.00018071,0.0001181,-3.2293e-06,-3.8214e-05,2.7413e-05,9.8867e-05,0.00039756,0.000345,8.9334e-05,7.0494e-05,0.00033738,0.00046223,0.00060736,0.0005202,0.00068518,0.00061779,0.0010459,0.0007294,0.0011777,0.0012224,0.00067822,0.00094363,0.0011378,0.0010548,0.00077352,0.00084614,0.00099716
11,0.00026659,0.00031175,0.00066199,0.00096071,0.0012202,0.0013332,0.0011989,0.0012552,0.0012793,0.0013508,0.0013231,0.0012176,0.0012105,0.0010666,0.001171,0.0010329,0.0011038,0.0006928,0.00099437,0.00056623,0.00045416,0.0010279,0.00075427,0.00059898,0.00068053,0.00090793,0.00076156,0.00071661
12,0.00036439,0.00033934,0.0006523,0.00013482,0.00023356,8.944e-05,0.00020637,3.3179e-05,9.6724e-05,7.3982e-05,5.945e-05,8.4296e-05,2.0422e-05,3.3642e-05,2.7593e-05,1.3196e-05,2.0813e-05,1.0939e-05,1.3582e-05,1.268e-05,1.1692e-05,1.9104e-05,2.6748e-05,1.1339e-05,1.0726e-05,1.2519e-05,1.1222e-05,1.1895e-05
13,1.5548e-05,1.7182e-05,3.1795e-05,4.5513e-05,2.6821e-05,3.1031e-05,1.3152e-05,1.8735e-05,1.1488e-05,1.6573e-05,1.9795e-05,1.166e-05,1.4665e-05,1.9918e-05,1.7148e-05,1.9265e-05,1.7991e-05,1.7717e-05,1.7824e-05,1.8748e-05,1.791e-05,1.8858e-05,1.7546e-05,1.7466e-05,1.5984e-05,1.8463e-05,1.857e-05,1.8714e-05
14,2.079e-05,2.895e-05,2.2003e-05,1.3047e-05,1.0579e-05,5.9125e-06,8.4154e-06,3.5876e-06,6.7648e-06,1.6726e-05,1.6031e-05,5.2628e-06,5.2397e-06,3.1628e-06,3.4305e-06,2.8801e-06,2.9579e-06,2.8799e-06,2.4273e-06,3.8349e-06,4.2465e-06,3.1355e-06,2.7621e-06,2.5541e-06,3.4493e-06,2.9477e-06,2.9979e-06,2.2202e-06
15,7.2622e-06,8.0038e-06,4.8299e-06,3.1055e-06,2.8929e-06,,,,,3.9165e-06,4.1549e-06,,,,,,,,,,,,,,,,,
