,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,228.55,228.18,226.56,228.07,227.85,227.59,227.7,227.55,228.33,227.94,228.21,227.61,227.85,227.8,227.77,227.61,227.9,227.76,227.77,227.61,227.73
1,-293.94,-293.44,-292.0,-293.58,-293.04,-292.93,-292.98,-292.84,-293.6,-293.13,-293.44,-292.87,-293.04,-293.03,-293.03,-292.92,-293.17,-293.05,-293.04,-292.91,-293.0
2,-36.095,-36.263,-36.098,-36.037,-36.322,-36.189,-36.234,-36.205,-36.238,-36.313,-36.274,-36.254,-36.311,-36.276,-36.254,-36.196,-36.244,-36.227,-36.239,-36.209,-36.23
3,-1.6342,-1.6424,-1.6242,-1.6362,-1.6497,-1.64,-1.6474,-1.6624,-1.6491,-1.6575,-1.6549,-1.6543,-1.6622,-1.6533,-1.6528,-1.6482,-1.6496,-1.651,-1.6556,-1.6511,-1.6538
4,-0.019729,-0.019579,-0.019348,-0.019567,-0.019668,-0.019605,-0.019697,-0.019841,-0.019675,-0.019781,-0.019801,-0.019739,-0.019861,-0.019762,-0.019762,-0.019683,-0.019725,-0.019745,-0.019769,-0.019713,-0.019768
5,13.053,13.08,13.088,13.113,13.108,13.098,13.094,13.097,13.101,13.099,13.098,13.101,13.099,13.098,13.1,13.099,13.099,13.099,13.099,13.099,13.099
6,0.58396,0.55616,0.54046,0.53274,0.53482,0.53906,0.5387,0.53884,0.539,0.53873,0.5357,0.5372,0.53808,0.53836,0.53746,0.53756,0.53752,0.53729,0.53749,0.53748,0.53742
7,0.10386,0.10168,0.10321,0.097371,0.099598,0.10251,0.10021,0.10229,0.10129,0.1008,0.101,0.10154,0.10148,0.10117,0.10125,0.10138,0.10116,0.10134,0.10129,0.10116,0.10118
8,0.01069,0.0070166,0.0052473,0.008772,0.0073993,0.0057257,0.0069474,0.0057729,0.0058959,0.0068879,0.0065201,0.0062946,0.0062165,0.0066322,0.0064707,0.0064311,0.0066511,0.0065086,0.0065543,0.0065787,0.0065726
9,0.00085941,0.0012965,0.0009944,0.00030043,0.00046836,0.0003648,0.00052654,0.00045744,0.0009579,0.00031772,0.00042832,0.00037878,0.00046623,0.00036015,0.00037814,0.00035713,0.0003109,0.00033231,0.00033862,0.00036048,0.00035362
10,9.0087e-06,0.00052954,0.00050953,0.00083807,0.0010506,0.00095798,0.0010669,0.0010444,0.001122,0.0010835,0.0010396,0.0010729,0.0010832,0.0010638,0.001075,0.0010688,0.0010403,0.0010614,0.0010179,0.0010769,0.0010616
11,0.00014175,0.00036867,0.00015258,7.9232e-05,5.8132e-05,0.00010665,0.00013488,9.761e-05,7.3269e-05,5.7692e-05,0.00010854,4.5931e-05,8.0999e-05,5.381e-05,6.9648e-05,4.8757e-05,4.9016e-05,4.1077e-05,4.2779e-05,4.598e-05,6.2237e-05
12,0.00016796,0.00012945,0.00016934,0.00019063,0.0001495,0.00016093,0.00013337,0.00012291,0.0001634,0.00016143,0.00014657,0.00014949,0.00015703,0.0001546,0.00015827,0.00014084,0.00015566,0.00014786,0.00015312,0.00015327,0.00015498
13,3.6694e-05,2.1154e-05,1.5216e-05,1.2996e-05,1.5762e-05,3.3366e-06,2.5378e-05,2.299e-05,3.2151e-06,4.7556e-06,7.0873e-06,6.8668e-06,3.1454e-06,5.8887e-06,3.0643e-06,1.4386e-05,2.9041e-06,2.8962e-06,1.908e-06,3.7358e-06,3.1544e-06
14,1.1725e-05,2.257e-05,8.7589e-06,1.1758e-05,8.3348e-06,,6.1928e-06,4.8162e-06,,,,,,,,4.6229e-06,,,,,
15,5.7399e-07,1.9516e-06,,5.4725e-07,,,,,,,,,,,,,,,,,
