,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,9.1425,9.1149,9.3578,9.1184,9.0322,8.936,9.2033,9.0797,9.1351,9.183,9.1903,9.0231,9.1631,9.1146,9.0692,9.0786,9.1356,9.1386,9.1551,9.1337,9.0891,9.1269,9.1244,9.0687,9.1132,9.1224,9.1153
1,-28.32,-28.279,-28.494,-28.285,-28.211,-28.104,-28.356,-28.231,-28.3,-28.34,-28.346,-28.179,-28.316,-28.265,-28.227,-28.234,-28.294,-28.291,-28.31,-28.291,-28.245,-28.287,-28.279,-28.233,-28.273,-28.283,-28.272
2,-1.4736,-1.4529,-1.5031,-1.4696,-1.4551,-1.4642,-1.4794,-1.4817,-1.4684,-1.4753,-1.4773,-1.477,-1.4804,-1.4822,-1.4751,-1.4774,-1.4744,-1.48,-1.4782,-1.4754,-1.4764,-1.473,-1.4782,-1.4682,-1.4732,-1.4725,-1.4764
3,-0.0031656,-0.0034759,-0.0036086,-0.0034279,-0.0034192,-0.0034309,-0.003559,-0.0034967,-0.0034088,-0.0034976,-0.0034689,-0.0035397,-0.003491,-0.0035095,-0.0034808,-0.0034822,-0.0034706,-0.0035016,-0.0034885,-0.0034876,-0.0034938,-0.0034743,-0.0034914,-0.0034399,-0.0034631,-0.0034671,-0.0034843
4,-1.0929e-07,-1.2525e-07,-1.3905e-07,-1.231e-07,-1.2319e-07,-1.2532e-07,-1.328e-07,-1.2784e-07,-1.2515e-07,-1.3035e-07,-1.2859e-07,-1.306e-07,-1.2733e-07,-1.2831e-07,-1.283e-07,-1.2746e-07,-1.278e-07,-1.2896e-07,-1.2777e-07,-1.277e-07,-1.2744e-07,-1.2774e-07,-1.2728e-07,-1.2609e-07,-1.2555e-07,-1.2625e-07,-1.2812e-07
5,2.6138,2.5761,2.6053,2.6017,2.5992,2.5981,2.5971,2.5994,2.5975,2.598,2.5978,2.5972,2.5978,2.5976,2.5976,2.5975,2.5975,2.5977,2.5976,2.5977,2.5977,2.5976,2.5976,2.5976,2.5976,2.5977,2.5977
6,0.13118,0.12663,0.1301,0.12765,0.12801,0.12907,0.129,0.12842,0.12969,0.12914,0.12887,0.12925,0.12925,0.12947,0.12957,0.12893,0.12906,0.1292,0.12916,0.12921,0.1292,0.12921,0.12923,0.12924,0.12922,0.12917,0.12922
7,0.021533,0.023099,0.021891,0.021889,0.022418,0.021423,0.021785,0.020933,0.021848,0.021395,0.02152,0.021641,0.021637,0.021602,0.021562,0.021701,0.021628,0.021559,0.021616,0.021458,0.021529,0.021628,0.021573,0.021607,0.021596,0.021525,0.021518
8,0.00074186,-0.00022501,0.00055882,0.00054484,0.00014833,0.00082933,0.00063731,0.0012102,0.00060557,0.00090632,0.00076573,0.00074691,0.00072436,0.0007701,0.00080344,0.00069567,0.00074081,0.00079373,0.00075578,0.00087193,0.00081755,0.00074582,0.00078854,0.00076022,0.00076846,0.00081834,0.00082393
9,0.00010978,0.00013999,0.00016438,0.0001446,0.00015522,0.00016467,0.00016301,0.00015433,0.00017014,0.00016558,0.00016194,0.00016472,0.00016793,0.00017151,0.00017131,0.00016702,0.00016947,0.00016968,0.00016857,0.00016888,0.00017029,0.000171,0.0001702,0.00017144,0.00017035,0.00016907,0.00016898
10,6.0892e-06,6.003e-06,4.3381e-06,1.4954e-06,2.2341e-06,2.988e-06,6.2068e-06,8.597e-06,2.5174e-06,3.5654e-06,2.7958e-06,4.2925e-06,2.9752e-06,5.1687e-06,4.7138e-06,2.5326e-06,3.8415e-06,2.9874e-06,4.6519e-06,3.7265e-06,5.7819e-06,4.1171e-06,5.7318e-06,3.3315e-06,5.1068e-06,5.6774e-06,5.7678e-06
