,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,50.477,50.473,50.292,50.11,50.391,50.421,50.399,50.226,50.156,50.478,50.47,50.47,50.409,50.409,50.445,50.333,50.31,50.204,50.406,50.28,50.424,50.379,50.48,50.472,50.275,50.347,50.361,50.348,50.395,50.354,50.363,50.404
1,-82.245,-82.693,-82.342,-82.221,-82.454,-82.588,-82.513,-82.382,-82.316,-82.469,-82.592,-82.544,-82.497,-82.473,-82.507,-82.446,-82.433,-82.331,-82.494,-82.373,-82.492,-82.458,-82.537,-82.554,-82.378,-82.45,-82.455,-82.452,-82.47,-82.444,-82.463,-82.495
2,-9.3255,-8.9064,-9.0521,-8.9965,-9.0583,-8.9525,-9.0051,-8.9663,-8.9619,-9.125,-8.9991,-9.0452,-9.0303,-9.0546,-9.0558,-9.0081,-8.9979,-8.9929,-9.0314,-9.0264,-9.0499,-9.04,-9.061,-9.0368,-9.0165,-9.016,-9.0257,-9.0153,-9.0435,-9.0286,-9.0203,-9.0276
3,-0.16681,-0.14733,-0.15941,-0.15271,-0.15377,-0.15072,-0.15254,-0.15042,-0.15069,-0.15747,-0.15098,-0.15359,-0.15382,-0.15373,-0.15463,-0.15205,-0.15214,-0.15253,-0.15298,-0.15343,-0.15452,-0.15365,-0.15431,-0.15344,-0.15283,-0.15284,-0.15282,-0.15271,-0.15372,-0.15321,-0.15255,-0.15318
4,-0.00032145,-0.00027146,-0.00029941,-0.00028344,-0.0002831,-0.00028236,-0.00028602,-0.00027999,-0.00027887,-0.00029279,-0.00028039,-0.0002856,-0.00028645,-0.00028615,-0.00028837,-0.00028271,-0.00028351,-0.00028401,-0.00028445,-0.00028585,-0.00028748,-0.00028625,-0.00028739,-0.00028576,-0.00028412,-0.00028389,-0.00028464,-0.00028391,-0.00028568,-0.00028501,-0.00028341,-0.00028443
5,5.179,5.2109,5.1943,5.214,5.1974,5.193,5.1985,5.1967,5.198,5.1997,5.1992,5.1997,5.1988,5.1984,5.198,5.1985,5.1983,5.1981,5.1985,5.1982,5.1984,5.1983,5.1983,5.1984,5.1983,5.1985,5.1984,5.1984,5.1984,5.1983,5.1985,5.1984
6,0.23225,0.24666,0.24865,0.24399,0.26093,0.26141,0.25662,0.25756,0.2576,0.25606,0.2556,0.25671,0.25619,0.25753,0.25721,0.25697,0.25672,0.25705,0.25665,0.25629,0.25666,0.2566,0.25665,0.25665,0.25666,0.25651,0.25656,0.25656,0.25659,0.25663,0.25657,0.2566
7,0.041545,0.042286,0.040019,0.040261,0.043434,0.041206,0.041599,0.042059,0.04242,0.041779,0.042245,0.042537,0.041412,0.041614,0.041882,0.042268,0.042019,0.041828,0.041913,0.042,0.042062,0.042024,0.041964,0.041879,0.041936,0.041863,0.041935,0.041923,0.041876,0.041963,0.041919,0.041853
8,0.00066491,0.00085996,0.0021427,0.0016336,0.00067653,0.0023394,0.0018136,0.0014355,0.0012331,0.0015903,0.0013262,0.0012145,0.0018788,0.0018572,0.0016029,0.0013233,0.0014775,0.0016232,0.0015656,0.0015069,0.0014569,0.0014972,0.0015382,0.0016061,0.0015595,0.001605,0.0015612,0.001569,0.0015765,0.0015507,0.0015637,0.0015915
9,6.4516e-05,-8.9165e-06,2.149e-05,3.2387e-05,6.2825e-05,0.0001312,0.00012076,0.00016533,0.0001195,2.9634e-05,0.00012317,0.00013772,3.0851e-05,0.00016198,0.00013116,0.00020284,0.00010473,0.00015948,0.00013197,0.00019182,0.00019181,0.00018579,0.00011253,0.00019158,0.0001915,0.0001888,0.00017975,0.00018348,0.0001877,0.00018933,0.00018878,0.00019512
10,0.00019933,0.00013893,0.00022986,0.000209,0.00014693,4.9902e-05,8.2344e-05,3.287e-05,9.5428e-05,0.00018127,8.7794e-05,8.4773e-05,0.00016836,3.4038e-05,7.7494e-05,1.4873e-05,0.00010613,4.8059e-05,7.2073e-05,1.6687e-05,1.8875e-05,2.2177e-05,9.4658e-05,1.4276e-05,1.5696e-05,1.4672e-05,2.4431e-05,2.0675e-05,1.8857e-05,1.572e-05,1.733e-05,1.9058e-05
11,1.4455e-05,8.9409e-06,2.7538e-05,2.334e-05,2.0247e-05,2.4511e-05,2.5927e-05,2.9494e-05,2.8403e-05,2.2023e-05,2.6941e-05,2.7033e-05,2.2382e-05,2.731e-05,2.7344e-05,2.6796e-05,2.6601e-05,2.8697e-05,2.8997e-05,2.7722e-05,2.8278e-05,2.8122e-05,2.8494e-05,2.5942e-05,2.7805e-05,2.7154e-05,2.8109e-05,2.7903e-05,2.8389e-05,2.7742e-05,2.7436e-05,2.0507e-05
12,4.8281e-06,,1.0936e-07,4.2183e-08,3.6592e-06,-4.7738e-07,9.3062e-07,-8.4635e-07,3.9653e-07,2.1302e-06,8.2189e-07,-3.0446e-07,3.1129e-06,-2.2249e-08,8.8221e-07,-8.623e-07,1.5576e-06,-1.7742e-06,-1.1397e-07,-5.0628e-07,-2.8727e-07,-1.1449e-06,-6.7395e-08,-1.1769e-06,-5.9387e-07,-7.9902e-07,-3.1571e-07,-2.7023e-07,-1.6635e-06,-8.6199e-07,-2.2664e-06,-2.6679e-06
