,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,130.71,130.13,130.08,131.85,130.61,129.31,130.06,130.45,130.29,129.92,130.11,130.65,129.83,129.86,130.26,130.44,130.28,130.27,130.39,130.19,130.07,130.15,130.49,130.34,130.34,130.25,130.15,130.35,130.07,130.22,130.38,130.15,130.34,130.27,130.29
1,-178.46,-178.15,-178.12,-179.66,-178.59,-177.49,-178.12,-178.64,-178.2,-177.94,-178.16,-178.62,-177.95,-178.06,-178.25,-178.41,-178.29,-178.29,-178.42,-178.25,-178.08,-178.21,-178.47,-178.32,-178.39,-178.28,-178.19,-178.35,-178.12,-178.25,-178.37,-178.17,-178.34,-178.28,-178.28
2,-23.585,-23.353,-23.319,-23.534,-23.397,-23.216,-23.324,-23.207,-23.467,-23.359,-23.336,-23.409,-23.273,-23.194,-23.404,-23.407,-23.368,-23.369,-23.357,-23.329,-23.375,-23.319,-23.403,-23.404,-23.332,-23.362,-23.346,-23.375,-23.342,-23.351,-23.386,-23.366,-23.373,-23.376,-23.39
3,-0.85615,-0.8371,-0.82613,-0.84878,-0.8409,-0.83303,-0.82722,-0.8181,-0.84613,-0.84259,-0.83212,-0.84323,-0.82745,-0.82856,-0.83406,-0.83809,-0.83822,-0.83598,-0.83037,-0.83112,-0.83823,-0.83379,-0.83747,-0.83903,-0.8366,-0.83578,-0.83451,-0.83789,-0.8345,-0.83728,-0.83853,-0.83842,-0.83759,-0.8398,-0.83617
4,-0.0064191,-0.0062973,-0.006195,-0.006329,-0.0062319,-0.0062386,-0.0061267,-0.0061333,-0.0062798,-0.0062486,-0.0061481,-0.006285,-0.0061383,-0.0061678,-0.0062013,-0.0062334,-0.0062219,-0.0062151,-0.0061751,-0.00618,-0.0062363,-0.0061934,-0.0062099,-0.006225,-0.0062178,-0.0062043,-0.0062067,-0.006229,-0.006206,-0.0062205,-0.0062384,-0.0062315,-0.006223,-0.0062418,-0.0062095
5,9.0376,9.1266,9.0577,9.0616,9.1249,9.1389,9.1412,9.1449,9.1285,9.1424,9.1274,9.1292,9.1276,9.1292,9.1277,9.1291,9.129,9.1283,9.1292,9.1286,9.1292,9.1291,9.1283,9.1287,9.1292,9.1283,9.1285,9.1285,9.1284,9.1286,9.1286,9.1285,9.1284,9.1285,9.1285
6,0.45113,0.4123,0.43721,0.44558,0.41934,0.4155,0.41574,0.41498,0.42355,0.41703,0.42296,0.4217,0.4221,0.41999,0.42185,0.42082,0.42065,0.42136,0.42092,0.42101,0.42076,0.42087,0.42118,0.42093,0.42081,0.42107,0.4212,0.42111,0.42108,0.42104,0.42101,0.42105,0.42102,0.42103,0.42103
7,0.075878,0.0701,0.073719,0.07204,0.071544,0.070631,0.068905,0.068903,0.071515,0.069896,0.070398,0.070309,0.070779,0.069743,0.070275,0.070367,0.07034,0.070587,0.070283,0.07036,0.070336,0.070275,0.070453,0.070317,0.070234,0.070582,0.070488,0.070458,0.070509,0.070413,0.070454,0.070495,0.070545,0.070462,0.070471
8,0.00054317,0.0016575,0.0011788,0.0020698,0.0013099,0.0020697,0.0025281,0.0023682,0.0012454,0.0021015,0.0018112,0.0018879,0.0016069,0.0021568,0.0019429,0.0018279,0.0018335,0.001699,0.0018304,0.0018971,0.0018237,0.0018611,0.0017396,0.0018377,0.0018559,0.0017162,0.001736,0.0017219,0.0017244,0.0017968,0.0018051,0.0017398,0.0017447,0.0017303,0.0017333
9,0.00012165,3.3385e-05,-4.959e-05,3.7666e-05,0.00026114,1.7174e-05,0.0001022,0.00043067,0.00010541,5.9629e-05,0.00033366,0.00033184,0.00013393,0.00028902,9.7578e-05,0.00021899,0.00023968,0.0003392,0.0003372,0.00010714,0.00030038,0.00015011,0.00018431,0.00013323,0.00026892,0.00016822,0.00025418,0.00014882,0.00025202,0.00028526,0.00025236,0.00017123,0.00020907,0.00030341,0.00026882
