,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,112.43,114.11,113.11,113.93,113.21,113.15,113.14,113.4,113.42,113.37,113.02,113.25,113.19,113.1,113.33,113.15,113.17,112.95,113.21,113.15
1,-240.35,-241.93,-241.15,-241.81,-241.15,-241.03,-241.03,-241.3,-241.3,-241.25,-240.95,-241.17,-241.1,-241.02,-241.23,-241.07,-241.08,-240.88,-241.12,-241.07
2,-8.9453,-9.0662,-8.8947,-9.0677,-8.9856,-9.0437,-9.0374,-9.0322,-9.05,-9.0439,-8.9962,-9.0096,-9.0178,-9.0066,-9.0168,-9.0031,-9.0161,-9.0013,-9.0173,-9.0082
3,-0.050825,-0.051265,-0.049654,-0.051381,-0.050578,-0.051017,-0.050933,-0.050975,-0.051065,-0.050907,-0.050484,-0.050734,-0.050787,-0.050679,-0.050776,-0.050593,-0.050811,-0.050625,-0.050816,-0.050746
4,-0.00025694,-0.00026045,-0.00025492,-0.00026134,-0.00025895,-0.00026084,-0.00025979,-0.00026005,-0.00026076,-0.00025991,-0.00025835,-0.00025916,-0.00025942,-0.0002587,-0.00025934,-0.00025878,-0.00025939,-0.00025887,-0.00025948,-0.00025913
5,4.8854,4.9155,4.9192,4.9262,4.9187,4.9155,4.9181,4.9203,4.9172,4.9182,4.9163,4.9184,4.9183,4.9189,4.9188,4.9178,4.9184,4.9179,4.9182,4.9178
6,1.8943,1.954,1.9043,1.939,1.9336,1.9316,1.9377,1.9375,1.9369,1.9348,1.9364,1.9333,1.9323,1.9354,1.9344,1.9349,1.9351,1.9351,1.9346,1.9354
7,0.0040534,0.0055807,0.0063824,0.0032954,0.0027149,-0.0021784,0.00063359,0.00037192,0.0044243,0.002615,0.0027215,0.0019473,0.0035921,0.0019237,0.0023731,0.0029329,0.0021757,0.0020053,0.0032825,0.0023028
8,0.0083593,0.0061683,0.0053587,0.0086077,0.0090728,0.014128,0.011181,0.011524,0.00736,0.0091404,0.0090032,0.0098269,0.0081391,0.0098637,0.0093929,0.0087978,0.0095932,0.0097725,0.0084402,0.0094654
9,-2.2299e-05,-3.1516e-05,-2.8883e-05,-6.8722e-05,-7.0251e-05,-0.00010785,-8.2919e-05,-8.3179e-05,-5.8703e-05,-7.2377e-05,-7.005e-05,-7.4041e-05,-6.4843e-05,-7.6354e-05,-7.1869e-05,-6.8186e-05,-7.2316e-05,-7.4744e-05,-6.6465e-05,-7.203e-05
10,1.3794e-05,1.687e-05,9.9552e-06,1.6542e-05,1.4684e-05,2.5148e-05,1.3819e-05,1.6695e-05,1.3324e-05,1.6479e-05,1.6068e-05,1.5284e-05,1.6009e-05,1.711e-05,1.6055e-05,1.5855e-05,1.6363e-05,1.7189e-05,1.6029e-05,1.655e-05
11,5.8013e-06,-1.6373e-07,,6.2894e-07,2.019e-06,-2.4656e-06,2.3408e-06,-1.6219e-06,-8.0592e-08,-9.7938e-07,-8.8726e-07,3.0658e-07,-8.3007e-07,-8.7864e-07,-7.9162e-07,-1.4955e-06,-2.1977e-06,-2.5026e-06,-1.1997e-06,-2.0358e-06
