,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,118.71,120.78,120.08,120.51,121.83,120.62,120.2,120.63,120.79,120.24,120.64,120.32,120.58,120.21,120.54,120.39,120.65,120.27,120.36,120.39,120.28,120.39,120.2,120.4,120.4,120.37,120.34,120.27
1,-259.22,-261.0,-260.34,-260.79,-261.94,-260.84,-260.43,-260.83,-260.98,-260.48,-260.88,-260.57,-260.77,-260.47,-260.77,-260.62,-260.87,-260.53,-260.6,-260.63,-260.5,-260.63,-260.48,-260.65,-260.64,-260.61,-260.57,-260.51
2,-10.188,-10.375,-10.303,-10.355,-10.502,-10.391,-10.389,-10.412,-10.424,-10.371,-10.369,-10.363,-10.412,-10.356,-10.378,-10.372,-10.39,-10.346,-10.373,-10.364,-10.381,-10.37,-10.326,-10.363,-10.369,-10.369,-10.372,-10.365
3,-0.06431,-0.066035,-0.06498,-0.065988,-0.06771,-0.066473,-0.066514,-0.066804,-0.066988,-0.066362,-0.066369,-0.066342,-0.066691,-0.066171,-0.066371,-0.066228,-0.066543,-0.06614,-0.066394,-0.06628,-0.066432,-0.066274,-0.065796,-0.066211,-0.066313,-0.066293,-0.066429,-0.066259
4,-0.00030936,-0.00031579,-0.0003139,-0.00031427,-0.00032245,-0.0003176,-0.00031824,-0.00031901,-0.00031953,-0.00031732,-0.00031726,-0.00031716,-0.00031862,-0.00031611,-0.00031722,-0.00031696,-0.00031817,-0.00031673,-0.00031752,-0.00031731,-0.00031755,-0.0003172,-0.00031552,-0.00031689,-0.00031709,-0.00031739,-0.00031756,-0.00031674
5,5.3893,5.415,5.4037,5.4175,5.4061,5.4093,5.4066,5.4081,5.4076,5.4096,5.4059,5.4075,5.4076,5.4079,5.4089,5.4075,5.4069,5.4082,5.4075,5.4073,5.4075,5.4079,5.4078,5.4077,5.4078,5.4079,5.4074,5.4077
6,2.0627,2.1088,2.0969,2.149,2.1472,2.1237,2.1342,2.1267,2.1298,2.1267,2.1364,2.1268,2.1303,2.1298,2.1286,2.1308,2.1304,2.1301,2.1306,2.1311,2.1303,2.1301,2.1304,2.1304,2.1306,2.1301,2.1307,2.1303
7,0.011311,0.012634,0.0066324,-0.0058204,0.008156,0.0073786,0.0059444,0.0036348,0.0062834,0.0060837,0.003556,0.0045069,0.0038041,0.0041071,0.0033044,0.003292,0.0038722,0.0033671,0.0038315,0.0031165,0.0039233,0.0038057,0.0033768,0.003594,0.003518,0.0036674,0.0035725,0.0035658
8,0.0019757,0.0010695,0.0063695,0.019682,0.0050028,0.0057009,0.0071215,0.0096067,0.0068107,0.0070196,0.0096495,0.0086655,0.00943,0.0090826,0.0099449,0.0099048,0.0092964,0.0098445,0.0093518,0.010084,0.0092472,0.0093869,0.0098266,0.0096105,0.0096871,0.0095301,0.0096152,0.0096391
9,-1.5312e-05,-2.2834e-05,-3.6013e-05,-0.00010528,-4.2581e-05,-4.3974e-05,-5.4859e-05,-6.4633e-05,-4.7888e-05,-4.7612e-05,-6.6427e-05,-5.6685e-05,-6.3758e-05,-6.1159e-05,-6.3092e-05,-6.1468e-05,-6.0378e-05,-6.2125e-05,-5.9881e-05,-6.4734e-05,-6.0313e-05,-6.0843e-05,-6.2937e-05,-6.1244e-05,-6.1945e-05,-6.1245e-05,-6.2763e-05,-6.1959e-05
10,5.2529e-06,6.4919e-06,6.0172e-06,1.0302e-05,9.0414e-06,9.2499e-06,1.0297e-05,1.0937e-05,8.6592e-06,9.149e-06,1.1773e-05,1.1309e-05,1.0701e-05,1.2326e-05,1.3571e-05,1.17e-05,1.2177e-05,1.2332e-05,1.297e-05,1.3751e-05,1.1957e-05,1.3359e-05,1.2614e-05,1.3835e-05,1.3071e-05,1.3431e-05,1.4191e-05,1.3824e-05
11,,,,5.3834e-06,,,4.4798e-06,4.8841e-06,,,2.7148e-06,1.4979e-06,2.6985e-06,1.526e-06,3.9933e-07,1.7498e-06,1.0928e-06,1.0268e-06,1.7695e-07,1.5917e-07,1.4611e-06,-7.652e-08,9.0747e-07,-8.6571e-07,1.2422e-07,5.2456e-08,-1.0651e-06,-4.6283e-07
