,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,63.044,62.877,62.592,63.556,63.775,62.881,62.623,62.904,62.917,63.641,62.824,62.992,63.168,62.875,63.088,62.946,63.258,63.346,63.108,63.214,63.08,63.289,63.084,63.016,63.148,62.915,63.149,63.031,63.142,63.119,63.168,63.116,63.131,63.132
1,-100.84,-100.55,-100.29,-101.3,-101.47,-100.66,-100.37,-100.66,-100.65,-101.34,-100.58,-100.74,-100.91,-100.63,-100.82,-100.7,-101.0,-101.09,-100.86,-100.96,-100.83,-101.03,-100.83,-100.77,-100.89,-100.67,-100.89,-100.78,-100.89,-100.87,-100.91,-100.86,-100.87,-100.88
2,-3.3355,-3.3999,-3.3743,-3.3188,-3.389,-3.3026,-3.342,-3.3378,-3.357,-3.3847,-3.3368,-3.3402,-3.346,-3.3327,-3.3543,-3.3308,-3.3455,-3.3401,-3.3332,-3.3458,-3.3414,-3.3495,-3.3394,-3.3361,-3.3492,-3.3364,-3.3436,-3.3389,-3.3425,-3.3382,-3.3428,-3.3489,-3.3475,-3.3427
3,-0.004893,-0.0050683,-0.0048247,-0.0048403,-0.0051603,-0.0048475,-0.0049276,-0.0049417,-0.0049359,-0.0049625,-0.0048801,-0.0049148,-0.0048823,-0.0048624,-0.0049513,-0.0048718,-0.0049077,-0.0049004,-0.0048808,-0.0049253,-0.0049041,-0.0049165,-0.0049063,-0.0048884,-0.0049288,-0.004901,-0.0049014,-0.0049079,-0.0048973,-0.0048876,-0.0049003,-0.0049299,-0.004915,-0.0049077
4,-1.087e-06,-1.1083e-06,-1.0883e-06,-1.0767e-06,-1.1666e-06,-1.0817e-06,-1.0992e-06,-1.0991e-06,-1.0981e-06,-1.1091e-06,-1.0888e-06,-1.0967e-06,-1.0927e-06,-1.0896e-06,-1.1063e-06,-1.0893e-06,-1.0944e-06,-1.0934e-06,-1.0896e-06,-1.1008e-06,-1.0942e-06,-1.0985e-06,-1.0945e-06,-1.0931e-06,-1.1021e-06,-1.0952e-06,-1.0944e-06,-1.0975e-06,-1.0943e-06,-1.0925e-06,-1.0936e-06,-1.1026e-06,-1.0986e-06,-1.0966e-06
5,1.4875,1.4859,1.4835,1.4732,1.4776,1.4805,1.4782,1.4774,1.4784,1.4782,1.479,1.4785,1.4783,1.4797,1.4786,1.4786,1.4784,1.4782,1.4784,1.4785,1.4781,1.4782,1.4783,1.4785,1.4777,1.4782,1.4783,1.4788,1.4783,1.4783,1.4783,1.4785,1.4783,1.4783
6,0.58343,0.5821,0.57938,0.57316,0.57719,0.57668,0.58132,0.57829,0.57843,0.57856,0.57518,0.57624,0.57815,0.57601,0.57792,0.5775,0.57808,0.57848,0.57793,0.57829,0.57815,0.57825,0.57817,0.57792,0.5786,0.57834,0.57813,0.5776,0.57824,0.57812,0.57812,0.57804,0.57815,0.57812
7,-0.003388,0.0018268,-0.0002354,0.0013174,0.0027967,0.0013432,0.0020888,0.0024435,0.0022846,0.0020504,0.0013544,0.0014712,0.0016653,0.001511,0.0012492,0.001139,0.0015924,0.0013993,0.001441,0.0015042,0.0014914,0.0014817,0.0015322,0.0015741,0.0014499,0.0013473,0.0014725,0.001457,0.0014655,0.0014425,0.0014602,0.0014211,0.0014675,0.0014577
8,0.0066297,0.0012702,0.0034785,0.0017236,0.00030686,0.0017458,0.00091042,0.00061004,0.00075514,0.0010167,0.0017097,0.001548,0.0013809,0.001553,0.0017961,0.0019084,0.0014531,0.0016427,0.0016073,0.0015376,0.0015532,0.0015702,0.0015147,0.0014539,0.0015818,0.0017115,0.0015726,0.0015861,0.0015781,0.0016047,0.0015836,0.0016288,0.0015771,0.0015868
9,-1.9478e-05,-7.0033e-06,-5.4251e-06,3.535e-06,-5.8649e-07,-4.3767e-06,2.9162e-07,-1.3233e-08,9.9857e-07,-1.0098e-06,-8.3957e-07,7.2864e-07,-3.3808e-07,-1.8216e-06,4.994e-07,-1.2116e-06,-4.0062e-07,-1.8823e-06,-1.2183e-06,-3.3735e-07,-9.3999e-07,-7.3959e-07,-1.2061e-06,4.7126e-07,4.4108e-07,-2.0995e-06,-7.1659e-07,-4.3948e-07,-5.7331e-07,-4.768e-07,-5.972e-07,-9.0585e-07,-6.5835e-07,-7.3175e-07
10,7.2192e-06,,1.1547e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
