,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,72.165,73.227,73.634,74.007,74.001,73.674,73.589,73.617,73.655,73.884,73.563,73.97,73.785,73.582,73.743,73.84,73.471,73.704,73.81,73.804,73.893,73.884,73.884,73.733,73.735,73.856,73.855,73.764,73.705,73.83,73.79,73.797
1,-122.98,-123.9,-124.45,-124.76,-124.75,-124.47,-124.35,-124.39,-124.4,-124.65,-124.34,-124.73,-124.52,-124.34,-124.5,-124.6,-124.24,-124.46,-124.56,-124.56,-124.64,-124.64,-124.63,-124.49,-124.49,-124.61,-124.6,-124.52,-124.46,-124.58,-124.55,-124.55
2,-3.9464,-4.0871,-3.9577,-4.0248,-4.025,-3.9875,-4.0239,-4.0048,-4.0373,-4.019,-3.9999,-4.0208,-4.0465,-4.0217,-4.0251,-4.0282,-4.013,-4.0236,-4.0335,-4.0296,-4.0384,-4.0302,-4.0374,-4.0269,-4.0272,-4.0268,-4.0358,-4.0295,-4.0293,-4.037,-4.0267,-4.0296
3,-0.0076426,-0.0080057,-0.0076468,-0.0076748,-0.007654,-0.0076886,-0.0077127,-0.0076472,-0.007764,-0.0077113,-0.0076577,-0.0076953,-0.0078589,-0.0077675,-0.007729,-0.0076889,-0.0077152,-0.0077412,-0.0077718,-0.0077432,-0.0077538,-0.0077252,-0.0077664,-0.007745,-0.0077241,-0.0077305,-0.0077508,-0.0077546,-0.0077369,-0.0077669,-0.0077457,-0.007759
4,-2.8591e-06,-2.9841e-06,-2.9385e-06,-2.8877e-06,-2.9111e-06,-2.9409e-06,-2.9201e-06,-2.9057e-06,-2.9456e-06,-2.9451e-06,-2.9263e-06,-2.9369e-06,-3.0036e-06,-2.9539e-06,-2.9511e-06,-2.9235e-06,-2.9415e-06,-2.9551e-06,-2.9661e-06,-2.948e-06,-2.9508e-06,-2.9381e-06,-2.9604e-06,-2.952e-06,-2.9378e-06,-2.9413e-06,-2.9504e-06,-2.9521e-06,-2.9507e-06,-2.9562e-06,-2.9526e-06,-2.962e-06
5,1.9672,1.9739,1.975,1.9713,1.9669,1.9695,1.9716,1.9718,1.9699,1.9681,1.9687,1.9694,1.9701,1.9701,1.9702,1.9702,1.97,1.9702,1.9698,1.9704,1.97,1.9701,1.9699,1.9701,1.97,1.9701,1.9699,1.9701,1.97,1.9701,1.97,1.97
6,0.79719,0.78207,0.79123,0.77246,0.78064,0.77094,0.77115,0.76874,0.77331,0.77363,0.77063,0.77293,0.77276,0.77162,0.77223,0.77179,0.7721,0.77247,0.77215,0.7718,0.77228,0.77218,0.77255,0.77223,0.77233,0.77216,0.77264,0.77219,0.77226,0.77219,0.77224,0.77222
7,0.0019693,0.001164,0.0022227,0.0027928,0.0023433,0.0022573,0.0021228,0.0012197,0.0020354,0.00097375,0.0018736,0.0017468,0.0011079,0.0013004,0.0013672,0.0013194,0.0013494,0.0011494,0.0012022,0.0015643,0.0013157,0.0012493,0.0012646,0.0012467,0.0012677,0.0012492,0.0012273,0.0013056,0.0012431,0.0012879,0.0012846,0.0012761
8,0.0016447,0.002915,0.0015117,0.0008929,0.0013182,0.0014436,0.0016045,0.0024964,0.0016729,0.0026773,0.0017647,0.0018902,0.0025844,0.002381,0.0023106,0.0023581,0.002315,0.0025378,0.0024789,0.0021011,0.0023581,0.0024418,0.002422,0.0024376,0.0024082,0.0024386,0.0024636,0.0023691,0.002438,0.0023889,0.0024013,0.0023993
9,-9.9873e-06,-1.475e-05,-6.5551e-06,-6.5938e-06,3.4329e-06,-4.9133e-06,-6.6952e-06,-6.3852e-06,-2.1975e-06,-1.2233e-05,-2.4379e-06,-3.7819e-06,-5.4545e-06,-5.9491e-06,-5.6492e-06,-5.6524e-06,-4.4187e-06,-4.6243e-06,-7.0482e-06,-5.9878e-06,-4.1788e-06,-5.4215e-06,-5.0058e-06,-4.7325e-06,-5.8842e-06,-5.0622e-06,-7.9037e-06,-5.6935e-06,-4.3018e-06,-5.1364e-06,-5.6471e-06,-5.4445e-06
10,,7.6597e-07,,,,,,2.1788e-06,,3.2856e-06,,,2.6131e-06,2.1989e-06,2.4136e-06,2.1062e-06,1.8833e-06,2.1314e-06,1.977e-06,1.8373e-06,1.9478e-06,2.2061e-06,2.2236e-06,2.1333e-06,2.0585e-06,2.2236e-06,2.0409e-06,1.9828e-06,2.1873e-06,1.956e-06,2.0197e-06,1.9785e-06
