,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,94.24,93.995,93.547,94.336,93.218,93.824,93.196,93.034,93.865,93.978,93.46,93.778,94.001,93.803,93.696,93.543,93.768,93.549,93.493,93.653,93.496,93.606,93.733,93.793,93.719,93.776,93.966,93.646,93.866,93.648,93.595,93.763,93.644
1,-183.75,-183.47,-183.02,-183.8,-182.83,-183.39,-182.81,-182.64,-183.43,-183.52,-183.06,-183.35,-183.57,-183.37,-183.28,-183.13,-183.33,-183.12,-183.08,-183.23,-183.06,-183.19,-183.31,-183.36,-183.29,-183.35,-183.53,-183.22,-183.42,-183.22,-183.17,-183.34,-183.22
2,-6.33,-6.2136,-6.2743,-6.3119,-6.2432,-6.282,-6.2388,-6.2556,-6.2991,-6.3126,-6.2558,-6.2798,-6.2851,-6.2889,-6.2772,-6.2673,-6.2954,-6.2848,-6.2729,-6.2781,-6.2882,-6.2764,-6.2794,-6.2877,-6.2828,-6.2856,-6.2909,-6.2865,-6.3008,-6.2802,-6.2812,-6.2845,-6.2834
3,-0.026919,-0.026871,-0.026729,-0.027055,-0.026691,-0.02678,-0.026479,-0.026639,-0.026995,-0.026912,-0.026645,-0.026819,-0.026871,-0.026813,-0.026824,-0.026715,-0.026936,-0.026876,-0.026722,-0.026814,-0.026884,-0.026742,-0.02681,-0.026826,-0.026826,-0.026829,-0.026832,-0.026841,-0.026947,-0.026806,-0.02679,-0.026815,-0.026789
4,-0.00013914,-0.00014127,-0.00013771,-0.00014047,-0.00013905,-0.00013871,-0.00013767,-0.00013813,-0.00013977,-0.00013965,-0.00013818,-0.00013955,-0.00013938,-0.00013901,-0.00013912,-0.00013855,-0.00013944,-0.00013942,-0.0001385,-0.00013923,-0.00013939,-0.0001387,-0.00013909,-0.00013902,-0.00013916,-0.00013932,-0.00013922,-0.00013921,-0.0001397,-0.00013901,-0.00013893,-0.00013912,-0.00013889
5,3.4224,3.42,3.4479,3.4286,3.4425,3.4529,3.4442,3.4488,3.4478,3.4447,3.444,3.4397,3.4433,3.4432,3.4449,3.4432,3.4445,3.4434,3.4431,3.4432,3.444,3.4433,3.4441,3.4434,3.4427,3.4436,3.4434,3.4436,3.4433,3.4424,3.4435,3.4433,3.4435
6,1.3648,1.3366,1.3472,1.3586,1.3544,1.363,1.3553,1.3493,1.3505,1.351,1.3562,1.361,1.3554,1.3552,1.3565,1.3549,1.3546,1.3584,1.3549,1.3548,1.3554,1.3551,1.3548,1.3549,1.3555,1.3545,1.3548,1.3547,1.3556,1.356,1.3547,1.3548,1.3555
7,0.00019644,0.0015086,-0.0057841,-2.456e-05,-0.0016542,0.0015941,0.00017482,-0.0031842,-0.00044321,0.0027338,0.00035887,-0.00040619,0.0011691,0.00015087,-0.00041072,0.00068031,-0.00094082,-0.00015422,0.00069049,0.00069668,-0.00025445,0.0010219,-0.00045109,0.00071101,0.00071658,0.00061855,0.00072573,0.00082203,-0.0001214,-0.00039987,0.00069158,0.0007589,0.00018182
8,0.0063066,0.0051582,0.012876,0.0070852,0.0084451,0.0050712,0.0064539,0.010087,0.0071652,0.0038121,0.0062723,0.0069935,0.0053435,0.0064744,0.0070293,0.0058846,0.0076241,0.0067139,0.0058609,0.0058605,0.0068663,0.0054957,0.0070867,0.0058344,0.0058022,0.0059414,0.0058254,0.0057165,0.0067029,0.0069943,0.0058588,0.0057883,0.0063722
9,-5.9676e-05,-3.4769e-05,-0.00012219,-3.5195e-05,-7.9574e-05,-5.5225e-05,-6.0429e-05,-9.7159e-05,-7.6132e-05,-3.202e-05,-6.225e-05,-6.2544e-05,-5.3221e-05,-6.0221e-05,-6.8511e-05,-5.5983e-05,-6.9444e-05,-6.6455e-05,-5.4985e-05,-5.4101e-05,-6.3307e-05,-5.0616e-05,-6.556e-05,-5.342e-05,-5.1379e-05,-5.4913e-05,-5.5115e-05,-5.1705e-05,-5.9032e-05,-6.4099e-05,-5.4486e-05,-5.4744e-05,-5.6523e-05
10,9.0835e-06,8.8518e-06,1.8123e-05,8.9819e-06,1.2191e-05,8.5031e-06,1.0028e-05,1.1276e-05,1.0191e-05,8.6104e-06,9.8553e-06,9.2917e-06,1.0453e-05,1.1283e-05,1.2778e-05,1.0364e-05,1.1118e-05,1.2354e-05,1.0166e-05,9.4559e-06,9.9563e-06,9.7703e-06,1.0062e-05,9.9988e-06,9.7092e-06,1.0173e-05,9.7649e-06,9.8826e-06,1.1434e-05,1.1272e-05,9.8662e-06,9.7186e-06,1.0468e-05
11,,,-2.2712e-06,,-8.959e-07,,-1.159e-06,-1.2653e-06,-1.8458e-06,,,,-1.6756e-06,-1.6722e-06,-2.6865e-06,-6.1736e-07,-1.564e-06,-1.9063e-06,-1.5262e-06,,,,-2.2748e-06,,,-2.1647e-06,,,-2.7161e-06,-2.03e-06,,,-2.3163e-06
