,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,98.526,100.08,100.3,98.159,98.85,99.73,99.938,100.07,100.12,100.17,100.09,99.637,100.4,100.25,99.19,99.94,100.29,99.825,99.865,99.629,99.764,99.748,99.861,99.956,99.776,99.834,100.12,99.668,99.752,99.774,99.807,99.742,99.909,99.876,99.84
1,-201.12,-202.49,-202.81,-200.64,-201.31,-202.12,-202.35,-202.51,-202.55,-202.57,-202.52,-202.11,-202.81,-202.67,-201.67,-202.38,-202.71,-202.28,-202.32,-202.07,-202.2,-202.2,-202.3,-202.39,-202.22,-202.28,-202.55,-202.13,-202.19,-202.23,-202.26,-202.19,-202.35,-202.32,-202.29
2,-6.9778,-7.1196,-7.0832,-7.0692,-7.0784,-7.1561,-7.1307,-7.1073,-7.1146,-7.1403,-7.1255,-7.0814,-7.1393,-7.1321,-7.0676,-7.103,-7.1301,-7.0913,-7.093,-7.1101,-7.1089,-7.0966,-7.1049,-7.1158,-7.107,-7.1014,-7.121,-7.0883,-7.108,-7.0919,-7.0932,-7.1023,-7.1053,-7.1008,-7.1007
3,-0.033,-0.03323,-0.033477,-0.033614,-0.03346,-0.033788,-0.033531,-0.033322,-0.033415,-0.033612,-0.033324,-0.033407,-0.033775,-0.03384,-0.033262,-0.033496,-0.033672,-0.033393,-0.033421,-0.033602,-0.033579,-0.03338,-0.033511,-0.033577,-0.03359,-0.033473,-0.033614,-0.033345,-0.033501,-0.033431,-0.033383,-0.033509,-0.03352,-0.033473,-0.033458
4,-0.00017829,-0.00017551,-0.0001797,-0.00017831,-0.00017912,-0.00018095,-0.00017994,-0.00017981,-0.00017925,-0.00018012,-0.00017892,-0.00017867,-0.00018084,-0.00018102,-0.00017854,-0.00017964,-0.00018021,-0.00017917,-0.0001793,-0.00017994,-0.00017969,-0.00017883,-0.00017957,-0.00017975,-0.00017999,-0.00017928,-0.00017998,-0.00017892,-0.00017956,-0.00017916,-0.00017902,-0.00017953,-0.00017953,-0.00017933,-0.00017924
5,3.9522,3.9434,3.9677,3.9569,3.9643,3.9434,3.9466,3.9466,3.9425,3.9451,3.9422,3.9447,3.9448,3.9451,3.944,3.9445,3.9447,3.9448,3.945,3.945,3.9452,3.9452,3.9449,3.9448,3.9454,3.9451,3.9451,3.9449,3.9449,3.945,3.9451,3.9449,3.945,3.9451,3.945
6,1.5356,1.5918,1.5519,1.5392,1.5322,1.5361,1.5403,1.527,1.544,1.5382,1.5426,1.5382,1.5453,1.5386,1.5387,1.5387,1.5382,1.5384,1.5391,1.5387,1.5377,1.5386,1.5391,1.5389,1.5384,1.5385,1.5386,1.5386,1.5389,1.5386,1.5387,1.5386,1.5387,1.5387,1.5387
7,0.0046488,0.0020791,0.0075506,-0.0031002,-0.018883,-0.012385,0.0013483,0.0057737,0.0034402,0.0025988,0.003235,-0.00015393,-0.00059838,-0.00036996,-3.827e-05,0.00016676,0.00012275,-0.00045564,2.9502e-05,0.00046287,-0.00050134,-0.00030625,0.00025989,0.00046767,0.00014994,8.1703e-05,0.00027986,3.2935e-05,0.00018945,0.00040704,0.00043727,6.9116e-05,0.00014428,0.00024444,0.00023302
8,0.0040004,0.0058221,0.0036481,0.013632,0.028285,0.021205,0.0067486,0.0024493,0.0047062,0.0055871,0.0047864,0.008416,0.0088795,0.0085864,0.0082494,0.0080544,0.0080617,0.0086869,0.0081776,0.0077073,0.0087219,0.0085457,0.0079328,0.0077148,0.0080385,0.0081193,0.007928,0.0081713,0.0080033,0.0077903,0.007748,0.0081309,0.0080572,0.0079479,0.0079621
9,-6.9315e-05,-4.6467e-05,-1.0888e-05,-0.00011713,-0.00027099,-0.00018175,-5.7327e-05,-1.7794e-05,-5.0679e-05,-4.6858e-05,-4.3925e-05,-7.3168e-05,-9.464e-05,-7.4758e-05,-7.5327e-05,-7.2483e-05,-7.049e-05,-7.5547e-05,-7.1327e-05,-6.5365e-05,-7.6838e-05,-7.5141e-05,-6.9198e-05,-6.7235e-05,-6.9039e-05,-7.0304e-05,-6.8947e-05,-7.0987e-05,-6.9379e-05,-6.8133e-05,-6.7672e-05,-7.0656e-05,-6.977e-05,-6.938e-05,-6.9717e-05
10,7.0515e-06,3.2799e-06,1.8074e-05,2.4353e-05,2.9566e-05,1.7904e-05,1.0649e-05,5.3986e-06,8.4877e-06,1.0985e-05,1.0806e-05,1.3353e-05,1.4064e-05,1.3978e-05,1.5791e-05,1.5325e-05,1.4857e-05,1.5683e-05,1.2366e-05,1.4336e-05,1.5965e-05,1.5286e-05,1.3819e-05,1.4864e-05,1.4718e-05,1.5034e-05,1.497e-05,1.5267e-05,1.4605e-05,1.5042e-05,1.4948e-05,1.5281e-05,1.515e-05,1.5038e-05,1.5261e-05
11,,,1.1457e-05,2.1205e-06,1.1635e-05,7.1053e-06,6.2625e-07,,,9.1992e-07,7.8327e-07,1.3349e-06,6.76e-06,1.7356e-06,7.0719e-07,-5.1146e-07,-7.7208e-08,-1.4477e-06,2.5432e-06,-1.5586e-06,-5.2154e-07,-1.5395e-07,7.6863e-07,-2.0163e-06,-9.2137e-07,-1.1212e-06,-1.3869e-06,-1.367e-06,-4.0339e-07,-1.8868e-06,-1.6473e-06,-1.9338e-06,-1.9005e-06,-1.1945e-06,-2.1781e-06
12,,,-1.4968e-07,,-1.5687e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
