,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,320.92,320.45,322.76,322.57,321.05,320.9,320.52,320.56,320.92,320.64,321.1,320.94,321.58,321.11,320.64,320.97,320.91,321.19,321.3,320.8,321.02,320.91,321.03,321.12,321.14,321.03,320.91,320.9,320.87,320.99,321.1
1,-331.1,-331.28,-332.84,-332.84,-331.11,-331.27,-330.77,-330.9,-331.19,-330.98,-331.33,-331.15,-331.84,-331.35,-330.89,-331.28,-331.24,-331.45,-331.52,-331.09,-331.28,-331.14,-331.29,-331.39,-331.43,-331.29,-331.16,-331.17,-331.17,-331.25,-331.33
2,-28.591,-28.157,-28.907,-28.594,-28.93,-28.599,-28.76,-28.56,-28.634,-28.581,-28.617,-28.7,-28.607,-28.699,-28.645,-28.591,-28.587,-28.639,-28.689,-28.623,-28.65,-28.677,-28.646,-28.642,-28.62,-28.642,-28.649,-28.641,-28.603,-28.654,-28.685
3,-1.1919,-1.001,-1.0161,-1.1161,-0.99,-1.0132,-0.97947,-1.0807,-1.0723,-1.0628,-1.1322,-1.0724,-1.1081,-1.0475,-1.0853,-1.0841,-1.0601,-1.0811,-1.0839,-1.0758,-1.0711,-1.0736,-1.0813,-1.0725,-1.0745,-1.081,-1.0792,-1.07,-1.0776,-1.0785,-1.0672
4,-0.026989,-0.021141,-0.020793,-0.024894,-0.02064,-0.023064,-0.020596,-0.026437,-0.024892,-0.024124,-0.027124,-0.025134,-0.02622,-0.024297,-0.025753,-0.024693,-0.024323,-0.025505,-0.025109,-0.02524,-0.024938,-0.025081,-0.025646,-0.025127,-0.024938,-0.025045,-0.025366,-0.025219,-0.025149,-0.025035,-0.024757
5,1.0579,1.0554,1.0612,1.0582,1.0554,1.0549,1.0554,1.0558,1.0555,1.0555,1.0558,1.0558,1.0559,1.0559,1.0558,1.0556,1.0558,1.0558,1.0558,1.0558,1.0558,1.0558,1.0558,1.0558,1.0558,1.0558,1.0558,1.0558,1.0558,1.0558,1.0558
6,0.28607,0.28279,0.28436,0.28139,0.281,0.28223,0.28127,0.28209,0.28187,0.28179,0.28182,0.2818,0.28177,0.28182,0.28185,0.28198,0.28175,0.28183,0.28181,0.28183,0.2818,0.28184,0.28183,0.28183,0.28181,0.28183,0.28183,0.28184,0.28182,0.28183,0.28182
7,-0.012462,-0.012538,-0.012701,-0.012904,-0.012524,-0.012462,-0.012567,-0.012583,-0.012582,-0.012556,-0.012597,-0.012586,-0.012644,-0.012558,-0.012601,-0.012573,-0.012606,-0.012601,-0.012601,-0.012592,-0.012617,-0.012595,-0.012588,-0.012623,-0.012593,-0.012597,-0.0126,-0.012575,-0.012611,-0.012589,-0.012607
8,0.0025455,0.0022209,0.0024885,0.0025016,0.0021109,0.0021757,0.0022542,0.0021882,0.0022038,0.0022187,0.0022333,0.0022016,0.0022208,0.0022091,0.0022196,0.0022012,0.0022377,0.0022205,0.0022329,0.0022238,0.0022389,0.0022352,0.0022366,0.0022361,0.0022291,0.0022255,0.0022296,0.002223,0.0022287,0.002232,0.0022233
9,4.2397e-05,3.965e-05,3.8372e-05,1.6203e-05,3.6254e-05,4.8384e-05,4.4251e-05,3.734e-05,4.2327e-05,4.7849e-05,3.8204e-05,4.4077e-05,4.1792e-05,4.0145e-05,4.412e-05,4.4115e-05,4.3034e-05,4.0868e-05,4.2086e-05,4.066e-05,3.9946e-05,4.2049e-05,4.4843e-05,4.2592e-05,4.2722e-05,4.2189e-05,4.3132e-05,4.2116e-05,4.2852e-05,4.1724e-05,4.0363e-05
10,2.0427e-05,2.3835e-05,2.4708e-05,4.881e-05,3.4258e-05,2.0458e-05,2.3367e-05,3.1579e-05,2.6434e-05,2.0323e-05,2.9989e-05,2.4301e-05,2.7401e-05,2.8379e-05,2.4864e-05,2.4501e-05,2.4727e-05,2.7288e-05,2.5819e-05,2.7865e-05,2.807e-05,2.5962e-05,2.2907e-05,2.524e-05,2.5452e-05,2.629e-05,2.513e-05,2.6317e-05,2.5374e-05,2.5709e-05,2.8312e-05
11,-2.3102e-06,-1.0798e-06,-2.7945e-06,-2.9261e-06,-1.4546e-06,-1.8378e-06,-1.4524e-06,-1.5297e-06,-1.4715e-06,-1.4437e-06,-1.6197e-06,-1.4075e-06,-1.4919e-06,-1.495e-06,-1.4143e-06,-1.392e-06,-1.3946e-06,-1.457e-06,-1.5749e-06,-1.5201e-06,-1.5061e-06,-1.4832e-06,-1.4187e-06,-1.484e-06,-1.4643e-06,-1.4649e-06,-1.457e-06,-1.462e-06,-1.4449e-06,-1.6416e-06,-1.4977e-06
