,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,402.32,408.45,405.54,402.73,402.41,405.29,404.95,404.65,402.72,403.05,404.26,403.71,404.94,404.63,404.15,404.72,404.43,404.21,404.04,404.07,404.0,403.94,403.9,404.27,404.17,404.19,404.06,404.51,404.33,404.18,403.96,404.26
1,-411.98,-418.33,-415.46,-412.6,-412.89,-415.79,-415.4,-415.09,-413.34,-413.53,-414.73,-414.21,-415.38,-415.08,-414.53,-415.13,-414.94,-414.72,-414.44,-414.5,-414.5,-414.33,-414.37,-414.69,-414.59,-414.67,-414.51,-414.92,-414.75,-414.68,-414.4,-414.7
2,-41.436,-41.067,-41.021,-41.071,-40.606,-40.428,-40.642,-40.436,-40.399,-40.468,-40.44,-40.507,-40.611,-40.497,-40.59,-40.618,-40.45,-40.506,-40.587,-40.537,-40.485,-40.585,-40.548,-40.549,-40.559,-40.521,-40.538,-40.593,-40.559,-40.495,-40.555,-40.55
3,-2.1088,-2.2845,-2.2839,-2.2734,-2.1586,-2.3367,-2.1717,-2.3747,-2.2467,-2.3005,-2.3431,-2.2461,-2.2097,-2.3022,-2.2936,-2.2346,-2.2977,-2.2408,-2.2709,-2.2908,-2.2707,-2.2765,-2.2425,-2.2841,-2.2738,-2.261,-2.275,-2.2641,-2.2818,-2.2634,-2.2673,-2.2684
4,-0.08697,-0.084645,-0.077752,-0.078903,-0.073556,-0.085294,-0.077359,-0.093012,-0.082711,-0.087071,-0.091383,-0.084564,-0.083168,-0.086149,-0.086116,-0.082437,-0.086243,-0.082286,-0.084902,-0.08479,-0.086401,-0.085463,-0.083872,-0.085627,-0.086279,-0.085287,-0.085252,-0.084252,-0.08609,-0.085569,-0.085044,-0.085438
5,1.4038,1.402,1.4007,1.4049,1.4057,1.4096,1.4116,1.4105,1.4101,1.4107,1.4108,1.4109,1.4109,1.4101,1.41,1.41,1.4101,1.4099,1.4101,1.4101,1.4101,1.41,1.4099,1.4101,1.41,1.41,1.41,1.4099,1.4101,1.41,1.41,1.41
6,0.37534,0.37096,0.37414,0.37157,0.37562,0.37855,0.38147,0.3801,0.3807,0.38066,0.38038,0.38063,0.38005,0.37966,0.37977,0.37998,0.3799,0.38034,0.37991,0.37984,0.37992,0.37984,0.38008,0.37981,0.37997,0.38009,0.3801,0.38012,0.37979,0.37985,0.37977,0.37996
7,-0.025678,-0.024394,-0.025734,-0.024711,-0.024896,-0.024655,-0.024575,-0.025197,-0.02422,-0.024959,-0.025181,-0.025033,-0.024673,-0.024818,-0.024729,-0.024749,-0.024885,-0.024983,-0.024912,-0.024872,-0.024937,-0.024762,-0.024901,-0.024924,-0.024869,-0.024954,-0.024995,-0.024848,-0.024858,-0.024839,-0.02478,-0.024934
8,-0.00033271,0.002356,-0.0013269,0.0027812,0.0033998,0.0024665,0.0033982,0.0032472,0.0027755,0.0029369,0.0032095,0.0032898,0.0024821,0.0027165,0.002866,0.0028269,0.0029756,0.0032259,0.003015,0.0029774,0.0030467,0.0028133,0.0030689,0.0029509,0.0030408,0.0031315,0.0031213,0.0031073,0.0028648,0.0029346,0.0028318,0.0030489
9,0.00087019,0.0016647,0.0035903,0.00030922,0.00054736,0.001139,0.00077325,0.00061426,0.00091444,0.00087878,0.00055506,0.00041817,0.0010656,0.00081393,0.00029392,0.00071177,0.00057467,9.2767e-05,0.00060974,0.00052781,0.00052428,0.0008448,0.00061755,0.00048457,0.00045777,0.00042378,1.3665e-05,0.0005396,0.00052182,0.00057767,0.0007744,0.00061982
10,0.00027126,0.00016017,0.00071763,0.00086715,1.856e-05,0.00035546,1.5824e-05,0.0003156,0.00043246,0.0002636,0.0003686,0.00030828,0.000539,0.00050356,0.00077566,0.00036849,0.00036844,0.00050863,0.00038728,0.0005179,0.00042181,0.00026638,0.00020766,0.0005633,0.00043291,0.00034044,0.00079328,0.00022657,0.00062601,0.00047248,0.00037538,0.00029028
11,-0.0016303,-3.9745e-06,0.00016738,-1.6567e-05,2.3398e-06,-6.3554e-07,7.7649e-06,2.644e-06,-4.4091e-06,2.711e-06,2.6872e-06,5.568e-06,-7.5534e-06,-3.8551e-06,-9.2039e-06,1.1366e-06,2.183e-06,3.8657e-06,1.3494e-06,-1.9077e-06,1.2027e-06,2.9141e-06,5.8743e-06,-2.9709e-06,1.6088e-06,4.4417e-06,-6.5435e-06,6.0256e-06,-5.7905e-06,-8.6317e-07,3.9095e-07,3.8356e-06
12,-0.0017792,,7.0254e-06,-1.6112e-06,,-1.01e-06,,-7.4958e-07,-9.9789e-07,,-7.6161e-07,,-3.8829e-07,-3.3133e-07,-4.0173e-07,-1.6264e-07,-3.0555e-07,-8.026e-07,-4.0193e-07,-3.9428e-07,-4.9625e-07,,,-2.2643e-07,-3.94e-07,-5.1993e-07,-4.0193e-07,,-2.6088e-07,-2.8008e-07,-2.9697e-07,
13,0.0010072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.005038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,-0.00074221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.00042455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.00016162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,4.0439e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2.5193e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,9.2181e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
