,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,504.62,500.7,500.26,500.27,499.45,501.11,502.54,499.84,500.35,500.78,500.5,500.9,500.98,500.24,501.47,500.02,500.67,501.07,501.34,500.66,500.69,501.17,500.97,500.6,500.55,500.56
1,-514.32,-510.26,-509.07,-509.47,-508.86,-510.19,-511.28,-509.25,-509.55,-509.81,-509.76,-510.12,-510.07,-509.39,-510.69,-509.17,-509.85,-510.32,-510.48,-509.86,-509.8,-510.27,-510.18,-509.75,-509.83,-509.73
2,-52.459,-52.457,-53.048,-52.877,-52.599,-52.769,-53.152,-52.575,-52.709,-52.876,-52.713,-52.71,-52.878,-52.795,-52.743,-52.804,-52.777,-52.705,-52.824,-52.768,-52.841,-52.854,-52.763,-52.784,-52.685,-52.78
3,-4.202,-4.3556,-4.5103,-4.2976,-4.3678,-4.5236,-4.4788,-4.3927,-4.4614,-4.4738,-4.4054,-4.444,-4.4185,-4.4407,-4.4133,-4.4216,-4.4244,-4.4269,-4.4224,-4.415,-4.4236,-4.4291,-4.413,-4.4398,-4.4116,-4.4229
4,-0.31366,-0.29971,-0.31239,-0.28622,-0.2921,-0.29947,-0.29872,-0.28997,-0.3046,-0.29625,-0.29671,-0.29504,-0.29538,-0.29584,-0.29634,-0.29721,-0.29803,-0.29657,-0.29659,-0.29473,-0.29505,-0.29716,-0.29718,-0.29941,-0.29809,-0.29927
5,1.7854,1.7639,1.7682,1.7642,1.7677,1.7682,1.7701,1.7681,1.7688,1.768,1.7692,1.769,1.7692,1.7692,1.7692,1.7691,1.7692,1.7692,1.7692,1.7692,1.7692,1.769,1.7692,1.7691,1.7691,1.769
6,0.46611,0.4678,0.46687,0.46448,0.46426,0.4673,0.46604,0.46503,0.46575,0.46644,0.46534,0.46521,0.46488,0.46543,0.46525,0.4655,0.46566,0.46553,0.46543,0.46554,0.46554,0.46559,0.46552,0.46553,0.46549,0.46562
7,-0.039549,-0.034825,-0.038217,-0.036704,-0.036978,-0.037926,-0.037069,-0.037518,-0.038069,-0.037525,-0.037,-0.037357,-0.036557,-0.037169,-0.037327,-0.03732,-0.03761,-0.037703,-0.037155,-0.037215,-0.03719,-0.037564,-0.037271,-0.037317,-0.037248,-0.037259
8,0.0073224,0.0011712,0.0040011,0.0029046,0.0025009,0.0029822,0.0023507,0.0027741,0.0031107,0.002766,0.0023981,0.0028619,0.0022594,0.0024393,0.0026218,0.0026033,0.0027459,0.0028557,0.0023959,0.0024972,0.0024247,0.0027868,0.0024796,0.0025177,0.0025435,0.0025035
9,0.0039063,0.0066615,0.0056789,0.0060778,0.0067212,0.0049219,0.0057692,0.0052951,0.0060189,0.0053528,0.0053747,0.00431,0.0056001,0.0059254,0.005386,0.0056533,0.0056253,0.0052402,0.0056803,0.0051589,0.0055436,0.0054292,0.0055537,0.0055299,0.0053764,0.005346
10,0.0012111,-9.3614e-05,0.00078028,-3.4632e-05,-6.4534e-06,0.0019471,0.0010815,0.0014096,0.00081115,0.0014158,0.0013733,0.0022369,0.00099195,0.00090962,0.0014127,0.0011235,0.0012376,0.0015925,0.0011605,0.0016484,0.001283,0.0013679,0.001291,0.0013041,0.0014101,0.0014849
11,-3.2064e-05,-3.2526e-06,-3.1472e-05,-3.6113e-07,-7.0421e-06,-5.116e-05,-2.8647e-05,-3.3333e-05,-2.6177e-05,-3.7523e-05,-3.6043e-05,-5.3451e-05,-2.8375e-05,-2.7678e-05,-3.6039e-05,-2.9587e-05,-3.3547e-05,-4.0642e-05,-3.189e-05,-4.1551e-05,-3.3839e-05,-3.4656e-05,-3.4258e-05,-3.3777e-05,-3.5948e-05,-3.7844e-05
12,-1.1948e-06,,-2.2308e-07,,,3.9487e-06,2.4948e-06,2.816e-06,2.267e-06,2.7025e-06,3.2268e-06,4.676e-06,2.5586e-06,2.354e-06,3.724e-06,2.7325e-06,2.9279e-06,3.5524e-06,2.5596e-06,3.7899e-06,2.686e-06,3.3487e-06,2.8597e-06,3.5031e-06,3.4727e-06,3.7762e-06
