,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,617.54,621.58,621.19,623.23,622.58,622.62,622.03,622.44,621.86,622.06,622.11,620.96,622.38,621.63,620.71,622.15,621.55,621.71
1,-622.62,-626.71,-627.44,-628.08,-628.1,-628.29,-627.36,-627.96,-627.48,-627.41,-627.75,-626.73,-627.89,-627.25,-626.31,-627.73,-627.36,-627.3
2,-66.691,-66.424,-65.534,-66.51,-66.108,-65.949,-66.232,-66.083,-65.945,-66.145,-66.04,-65.865,-66.093,-66.001,-66.042,-66.028,-65.852,-66.033
3,-7.7068,-7.867,-7.6532,-8.0785,-7.8176,-7.8217,-7.8853,-7.8435,-7.8812,-7.9475,-7.7828,-7.8085,-7.843,-7.8282,-7.8164,-7.8346,-7.7938,-7.8283
4,-0.56077,-0.58369,-0.54377,-0.57239,-0.56413,-0.55666,-0.56431,-0.55915,-0.56304,-0.56398,-0.5481,-0.55958,-0.56123,-0.56006,-0.55458,-0.55978,-0.55349,-0.55857
5,2.1303,2.1129,2.1204,2.1241,2.1234,2.122,2.1221,2.1224,2.1235,2.1231,2.1232,2.1232,2.1232,2.1231,2.1233,2.1234,2.1232,2.1234
6,0.55205,0.54987,0.55192,0.55468,0.55047,0.55114,0.551,0.55135,0.55182,0.55154,0.55107,0.55168,0.55129,0.5516,0.55142,0.55141,0.55176,0.55142
7,-0.038366,-0.042067,-0.041073,-0.038969,-0.039417,-0.040701,-0.038726,-0.040006,-0.039574,-0.039402,-0.040661,-0.040745,-0.039466,-0.040478,-0.040171,-0.039893,-0.040611,-0.03996
8,-0.0016412,0.0022933,0.0009746,0.00070229,-0.00034215,0.000743,-0.00048341,0.00073094,0.00018971,0.00014239,0.0010227,0.0009663,-8.2557e-05,0.00075797,0.00058654,0.00019562,0.00085864,0.00014132
9,0.0034602,0.0030484,0.003965,0.0031931,0.0039545,0.0034781,0.0037315,0.0034678,0.0036054,0.0035264,0.0033417,0.0034423,0.003633,0.0034192,0.00346,0.0036089,0.0034396,0.0036485
10,0.0025111,0.0017199,0.0020827,0.0020216,0.0021545,0.0021889,0.0021229,0.0020146,0.0020985,0.0021427,0.0023363,0.0022918,0.0022555,0.0022771,0.0022649,0.0022663,0.0022971,0.0022833
11,8.7057e-06,1.6188e-05,-3.9123e-05,-3.898e-05,-5.6818e-05,1.217e-05,-4.5724e-05,-1.5232e-05,-1.4705e-05,-1.9675e-05,-2.8072e-05,-2.8796e-05,-4.1024e-05,-2.0876e-05,-3.1174e-05,-3.6238e-05,-3.2309e-05,-3.6132e-05
12,-1.5595e-06,4.8104e-07,6.333e-06,5.9206e-06,9.3115e-06,7.2703e-06,9.1184e-06,9.38e-06,8.1783e-06,8.523e-06,8.6779e-06,9.0525e-06,1.0362e-05,8.8597e-06,9.4039e-06,9.5952e-06,9.4106e-06,9.4669e-06
13,,,,,,,,,,,,,8.8623e-06,,,,,
