,0,1,2,3,4,5,6,7,8,9,10,11,12
0,988.77,991.16,1001.2,999.04,998.75,994.0,997.75,996.82,995.17,996.28,992.57,995.32,996.34
1,-960.02,-956.42,-968.85,-967.35,-966.23,-961.79,-965.46,-965.08,-962.96,-963.94,-960.72,-962.74,-964.16
2,-112.11,-116.91,-115.21,-115.2,-115.47,-115.31,-115.23,-114.92,-115.19,-115.36,-114.93,-115.62,-115.29
3,-20.168,-21.379,-20.797,-20.226,-20.705,-20.612,-20.703,-20.529,-20.659,-20.643,-20.585,-20.627,-20.584
4,-2.4969,-2.5949,-2.4991,-2.3954,-2.4666,-2.4264,-2.4715,-2.4342,-2.4722,-2.4579,-2.4527,-2.4632,-2.4339
5,2.5662,2.5485,2.5714,2.573,2.5823,2.5726,2.5635,2.5734,2.5707,2.568,2.5663,2.5686,2.5696
6,0.60626,0.61471,0.61442,0.61212,0.61072,0.61417,0.61112,0.60893,0.61077,0.60961,0.61191,0.60616,0.61028
7,-0.1306,-0.10234,-0.12901,-0.12168,-0.12809,-0.12796,-0.12328,-0.12134,-0.13075,-0.12916,-0.1251,-0.12342,-0.12371
8,-0.037484,-0.028446,-0.038489,-0.033727,-0.048903,-0.039641,-0.042233,-0.040094,-0.041822,-0.0485,-0.047693,-0.047186,-0.039459
9,-0.021226,-0.017062,-0.01301,-0.018005,-0.007309,-0.015502,-0.011693,-0.013821,-0.015825,-0.0072352,-0.0066439,-0.0055444,-0.012315
10,-0.0057794,-0.0073193,-0.008743,-0.0089088,-0.01044,-0.009034,-0.0091859,-0.0090241,-0.0095176,-0.0084791,-0.0088974,-0.0089639,-0.0084757
11,-0.0062155,-0.0043279,-0.0055015,-0.005495,-0.0067887,-0.0054318,-0.0056954,-0.0056377,-0.0058019,-0.0055799,-0.005914,-0.005822,-0.0054669
12,-0.0046956,-0.0025344,-0.0037419,-0.00332,-0.0044422,-0.0035551,-0.0037872,-0.0038761,-0.0037163,-0.0037483,-0.0041047,-0.0039594,-0.0037942
13,-0.0042962,-0.0016002,-0.002641,-0.0021502,-0.0028529,-0.0023695,-0.0025688,-0.0027182,-0.0024556,-0.002561,-0.0027798,-0.0027169,-0.0027011
14,-0.0039184,-0.0010926,-0.0019111,-0.001362,-0.0018717,-0.0016148,-0.0018057,-0.0019743,-0.001747,-0.0017212,-0.0018808,-0.0018107,-0.001947
15,-0.0036464,-0.00081907,-0.0014819,-0.00098186,-0.0012944,-0.0011125,-0.0013244,-0.0015536,-0.0013143,-0.0012409,-0.0013931,-0.0013082,-0.0014402
16,-0.0033937,-0.00070121,-0.0011508,-0.00068773,-0.00085784,-0.0008112,-0.0009508,-0.0011466,-0.0009489,-0.00093953,-0.0010121,-0.00099235,-0.001079
17,-0.0032713,-0.00056939,-0.00091766,-0.0005168,-0.00080857,-0.00060555,-0.00071481,-0.00087812,-0.00073126,-0.00073225,-0.00075543,-0.00075167,-0.00082884
18,-0.0029384,-0.00047878,-0.00075917,-0.0003938,-0.00038254,-0.00046006,-0.00052123,-0.0006942,-0.00059992,-0.0005665,-0.00058717,-0.00056465,-0.00064986
19,-0.001884,-0.0004615,-0.00061371,-0.00029518,-0.00036607,-0.00036029,-0.0003857,-0.00051078,-0.0004668,-0.00046548,-0.00044037,-0.0004414,-0.00051615
20,-0.0016188,-0.0003785,-0.00049974,-0.00023905,-0.00030576,-0.00028252,-0.00029614,-0.00038794,-0.00036286,-0.00037587,-0.00034407,-0.00035175,-0.00040196
21,-0.0015948,-0.0003338,-0.00040955,-0.00016902,-0.00024323,-0.00021941,-0.00022395,-0.00029455,-0.00029237,-0.00030122,-0.00027233,-0.00027758,-0.00031957
22,-0.0011366,-0.00030711,-0.00034159,-0.00013481,-0.00021379,-0.00018061,-0.0001749,-0.00022387,-0.00025074,-0.00024247,-0.00021315,-0.00023574,-0.00025944
23,-0.00093119,-0.00028553,-0.00028559,-0.00010354,-0.00017237,-0.0001503,-0.00014316,-0.0001772,-0.00021474,-0.00020305,-0.00017298,-0.00018706,-0.00021262
24,-0.00074224,-0.00028863,-0.00023887,-7.3554e-05,-0.00014754,-0.00012544,-0.00011916,-0.00014,-0.00017868,-0.000166,-0.00014059,-0.00015448,-0.00017979
25,-0.00063392,-0.00028796,-0.00020036,-5.4477e-05,-0.00012376,-0.00010473,-0.0001016,-0.00011132,-0.00015542,-0.00013226,-0.00011318,-0.00012955,-0.00015281
26,-0.00018517,-0.00028401,-0.00016996,-4.6658e-05,-0.00010682,-8.7476e-05,-8.8146e-05,-9.056e-05,-0.00013949,-0.00010783,-9.2437e-05,-0.00010629,-0.00013225
27,-0.00014362,-0.00029438,-0.00014215,-4.1992e-05,-9.1473e-05,-7.6055e-05,-7.9105e-05,-7.4612e-05,-0.00012198,-8.9741e-05,-7.9465e-05,-9.2024e-05,-0.00011745
28,-0.00021095,-0.00024898,-0.00012701,-3.7174e-05,-7.9194e-05,-6.5e-05,-7.3042e-05,-6.2695e-05,-0.00010883,-7.2884e-05,-6.5435e-05,-7.996e-05,-0.00010067
29,-0.00010963,-0.00021858,-0.00010092,-2.5634e-05,-6.8918e-05,-5.9253e-05,-6.7404e-05,-5.3476e-05,-9.8329e-05,-6.0655e-05,-5.5155e-05,-6.9715e-05,-8.9128e-05
30,-4.5166e-05,-0.00018722,-8.3696e-05,-1.8636e-05,-6.0649e-05,-5.0244e-05,-6.2559e-05,-4.623e-05,-8.733e-05,-5.1221e-05,-4.5725e-05,-5.8981e-05,-7.8812e-05
31,-0.0001173,-0.00015992,-7.2308e-05,-1.6031e-05,-5.2068e-05,-4.4013e-05,-5.7507e-05,-4.0384e-05,-7.724e-05,-4.4056e-05,-3.8497e-05,-5.123e-05,-7.0795e-05
32,-8.7386e-05,-0.00014343,-6.1681e-05,-1.5232e-05,-4.5957e-05,-3.8805e-05,-5.2828e-05,-3.4872e-05,-7.0583e-05,-3.9246e-05,-3.2756e-05,-4.3898e-05,-6.3796e-05
33,-7.568e-05,-0.00012061,-4.5532e-05,-1.1523e-05,-4.0064e-05,-3.4986e-05,-4.7608e-05,-3.0904e-05,-6.449e-05,-3.3351e-05,-2.8058e-05,-3.9964e-05,-5.8503e-05
34,-6.0773e-05,-9.4605e-05,-2.8477e-05,-1.0864e-05,-3.5106e-05,-3.1042e-05,-4.2723e-05,-3.0123e-05,-5.7311e-05,-3.1664e-05,-2.3907e-05,-3.5054e-05,-5.3118e-05
35,-4.4266e-05,-9.0918e-05,-4.2561e-05,-9.23e-06,-3.0968e-05,-2.6688e-05,-3.8257e-05,-2.4983e-05,-5.2676e-05,-3.0053e-05,-2.0545e-05,-3.1747e-05,-4.8056e-05
36,-3.4242e-05,-5.3563e-05,-3.5121e-05,,-2.7308e-05,-2.4293e-05,-3.4387e-05,-2.168e-05,-5.0184e-05,-2.6922e-05,-1.7554e-05,-2.8125e-05,-4.3997e-05
37,-3.17e-05,-4.2684e-05,-3.1547e-05,,-2.4041e-05,-2.0167e-05,-3.0788e-05,-1.904e-05,-4.5512e-05,-2.6402e-05,-1.5565e-05,-2.635e-05,-4.0667e-05
38,-2.3743e-05,-4.6073e-05,-2.1411e-05,,-2.1102e-05,-1.8089e-05,-2.8056e-05,-1.7539e-05,-4.0383e-05,-2.5487e-05,-1.321e-05,-2.3446e-05,-3.7725e-05
39,-2.0896e-05,-3.6357e-05,-2.6295e-05,,-1.874e-05,-1.591e-05,-2.5426e-05,-1.5879e-05,-3.6575e-05,-2.4484e-05,-1.1618e-05,-2.3439e-05,-3.4813e-05
40,-1.7907e-05,-3.272e-05,-2.2824e-05,,-1.6658e-05,-1.4004e-05,-2.3306e-05,-1.4317e-05,-3.3264e-05,-2.3977e-05,-1.1085e-05,-2.0038e-05,-3.2607e-05
41,-1.7503e-05,-2.8854e-05,-1.9221e-05,,-1.4653e-05,-1.2574e-05,-2.1404e-05,-1.3329e-05,-3.0746e-05,-2.3267e-05,-1.0056e-05,-1.8186e-05,-3.0167e-05
42,-1.3852e-05,-2.3068e-05,-1.9392e-05,,-1.3079e-05,-1.1707e-05,-1.9042e-05,-1.1758e-05,-2.8116e-05,-2.2503e-05,-9.3446e-06,-1.6459e-05,-2.7986e-05
43,-1.12e-05,-2.2399e-05,-1.1238e-05,,-1.1617e-05,-1.0671e-05,-1.7617e-05,-1.0724e-05,-2.6957e-05,-2.1756e-05,,-1.5525e-05,-2.5844e-05
44,-6.9267e-06,-6.4866e-06,-1.2047e-05,,-1.0152e-05,-1.023e-05,-1.5665e-05,-9.8558e-06,-2.4048e-05,-2.061e-05,,-1.4251e-05,-2.3819e-05
45,,-1.2936e-05,-1.1721e-05,,-9.0248e-06,-9.3092e-06,-1.4357e-05,,-2.2458e-05,-1.9691e-05,,-1.3811e-05,-2.1832e-05
46,,5.5002e-07,-1.0252e-05,,,,-1.2754e-05,,-2.056e-05,-1.8712e-05,,-1.1408e-05,-1.9583e-05
47,,-4.7754e-06,-1.1161e-05,,,,-1.1725e-05,,-1.8897e-05,-1.7709e-05,,-9.6128e-06,-1.8203e-05
48,,-8.7018e-06,-6.3266e-06,,,,-1.0892e-05,,-1.7504e-05,-1.8084e-05,,-1.0271e-05,-1.684e-05
49,,,,,,,-9.7374e-06,,-1.634e-05,-1.5312e-05,,-9.1153e-06,-1.58e-05
50,,,,,,,,,-1.4843e-05,-1.4424e-05,,,-1.4156e-05
51,,,,,,,,,-1.3901e-05,-1.4241e-05,,,-1.3102e-05
52,,,,,,,,,-1.2884e-05,-1.1902e-05,,,-1.2067e-05
53,,,,,,,,,-1.2083e-05,-1.0817e-05,,,-1.1121e-05
54,,,,,,,,,-1.1396e-05,-1.0786e-05,,,-1.011e-05
55,,,,,,,,,-1.0233e-05,-1.1313e-05,,,-9.5489e-06
56,,,,,,,,,-9.3253e-06,-9.5686e-06,,,
