,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,797.1,803.1,808.93,812.35,811.42,803.93,811.02,809.76,810.74,809.46,807.24,806.37,810.4,810.57,808.35,807.04,808.93,807.96,808.43,808.58,808.41,809.52,808.5,810.02,808.92,808.48,808.32,808.79,808.36,808.06,808.79,808.1,808.3,808.17,808.31,808.31,808.69,808.36,808.58,808.1,808.99,808.44,808.44,808.77,808.47,808.47,808.39,808.39,808.44,808.64,808.38,808.32,808.09,808.51
1,-734.59,-744.18,-748.05,-751.99,-749.75,-744.88,-749.98,-748.5,-749.45,-748.51,-747.46,-746.31,-749.36,-749.95,-747.67,-747.01,-748.53,-747.52,-747.94,-748.18,-747.95,-748.68,-747.96,-749.13,-748.35,-748.07,-747.75,-748.13,-747.92,-747.6,-748.22,-747.69,-747.87,-747.71,-747.82,-747.82,-748.08,-747.94,-747.96,-747.72,-748.35,-747.92,-747.92,-748.2,-747.92,-747.92,-747.89,-747.89,-747.95,-748.13,-747.92,-747.86,-747.64,-747.99
2,-100.12,-101.13,-103.23,-102.99,-104.03,-101.55,-103.31,-103.48,-103.54,-103.27,-102.05,-102.33,-103.27,-102.89,-102.94,-102.3,-102.67,-102.71,-102.77,-102.68,-102.73,-103.08,-102.81,-103.14,-102.84,-102.69,-102.83,-102.92,-102.71,-102.73,-102.84,-102.68,-102.7,-102.73,-102.76,-102.76,-102.87,-102.69,-102.87,-102.66,-102.9,-102.8,-102.8,-102.83,-102.81,-102.81,-102.76,-102.76,-102.75,-102.78,-102.72,-102.74,-102.72,-102.79
3,-3.4486,-3.4948,-3.6393,-3.4432,-3.626,-3.3984,-3.5432,-3.5896,-3.6016,-3.5266,-3.5468,-3.5611,-3.586,-3.5621,-3.5678,-3.5522,-3.5491,-3.5443,-3.5438,-3.5476,-3.5558,-3.5749,-3.5546,-3.568,-3.5468,-3.5392,-3.5597,-3.5534,-3.5474,-3.5512,-3.5557,-3.55,-3.5444,-3.5513,-3.5483,-3.5483,-3.5638,-3.5471,-3.5608,-3.5437,-3.5563,-3.5479,-3.5479,-3.5564,-3.5575,-3.5575,-3.5536,-3.5536,-3.5506,-3.5504,-3.5498,-3.5461,-3.5503,-3.5512
4,-0.012286,-0.011359,-0.012849,-0.01167,-0.012464,-0.011448,-0.012018,-0.012396,-0.012363,-0.011935,-0.012238,-0.012215,-0.01227,-0.012121,-0.012212,-0.01217,-0.012123,-0.01206,-0.012077,-0.012149,-0.012128,-0.012244,-0.012165,-0.012228,-0.012081,-0.012061,-0.012198,-0.012137,-0.012094,-0.01214,-0.012157,-0.01211,-0.012084,-0.012132,-0.012115,-0.012115,-0.01219,-0.012109,-0.01219,-0.012075,-0.01215,-0.012108,-0.012108,-0.012153,-0.012178,-0.012178,-0.012148,-0.012148,-0.012121,-0.012113,-0.012119,-0.012083,-0.012122,-0.012112
5,5.5244,5.3409,5.3753,5.3133,5.3637,5.4265,5.4172,5.3591,5.3487,5.3475,5.3842,5.367,5.3718,5.3835,5.3888,5.3832,5.3631,5.3619,5.3752,5.3677,5.3674,5.3713,5.37,5.372,5.371,5.3748,5.371,5.3709,5.3718,5.371,5.3747,5.3728,5.3732,5.3721,5.3746,5.3746,5.3744,5.3757,5.374,5.3743,5.3718,5.3735,5.3735,5.3733,5.3729,5.3729,5.3733,5.3733,5.3739,5.374,5.3741,5.374,5.3732,5.3736
6,4.7646,3.2296,3.1596,3.0102,3.1226,3.0955,3.1182,3.1373,3.1927,3.157,3.1522,3.1634,3.152,3.1516,3.1365,3.1403,3.1629,3.1568,3.1504,3.1569,3.1582,3.1517,3.1546,3.1541,3.1505,3.1496,3.1541,3.1528,3.1527,3.1532,3.1497,3.1521,3.1518,3.1515,3.1499,3.1499,3.1499,3.1481,3.1504,3.1504,3.1527,3.1511,3.1511,3.1511,3.1518,3.1518,3.1513,3.1513,3.1506,3.1508,3.1505,3.1504,3.1512,3.151
7,0.091065,0.088237,0.093035,0.084459,0.090663,0.094658,0.093437,0.087518,0.095114,0.088386,0.092828,0.090519,0.092141,0.093803,0.09343,0.092305,0.093707,0.091994,0.093418,0.092168,0.092517,0.092821,0.092992,0.092764,0.092207,0.092802,0.093188,0.092656,0.092694,0.093081,0.093065,0.092776,0.092793,0.092618,0.09261,0.09261,0.092624,0.092596,0.092781,0.092735,0.092959,0.092882,0.092882,0.092736,0.092659,0.092659,0.092734,0.092734,0.092765,0.092858,0.092821,0.092854,0.092807,0.092899
8,0.040999,0.024558,0.021028,0.022608,0.021665,0.019865,0.020678,0.02302,0.019673,0.022933,0.020775,0.021655,0.02112,0.020166,0.020447,0.02096,0.020481,0.021087,0.020501,0.021004,0.0208,0.020767,0.020709,0.020742,0.021035,0.020715,0.020597,0.020858,0.02079,0.020647,0.020639,0.020778,0.020766,0.02083,0.020811,0.020811,0.020817,0.020823,0.020744,0.020747,0.020681,0.020677,0.020677,0.020749,0.020783,0.020783,0.020759,0.020759,0.02074,0.020706,0.020725,0.020714,0.020739,0.020708
9,-6.5089e-06,-5.6361e-05,-5.2066e-05,8.1855e-05,-0.00010489,-0.00010135,-5.39e-05,-0.00012209,-9.7232e-05,-0.00011329,-0.00010513,-0.00010183,-0.00012536,-0.00010828,-0.00012082,-0.00011488,-0.00012396,-0.00013162,-0.00011249,-0.00013086,-0.00012265,-0.00012348,-0.00012954,-0.00013846,-0.00013657,-0.00012669,-0.00013574,-0.00013825,-0.00013964,-0.00013258,-0.00013654,-0.00013817,-0.00013694,-0.00013918,-0.0001378,-0.0001378,-0.00013755,-0.00013761,-0.0001393,-0.00013799,-0.00013834,-0.00013792,-0.00013792,-0.00013796,-0.00013972,-0.00013972,-0.00013907,-0.00013907,-0.00013846,-0.00013769,-0.0001386,-0.00013892,-0.00013933,-0.00013914
