,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,907.57,903.81,881.62,889.77,899.93,894.69,892.37,892.17,894.26,891.02,890.52,889.99,889.56,891.44,890.12,892.58,891.41,890.06,891.59,889.56,891.35,891.31,892.41,891.28,892.22,890.32,890.73,891.6,891.93,891.27,891.04,890.4,891.11,890.54,890.95,891.22,890.76,890.84,891.36,891.44,890.87,891.39,891.07,891.13,890.82,891.21,891.21,891.68,891.22,891.22,891.01,891.42,890.88,890.94,890.97,891.2
1,-842.01,-837.46,-822.92,-828.1,-836.97,-831.74,-831.05,-830.3,-831.9,-829.45,-829.73,-829.08,-828.23,-830.12,-828.82,-830.96,-830.22,-828.99,-830.18,-828.48,-830.0,-829.78,-830.72,-829.91,-830.59,-829.04,-829.42,-830.2,-830.47,-829.89,-829.56,-829.18,-829.65,-829.19,-829.61,-829.78,-829.44,-829.5,-829.91,-829.95,-829.56,-829.97,-829.75,-829.79,-829.48,-829.78,-829.78,-830.26,-829.8,-829.8,-829.68,-829.97,-829.58,-829.61,-829.65,-829.81
2,-113.85,-111.98,-105.85,-108.65,-109.52,-109.63,-108.09,-108.52,-108.99,-108.28,-107.59,-107.69,-108.06,-108.1,-108.06,-108.36,-107.97,-107.86,-108.17,-107.84,-108.12,-108.29,-108.45,-108.13,-108.37,-108.04,-108.08,-108.17,-108.21,-108.13,-108.23,-107.99,-108.21,-108.11,-108.1,-108.21,-108.08,-108.09,-108.21,-108.25,-108.08,-108.18,-108.09,-108.09,-108.11,-108.2,-108.2,-108.18,-108.17,-108.17,-108.09,-108.21,-108.07,-108.09,-108.08,-108.14
3,-4.0497,-3.8975,-3.5245,-3.6421,-3.734,-3.6843,-3.6296,-3.7227,-3.7774,-3.6763,-3.6093,-3.6282,-3.6659,-3.6252,-3.6362,-3.6666,-3.6297,-3.6231,-3.642,-3.644,-3.6381,-3.6507,-3.6532,-3.641,-3.6663,-3.643,-3.6425,-3.6386,-3.6489,-3.6513,-3.6579,-3.6313,-3.6477,-3.6424,-3.6418,-3.6469,-3.649,-3.6431,-3.6464,-3.6461,-3.6428,-3.6495,-3.6441,-3.6429,-3.6448,-3.6433,-3.6433,-3.6448,-3.6496,-3.6496,-3.6459,-3.6489,-3.6421,-3.646,-3.6413,-3.6474
4,-0.014374,-0.013435,-0.011802,-0.012299,-0.013081,-0.01241,-0.012453,-0.012977,-0.013115,-0.012551,-0.012318,-0.012483,-0.012511,-0.012341,-0.012356,-0.012656,-0.012333,-0.012344,-0.012404,-0.012435,-0.012441,-0.012444,-0.012502,-0.0124,-0.012555,-0.012405,-0.012448,-0.012402,-0.01249,-0.012498,-0.012541,-0.01237,-0.012462,-0.012425,-0.012438,-0.012438,-0.012481,-0.012442,-0.012446,-0.012438,-0.01243,-0.012478,-0.01247,-0.012443,-0.012443,-0.012438,-0.012438,-0.012438,-0.012487,-0.012487,-0.012444,-0.01248,-0.012442,-0.012466,-0.012427,-0.012455
5,6.7195,6.1844,6.0237,6.1057,5.9282,5.9277,6.0217,5.9145,5.9176,5.9165,5.9081,5.943,5.935,5.9566,5.9038,5.928,5.911,5.942,5.9291,5.9347,5.9327,5.9313,5.9332,5.9299,5.9311,5.9341,5.9326,5.9347,5.9306,5.9334,5.9348,5.9331,5.9328,5.931,5.9325,5.9328,5.9324,5.9326,5.9341,5.9314,5.9338,5.9332,5.9332,5.9325,5.934,5.933,5.933,5.9321,5.9327,5.9327,5.9326,5.9326,5.9337,5.9335,5.9334,5.9338
6,3.358,3.4174,3.3263,3.2824,3.3689,3.3994,3.325,3.4313,3.4491,3.4772,3.4708,3.4318,3.4422,3.4271,3.4706,3.4472,3.4644,3.4324,3.4521,3.4414,3.4395,3.4449,3.4453,3.4457,3.4454,3.4437,3.4436,3.4431,3.4482,3.4439,3.4431,3.4445,3.4447,3.4468,3.4453,3.4451,3.446,3.4444,3.4437,3.446,3.4442,3.4446,3.4443,3.4452,3.4437,3.4446,3.4446,3.4461,3.445,3.445,3.4453,3.4453,3.4441,3.4443,3.4446,3.4442
7,0.12355,0.10919,0.10109,0.1047,0.098105,0.10266,0.10278,0.10006,0.09603,0.098563,0.097443,0.098828,0.098936,0.10243,0.09875,0.10056,0.098547,0.099596,0.099903,0.099475,0.09989,0.10041,0.099347,0.099702,0.099932,0.099751,0.09974,0.099862,0.099415,0.099565,0.1002,0.10016,0.10034,0.099791,0.10029,0.099687,0.10011,0.099767,0.099846,0.099817,0.099945,0.10025,0.099748,0.09993,0.10003,0.10006,0.10006,0.0999,0.099823,0.099823,0.099853,0.099901,0.099748,0.099879,0.099936,0.099797
8,0.015654,0.020955,0.02281,0.021361,0.024796,0.022507,0.022867,0.024084,0.025861,0.024644,0.02522,0.024516,0.02457,0.022997,0.024776,0.023821,0.024722,0.024268,0.024171,0.024348,0.024123,0.023877,0.024392,0.024219,0.02409,0.024176,0.024151,0.024129,0.024363,0.024257,0.024003,0.024005,0.023959,0.024184,0.023938,0.024198,0.024019,0.024181,0.024132,0.024166,0.024112,0.023984,0.024192,0.024116,0.024064,0.024054,0.024054,0.024097,0.024143,0.024143,0.024132,0.024112,0.024164,0.02413,0.024104,0.02415
9,0.0022009,0.0012477,0.00092974,0.00069699,0.00012924,-0.00013873,7.2946e-05,-4.8507e-05,-0.00010772,-0.00015828,-9.078e-05,-0.00016265,-0.00011922,-0.00015402,-0.00017224,-0.00016748,-0.00017903,-0.0001611,-0.00016856,-0.00016792,-0.00017517,-0.00017127,-0.00015258,-0.00017332,-0.00017064,-0.00018102,-0.00019591,-0.00017881,-0.00018598,-0.00019156,-0.00018842,-0.00018382,-0.00018709,-0.00019582,-0.00019526,-0.00019648,-0.00019414,-0.0001973,-0.00019712,-0.00019627,-0.00019565,-0.00019549,-0.00019776,-0.00019687,-0.00019756,-0.00019569,-0.00019569,-0.00019724,-0.00019658,-0.00019658,-0.00019709,-0.00019664,-0.00019883,-0.00019772,-0.0001981,-0.00019561
10,-0.00032405,-0.00013245,-0.000213,-0.00012704,-8.789e-05,-4.9373e-05,-8.5052e-05,-7.5877e-05,-5.3182e-05,-4.0034e-05,-6.0208e-05,-3.6689e-05,-5.4806e-05,-3.7862e-05,-2.7759e-05,-3.1193e-05,-2.0204e-05,-3.4074e-05,-2.9982e-05,-2.9395e-05,-2.211e-05,-2.6265e-05,-3.9887e-05,-2.2668e-05,-2.641e-05,-1.6198e-05,-3.506e-06,-1.9e-05,-1.2712e-05,-8.3994e-06,-9.1966e-06,-1.3674e-05,-1.0282e-05,-3.9157e-06,-4.1855e-06,-3.5882e-06,-5.2042e-06,-2.9989e-06,-2.9206e-06,-3.511e-06,-3.8544e-06,-4.1896e-06,-2.8191e-06,-3.4352e-06,-2.9159e-06,-4.0738e-06,-4.0738e-06,-3.2693e-06,-3.7097e-06,-3.7097e-06,-3.2612e-06,-3.3254e-06,-3.1594e-06,-2.9707e-06,-2.6725e-06,-4.1267e-06
