,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,274.9,287.55,285.61,285.61,290.11,288.73,290.28,293.53,288.78,289.52,292.54,290.33,291.71,290.99,292.42,291.42,289.86,290.08,291.01,290.36,291.11,291.3,290.9,290.76,290.12,290.19,291.36,290.92,290.55,290.43,291.1,291.1,290.71,290.65,290.47,291.15,290.67,291.09,290.73,290.74,290.65,290.71,290.68,290.92,290.34,290.67,290.96,290.82,290.81
1,-262.66,-270.77,-268.04,-268.04,-272.37,-270.43,-271.85,-274.39,-270.6,-270.8,-273.35,-271.69,-272.74,-272.15,-273.39,-272.54,-271.37,-271.47,-272.09,-271.7,-272.35,-272.29,-272.05,-271.97,-271.34,-271.52,-272.39,-272.06,-271.7,-271.65,-272.25,-272.25,-271.89,-271.86,-271.72,-272.29,-271.86,-272.26,-271.9,-271.93,-271.88,-271.88,-271.91,-272.06,-271.66,-271.89,-272.08,-271.98,-272.01
2,-31.413,-34.896,-35.365,-35.365,-35.465,-36.096,-36.219,-36.882,-35.935,-36.466,-36.911,-36.396,-36.701,-36.582,-36.765,-36.61,-36.246,-36.361,-36.652,-36.411,-36.502,-36.744,-36.587,-36.532,-36.519,-36.409,-36.706,-36.607,-36.594,-36.515,-36.59,-36.59,-36.556,-36.537,-36.496,-36.599,-36.55,-36.57,-36.575,-36.548,-36.511,-36.566,-36.514,-36.591,-36.426,-36.517,-36.622,-36.579,-36.538
3,-0.42233,-0.5054,-0.5509,-0.5509,-0.56022,-0.58304,-0.57221,-0.60924,-0.57763,-0.59427,-0.60631,-0.58583,-0.60262,-0.59252,-0.60035,-0.59884,-0.58259,-0.58338,-0.5959,-0.5884,-0.58929,-0.60018,-0.59209,-0.5907,-0.59213,-0.5877,-0.59559,-0.59363,-0.59391,-0.59138,-0.59339,-0.59339,-0.59183,-0.59394,-0.5907,-0.59385,-0.59208,-0.59282,-0.59192,-0.59294,-0.59147,-0.59267,-0.59203,-0.59348,-0.58924,-0.59166,-0.59464,-0.5933,-0.59169
4,-0.00038009,-0.00052512,-0.00057871,-0.00057871,-0.00060201,-0.00063844,-0.00061498,-0.0006714,-0.00062729,-0.00065885,-0.00067155,-0.00063967,-0.00066679,-0.00064436,-0.00066272,-0.00066246,-0.00063731,-0.00063767,-0.00065127,-0.00064458,-0.00064237,-0.00066219,-0.00064886,-0.00064677,-0.00064982,-0.00064203,-0.00065304,-0.00065104,-0.0006518,-0.00064941,-0.00065187,-0.00065187,-0.00064905,-0.00065237,-0.00064828,-0.00065262,-0.00064922,-0.00065083,-0.00064896,-0.0006518,-0.00064876,-0.00065105,-0.00065045,-0.0006523,-0.00064556,-0.00064824,-0.00065495,-0.00065183,-0.00064962
5,2.1612,2.048,2.0059,2.0059,2.0922,2.1006,2.1087,2.0944,2.0878,2.0789,2.0993,2.0881,2.0866,2.0945,2.0863,2.0865,2.0882,2.0881,2.0855,2.0848,2.085,2.0852,2.0848,2.0816,2.0817,2.0816,2.0842,2.0854,2.0828,2.085,2.0853,2.0853,2.0831,2.0827,2.0829,2.0806,2.0828,2.0841,2.0847,2.0829,2.0838,2.0833,2.0848,2.0841,2.084,2.0846,2.0845,2.0845,2.0841
6,1.1348,1.2743,1.3916,1.3916,1.2888,1.321,1.3068,1.3247,1.313,1.3266,1.3049,1.3199,1.3165,1.3048,1.3126,1.3169,1.316,1.3161,1.3218,1.3198,1.3218,1.3194,1.3212,1.3231,1.3227,1.3227,1.3203,1.3192,1.3216,1.3206,1.3191,1.3191,1.3214,1.3219,1.322,1.3231,1.3227,1.3203,1.3197,1.3217,1.3206,1.3215,1.3196,1.3205,1.3207,1.3199,1.3201,1.32,1.3203
7,0.046638,0.041842,0.038529,0.038529,0.047013,0.045988,0.046895,0.046757,0.043062,0.041886,0.046884,0.043821,0.044375,0.044031,0.044517,0.043712,0.043673,0.044488,0.045162,0.04417,0.044835,0.044315,0.04442,0.044433,0.044497,0.044347,0.044406,0.044218,0.044338,0.044486,0.04434,0.04434,0.044373,0.044336,0.044249,0.043998,0.044525,0.044334,0.044236,0.044322,0.044271,0.044453,0.044314,0.044351,0.044342,0.044361,0.044337,0.044375,0.0444
8,0.0045554,0.0066578,0.0084828,0.0084828,0.0053584,0.0058849,0.0053604,0.0055595,0.0069893,0.007502,0.0052186,0.00658,0.0063497,0.0064622,0.006214,0.0066069,0.0066349,0.0062796,0.0060146,0.0064575,0.0061029,0.0063381,0.0063203,0.0063374,0.0062847,0.0063583,0.0063374,0.0063807,0.0063412,0.0062806,0.0063216,0.0063216,0.0063298,0.0063409,0.0063796,0.0064863,0.0062436,0.0063477,0.0063756,0.0063407,0.006374,0.0062781,0.0063502,0.0063272,0.006336,0.0063326,0.0063341,0.0063189,0.0063187
9,-7.3861e-05,-6.9915e-06,6.461e-05,6.461e-05,-4.5957e-05,-2.9834e-05,-3.0528e-05,-2.1004e-05,-1.7149e-05,-1.5096e-05,-2.2757e-05,-7.4193e-06,-1.4744e-05,-1.0657e-05,-1.2782e-05,-1.0101e-05,-9.0344e-06,-1.2483e-05,-1.5446e-05,-1.3706e-05,-1.0538e-05,-1.0188e-05,-1.1761e-05,-1.2601e-05,-1.1916e-05,-1.1591e-05,-1.2297e-05,-1.0319e-05,-1.0154e-05,-1.1317e-05,-1.0002e-05,-1.0002e-05,-1.065e-05,-9.9772e-06,-9.79e-06,-9.1826e-06,-9.9782e-06,-1.1032e-05,-1.0235e-05,-9.8137e-06,-1.0738e-05,-1.0285e-05,-1.0876e-05,-1.0191e-05,-1.0326e-05,-1.121e-05,-1.0146e-05,-1.0546e-05,-1.1238e-05
10,8.5187e-07,1.739e-06,1.4177e-06,1.4177e-06,1.349e-06,4.1243e-06,2.9479e-06,1.5488e-06,4.0203e-06,1.4362e-06,2.5507e-06,1.7062e-06,1.5805e-06,1.7419e-06,1.5686e-06,1.3585e-06,1.3188e-06,1.4835e-06,4.439e-07,3.5273e-06,1.0859e-06,1.5422e-06,1.6598e-06,2.2903e-06,1.8903e-06,2.7822e-06,1.7125e-06,2.1976e-06,1.4539e-06,1.3991e-06,2.0967e-06,2.0967e-06,1.5669e-06,1.572e-06,1.757e-06,2.0997e-06,1.9438e-06,2.8705e-06,2.5608e-06,2.6132e-06,2.4661e-06,2.6353e-06,1.9093e-06,2.2744e-06,2.6028e-06,2.7208e-06,2.7224e-06,2.7429e-06,2.1569e-06
