,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
0,368.75,369.53,378.07,384.55,381.42,383.71,388.71,379.38,380.68,380.73,381.32,380.64,381.74,382.78,385.04,380.96,383.49,383.72,381.04,383.54,383.13,383.13,383.04,383.2,381.03,382.69,383.43,381.29,382.69,382.69,383.47,383.47,382.24,382.24,382.24,383.06,383.36,382.99,382.29,382.04,382.04,382.52,382.99,382.99,382.99,382.97,382.64,382.68,382.86,382.86,382.96,382.64,382.64,382.76,382.83,382.84,382.72,382.6,382.6,382.91,382.91,382.91,382.95,382.95,382.82,382.82,382.82
1,-348.99,-342.2,-350.45,-354.05,-350.98,-353.09,-357.12,-349.03,-350.44,-350.72,-351.12,-350.27,-351.58,-352.1,-354.18,-350.77,-352.58,-352.92,-350.95,-352.79,-352.6,-352.6,-352.39,-352.62,-350.82,-352.35,-352.64,-351.15,-352.02,-352.02,-352.77,-352.77,-351.89,-351.89,-351.89,-352.45,-352.63,-352.37,-351.81,-351.67,-351.67,-352.02,-352.38,-352.38,-352.38,-352.35,-352.14,-352.14,-352.18,-352.18,-352.3,-352.14,-352.14,-352.17,-352.29,-352.29,-352.19,-352.11,-352.11,-352.32,-352.32,-352.32,-352.33,-352.33,-352.23,-352.23,-352.23
2,-44.891,-49.371,-49.527,-52.375,-52.123,-52.434,-53.26,-52.072,-52.023,-51.781,-51.96,-52.106,-51.919,-52.44,-52.621,-51.955,-52.661,-52.546,-51.857,-52.498,-52.287,-52.287,-52.394,-52.328,-51.988,-52.106,-52.537,-51.911,-52.426,-52.426,-52.455,-52.455,-52.121,-52.121,-52.121,-52.371,-52.477,-52.379,-52.237,-52.136,-52.136,-52.255,-52.36,-52.36,-52.36,-52.374,-52.258,-52.294,-52.433,-52.433,-52.413,-52.256,-52.256,-52.343,-52.308,-52.308,-52.286,-52.25,-52.25,-52.345,-52.345,-52.345,-52.37,-52.37,-52.345,-52.345,-52.345
3,-0.79725,-1.098,-1.0185,-1.1137,-1.1848,-1.1404,-1.2081,-1.1638,-1.1362,-1.1465,-1.1498,-1.1649,-1.1397,-1.1578,-1.1644,-1.1571,-1.1673,-1.1708,-1.1416,-1.1662,-1.1599,-1.1599,-1.169,-1.1606,-1.1443,-1.1454,-1.1714,-1.1405,-1.1565,-1.1565,-1.1581,-1.1581,-1.1469,-1.1469,-1.1469,-1.1616,-1.163,-1.1594,-1.1547,-1.1507,-1.1507,-1.1525,-1.1585,-1.1585,-1.1585,-1.1607,-1.1538,-1.1537,-1.1608,-1.1608,-1.1613,-1.1534,-1.1534,-1.1569,-1.1559,-1.1563,-1.1567,-1.1554,-1.1554,-1.1585,-1.1585,-1.1585,-1.1605,-1.1605,-1.1563,-1.1563,-1.1563
4,-0.0011618,-0.0018404,-0.0016326,-0.0018155,-0.0022201,-0.001902,-0.0021442,-0.002062,-0.001942,-0.0019804,-0.001972,-0.0020087,-0.0019673,-0.002002,-0.0020074,-0.0020169,-0.002023,-0.0020276,-0.0019712,-0.0020118,-0.0020056,-0.0020056,-0.002049,-0.0019975,-0.001972,-0.0019654,-0.002035,-0.0019553,-0.0019811,-0.0019811,-0.0020011,-0.0020011,-0.001972,-0.001972,-0.001972,-0.0020161,-0.0020067,-0.0019959,-0.0019858,-0.0019843,-0.0019843,-0.0019854,-0.0020009,-0.0020009,-0.0020009,-0.0019997,-0.0019917,-0.0019896,-0.0020046,-0.0020046,-0.00201,-0.0019875,-0.0019875,-0.001998,-0.0019908,-0.0019957,-0.0019971,-0.0019907,-0.0019907,-0.0020039,-0.0020039,-0.0020039,-0.0020081,-0.0020081,-0.0019898,-0.0019898,-0.0019898
5,3.1526,2.7187,2.687,2.549,2.6731,2.5956,2.6298,2.6008,2.608,2.6083,2.6028,2.6049,2.588,2.6275,2.6319,2.6073,2.6168,2.6116,2.6153,2.6088,2.6202,2.6202,2.6105,2.615,2.6104,2.6112,2.6098,2.6122,2.6171,2.6171,2.6128,2.6128,2.6104,2.6104,2.6104,2.6111,2.6117,2.6118,2.6124,2.6107,2.6107,2.6124,2.6098,2.6098,2.6098,2.6109,2.6118,2.6118,2.6115,2.6115,2.6123,2.6121,2.6121,2.6119,2.6117,2.612,2.6116,2.6118,2.6118,2.6118,2.6118,2.6118,2.6118,2.6118,2.6112,2.6112,2.6112
6,1.2494,1.5653,1.6248,1.6889,1.5629,1.6567,1.6055,1.6503,1.6354,1.6615,1.6462,1.6391,1.6594,1.6518,1.6349,1.6514,1.6408,1.6439,1.6436,1.6451,1.6432,1.6432,1.6428,1.649,1.6479,1.648,1.6472,1.6437,1.6429,1.6429,1.6453,1.6453,1.6481,1.6481,1.6481,1.6472,1.6469,1.6461,1.6456,1.6479,1.6479,1.6455,1.6487,1.6487,1.6487,1.6474,1.6463,1.6464,1.6466,1.6466,1.6457,1.6459,1.6459,1.646,1.6464,1.6462,1.6464,1.6463,1.6463,1.6463,1.6463,1.6463,1.6463,1.6463,1.647,1.647,1.647
7,0.066521,0.055367,0.076859,0.045789,0.052728,0.050782,0.0521,0.052902,0.052478,0.051276,0.049968,0.049628,0.052843,0.055191,0.054387,0.050862,0.051968,0.052472,0.052917,0.053136,0.053355,0.053355,0.05261,0.052469,0.053291,0.052797,0.052797,0.053217,0.053754,0.053754,0.053465,0.053465,0.052538,0.052538,0.052538,0.052607,0.053116,0.052625,0.052809,0.052834,0.052834,0.052737,0.052647,0.052647,0.052647,0.052495,0.052687,0.052358,0.05241,0.05241,0.052702,0.052663,0.052663,0.052432,0.052624,0.052748,0.052659,0.05265,0.05265,0.052701,0.052701,0.052701,0.052627,0.052627,0.052554,0.052554,0.052554
8,0.0033556,0.0072917,0.0016656,0.011625,0.0083096,0.0091569,0.0086215,0.0082154,0.0082625,0.0088296,0.0095145,0.0095166,0.0083096,0.0072465,0.0074558,0.0090894,0.0086176,0.0084031,0.0081775,0.0080612,0.0079704,0.0079704,0.0082862,0.0083079,0.0080441,0.0082222,0.0082496,0.0080661,0.0078049,0.0078049,0.0079088,0.0079088,0.0083273,0.0083273,0.0083273,0.0082821,0.0080737,0.0082882,0.0082188,0.0081762,0.0081762,0.0082539,0.0082696,0.0082696,0.0082696,0.0083215,0.0082546,0.0083904,0.008361,0.008361,0.0082621,0.0082719,0.0082719,0.0083641,0.0082831,0.0082295,0.0082685,0.0082735,0.0082735,0.0082525,0.0082525,0.0082525,0.0082794,0.0082794,0.0083077,0.0083077,0.0083077
9,-7.5122e-05,-4.5732e-05,-6.3771e-05,1.1199e-06,-2.1334e-05,-2.4281e-05,-2.5706e-05,-2.8847e-05,-5.6908e-06,-6.8254e-06,-1.0263e-05,7.7133e-06,-2.8754e-05,-2.4456e-05,-2.5893e-05,-5.5595e-06,-1.3742e-05,-1.8024e-05,-1.9944e-05,-1.8222e-05,-1.6912e-05,-1.6912e-05,-1.3893e-05,-9.0263e-06,-1.995e-05,-1.4702e-05,-1.8381e-05,-2.1101e-05,-2.0418e-05,-2.0418e-05,-1.7279e-05,-1.7279e-05,-1.3186e-05,-1.3186e-05,-1.3186e-05,-1.3444e-05,-1.6293e-05,-1.4678e-05,-1.6321e-05,-1.319e-05,-1.319e-05,-1.6203e-05,-1.3041e-05,-1.3041e-05,-1.3041e-05,-1.1393e-05,-1.3685e-05,-1.1088e-05,-1.1156e-05,-1.1156e-05,-1.543e-05,-1.429e-05,-1.429e-05,-1.2403e-05,-1.3713e-05,-1.4293e-05,-1.3797e-05,-1.441e-05,-1.441e-05,-1.4463e-05,-1.4463e-05,-1.4463e-05,-1.3978e-05,-1.3978e-05,-1.2554e-05,-1.2554e-05,-1.2554e-05
