,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,486.94,472.53,460.84,460.84,466.35,472.69,471.67,468.67,471.44,469.93,473.44,470.11,470.71,472.23,470.54,471.13,471.29,472.39,473.19,469.55,472.48,471.94,471.11,471.46,471.41,471.21,471.27,471.97,471.83,472.13,471.53,470.93,471.62,471.08,471.65,471.68,471.63,471.52,471.62,471.69,471.58,471.69,471.81,471.59,471.68,471.85,471.31,471.68,471.24,471.41,471.9,471.7,471.55,471.55,471.61
1,-442.81,-431.57,-424.17,-424.17,-427.17,-431.28,-431.34,-429.03,-430.52,-429.43,-432.56,-429.69,-430.2,-431.29,-430.13,-430.43,-430.89,-431.19,-432.17,-429.42,-431.5,-431.17,-430.61,-430.88,-430.69,-430.6,-430.65,-431.17,-431.16,-431.36,-430.79,-430.48,-430.9,-430.55,-431.02,-431.04,-430.96,-430.9,-430.92,-430.97,-430.89,-431.01,-431.12,-430.94,-430.95,-431.09,-430.71,-430.96,-430.68,-430.77,-431.11,-431.04,-430.92,-430.94,-430.93
2,-71.389,-66.684,-62.555,-62.555,-64.99,-67.12,-66.068,-65.421,-66.617,-66.22,-66.58,-66.153,-66.224,-66.641,-66.122,-66.405,-66.121,-66.872,-66.722,-65.854,-66.675,-66.475,-66.217,-66.295,-66.424,-66.32,-66.329,-66.488,-66.371,-66.474,-66.44,-66.167,-66.426,-66.246,-66.341,-66.356,-66.379,-66.326,-66.412,-66.422,-66.394,-66.386,-66.394,-66.354,-66.434,-66.467,-66.309,-66.428,-66.264,-66.342,-66.489,-66.369,-66.339,-66.318,-66.385
3,-1.854,-1.8872,-1.6188,-1.6188,-1.688,-1.8299,-1.7542,-1.733,-1.8063,-1.7865,-1.7901,-1.7583,-1.7828,-1.8041,-1.7835,-1.7936,-1.7767,-1.824,-1.797,-1.7656,-1.7986,-1.7948,-1.7786,-1.7803,-1.7865,-1.7832,-1.792,-1.798,-1.7865,-1.7939,-1.7912,-1.7712,-1.7887,-1.7774,-1.7818,-1.7852,-1.7896,-1.7842,-1.7896,-1.7879,-1.7877,-1.7883,-1.7849,-1.787,-1.7912,-1.7922,-1.7843,-1.7889,-1.7846,-1.7876,-1.7914,-1.7893,-1.7852,-1.784,-1.788
4,-0.0043358,-0.004262,-0.0036017,-0.0036017,-0.0037351,-0.004204,-0.0039255,-0.0039378,-0.0041512,-0.0040951,-0.0041278,-0.0039898,-0.0040658,-0.0041496,-0.004101,-0.0041635,-0.0041212,-0.004258,-0.0041396,-0.0040429,-0.0041558,-0.004145,-0.0041051,-0.0041091,-0.0041207,-0.0041129,-0.0041454,-0.0041475,-0.0041051,-0.004139,-0.0041403,-0.0040608,-0.0041229,-0.0040774,-0.0040963,-0.0041036,-0.0041253,-0.0041095,-0.0041294,-0.004113,-0.0041161,-0.0041201,-0.0041067,-0.0041172,-0.0041315,-0.0041411,-0.0041047,-0.0041179,-0.0041142,-0.0041191,-0.0041265,-0.0041305,-0.0041134,-0.0041079,-0.0041231
5,3.2921,3.0266,3.0301,3.0301,3.189,3.1877,3.1942,3.1634,3.1669,3.1432,3.1368,3.1557,3.1513,3.1527,3.1506,3.151,3.1498,3.1476,3.1481,3.1462,3.1508,3.1455,3.1471,3.1461,3.1457,3.1468,3.1449,3.1442,3.1436,3.1437,3.145,3.1484,3.1453,3.1455,3.1484,3.1465,3.1454,3.1462,3.1472,3.1457,3.148,3.1476,3.1469,3.1479,3.1477,3.1474,3.1476,3.1479,3.1476,3.1474,3.1478,3.1471,3.1477,3.1474,3.1473
6,1.7287,2.0778,2.0691,2.0691,1.9055,1.9418,1.9093,1.9421,1.9438,1.9814,1.9613,1.958,1.957,1.9626,1.9634,1.9577,1.961,1.9599,1.9627,1.9644,1.9607,1.9677,1.9643,1.9648,1.9657,1.9651,1.9666,1.966,1.9671,1.9673,1.9654,1.9618,1.9665,1.9647,1.9622,1.9642,1.9667,1.964,1.9631,1.9649,1.9623,1.9627,1.9636,1.9628,1.9628,1.9631,1.9629,1.9625,1.9625,1.9632,1.9627,1.9635,1.9627,1.9629,1.9634
7,0.067208,0.064025,0.054179,0.054179,0.068042,0.06688,0.066514,0.061038,0.061067,0.060745,0.058168,0.061879,0.062194,0.062622,0.062525,0.061462,0.062704,0.061995,0.062523,0.062253,0.06273,0.061918,0.062256,0.062179,0.06243,0.062419,0.062102,0.062237,0.062395,0.062144,0.062009,0.062014,0.062593,0.062167,0.062266,0.062219,0.062462,0.062114,0.06218,0.062198,0.062358,0.062225,0.062249,0.062317,0.062289,0.062279,0.062294,0.062279,0.062182,0.062194,0.062304,0.062252,0.06225,0.061983,0.062213
8,0.0074941,0.0084135,0.013357,0.013357,0.0079141,0.0078026,0.0084289,0.010576,0.01062,0.010723,0.011863,0.010292,0.010127,0.010002,0.009962,0.01048,0.0098508,0.010266,0.0099846,0.01011,0.0099447,0.010257,0.010138,0.010148,0.010054,0.010061,0.010178,0.01016,0.010067,0.010173,0.010226,0.010221,0.0099903,0.010178,0.010092,0.010119,0.01,0.01016,0.010146,0.010125,0.010078,0.010127,0.010122,0.010069,0.010092,0.0101,0.010092,0.010095,0.01015,0.010128,0.010101,0.010116,0.010118,0.010225,0.010118
9,-0.00011803,-2.4507e-05,2.4492e-05,2.4492e-05,-8.7245e-05,-6.1723e-05,-7.7562e-05,-4.5727e-05,-4.9531e-05,-4.2276e-05,-3.7639e-05,-5.3803e-05,-5.5959e-05,-5.9736e-05,-5.3647e-05,-4.9975e-05,-5.2231e-05,-5.3812e-05,-5.3676e-05,-4.9657e-05,-5.5443e-05,-4.5965e-05,-5.0758e-05,-5.0196e-05,-5.1399e-05,-5.1137e-05,-4.9885e-05,-5.3381e-05,-5.2439e-05,-5.0732e-05,-5.0011e-05,-5.1016e-05,-5.2544e-05,-5.2021e-05,-5.1052e-05,-5.0297e-05,-5.0205e-05,-4.9673e-05,-5.0331e-05,-5.0071e-05,-5.2718e-05,-5.1008e-05,-5.1125e-05,-5.0369e-05,-5.1092e-05,-5.0785e-05,-5.0478e-05,-5.0885e-05,-5.1372e-05,-5.0475e-05,-5.1792e-05,-5.1342e-05,-5.1411e-05,-4.9623e-05,-5.0707e-05
