,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
0,569.01,565.99,553.78,553.78,556.68,555.02,561.27,555.21,560.08,559.18,558.22,554.79,556.96,556.66,556.29,556.56,558.58,557.48,558.54,557.47,556.8,557.54,557.68,557.09,557.98,557.11,556.73,556.47,556.48,557.09,556.98,556.99,557.0,556.4,557.01,556.4,556.84,556.84,556.54,556.88,557.21,556.5,556.5,557.14,556.74,556.94,557.2,556.69,557.03,556.88,556.62,557.27,556.65,557.17,556.85,556.91,557.07,557.11,556.73
1,-519.34,-515.66,-507.5,-507.5,-509.62,-508.0,-511.52,-507.82,-510.5,-510.3,-509.31,-507.31,-508.8,-508.49,-508.45,-508.32,-509.89,-508.67,-509.94,-509.14,-508.64,-509.05,-509.18,-508.87,-509.48,-508.68,-508.5,-508.55,-508.32,-508.83,-508.81,-508.68,-508.8,-508.32,-508.75,-508.31,-508.72,-508.7,-508.56,-508.68,-508.96,-508.45,-508.45,-508.88,-508.59,-508.75,-508.97,-508.59,-508.83,-508.61,-508.48,-508.97,-508.48,-508.91,-508.68,-508.75,-508.81,-508.86,-508.59
2,-80.691,-80.008,-76.075,-76.075,-76.891,-76.695,-79.368,-77.153,-79.194,-78.56,-78.584,-77.232,-77.889,-77.865,-77.561,-77.946,-78.391,-78.489,-78.29,-78.024,-77.879,-78.175,-78.203,-77.938,-78.198,-78.13,-77.945,-77.652,-77.872,-77.968,-77.888,-78.01,-77.912,-77.798,-77.966,-77.819,-77.832,-77.856,-77.702,-77.905,-77.964,-77.77,-77.77,-77.958,-77.861,-77.907,-77.933,-77.81,-77.92,-77.975,-77.86,-78.013,-77.885,-77.978,-77.889,-77.875,-77.96,-77.958,-77.861
3,-2.3575,-2.4449,-2.2215,-2.2215,-2.2817,-2.3048,-2.4844,-2.3142,-2.4549,-2.4035,-2.4115,-2.3305,-2.3488,-2.3714,-2.3521,-2.3707,-2.3821,-2.3967,-2.3831,-2.3813,-2.3503,-2.3863,-2.3671,-2.3628,-2.3788,-2.3757,-2.3661,-2.3401,-2.3591,-2.3698,-2.3646,-2.3752,-2.3655,-2.3565,-2.3699,-2.3568,-2.3555,-2.3593,-2.3522,-2.365,-2.3658,-2.3572,-2.3572,-2.373,-2.3651,-2.3613,-2.3654,-2.3626,-2.3651,-2.3711,-2.3594,-2.3691,-2.3628,-2.3657,-2.3622,-2.3605,-2.3695,-2.3668,-2.3654
4,-0.0065584,-0.0067899,-0.0058532,-0.0058532,-0.0062707,-0.006276,-0.0069705,-0.0062938,-0.0069152,-0.0066173,-0.0066585,-0.0062954,-0.0063839,-0.0064741,-0.0064651,-0.006531,-0.006529,-0.006611,-0.0065362,-0.0065724,-0.0064235,-0.0065545,-0.0064527,-0.0064779,-0.0065076,-0.0065101,-0.0064833,-0.0063673,-0.0064538,-0.0065094,-0.0064693,-0.0065312,-0.0064732,-0.0064485,-0.006513,-0.0064354,-0.0064369,-0.0064535,-0.0064282,-0.0064911,-0.006483,-0.0064429,-0.0064429,-0.0065217,-0.0064754,-0.006456,-0.0064771,-0.0064631,-0.006479,-0.0065032,-0.0064513,-0.0064887,-0.0064652,-0.0064822,-0.0064619,-0.0064582,-0.0064957,-0.0064877,-0.0064787
5,3.9649,3.4742,3.6857,3.6857,3.7285,3.6256,3.7365,3.7014,3.6984,3.6965,3.6816,3.6977,3.6977,3.6941,3.6998,3.6944,3.6978,3.6885,3.6991,3.6902,3.6845,3.693,3.6912,3.6897,3.6891,3.6902,3.6884,3.6914,3.6893,3.6895,3.6913,3.6882,3.6922,3.6887,3.689,3.6894,3.6903,3.6918,3.6906,3.6895,3.6907,3.6906,3.6906,3.6918,3.6912,3.6914,3.6914,3.6911,3.6912,3.6912,3.6917,3.6908,3.6917,3.6916,3.691,3.6917,3.6925,3.6916,3.6913
6,2.071,2.3577,2.2503,2.2503,2.2502,2.3319,2.2557,2.2668,2.266,2.2722,2.2972,2.2729,2.2662,2.2875,2.2577,2.2679,2.2659,2.2731,2.2699,2.2745,2.2801,2.2752,2.2743,2.2753,2.2764,2.2759,2.2772,2.2743,2.2734,2.2758,2.2752,2.2761,2.2731,2.2761,2.2761,2.2749,2.2746,2.2728,2.2739,2.2755,2.274,2.274,2.274,2.2729,2.2732,2.2736,2.2732,2.2735,2.2733,2.2734,2.2728,2.2738,2.2728,2.2729,2.2737,2.2729,2.2718,2.2729,2.2733
7,0.078213,0.060398,0.072473,0.072473,0.070108,0.068572,0.070849,0.069091,0.070326,0.068676,0.068905,0.06897,0.068857,0.071109,0.069193,0.068944,0.06889,0.069683,0.0694,0.069716,0.069335,0.069742,0.069751,0.069686,0.069952,0.070023,0.069659,0.069838,0.068988,0.069786,0.070175,0.069648,0.070508,0.06977,0.069668,0.069988,0.070043,0.069695,0.069663,0.069881,0.069885,0.06972,0.06972,0.069867,0.069752,0.069837,0.069858,0.069917,0.069801,0.069739,0.069848,0.069809,0.069796,0.069689,0.069763,0.069765,0.069707,0.069797,0.069822
8,0.0090806,0.01627,0.011086,0.011086,0.012339,0.013126,0.011433,0.012474,0.012024,0.012679,0.012645,0.012613,0.012724,0.011764,0.012476,0.012659,0.01269,0.012304,0.012463,0.012249,0.012422,0.012241,0.012273,0.012288,0.01218,0.012172,0.012303,0.01222,0.012576,0.012246,0.012084,0.012316,0.011953,0.012253,0.012311,0.01215,0.012135,0.012253,0.012282,0.012184,0.012197,0.012268,0.012268,0.01219,0.012259,0.012211,0.012212,0.012188,0.012245,0.012264,0.012221,0.012238,0.012239,0.012278,0.012244,0.012249,0.01228,0.012247,0.012226
9,-5.2914e-05,-3.1195e-05,-5.8452e-05,-5.8452e-05,-7.7717e-05,-5.7001e-05,-6.615e-05,-5.9743e-05,-7.2965e-05,-7.856e-05,-7.435e-05,-7.3372e-05,-7.1344e-05,-8.0556e-05,-7.7131e-05,-7.5089e-05,-7.6389e-05,-7.9402e-05,-7.8696e-05,-7.6009e-05,-7.6578e-05,-7.5229e-05,-7.7083e-05,-7.654e-05,-7.8358e-05,-7.8572e-05,-7.6886e-05,-7.7056e-05,-7.5276e-05,-7.827e-05,-7.8853e-05,-7.7607e-05,-8.0868e-05,-7.7529e-05,-7.7341e-05,-7.8753e-05,-7.9387e-05,-7.7148e-05,-7.6223e-05,-7.7486e-05,-7.8562e-05,-7.7841e-05,-7.7841e-05,-7.783e-05,-7.7932e-05,-7.8348e-05,-7.8216e-05,-7.844e-05,-7.8432e-05,-7.8477e-05,-7.8915e-05,-7.8582e-05,-7.8452e-05,-7.7865e-05,-7.796e-05,-7.8292e-05,-7.8715e-05,-7.8657e-05,-7.8573e-05
10,-8.7624e-06,-4.0283e-05,-3.38e-05,-3.38e-05,-4.1831e-06,-1.9842e-05,-6.0137e-06,-1.5965e-05,-4.6509e-06,-6.0907e-07,-3.0397e-06,-5.4832e-07,-2.9177e-06,-1.1213e-07,-2.2802e-06,-8.2553e-07,-1.1482e-07,5.0281e-07,7.1916e-07,7.8644e-08,-3.1025e-08,-6.9929e-07,3.2797e-07,-4.3875e-07,3.2174e-07,7.8264e-07,-1.1574e-07,-2.5498e-07,2.9415e-08,2.2205e-07,3.2606e-07,2.8032e-08,1.1528e-06,9.0203e-07,7.1126e-08,1.3952e-08,3.7386e-07,2.1706e-07,7.2006e-07,5.1009e-07,8.425e-07,2.1827e-07,2.1827e-07,-9.3889e-08,7.0455e-07,3.2866e-06,5.8345e-07,9.9132e-07,1.6251e-06,3.3871e-06,2.673e-06,7.0783e-07,1e-06,9.2878e-07,3.2325e-06,2.1211e-06,1.6462e-06,2.3124e-06,1.1698e-06
11,-1.0327e-05,1.0823e-05,1.3358e-05,1.3358e-05,,2.0278e-06,,-4.2147e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,-4.9971e-07,-1.2351e-06,-3.8059e-07,-3.8059e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
