,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
0,643.23,643.34,647.6,647.6,643.13,644.13,641.06,641.06,642.99,638.84,640.96,642.02,643.39,641.21,642.11,641.23,642.06,640.7,640.16,641.48,640.83,641.29,641.37,640.7,641.73,640.9,640.76,641.53,640.6,641.64,641.62,642.18,641.06,641.46,641.7,641.07,641.34,641.2,641.38,641.02,641.35,641.5,641.5,641.25,640.72,641.43,641.11,641.3,641.15,641.53,641.07,641.25,641.53,641.66,641.01,641.01,641.24,641.46,641.24,641.27,641.42,641.14
1,-587.31,-591.83,-592.08,-592.08,-588.34,-589.36,-587.69,-587.69,-588.77,-585.99,-587.05,-587.86,-588.91,-587.08,-587.84,-587.56,-588.06,-586.79,-586.44,-587.67,-586.98,-587.62,-587.61,-586.91,-587.69,-587.21,-587.05,-587.57,-587.01,-587.81,-587.69,-588.18,-587.2,-587.54,-587.85,-587.4,-587.42,-587.43,-587.51,-587.24,-587.51,-587.51,-587.51,-587.49,-587.01,-587.54,-587.33,-587.5,-587.29,-587.65,-587.2,-587.41,-587.57,-587.71,-587.19,-587.19,-587.4,-587.57,-587.38,-587.4,-587.52,-587.35
2,-91.69,-86.005,-89.193,-89.193,-88.4,-88.571,-87.186,-87.186,-87.923,-86.667,-87.658,-87.941,-88.219,-87.879,-88.039,-87.468,-87.763,-87.698,-87.497,-87.587,-87.622,-87.457,-87.539,-87.57,-87.813,-87.485,-87.499,-87.732,-87.37,-87.61,-87.712,-87.777,-87.64,-87.69,-87.631,-87.452,-87.689,-87.561,-87.642,-87.558,-87.614,-87.765,-87.765,-87.553,-87.505,-87.67,-87.562,-87.583,-87.628,-87.657,-87.643,-87.614,-87.73,-87.722,-87.591,-87.591,-87.618,-87.655,-87.636,-87.654,-87.675,-87.566
3,-3.0993,-2.7571,-2.9702,-2.9702,-2.9542,-2.9308,-2.8786,-2.8786,-2.9501,-2.8511,-2.8689,-2.892,-2.9201,-2.9159,-2.896,-2.8562,-2.8904,-2.8688,-2.8816,-2.8829,-2.8801,-2.8721,-2.8802,-2.8766,-2.8831,-2.8598,-2.8667,-2.8829,-2.8764,-2.8784,-2.8812,-2.8831,-2.8839,-2.8873,-2.8812,-2.8666,-2.8884,-2.8704,-2.8797,-2.8787,-2.8831,-2.8878,-2.8878,-2.8706,-2.8697,-2.8839,-2.874,-2.8714,-2.8821,-2.8846,-2.8852,-2.878,-2.8847,-2.8858,-2.878,-2.878,-2.878,-2.8868,-2.8842,-2.8789,-2.8828,-2.8788
4,-0.009618,-0.007884,-0.0092459,-0.0092459,-0.0090982,-0.0090049,-0.0088001,-0.0088001,-0.0091531,-0.0087083,-0.0087559,-0.0087999,-0.0089396,-0.0090294,-0.0088286,-0.0086698,-0.0087816,-0.0086527,-0.0088313,-0.0087396,-0.0087894,-0.0086861,-0.0087555,-0.0087401,-0.0087443,-0.0086335,-0.0086794,-0.0087532,-0.0087541,-0.008706,-0.0087395,-0.0087672,-0.0087907,-0.0087866,-0.0087747,-0.0086976,-0.0087935,-0.0087172,-0.0087596,-0.0087595,-0.0087765,-0.0087972,-0.0087972,-0.0086842,-0.0087128,-0.0087644,-0.0087253,-0.0087252,-0.0087707,-0.0087868,-0.0087784,-0.0087563,-0.008783,-0.0087805,-0.0087475,-0.0087475,-0.0087462,-0.0087995,-0.0087821,-0.0087493,-0.0087659,-0.0087633
5,4.8511,4.1802,4.0983,4.0983,4.2694,4.2598,4.2705,4.2705,4.257,4.2367,4.2105,4.2526,4.2541,4.2715,4.2373,4.2352,4.2442,4.2347,4.2422,4.2504,4.2508,4.246,4.2553,4.2472,4.2451,4.2509,4.2467,4.2462,4.2475,4.2496,4.2479,4.246,4.2477,4.2496,4.2488,4.2488,4.2479,4.2502,4.2497,4.2488,4.2488,4.2513,4.2513,4.2498,4.2497,4.2479,4.2499,4.2509,4.2505,4.2506,4.2501,4.2497,4.2502,4.2493,4.2501,4.2501,4.2499,4.2496,4.2493,4.2507,4.2501,4.2495
6,2.1786,2.4738,2.5991,2.5991,2.5012,2.5631,2.5763,2.5763,2.5525,2.5882,2.5815,2.5779,2.56,2.5354,2.574,2.5789,2.5696,2.5835,2.5773,2.5669,2.5709,2.567,2.563,2.5707,2.5713,2.5679,2.5719,2.5734,2.5695,2.5671,2.5694,2.5708,2.5722,2.568,2.569,2.5682,2.5694,2.5672,2.5671,2.5679,2.5683,2.5658,2.5658,2.5676,2.568,2.5697,2.5675,2.5666,2.5668,2.5667,2.5671,2.5675,2.567,2.5678,2.5673,2.5673,2.5674,2.5677,2.568,2.5663,2.5671,2.5678
7,0.093827,0.072193,0.069185,0.069185,0.083546,0.080472,0.082713,0.082713,0.076642,0.077707,0.077904,0.076991,0.078721,0.077803,0.076368,0.078012,0.077944,0.077716,0.078054,0.078127,0.079418,0.078083,0.079143,0.077976,0.078096,0.079673,0.078302,0.078499,0.078368,0.07831,0.078718,0.078518,0.078801,0.078687,0.078635,0.078656,0.078357,0.078389,0.078395,0.078425,0.078345,0.078389,0.078389,0.078429,0.078397,0.078411,0.078464,0.078452,0.078479,0.078368,0.078483,0.078586,0.078082,0.078489,0.078425,0.078425,0.078406,0.078492,0.078506,0.078394,0.078497,0.078406
8,0.0089394,0.015179,0.018509,0.018509,0.012529,0.013849,0.013202,0.013202,0.015689,0.015092,0.01512,0.01535,0.014614,0.014838,0.015596,0.014841,0.014911,0.015047,0.014829,0.014852,0.014233,0.014882,0.01439,0.014868,0.014837,0.014184,0.014713,0.014651,0.014671,0.014712,0.014587,0.014626,0.014533,0.014585,0.014602,0.014581,0.014695,0.014655,0.014672,0.014677,0.014711,0.014674,0.014674,0.014641,0.014666,0.014649,0.014638,0.014653,0.01465,0.014661,0.014634,0.014599,0.014783,0.014632,0.014648,0.014648,0.014659,0.014632,0.014629,0.014678,0.014639,0.01467
9,0.00028081,0.00012147,-6.9855e-05,-6.9855e-05,-3.0986e-05,-5.4121e-05,-6.4573e-05,-6.4573e-05,-8.3366e-05,-7.9716e-05,-7.2305e-05,-7.7565e-05,-7.7125e-05,-9.1095e-05,-8.748e-05,-9.0908e-05,-8.7263e-05,-9.3106e-05,-8.2532e-05,-9.0641e-05,-8.6811e-05,-9.4572e-05,-8.2348e-05,-8.7502e-05,-9.0047e-05,-9.2723e-05,-8.8917e-05,-8.9415e-05,-9.3743e-05,-9.1037e-05,-9.287e-05,-9.4425e-05,-9.5735e-05,-9.38e-05,-9.409e-05,-9.0404e-05,-9.0706e-05,-9.0905e-05,-9.4317e-05,-9.1425e-05,-9.4956e-05,-9.0324e-05,-9.0324e-05,-9.4836e-05,-9.5114e-05,-8.8244e-05,-9.3681e-05,-9.4804e-05,-9.3696e-05,-9.326e-05,-9.4684e-05,-9.1415e-05,-9.3971e-05,-9.3475e-05,-9.4677e-05,-9.4677e-05,-9.5406e-05,-9.5164e-05,-9.3495e-05,-9.4401e-05,-9.5832e-05,-9.3187e-05
