,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,756.73,722.47,728.16,728.16,723.83,723.83,727.2,724.21,724.24,726.94,727.1,724.71,723.23,725.88,724.42,725.66,724.51,726.2,723.79,725.45,725.15,725.37,725.34,725.67,725.55,725.26,725.31,725.42,724.37,724.87,725.08,725.16,724.79,725.06,724.54,725.13,724.68,725.12,725.32,725.18,724.45,724.8,725.1,725.26,725.05,725.41,725.11,724.9,724.92,725.21,725.08,725.15,725.03,724.96,725.48,725.48,725.15,725.15,724.92,724.96,724.88,725.01,724.68,725.23
1,-687.86,-664.55,-670.1,-670.1,-665.51,-665.51,-668.19,-666.56,-666.28,-668.82,-669.33,-666.76,-665.5,-667.96,-667.07,-667.63,-666.65,-668.13,-666.27,-667.22,-667.32,-667.52,-667.66,-667.45,-667.51,-667.29,-667.38,-667.6,-666.73,-667.03,-667.13,-667.26,-667.04,-667.17,-666.6,-667.22,-666.85,-667.21,-667.3,-667.26,-666.76,-666.95,-667.17,-667.34,-667.18,-667.42,-667.17,-667.07,-667.11,-667.36,-667.19,-667.23,-667.11,-667.08,-667.48,-667.48,-667.26,-667.26,-667.02,-667.13,-667.06,-667.17,-666.89,-667.31
2,-107.78,-95.997,-95.936,-95.936,-96.313,-96.313,-96.914,-95.619,-96.001,-96.071,-95.751,-95.906,-95.691,-95.882,-95.336,-95.993,-95.824,-96.014,-95.512,-96.156,-95.812,-95.803,-95.674,-96.138,-95.981,-95.938,-95.895,-95.792,-95.603,-95.81,-95.901,-95.864,-95.72,-95.855,-95.896,-95.861,-95.792,-95.861,-95.969,-95.88,-95.673,-95.812,-95.893,-95.878,-95.829,-95.943,-95.906,-95.797,-95.765,-95.817,-95.851,-95.877,-95.871,-95.841,-95.945,-95.945,-95.849,-95.849,-95.857,-95.796,-95.776,-95.796,-95.751,-95.878
3,-4.1611,-3.2757,-3.3422,-3.3422,-3.266,-3.266,-3.3234,-3.2509,-3.2075,-3.2858,-3.2553,-3.2761,-3.2811,-3.273,-3.2576,-3.2791,-3.2699,-3.2905,-3.2555,-3.3104,-3.2652,-3.2898,-3.2496,-3.3216,-3.2964,-3.269,-3.2773,-3.2617,-3.2662,-3.2698,-3.2844,-3.271,-3.2683,-3.2766,-3.2832,-3.2898,-3.2777,-3.2861,-3.2917,-3.2857,-3.2583,-3.2788,-3.2791,-3.2835,-3.285,-3.288,-3.2802,-3.2779,-3.278,-3.2756,-3.2796,-3.2846,-3.2801,-3.2823,-3.2852,-3.2852,-3.2769,-3.2769,-3.2782,-3.2748,-3.2774,-3.2787,-3.2734,-3.282
4,-0.014886,-0.010652,-0.010883,-0.010883,-0.010625,-0.010625,-0.011057,-0.010607,-0.01042,-0.010732,-0.010715,-0.010746,-0.010858,-0.01075,-0.01077,-0.010844,-0.010726,-0.010922,-0.010652,-0.011055,-0.010771,-0.010903,-0.010679,-0.011107,-0.010959,-0.010766,-0.010804,-0.01073,-0.010775,-0.010812,-0.010844,-0.010789,-0.010783,-0.010805,-0.010849,-0.010921,-0.010846,-0.010886,-0.010908,-0.010879,-0.010714,-0.01085,-0.010824,-0.010863,-0.010882,-0.010883,-0.010848,-0.010849,-0.010843,-0.010815,-0.010853,-0.010868,-0.010842,-0.010859,-0.010861,-0.010861,-0.010828,-0.010828,-0.010823,-0.01082,-0.01083,-0.010837,-0.010819,-0.01085
5,5.1221,4.6573,4.6971,4.6971,4.8558,4.8558,4.849,4.7825,4.8419,4.8133,4.7841,4.7893,4.8045,4.8161,4.8158,4.7929,4.8048,4.7957,4.8066,4.8006,4.795,4.7972,4.798,4.8071,4.803,4.803,4.7978,4.7985,4.8035,4.799,4.8006,4.7989,4.7985,4.7992,4.8041,4.8024,4.7986,4.8034,4.8049,4.802,4.8027,4.8024,4.8032,4.8031,4.8034,4.8024,4.8034,4.8028,4.8022,4.8025,4.803,4.8022,4.8028,4.8021,4.8022,4.8022,4.8024,4.8024,4.8026,4.8019,4.8028,4.8022,4.8023,4.802
6,2.5842,2.9741,2.9676,2.9676,2.8613,2.8613,2.8284,2.8914,2.8261,2.8548,2.8681,2.8766,2.8652,2.8545,2.8573,2.8778,2.8539,2.8749,2.8634,2.8714,2.8812,2.8784,2.8719,2.868,2.8651,2.8719,2.8728,2.8723,2.8689,2.8733,2.8721,2.8737,2.8726,2.8723,2.8678,2.8699,2.8718,2.8678,2.8663,2.8695,2.8687,2.8689,2.8682,2.8683,2.8685,2.8697,2.8681,2.8687,2.8687,2.8692,2.8686,2.8695,2.8686,2.8694,2.8694,2.8694,2.8693,2.8693,2.8688,2.8699,2.8688,2.8694,2.8693,2.8696
7,0.09169,0.076194,0.083059,0.083059,0.090614,0.090614,0.089527,0.084475,0.084526,0.088035,0.079623,0.083704,0.083972,0.084913,0.086927,0.083956,0.083222,0.085683,0.084421,0.084535,0.084141,0.084624,0.084778,0.085329,0.084372,0.085148,0.084692,0.084806,0.084484,0.084755,0.085006,0.084834,0.084444,0.084606,0.084818,0.084815,0.084616,0.084921,0.085083,0.084737,0.084934,0.084754,0.08476,0.084886,0.084764,0.084825,0.084837,0.084788,0.08474,0.084924,0.084835,0.084897,0.084615,0.084722,0.084823,0.084823,0.084836,0.084836,0.084751,0.084777,0.08477,0.084857,0.084695,0.084748
8,0.014052,0.020943,0.018513,0.018513,0.015323,0.015323,0.015752,0.017672,0.017988,0.016478,0.020148,0.01844,0.018021,0.017645,0.016868,0.018083,0.018485,0.017316,0.01791,0.017795,0.018069,0.0178,0.017741,0.017536,0.017982,0.017619,0.017802,0.017736,0.017848,0.017774,0.017623,0.017715,0.017918,0.01784,0.017677,0.01776,0.017796,0.017656,0.017599,0.017752,0.017676,0.017752,0.017751,0.017709,0.017745,0.017701,0.017684,0.017717,0.017768,0.017678,0.017726,0.017688,0.0178,0.017764,0.017718,0.017718,0.01772,0.01772,0.017756,0.017742,0.017741,0.017702,0.01777,0.017746
9,-5.6476e-05,-4.3174e-05,-8.5941e-05,-8.5941e-05,-1.3179e-05,-1.3179e-05,-6.6659e-05,-8.2373e-05,-7.47e-05,-6.5146e-05,-0.00010131,-9.262e-05,-9.8264e-05,-0.00010413,-9.3475e-05,-0.00010137,-0.00010611,-0.0001009,-0.00010504,-9.8925e-05,-0.00010865,-0.00010602,-0.00010189,-0.0001046,-0.00010248,-0.00010676,-0.00010755,-0.00010724,-0.00010524,-0.00010642,-0.00010636,-0.00010758,-0.00010755,-0.00010665,-0.00010757,-0.00010782,-0.00010719,-0.00010755,-0.00010791,-0.00010837,-0.00010858,-0.00010851,-0.00010857,-0.0001075,-0.00010827,-0.00010819,-0.00010852,-0.00010832,-0.00010782,-0.00010799,-0.00010897,-0.00010849,-0.00010848,-0.00010846,-0.00010843,-0.00010843,-0.00010862,-0.00010862,-0.00010904,-0.00010879,-0.00010865,-0.00010835,-0.0001086,-0.00010865
