,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,219.03,219.03,213.55,216.88,217.66,216.58,217.32,218.18,217.51,216.77,218.22,218.56,217.1,217.1,217.36,217.13,217.06,217.67,217.79,217.88,217.99,217.57,217.59,217.72,217.43,217.42,217.38,217.63,217.44,217.43,217.07,217.36,217.61,217.64,217.52,218.01,217.52,217.77,217.59,217.36,217.1,217.57,217.67,217.46,217.58,217.52,217.58,217.35,217.44,217.41,217.53,217.56,217.63,217.58,217.42,217.62,217.72,217.71,217.62,217.55,217.48,217.58,217.52,217.6,217.51,217.53,217.56,217.56,217.52,217.47,217.58,217.61,217.66,217.45,217.56,217.61,217.5,217.56,217.58,217.6
1,-220.75,-220.75,-215.81,-218.08,-219.2,-218.1,-218.75,-219.69,-218.87,-218.42,-219.52,-220.14,-218.72,-218.59,-218.81,-218.76,-218.61,-219.16,-219.23,-219.36,-219.51,-219.06,-219.13,-219.13,-218.89,-218.9,-218.86,-219.11,-218.9,-218.93,-218.64,-218.88,-219.08,-219.09,-219.03,-219.48,-219.0,-219.24,-219.09,-218.87,-218.6,-219.09,-219.16,-218.95,-219.05,-219.03,-219.07,-218.87,-218.94,-218.89,-219.03,-219.05,-219.12,-219.09,-218.92,-219.09,-219.2,-219.19,-219.11,-219.05,-218.96,-219.07,-219.01,-219.1,-219.01,-219.02,-219.05,-219.06,-219.01,-218.96,-219.06,-219.08,-219.15,-218.95,-219.05,-219.09,-219.0,-219.05,-219.07,-219.08
2,-9.6181,-9.6181,-8.5783,-8.553,-8.5009,-8.761,-8.6401,-8.5546,-8.7276,-8.4916,-8.829,-8.5706,-8.5061,-8.648,-8.6614,-8.5081,-8.5673,-8.6485,-8.6843,-8.6465,-8.619,-8.6491,-8.588,-8.7209,-8.679,-8.6566,-8.6602,-8.6491,-8.6724,-8.6361,-8.569,-8.6198,-8.6663,-8.6824,-8.6299,-8.6653,-8.6467,-8.6624,-8.6403,-8.628,-8.6289,-8.6203,-8.6478,-8.6424,-8.6626,-8.6296,-8.6424,-8.6152,-8.6322,-8.6487,-8.6306,-8.6447,-8.6394,-8.6305,-8.6276,-8.6639,-8.6507,-8.6516,-8.6375,-8.6377,-8.6476,-8.6437,-8.6469,-8.6392,-8.638,-8.6449,-8.6405,-8.6418,-8.6363,-8.6425,-8.6555,-8.6588,-8.6506,-8.6398,-8.6441,-8.6522,-8.6377,-8.645,-8.6406,-8.6489
3,-0.13623,-0.13623,-0.11921,-0.11926,-0.1155,-0.11444,-0.12148,-0.12068,-0.12249,-0.1182,-0.1221,-0.11703,-0.11882,-0.1213,-0.12229,-0.11851,-0.11862,-0.11951,-0.12138,-0.11985,-0.11991,-0.12001,-0.11895,-0.12198,-0.12136,-0.12068,-0.12079,-0.12013,-0.12113,-0.11972,-0.11836,-0.11934,-0.12082,-0.12132,-0.11981,-0.12102,-0.12054,-0.12072,-0.11967,-0.11933,-0.12014,-0.11946,-0.12023,-0.12055,-0.12084,-0.11997,-0.12037,-0.11983,-0.12006,-0.12045,-0.11983,-0.12022,-0.12031,-0.1198,-0.11998,-0.12076,-0.12037,-0.12055,-0.1203,-0.12002,-0.12064,-0.12033,-0.12037,-0.12009,-0.12023,-0.12026,-0.12027,-0.12044,-0.12002,-0.12035,-0.12062,-0.12066,-0.12052,-0.12031,-0.12028,-0.12049,-0.12021,-0.12017,-0.12022,-0.12049
4,-0.0021546,-0.0021546,-0.0017751,-0.0019973,-0.0019114,-0.0017975,-0.0020278,-0.0019894,-0.0019789,-0.0019248,-0.001952,-0.0018938,-0.0019499,-0.0019848,-0.0020076,-0.0019247,-0.0019363,-0.0019674,-0.0019893,-0.0019715,-0.0019687,-0.0019726,-0.0019361,-0.001988,-0.0019715,-0.0019694,-0.0019858,-0.0019616,-0.0019869,-0.001954,-0.001927,-0.0019404,-0.0019709,-0.0019764,-0.0019559,-0.0019837,-0.0019718,-0.0019732,-0.0019559,-0.0019482,-0.0019674,-0.0019497,-0.0019683,-0.0019694,-0.0019744,-0.0019617,-0.001967,-0.0019531,-0.0019641,-0.0019669,-0.0019602,-0.0019652,-0.001968,-0.0019591,-0.0019647,-0.0019724,-0.0019686,-0.0019678,-0.0019697,-0.001959,-0.0019711,-0.0019705,-0.0019662,-0.0019643,-0.001967,-0.0019658,-0.0019671,-0.0019698,-0.001959,-0.0019654,-0.0019693,-0.0019727,-0.0019704,-0.0019685,-0.0019663,-0.0019679,-0.001967,-0.0019642,-0.0019657,-0.0019722
5,-0.0075485,-0.0075485,-0.0077859,-0.0097068,-0.0089975,-0.0086256,-0.0091359,-0.0089518,-0.0090434,-0.0088929,-0.0089044,-0.0088903,-0.0089198,-0.0088568,-0.0089189,-0.0089308,-0.0089651,-0.0089249,-0.0089242,-0.0089187,-0.0089212,-0.0089296,-0.0089243,-0.0089373,-0.008915,-0.008947,-0.0089163,-0.0089323,-0.0089237,-0.0089243,-0.008925,-0.0089307,-0.0089261,-0.0089229,-0.0089326,-0.0089276,-0.0089259,-0.0089327,-0.0089237,-0.0089343,-0.0089278,-0.0089285,-0.0089275,-0.0089287,-0.0089286,-0.0089257,-0.0089277,-0.0089294,-0.0089255,-0.0089297,-0.0089282,-0.0089288,-0.0089293,-0.0089289,-0.0089267,-0.0089277,-0.0089281,-0.008927,-0.0089287,-0.0089279,-0.0089278,-0.0089291,-0.0089282,-0.0089278,-0.0089285,-0.0089282,-0.0089281,-0.0089286,-0.0089278,-0.0089287,-0.0089282,-0.0089288,-0.0089284,-0.0089286,-0.0089282,-0.0089283,-0.0089283,-0.0089283,-0.0089284,-0.0089287
6,-0.0054009,-0.0054009,-0.0056014,-0.0068665,-0.0063944,-0.0061387,-0.0065032,-0.0063705,-0.0064263,-0.0063187,-0.0063247,-0.0063326,-0.0063407,-0.0062943,-0.0063446,-0.0063501,-0.0063752,-0.0063445,-0.006345,-0.0063408,-0.0063464,-0.0063518,-0.006348,-0.0063568,-0.0063419,-0.006361,-0.0063393,-0.0063539,-0.006346,-0.0063456,-0.0063495,-0.0063518,-0.0063471,-0.0063442,-0.006353,-0.0063491,-0.0063476,-0.0063526,-0.0063471,-0.0063544,-0.0063488,-0.0063505,-0.0063487,-0.0063507,-0.0063489,-0.0063475,-0.0063491,-0.0063499,-0.0063484,-0.0063504,-0.0063496,-0.0063494,-0.0063502,-0.0063499,-0.0063483,-0.0063488,-0.006349,-0.0063486,-0.0063495,-0.0063492,-0.0063489,-0.0063499,-0.0063492,-0.0063492,-0.0063494,-0.0063493,-0.0063493,-0.0063495,-0.006349,-0.0063496,-0.0063494,-0.0063494,-0.0063494,-0.0063495,-0.0063494,-0.0063493,-0.0063495,-0.0063494,-0.0063493,-0.0063494
7,5.0315e-06,5.0315e-06,1.0557e-05,2.0833e-05,2.3208e-05,1.9599e-05,2.5542e-05,2.4715e-05,2.6559e-05,2.4756e-05,2.4628e-05,2.3549e-05,2.3447e-05,2.4351e-05,2.4475e-05,2.4512e-05,2.5538e-05,2.4339e-05,2.5248e-05,2.42e-05,2.5101e-05,2.4749e-05,2.4563e-05,2.495e-05,2.4688e-05,2.5047e-05,2.467e-05,2.5025e-05,2.4856e-05,2.4582e-05,2.5088e-05,2.5111e-05,2.4742e-05,2.4929e-05,2.5002e-05,2.4944e-05,2.4783e-05,2.5113e-05,2.4648e-05,2.4993e-05,2.4922e-05,2.4944e-05,2.4815e-05,2.4878e-05,2.4843e-05,2.48e-05,2.4809e-05,2.4878e-05,2.4863e-05,2.482e-05,2.4897e-05,2.4757e-05,2.4915e-05,2.4813e-05,2.4833e-05,2.4958e-05,2.4734e-05,2.4884e-05,2.4864e-05,2.4827e-05,2.4898e-05,2.4877e-05,2.4829e-05,2.4841e-05,2.4809e-05,2.4896e-05,2.4885e-05,2.4902e-05,2.4861e-05,2.4923e-05,2.492e-05,2.491e-05,2.4873e-05,2.489e-05,2.4933e-05,2.4864e-05,2.488e-05,2.4873e-05,2.4833e-05,2.4891e-05
8,-1.7664e-05,-1.7664e-05,-1.667e-05,-1.7704e-05,-1.7548e-05,-1.7258e-05,-1.7269e-05,-1.7673e-05,-1.7705e-05,-1.7428e-05,-1.745e-05,-1.753e-05,-1.7456e-05,-1.7427e-05,-1.749e-05,-1.7386e-05,-1.737e-05,-1.7444e-05,-1.7448e-05,-1.7405e-05,-1.7435e-05,-1.7442e-05,-1.7436e-05,-1.7437e-05,-1.7421e-05,-1.7457e-05,-1.7435e-05,-1.7443e-05,-1.742e-05,-1.7401e-05,-1.746e-05,-1.7417e-05,-1.7413e-05,-1.7434e-05,-1.7439e-05,-1.7443e-05,-1.7445e-05,-1.7442e-05,-1.7401e-05,-1.7422e-05,-1.7433e-05,-1.7425e-05,-1.7429e-05,-1.7431e-05,-1.7426e-05,-1.7428e-05,-1.7442e-05,-1.7416e-05,-1.7443e-05,-1.7423e-05,-1.743e-05,-1.7421e-05,-1.7455e-05,-1.7417e-05,-1.7427e-05,-1.7444e-05,-1.7446e-05,-1.7437e-05,-1.7428e-05,-1.7431e-05,-1.7437e-05,-1.7444e-05,-1.7436e-05,-1.7428e-05,-1.7429e-05,-1.7428e-05,-1.7432e-05,-1.7439e-05,-1.742e-05,-1.7434e-05,-1.7442e-05,-1.7431e-05,-1.7437e-05,-1.7438e-05,-1.743e-05,-1.7432e-05,-1.7438e-05,-1.744e-05,-1.7428e-05,-1.7443e-05
9,4.8074e-06,4.8074e-06,4.3517e-06,4.1785e-06,4.1474e-06,4.3017e-06,4.1478e-06,4.3488e-06,4.4044e-06,4.3237e-06,4.3299e-06,4.3737e-06,4.3531e-06,4.3419e-06,4.3526e-06,4.3361e-06,4.2886e-06,4.3496e-06,4.3275e-06,4.3404e-06,4.3423e-06,4.3436e-06,4.342e-06,4.3439e-06,4.3395e-06,4.3462e-06,4.3443e-06,4.3347e-06,4.3368e-06,4.3411e-06,4.3434e-06,4.3299e-06,4.3345e-06,4.335e-06,4.3375e-06,4.342e-06,4.3411e-06,4.3302e-06,4.3368e-06,4.3326e-06,4.3408e-06,4.3344e-06,4.3378e-06,4.3387e-06,4.3356e-06,4.3402e-06,4.3426e-06,4.3338e-06,4.3439e-06,4.3407e-06,4.3371e-06,4.3419e-06,4.3457e-06,4.336e-06,4.3399e-06,4.3388e-06,4.35e-06,4.3393e-06,4.3373e-06,4.3417e-06,4.3396e-06,4.3438e-06,4.3422e-06,4.3396e-06,4.3412e-06,4.337e-06,4.3391e-06,4.3394e-06,4.3354e-06,4.3374e-06,4.3402e-06,4.3372e-06,4.341e-06,4.3397e-06,4.3359e-06,4.34e-06,4.3408e-06,4.3415e-06,4.3393e-06,4.3418e-06
