,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
0,230.44,226.11,222.96,225.68,225.68,227.94,227.94,225.45,224.95,223.87,225.16,226.07,226.04,226.58,224.54,224.91,223.52,224.86,224.41,225.4,225.46,225.36,224.89,225.63,224.93,225.51,225.26,225.41,225.73,224.54,225.1,224.83,225.13,225.13,225.37,225.78,225.38,225.13,225.13,225.38,225.37,225.33,225.35,225.11,225.09,225.09,225.55,224.94,224.94,225.12,225.19,225.35,225.21,224.99,225.29,225.26,225.26,225.03,225.03,225.03,225.04,225.26,225.26,225.2,225.22,225.22,225.33,225.09,225.09,225.23,225.15,225.23,225.23,225.23,225.13,225.13,225.35,225.35,225.35,225.2,225.2,225.29,225.24,225.19,225.26,225.26,225.26,225.06,225.06,225.14,225.14,225.19,225.24,225.15,225.15,225.2,225.23
1,-232.62,-228.65,-225.25,-228.51,-228.51,-230.35,-230.35,-227.68,-227.34,-226.53,-227.4,-228.52,-228.24,-228.8,-226.9,-227.32,-226.15,-227.24,-226.86,-227.7,-227.81,-227.7,-227.2,-228.0,-227.3,-227.82,-227.58,-227.75,-228.1,-226.9,-227.46,-227.22,-227.57,-227.57,-227.71,-228.1,-227.76,-227.5,-227.5,-227.71,-227.7,-227.72,-227.72,-227.49,-227.48,-227.48,-227.91,-227.35,-227.35,-227.48,-227.56,-227.71,-227.58,-227.41,-227.66,-227.67,-227.64,-227.43,-227.43,-227.4,-227.43,-227.66,-227.66,-227.59,-227.58,-227.58,-227.69,-227.47,-227.47,-227.59,-227.53,-227.59,-227.59,-227.59,-227.52,-227.52,-227.71,-227.71,-227.71,-227.59,-227.59,-227.66,-227.63,-227.55,-227.63,-227.63,-227.63,-227.44,-227.44,-227.51,-227.51,-227.57,-227.61,-227.53,-227.53,-227.56,-227.61
2,-9.5008,-8.3884,-8.6,-8.3023,-8.3023,-8.7198,-8.7198,-8.92,-8.7347,-8.4768,-8.9306,-8.7222,-8.9189,-8.9067,-8.7902,-8.7321,-8.5529,-8.77,-8.7061,-8.8445,-8.7964,-8.8045,-8.847,-8.7759,-8.7676,-8.8268,-8.8197,-8.8063,-8.7712,-8.7878,-8.7858,-8.752,-8.7082,-8.7082,-8.8108,-8.8166,-8.7745,-8.7655,-8.7655,-8.814,-8.8133,-8.7579,-8.7781,-8.7634,-8.7557,-8.7557,-8.7807,-8.7404,-8.7404,-8.7873,-8.7782,-8.7879,-8.7762,-8.724,-8.7753,-8.742,-8.7673,-8.7414,-8.7414,-8.7679,-8.7526,-8.7454,-8.7454,-8.7568,-8.7825,-8.7825,-8.7938,-8.7695,-8.7695,-8.7839,-8.7697,-8.7801,-8.7801,-8.7801,-8.7498,-8.7498,-8.7893,-8.7893,-8.7893,-8.7526,-8.7526,-8.78,-8.7633,-8.7834,-8.7788,-8.7788,-8.7788,-8.7649,-8.7649,-8.7714,-8.7714,-8.7694,-8.7722,-8.7652,-8.7652,-8.7847,-8.7626
3,-0.15123,-0.12588,-0.13359,-0.12759,-0.12759,-0.13244,-0.13244,-0.13477,-0.13299,-0.12719,-0.13869,-0.13347,-0.13474,-0.13765,-0.13272,-0.13189,-0.12803,-0.13158,-0.13283,-0.13811,-0.13328,-0.13413,-0.1353,-0.133,-0.13309,-0.13499,-0.13419,-0.13474,-0.1335,-0.1341,-0.13385,-0.13335,-0.13257,-0.13257,-0.13376,-0.13403,-0.13313,-0.13324,-0.13324,-0.13477,-0.13364,-0.13338,-0.13325,-0.13354,-0.13277,-0.13277,-0.1337,-0.13238,-0.13238,-0.13371,-0.13376,-0.13338,-0.13319,-0.13227,-0.13361,-0.13234,-0.13324,-0.13251,-0.13251,-0.13318,-0.13297,-0.13262,-0.13262,-0.13279,-0.1334,-0.1334,-0.1337,-0.13339,-0.13339,-0.13386,-0.13329,-0.13364,-0.13364,-0.13364,-0.13275,-0.13275,-0.13356,-0.13356,-0.13356,-0.13293,-0.13293,-0.13345,-0.13303,-0.13363,-0.13352,-0.13352,-0.13352,-0.13308,-0.13308,-0.13327,-0.13327,-0.13319,-0.1332,-0.13317,-0.13317,-0.13359,-0.13315
4,-0.004029,-0.0028492,-0.0031866,-0.0034407,-0.0034407,-0.003288,-0.003288,-0.0032473,-0.0032061,-0.0030804,-0.0034123,-0.0032535,-0.0032597,-0.0034093,-0.0032065,-0.0031968,-0.0030573,-0.0031051,-0.00322,-0.0033319,-0.0032618,-0.0032326,-0.003278,-0.0032047,-0.0032131,-0.0032572,-0.0032243,-0.0032455,-0.0032209,-0.0032352,-0.0032374,-0.003228,-0.003198,-0.003198,-0.0032401,-0.0032273,-0.0032097,-0.0032182,-0.0032182,-0.0032661,-0.0032366,-0.0032086,-0.0032234,-0.0032254,-0.003209,-0.003209,-0.0032264,-0.003195,-0.003195,-0.0032246,-0.0032256,-0.0032202,-0.0032119,-0.0031835,-0.0032294,-0.0031903,-0.0032183,-0.0031965,-0.0031965,-0.0032213,-0.0032005,-0.0031966,-0.0031966,-0.0032021,-0.0032061,-0.0032061,-0.0032296,-0.0032173,-0.0032173,-0.0032334,-0.0032179,-0.0032245,-0.0032245,-0.0032245,-0.0032035,-0.0032035,-0.0032157,-0.0032157,-0.0032157,-0.0032052,-0.0032052,-0.0032199,-0.0032086,-0.0032279,-0.0032211,-0.0032211,-0.0032211,-0.0032095,-0.0032095,-0.003212,-0.003212,-0.0032114,-0.0032119,-0.0032121,-0.0032121,-0.0032262,-0.0032095
5,-0.0096384,-0.010265,-0.010032,-0.0093251,-0.0093251,-0.0097568,-0.0097568,-0.0095499,-0.0095736,-0.0095864,-0.0095137,-0.0096078,-0.0096261,-0.0095309,-0.0095704,-0.0096678,-0.0096284,-0.0096097,-0.0096301,-0.009631,-0.0096372,-0.0096228,-0.0095706,-0.0096306,-0.0095971,-0.0096274,-0.0095981,-0.0096214,-0.0096183,-0.0096222,-0.0096163,-0.0096235,-0.0096155,-0.0096155,-0.0096018,-0.0096165,-0.0096153,-0.0096212,-0.0096212,-0.009617,-0.0096124,-0.0096186,-0.0096084,-0.009612,-0.0096166,-0.0096166,-0.0096104,-0.009612,-0.009612,-0.009615,-0.0096106,-0.0096121,-0.0096134,-0.0096103,-0.0096141,-0.0096127,-0.009611,-0.0096108,-0.0096108,-0.0096105,-0.0096121,-0.0096093,-0.0096093,-0.0096121,-0.0096126,-0.0096126,-0.0096098,-0.0096134,-0.0096134,-0.0096147,-0.0096128,-0.009612,-0.009612,-0.009612,-0.0096077,-0.0096077,-0.0096134,-0.0096134,-0.0096134,-0.0096126,-0.0096126,-0.0096127,-0.0096134,-0.009614,-0.0096127,-0.0096127,-0.0096127,-0.0096125,-0.0096125,-0.0096149,-0.0096149,-0.0096119,-0.0096121,-0.0096113,-0.0096113,-0.0096135,-0.0096133
6,-0.0075012,-0.0075794,-0.0074639,-0.0070854,-0.0070854,-0.007371,-0.007371,-0.007149,-0.007214,-0.0071845,-0.007129,-0.0072067,-0.007247,-0.007174,-0.0071783,-0.0072557,-0.0072531,-0.0072178,-0.0072325,-0.0072201,-0.0072466,-0.0072209,-0.007197,-0.0072346,-0.0072211,-0.0072318,-0.0072132,-0.0072203,-0.0072221,-0.0072244,-0.0072249,-0.0072323,-0.0072282,-0.0072282,-0.0072228,-0.0072312,-0.0072245,-0.007228,-0.007228,-0.0072268,-0.0072263,-0.0072298,-0.0072267,-0.0072228,-0.007227,-0.007227,-0.0072235,-0.007226,-0.007226,-0.0072246,-0.0072236,-0.0072245,-0.0072258,-0.0072253,-0.0072223,-0.0072235,-0.0072234,-0.007225,-0.007225,-0.0072261,-0.0072246,-0.0072256,-0.0072256,-0.0072248,-0.0072269,-0.0072269,-0.007225,-0.0072253,-0.0072253,-0.0072255,-0.0072249,-0.0072251,-0.0072251,-0.0072251,-0.0072255,-0.0072255,-0.0072252,-0.0072252,-0.0072252,-0.0072254,-0.0072254,-0.0072252,-0.0072248,-0.0072249,-0.0072247,-0.0072247,-0.0072247,-0.0072249,-0.0072249,-0.007225,-0.007225,-0.0072251,-0.0072255,-0.0072246,-0.0072246,-0.0072251,-0.007225
7,-7.1925e-05,1.7486e-05,2.0756e-05,1.8962e-05,1.8962e-05,2.2108e-05,2.2108e-05,2.1671e-05,1.9666e-05,1.8929e-05,1.9179e-05,1.9487e-05,2.1479e-05,1.9332e-05,2.0808e-05,2.1121e-05,2.1329e-05,2.0598e-05,2.0328e-05,2.0898e-05,2.1084e-05,2.1131e-05,2.1114e-05,2.1341e-05,2.0999e-05,2.0877e-05,1.9879e-05,2.0209e-05,2.0631e-05,2.0692e-05,2.0963e-05,2.0717e-05,2.1106e-05,2.1106e-05,2.0846e-05,2.109e-05,2.0574e-05,2.1001e-05,2.1001e-05,2.0555e-05,2.092e-05,2.1067e-05,2.1151e-05,2.103e-05,2.0642e-05,2.0642e-05,2.1032e-05,2.0741e-05,2.0741e-05,2.0915e-05,2.1007e-05,2.1017e-05,2.1018e-05,2.0992e-05,2.0807e-05,2.0914e-05,2.0612e-05,2.0993e-05,2.0993e-05,2.085e-05,2.0946e-05,2.0986e-05,2.0986e-05,2.09e-05,2.1239e-05,2.1239e-05,2.0986e-05,2.1069e-05,2.1069e-05,2.0969e-05,2.0975e-05,2.0939e-05,2.0939e-05,2.0939e-05,2.0991e-05,2.0991e-05,2.0969e-05,2.0969e-05,2.0969e-05,2.0979e-05,2.0979e-05,2.0927e-05,2.0848e-05,2.0923e-05,2.0912e-05,2.0912e-05,2.0912e-05,2.0961e-05,2.0961e-05,2.0925e-05,2.0925e-05,2.0936e-05,2.0989e-05,2.0929e-05,2.0929e-05,2.0937e-05,2.0879e-05
8,-2.4294e-05,-1.7971e-05,-1.7964e-05,-1.6221e-05,-1.6221e-05,-1.7026e-05,-1.7026e-05,-1.7586e-05,-1.7062e-05,-1.7571e-05,-1.7342e-05,-1.7319e-05,-1.7314e-05,-1.7251e-05,-1.7674e-05,-1.7699e-05,-1.736e-05,-1.7614e-05,-1.7566e-05,-1.777e-05,-1.7547e-05,-1.7526e-05,-1.7408e-05,-1.7502e-05,-1.7326e-05,-1.7488e-05,-1.7508e-05,-1.758e-05,-1.7534e-05,-1.7433e-05,-1.7485e-05,-1.7444e-05,-1.7526e-05,-1.7526e-05,-1.7493e-05,-1.7464e-05,-1.7496e-05,-1.7468e-05,-1.7468e-05,-1.7425e-05,-1.7453e-05,-1.7506e-05,-1.7399e-05,-1.747e-05,-1.7452e-05,-1.7452e-05,-1.748e-05,-1.7446e-05,-1.7446e-05,-1.7475e-05,-1.747e-05,-1.7473e-05,-1.7449e-05,-1.7457e-05,-1.7555e-05,-1.7493e-05,-1.7498e-05,-1.7461e-05,-1.7461e-05,-1.7431e-05,-1.7506e-05,-1.7454e-05,-1.7454e-05,-1.7467e-05,-1.7424e-05,-1.7424e-05,-1.7482e-05,-1.748e-05,-1.748e-05,-1.7479e-05,-1.7469e-05,-1.7468e-05,-1.7468e-05,-1.7468e-05,-1.7416e-05,-1.7416e-05,-1.747e-05,-1.747e-05,-1.747e-05,-1.7451e-05,-1.7451e-05,-1.7465e-05,-1.7471e-05,-1.7479e-05,-1.7472e-05,-1.7472e-05,-1.7472e-05,-1.7465e-05,-1.7465e-05,-1.748e-05,-1.748e-05,-1.7462e-05,-1.7443e-05,-1.7464e-05,-1.7464e-05,-1.7465e-05,-1.7473e-05
9,2.4217e-06,3.6645e-06,3.4987e-06,3.764e-06,3.764e-06,3.8357e-06,3.8357e-06,3.8053e-06,3.9463e-06,4.0111e-06,4.0637e-06,3.9418e-06,3.859e-06,3.9844e-06,3.8774e-06,3.874e-06,3.8288e-06,3.8161e-06,3.8295e-06,3.8877e-06,3.893e-06,3.8903e-06,4.0012e-06,3.874e-06,3.8953e-06,3.9041e-06,3.8456e-06,3.856e-06,3.8872e-06,3.8801e-06,3.8806e-06,3.8778e-06,3.8561e-06,3.8561e-06,3.8451e-06,3.8934e-06,3.8681e-06,3.893e-06,3.893e-06,3.9072e-06,3.8739e-06,3.8862e-06,3.9735e-06,3.8931e-06,3.8748e-06,3.8748e-06,3.8905e-06,3.8709e-06,3.8709e-06,3.8999e-06,3.8915e-06,3.8991e-06,3.9e-06,3.8747e-06,3.8622e-06,3.8694e-06,3.8594e-06,3.8903e-06,3.8903e-06,3.8887e-06,3.8701e-06,3.8773e-06,3.8773e-06,3.888e-06,3.9823e-06,3.9823e-06,3.887e-06,3.8946e-06,3.8946e-06,3.89e-06,3.8893e-06,3.8856e-06,3.8856e-06,3.8856e-06,3.8973e-06,3.8973e-06,3.8948e-06,3.8948e-06,3.8948e-06,3.8904e-06,3.8904e-06,3.8853e-06,3.8873e-06,3.8858e-06,3.8853e-06,3.8853e-06,3.8853e-06,3.8835e-06,3.8835e-06,3.888e-06,3.888e-06,3.8904e-06,3.9029e-06,3.8773e-06,3.8773e-06,3.892e-06,3.8904e-06
