,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
0,209.19,207.31,207.31,207.23,209.51,211.84,210.19,207.4,206.64,208.87,208.63,209.61,209.79,208.24,209.23,209.22,207.41,208.46,208.21,207.47,208.67,209.54,208.31,208.91,209.32,208.77,208.77,208.13,208.8,209.57,209.06,208.99,209.0,208.58,208.82,209.28,208.22,209.2,208.85,209.03,208.85,208.98,208.96,208.6,208.6,208.95,208.95,208.8,208.86,208.59,208.78,208.77,208.88,208.73,208.94,208.95,208.81,208.78,208.87,208.76,208.75,208.92,208.76,209.05,209.05,208.75,208.75,208.75,208.84,208.84,208.84,209.08,208.84,208.83,208.83,208.93,208.88,208.88,208.94,208.96,208.81,208.81,208.84,208.97,208.81,208.81,208.81,208.85,208.98,208.98,208.83,208.92,208.92,208.92,208.92,208.79
1,-209.75,-207.87,-207.87,-208.72,-210.26,-212.61,-210.51,-208.09,-207.49,-209.37,-209.18,-210.11,-210.15,-208.95,-209.77,-209.77,-208.14,-209.19,-209.02,-208.28,-209.34,-210.16,-209.05,-209.54,-209.93,-209.42,-209.43,-208.83,-209.44,-210.14,-209.76,-209.61,-209.66,-209.29,-209.46,-209.91,-208.96,-209.82,-209.51,-209.65,-209.51,-209.62,-209.6,-209.26,-209.26,-209.58,-209.58,-209.46,-209.5,-209.26,-209.42,-209.44,-209.53,-209.4,-209.58,-209.58,-209.46,-209.43,-209.53,-209.42,-209.41,-209.57,-209.41,-209.67,-209.67,-209.4,-209.4,-209.4,-209.48,-209.48,-209.48,-209.72,-209.51,-209.47,-209.47,-209.57,-209.53,-209.53,-209.57,-209.6,-209.47,-209.47,-209.5,-209.61,-209.45,-209.45,-209.45,-209.51,-209.61,-209.61,-209.48,-209.56,-209.56,-209.56,-209.56,-209.44
2,-9.1063,-8.3144,-8.3144,-7.9756,-8.2499,-8.4394,-8.6541,-8.3082,-8.2114,-8.6302,-8.5302,-8.6328,-8.7423,-8.4025,-8.5668,-8.5633,-8.3898,-8.4089,-8.321,-8.3328,-8.4676,-8.5007,-8.3915,-8.5102,-8.5129,-8.47,-8.4658,-8.4234,-8.4807,-8.5602,-8.4337,-8.5136,-8.4692,-8.4118,-8.4853,-8.4995,-8.3905,-8.5142,-8.4667,-8.5076,-8.4694,-8.4916,-8.4865,-8.4742,-8.4742,-8.4957,-8.4957,-8.4707,-8.4848,-8.4558,-8.4871,-8.4604,-8.4804,-8.4608,-8.4808,-8.4956,-8.476,-8.479,-8.4711,-8.458,-8.4683,-8.4811,-8.473,-8.5019,-8.5019,-8.474,-8.474,-8.474,-8.4811,-8.4811,-8.4811,-8.495,-8.4578,-8.481,-8.481,-8.482,-8.4727,-8.4727,-8.493,-8.4815,-8.4675,-8.4675,-8.4748,-8.4896,-8.4866,-8.4866,-8.4866,-8.4729,-8.4927,-8.4927,-8.4733,-8.4811,-8.4811,-8.4811,-8.4811,-8.4741
3,-0.12198,-0.096176,-0.096176,-0.095041,-0.097022,-0.10163,-0.10968,-0.10297,-0.098248,-0.10538,-0.10266,-0.10503,-0.10829,-0.10152,-0.10304,-0.10375,-0.10096,-0.10048,-0.099156,-0.10036,-0.10121,-0.1022,-0.10066,-0.10211,-0.10316,-0.10226,-0.10249,-0.10174,-0.10184,-0.10362,-0.10117,-0.10288,-0.10154,-0.10096,-0.10266,-0.10238,-0.10046,-0.10279,-0.10197,-0.10287,-0.10192,-0.10233,-0.10204,-0.10218,-0.10218,-0.10249,-0.10249,-0.1021,-0.10217,-0.10187,-0.10224,-0.10193,-0.10222,-0.10189,-0.10199,-0.10223,-0.10236,-0.10204,-0.10219,-0.10173,-0.10214,-0.10212,-0.10205,-0.10263,-0.10263,-0.10206,-0.10206,-0.10206,-0.10214,-0.10214,-0.10214,-0.10242,-0.1017,-0.10207,-0.10207,-0.10214,-0.10201,-0.10201,-0.10234,-0.10211,-0.10198,-0.10198,-0.10207,-0.10242,-0.10236,-0.10236,-0.10236,-0.102,-0.10225,-0.10225,-0.1021,-0.10215,-0.10215,-0.10215,-0.10215,-0.10216
4,-0.0013137,-0.0011845,-0.0011845,-0.0012131,-0.0011631,-0.0012101,-0.0012875,-0.0011956,-0.0011492,-0.0012375,-0.0011489,-0.0012573,-0.0012732,-0.0011928,-0.0012033,-0.001207,-0.0011876,-0.0011696,-0.0011686,-0.0011748,-0.0011922,-0.0012057,-0.0011879,-0.0011992,-0.0012163,-0.0011946,-0.001207,-0.0011935,-0.0012036,-0.0012153,-0.0011888,-0.0012114,-0.0011834,-0.0011987,-0.0012061,-0.0012038,-0.0011793,-0.0012066,-0.0012018,-0.0012144,-0.001199,-0.0012044,-0.0012008,-0.0012022,-0.0012022,-0.0012092,-0.0012092,-0.0011991,-0.0012036,-0.0011985,-0.0012033,-0.0011985,-0.0012064,-0.001197,-0.0012001,-0.0011998,-0.0012072,-0.0011996,-0.0012007,-0.0011968,-0.0012029,-0.0011997,-0.0011968,-0.0012047,-0.0012047,-0.0011991,-0.0011991,-0.0011991,-0.0012011,-0.0012011,-0.0012011,-0.0012041,-0.0011947,-0.0011998,-0.0011998,-0.0012021,-0.0011991,-0.0011991,-0.0012009,-0.0011986,-0.0011982,-0.0011982,-0.0012011,-0.0012033,-0.0012021,-0.0012021,-0.0012021,-0.0011976,-0.0012011,-0.0012011,-0.0012004,-0.0012015,-0.0012015,-0.0012015,-0.0012015,-0.0012007
5,-0.0072141,-0.0085819,-0.0085819,-0.007474,-0.0081354,-0.007858,-0.0077135,-0.0079541,-0.007952,-0.0077937,-0.007786,-0.0077943,-0.0078033,-0.0077302,-0.0077774,-0.0078002,-0.0077722,-0.0077114,-0.0077393,-0.0076865,-0.0077158,-0.0077345,-0.0077549,-0.0077477,-0.0077624,-0.0077738,-0.0077313,-0.0077547,-0.007749,-0.0077598,-0.0077552,-0.0077489,-0.0077464,-0.0077607,-0.0077496,-0.0077538,-0.0077511,-0.0077477,-0.0077541,-0.0077524,-0.0077537,-0.0077516,-0.0077517,-0.007752,-0.007752,-0.0077503,-0.0077503,-0.0077521,-0.0077498,-0.0077502,-0.0077485,-0.0077513,-0.0077496,-0.0077503,-0.0077517,-0.0077485,-0.0077507,-0.0077515,-0.0077511,-0.0077515,-0.0077509,-0.0077517,-0.0077507,-0.007751,-0.007751,-0.0077509,-0.0077509,-0.0077509,-0.0077513,-0.0077513,-0.0077513,-0.0077514,-0.0077512,-0.0077507,-0.0077507,-0.0077503,-0.0077508,-0.0077508,-0.007751,-0.0077505,-0.007751,-0.007751,-0.0077514,-0.0077509,-0.0077509,-0.0077509,-0.0077509,-0.0077508,-0.0077507,-0.0077507,-0.0077508,-0.0077507,-0.0077507,-0.0077507,-0.0077507,-0.0077512
6,-0.0058169,-0.0066826,-0.0066826,-0.0058057,-0.0062601,-0.006079,-0.0059603,-0.0060991,-0.0061259,-0.0060384,-0.0060143,-0.0060248,-0.0060369,-0.0059666,-0.0060162,-0.0060275,-0.0059982,-0.0059587,-0.0059788,-0.0059406,-0.0059624,-0.0059771,-0.0059927,-0.0059877,-0.0060003,-0.0060093,-0.0059747,-0.0059942,-0.0059864,-0.0059942,-0.0059937,-0.0059881,-0.005987,-0.0059956,-0.0059871,-0.0059941,-0.0059881,-0.0059869,-0.0059939,-0.0059905,-0.0059921,-0.0059902,-0.0059896,-0.0059907,-0.0059907,-0.0059893,-0.0059893,-0.0059898,-0.0059889,-0.0059891,-0.0059883,-0.0059897,-0.0059885,-0.0059891,-0.0059889,-0.0059883,-0.0059893,-0.0059903,-0.0059903,-0.0059905,-0.0059899,-0.0059901,-0.0059902,-0.0059889,-0.0059889,-0.0059893,-0.0059893,-0.0059893,-0.005989,-0.005989,-0.005989,-0.0059893,-0.0059892,-0.0059897,-0.0059897,-0.0059903,-0.0059898,-0.0059898,-0.0059891,-0.0059899,-0.0059896,-0.0059896,-0.005989,-0.0059897,-0.0059896,-0.0059896,-0.0059896,-0.0059896,-0.0059897,-0.0059897,-0.0059898,-0.00599,-0.00599,-0.00599,-0.00599,-0.0059891
7,-3.3765e-05,1.9951e-05,1.9951e-05,2.6613e-05,2.4581e-05,2.3051e-05,2.0691e-05,2.2192e-05,2.2038e-05,2.4689e-05,2.1669e-05,2.4669e-05,2.5153e-05,2.2412e-05,2.3998e-05,2.3876e-05,2.3345e-05,2.2712e-05,2.2699e-05,2.3331e-05,2.2891e-05,2.371e-05,2.3255e-05,2.309e-05,2.3883e-05,2.3697e-05,2.3307e-05,2.3521e-05,2.3279e-05,2.3246e-05,2.3261e-05,2.3519e-05,2.3356e-05,2.3373e-05,2.3184e-05,2.3627e-05,2.3125e-05,2.3308e-05,2.3628e-05,2.3392e-05,2.3302e-05,2.3396e-05,2.3241e-05,2.3432e-05,2.3432e-05,2.3444e-05,2.3444e-05,2.3283e-05,2.3382e-05,2.3357e-05,2.3376e-05,2.3311e-05,2.3342e-05,2.3343e-05,2.3188e-05,2.3366e-05,2.332e-05,2.3405e-05,2.3421e-05,2.3481e-05,2.3432e-05,2.333e-05,2.3492e-05,2.3257e-05,2.3257e-05,2.3284e-05,2.3284e-05,2.3284e-05,2.3179e-05,2.3179e-05,2.3179e-05,2.3285e-05,2.3312e-05,2.335e-05,2.335e-05,2.35e-05,2.3402e-05,2.3402e-05,2.3257e-05,2.3416e-05,2.3303e-05,2.3303e-05,2.3225e-05,2.3364e-05,2.3324e-05,2.3324e-05,2.3324e-05,2.3328e-05,2.3349e-05,2.3349e-05,2.3389e-05,2.3443e-05,2.3443e-05,2.3443e-05,2.3443e-05,2.3268e-05
8,-1.6924e-05,-1.3021e-05,-1.3021e-05,-1.3189e-05,-1.4073e-05,-1.3834e-05,-1.3709e-05,-1.3817e-05,-1.3988e-05,-1.3551e-05,-1.3646e-05,-1.3515e-05,-1.3585e-05,-1.3717e-05,-1.3603e-05,-1.3569e-05,-1.3637e-05,-1.3616e-05,-1.3682e-05,-1.3576e-05,-1.3542e-05,-1.3551e-05,-1.3616e-05,-1.3621e-05,-1.355e-05,-1.3611e-05,-1.3609e-05,-1.3541e-05,-1.3609e-05,-1.364e-05,-1.3603e-05,-1.3584e-05,-1.3572e-05,-1.3652e-05,-1.3615e-05,-1.3568e-05,-1.3624e-05,-1.3618e-05,-1.3547e-05,-1.3596e-05,-1.3609e-05,-1.3598e-05,-1.3621e-05,-1.3601e-05,-1.3601e-05,-1.3595e-05,-1.3595e-05,-1.362e-05,-1.3578e-05,-1.3616e-05,-1.3578e-05,-1.3593e-05,-1.3592e-05,-1.3595e-05,-1.3619e-05,-1.3579e-05,-1.3607e-05,-1.3589e-05,-1.3595e-05,-1.3573e-05,-1.3576e-05,-1.3606e-05,-1.3579e-05,-1.3608e-05,-1.3608e-05,-1.3598e-05,-1.3598e-05,-1.3598e-05,-1.3622e-05,-1.3622e-05,-1.3622e-05,-1.3606e-05,-1.3607e-05,-1.3591e-05,-1.3591e-05,-1.3568e-05,-1.3597e-05,-1.3597e-05,-1.3609e-05,-1.3585e-05,-1.3601e-05,-1.3601e-05,-1.3621e-05,-1.3594e-05,-1.3602e-05,-1.3602e-05,-1.3602e-05,-1.3599e-05,-1.3593e-05,-1.3593e-05,-1.3592e-05,-1.3586e-05,-1.3586e-05,-1.3586e-05,-1.3586e-05,-1.3608e-05
9,3.5638e-06,3.2183e-06,3.2183e-06,3.5302e-06,3.2069e-06,3.4539e-06,3.4328e-06,3.0121e-06,3.2488e-06,3.4922e-06,3.2552e-06,3.4052e-06,3.5451e-06,3.4506e-06,3.4449e-06,3.447e-06,3.3821e-06,3.3996e-06,3.3936e-06,3.4468e-06,3.4152e-06,3.4415e-06,3.402e-06,3.4125e-06,3.4647e-06,3.448e-06,3.4256e-06,3.4255e-06,3.4673e-06,3.4241e-06,3.4281e-06,3.451e-06,3.4491e-06,3.4485e-06,3.4119e-06,3.4424e-06,3.3931e-06,3.4191e-06,3.4272e-06,3.4225e-06,3.4144e-06,3.4141e-06,3.4191e-06,3.4199e-06,3.4199e-06,3.4333e-06,3.4333e-06,3.4212e-06,3.4331e-06,3.4252e-06,3.4305e-06,3.413e-06,3.4242e-06,3.4242e-06,3.404e-06,3.4171e-06,3.4068e-06,3.4204e-06,3.4236e-06,3.4252e-06,3.4248e-06,3.4215e-06,3.4384e-06,3.4089e-06,3.4089e-06,3.4189e-06,3.4189e-06,3.4189e-06,3.4101e-06,3.4101e-06,3.4101e-06,3.4145e-06,3.4267e-06,3.4267e-06,3.4267e-06,3.4312e-06,3.426e-06,3.426e-06,3.4176e-06,3.4344e-06,3.4157e-06,3.4157e-06,3.409e-06,3.4205e-06,3.4179e-06,3.4179e-06,3.4179e-06,3.4192e-06,3.4235e-06,3.4235e-06,3.4288e-06,3.4322e-06,3.4322e-06,3.4322e-06,3.4322e-06,3.4175e-06
