,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
0,853.66,858.02,845.36,849.58,853.38,854.26,852.18,847.82,852.59,850.45,852.46,852.83,850.29,851.24,850.74,850.66,851.7,851.94,851.16,851.51,851.37,852.15,851.81,852.59,851.36,852.14,851.94,851.41,851.83,852.07,851.78,852.22,851.55,851.81,851.42,852.4,851.27,851.68,851.78,851.64,851.64,851.63,852.12,851.33,851.7,851.96,851.96,851.79,851.71,851.72,851.81,852.19,851.95,851.66,852.13,852.13,851.81,851.49,852.16
1,-869.18,-875.19,-864.49,-868.92,-872.48,-873.46,-871.22,-867.45,-871.76,-870.09,-871.6,-871.88,-869.73,-870.53,-870.29,-869.97,-870.97,-871.22,-870.47,-870.82,-870.63,-871.37,-871.04,-871.81,-870.67,-871.37,-871.18,-870.66,-871.05,-871.26,-871.1,-871.41,-870.8,-871.12,-870.66,-871.59,-870.59,-870.95,-870.98,-870.91,-870.91,-870.89,-871.33,-870.64,-870.97,-871.18,-871.18,-871.04,-870.97,-870.97,-871.08,-871.44,-871.17,-870.94,-871.36,-871.36,-871.04,-870.77,-871.4
2,-33.948,-34.917,-34.468,-33.763,-34.475,-34.302,-34.467,-33.855,-34.338,-33.836,-34.35,-34.429,-34.069,-34.2,-33.94,-34.183,-34.226,-34.217,-34.182,-34.182,-34.237,-34.269,-34.274,-34.277,-34.189,-34.265,-34.253,-34.235,-34.278,-34.307,-34.18,-34.3,-34.245,-34.193,-34.252,-34.304,-34.175,-34.228,-34.293,-34.219,-34.219,-34.233,-34.279,-34.184,-34.23,-34.282,-34.282,-34.247,-34.235,-34.244,-34.226,-34.242,-34.277,-34.217,-34.268,-34.268,-34.261,-34.222,-34.262
3,-0.77366,-0.80501,-0.78727,-0.78541,-0.80111,-0.7869,-0.80054,-0.78915,-0.80017,-0.7819,-0.79718,-0.79814,-0.79343,-0.794,-0.78939,-0.79575,-0.79331,-0.79534,-0.79511,-0.79462,-0.79231,-0.79313,-0.79669,-0.79362,-0.79359,-0.7963,-0.79432,-0.79465,-0.79522,-0.79551,-0.79224,-0.79518,-0.79338,-0.79289,-0.79343,-0.79446,-0.79184,-0.79284,-0.79598,-0.79472,-0.79472,-0.79372,-0.79483,-0.79216,-0.79383,-0.79609,-0.79609,-0.79422,-0.79362,-0.79406,-0.7927,-0.79352,-0.7956,-0.79386,-0.79433,-0.79433,-0.79509,-0.79382,-0.79419
4,-0.0057953,-0.0098808,-0.013296,-0.0066903,-0.011102,-0.0091039,-0.0091586,-0.0083535,-0.0083962,-0.0087239,-0.0094359,-0.0093599,-0.0079222,-0.0097186,-0.0081339,-0.0084216,-0.0087782,-0.0090515,-0.0091734,-0.0085565,-0.0086348,-0.0089699,-0.0090282,-0.0087977,-0.0084464,-0.0091035,-0.0091734,-0.0085377,-0.0089535,-0.0091412,-0.0090651,-0.0089374,-0.0091431,-0.009043,-0.009189,-0.0092649,-0.0091233,-0.008983,-0.0090572,-0.0090933,-0.0090933,-0.0089059,-0.0089249,-0.0088181,-0.0089613,-0.0091062,-0.0091062,-0.0089231,-0.0088439,-0.0090244,-0.0089817,-0.0089189,-0.0090117,-0.0087017,-0.0090987,-0.0090987,-0.00905,-0.0088863,-0.0089239
5,1.8802,2.5293,2.3926,2.3545,2.4038,2.4013,2.4189,2.4174,2.4818,2.4336,2.4407,2.4202,2.4441,2.4283,2.4279,2.438,2.4482,2.4454,2.4395,2.439,2.4416,2.4331,2.4414,2.4398,2.4369,2.4374,2.4368,2.4376,2.4437,2.4416,2.4397,2.4396,2.4399,2.4398,2.44,2.44,2.4394,2.44,2.4387,2.4387,2.4387,2.4392,2.4392,2.4388,2.4396,2.4398,2.4398,2.4396,2.4395,2.4395,2.4394,2.4395,2.4393,2.4395,2.4396,2.4396,2.4396,2.4396,2.4396
6,0.049103,0.058133,0.048067,0.043572,0.041857,0.044715,0.046638,0.044911,0.045202,0.044314,0.044568,0.044152,0.044448,0.043929,0.043784,0.044554,0.044478,0.044574,0.045154,0.044039,0.043982,0.044468,0.044758,0.04442,0.044319,0.044315,0.044486,0.044218,0.044428,0.044513,0.044261,0.044328,0.044174,0.044479,0.04442,0.044437,0.044333,0.044451,0.04437,0.044325,0.044325,0.044371,0.04436,0.044324,0.044326,0.044341,0.044341,0.044349,0.044394,0.044372,0.044386,0.044373,0.044353,0.04435,0.044342,0.044342,0.04432,0.044365,0.044335
7,0.014322,0.027533,0.024584,0.024178,0.023682,0.024407,0.024587,0.024645,0.024948,0.024633,0.024703,0.024454,0.02462,0.024555,0.024484,0.0246,0.024674,0.024696,0.024666,0.024572,0.024596,0.024608,0.02468,0.024642,0.024632,0.024614,0.024631,0.02463,0.024656,0.024643,0.024636,0.024617,0.024605,0.024635,0.024637,0.024636,0.024632,0.024632,0.02464,0.024635,0.024635,0.024632,0.024634,0.024625,0.024629,0.024626,0.024626,0.024628,0.02464,0.024634,0.024636,0.024634,0.024633,0.024633,0.024626,0.024626,0.024627,0.024628,0.024624
8,0.0052183,-0.001166,-0.00097888,-0.00033809,-0.00064707,-0.00045133,-0.00048719,-0.00051644,-0.00025076,-0.00026834,-0.00032028,-0.00044677,-0.00025931,-0.00026659,-0.00030208,-0.00026025,-0.0002417,-0.00033147,-0.00029825,-0.00023721,-0.00031013,-0.0002934,-0.00027703,-0.00030899,-0.00025541,-0.00027111,-0.00027709,-0.00032253,-0.0002823,-0.00026995,-0.00027266,-0.00027334,-0.00025236,-0.0002957,-0.00025024,-0.00028864,-0.00025679,-0.00027199,-0.00025982,-0.00026282,-0.00026282,-0.00031829,-0.00027939,-0.00028031,-0.00027288,-0.00027576,-0.00027576,-0.00026714,-0.00025407,-0.00026126,-0.00026824,-0.00027208,-0.00025438,-0.00026924,-0.00025052,-0.00025052,-0.00027167,-0.00027741,-0.00026754
9,0.0064167,0.00095938,0.00082676,0.00014932,0.00042228,0.00022362,0.00034628,0.00029381,2.7817e-05,4.0354e-05,9.0839e-05,0.00022141,3.2077e-05,2.8685e-05,6.895e-05,3.041e-05,1.0125e-05,0.00010236,7.181e-05,1.1085e-06,7.6241e-05,6.3579e-05,4.9314e-05,8.0196e-05,2.2425e-05,4.0014e-05,4.7566e-05,9.3416e-05,5.3252e-05,4.1354e-05,4.1762e-05,4.3961e-05,1.9191e-05,6.6505e-05,1.7694e-05,5.9027e-05,2.545e-05,4.2146e-05,2.8752e-05,3.1746e-05,3.1746e-05,8.954e-05,4.9262e-05,4.9946e-05,4.2582e-05,4.5401e-05,4.5401e-05,3.6892e-05,2.3279e-05,3.0618e-05,3.8066e-05,4.1916e-05,2.3217e-05,3.8787e-05,1.9026e-05,1.9026e-05,4.1643e-05,4.7548e-05,3.7511e-05
