,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0,936.43,914.28,929.45,941.38,929.75,931.17,926.15,928.02,928.58,930.44,930.66,931.34,928.97,931.59,929.56,930.77,929.19,930.05,928.48,930.72,929.8,929.98,929.59,929.37,929.63,929.46,929.88,929.63,929.53,929.25,929.25,929.48,929.48,929.68,930.13,930.29,929.7,930.08,930.36,929.44,930.55,929.85,930.14,929.63,929.83,929.8,930.33,930.06,929.63,929.86,930.05,929.82,929.72,930.23,929.85,930.13,929.99,929.95,929.95,929.93,929.72
1,-964.13,-936.73,-952.33,-962.97,-951.39,-952.96,-948.9,-950.93,-951.07,-953.06,-953.11,-953.73,-951.24,-953.96,-952.01,-953.27,-951.5,-952.57,-951.05,-953.11,-952.34,-952.37,-952.04,-951.92,-952.16,-951.93,-952.32,-952.15,-952.04,-951.76,-951.72,-951.97,-951.97,-952.13,-952.55,-952.74,-952.19,-952.48,-952.78,-951.9,-952.93,-952.29,-952.57,-952.13,-952.26,-952.28,-952.77,-952.47,-952.08,-952.31,-952.52,-952.28,-952.17,-952.67,-952.33,-952.56,-952.45,-952.38,-952.38,-952.37,-952.17
2,-36.12,-35.864,-35.704,-37.302,-36.962,-37.207,-36.198,-36.024,-36.437,-36.236,-36.494,-36.532,-36.647,-36.539,-36.476,-36.448,-36.62,-36.405,-36.376,-36.547,-36.397,-36.54,-36.483,-36.381,-36.404,-36.457,-36.493,-36.405,-36.427,-36.43,-36.464,-36.448,-36.448,-36.474,-36.512,-36.479,-36.449,-36.529,-36.511,-36.467,-36.55,-36.492,-36.501,-36.438,-36.506,-36.448,-36.498,-36.514,-36.476,-36.489,-36.471,-36.467,-36.484,-36.493,-36.454,-36.5,-36.47,-36.505,-36.505,-36.491,-36.491
3,-0.81527,-0.80184,-0.7447,-0.79751,-0.80262,-0.79306,-0.77676,-0.79517,-0.77587,-0.78182,-0.78591,-0.78717,-0.79355,-0.78706,-0.78613,-0.78982,-0.78912,-0.78618,-0.7843,-0.78722,-0.78313,-0.79091,-0.7875,-0.78812,-0.78745,-0.78544,-0.78727,-0.78559,-0.7866,-0.78641,-0.78816,-0.78548,-0.78548,-0.78822,-0.78833,-0.78687,-0.7865,-0.78858,-0.78806,-0.78659,-0.78805,-0.78786,-0.78715,-0.78597,-0.78744,-0.78617,-0.7875,-0.78789,-0.7876,-0.78787,-0.78701,-0.7862,-0.78784,-0.78763,-0.78665,-0.78795,-0.78654,-0.78806,-0.78806,-0.78721,-0.78727
4,-0.0056186,-0.013251,-0.008506,-0.0075431,-0.010293,-0.0096642,-0.0088364,-0.0070381,-0.010556,-0.0087241,-0.0080636,-0.0093721,-0.0074796,-0.0093905,-0.0088064,-0.0085839,-0.009428,-0.0083929,-0.0086839,-0.0086905,-0.0083131,-0.0090793,-0.0090141,-0.008592,-0.0088183,-0.0089538,-0.0088778,-0.0083354,-0.0089206,-0.0090771,-0.0086671,-0.0088406,-0.0088406,-0.008963,-0.0089542,-0.0086874,-0.0089209,-0.0087617,-0.0086917,-0.0089958,-0.00902,-0.0088002,-0.0087443,-0.0087623,-0.0089828,-0.0086645,-0.0087225,-0.008843,-0.0089043,-0.0089244,-0.0087753,-0.0086994,-0.0086973,-0.008755,-0.0087427,-0.0088293,-0.0088663,-0.0089485,-0.0089485,-0.0089192,-0.0089125
5,3.8199,3.3831,2.8245,2.9141,2.5077,2.6609,2.7235,2.6769,2.7011,2.66,2.6987,2.6648,2.6859,2.6851,2.6827,2.7045,2.6776,2.6814,2.6838,2.6868,2.6832,2.6821,2.6806,2.6843,2.6862,2.6833,2.6889,2.6814,2.6892,2.6854,2.6853,2.6856,2.6856,2.6823,2.6847,2.6836,2.6847,2.6846,2.6838,2.6845,2.6848,2.684,2.6842,2.6837,2.6837,2.6839,2.6838,2.684,2.6838,2.6842,2.6839,2.684,2.6837,2.6839,2.6838,2.6841,2.6839,2.6837,2.6837,2.6839,2.6839
6,0.12419,0.066512,0.051275,0.050514,0.053795,0.050941,0.05102,0.049313,0.050396,0.048271,0.049908,0.048892,0.049352,0.049242,0.049679,0.050748,0.049163,0.048533,0.049723,0.049389,0.049237,0.049366,0.049506,0.049103,0.049038,0.049151,0.049417,0.048956,0.049661,0.049227,0.049383,0.049409,0.049409,0.04914,0.049076,0.049371,0.049482,0.049196,0.049203,0.049286,0.049253,0.049253,0.049316,0.049286,0.049176,0.049207,0.049247,0.049184,0.049267,0.049233,0.049186,0.0492,0.049244,0.049183,0.049218,0.049204,0.049201,0.04921,0.04921,0.049222,0.0492
7,0.040735,0.032898,0.027231,0.027552,0.024818,0.026441,0.027021,0.026275,0.026721,0.026394,0.026548,0.026182,0.026408,0.026424,0.026482,0.026484,0.026433,0.026281,0.02641,0.026398,0.026412,0.026393,0.026414,0.026387,0.026383,0.026386,0.026412,0.026348,0.026437,0.026412,0.02642,0.02641,0.02641,0.026383,0.026367,0.026426,0.026406,0.026382,0.026398,0.026403,0.026388,0.026401,0.026398,0.026407,0.026391,0.026386,0.0264,0.02639,0.026402,0.026388,0.026399,0.026389,0.026402,0.026393,0.026395,0.0264,0.026386,0.026395,0.026395,0.026395,0.026384
8,-0.0015442,-0.0029941,-0.0012253,5.5372e-05,0.00029077,-0.00046919,-0.000547,-0.00042804,-0.00064275,-0.00073749,-0.00050645,-0.00028474,-0.00050416,-0.00051815,-0.00049482,-0.00037595,-0.00044122,-0.00039643,-0.00043757,-0.00041489,-0.00067787,-0.00041779,-0.00040126,-0.00043114,-0.00041217,-0.00043433,-0.00045156,-0.00038023,-0.00043629,-0.00042683,-0.00043946,-0.00040625,-0.00040625,-0.00039005,-0.00042464,-0.00041594,-0.00041527,-0.00041192,-0.00043299,-0.00042721,-0.00041099,-0.00041858,-0.00040588,-0.00040666,-0.00042053,-0.00040519,-0.00040611,-0.00041754,-0.00041417,-0.00040592,-0.00041673,-0.00040546,-0.00041399,-0.00041642,-0.00040325,-0.00041506,-0.00041248,-0.00041519,-0.00041519,-0.00041661,-0.00040305
9,0.0014548,0.0044595,0.0011763,7.9932e-06,7.8726e-05,0.00023383,0.00032099,0.0002179,0.00048238,0.00056884,0.0002844,0.00012277,0.0003009,0.00030286,0.00026869,0.00020482,0.00023072,0.00019761,0.00023422,0.00021338,0.00045618,0.00021213,0.00019992,0.00022116,0.00020998,0.00022577,0.00024118,0.00018685,0.00023072,0.00022295,0.00022878,0.00020576,0.00020576,0.00019116,0.00021822,0.00021226,0.00021128,0.00020934,0.00022269,0.00021993,0.00020798,0.0002137,0.00020476,0.00020449,0.00021445,0.00020371,0.00020402,0.00021256,0.00021018,0.00020411,0.00021153,0.0002038,0.00020972,0.00021149,0.00020202,0.00021055,0.00020854,0.00021067,0.00021067,0.00021172,0.00020259
10,-6.7727e-05,3.3298e-05,4.0052e-05,9.4965e-05,5.4553e-05,6.476e-06,1.8659e-05,-9.4873e-08,1.1168e-05,1.257e-05,1.8857e-07,-2.1722e-06,1.0852e-06,2.0863e-06,-2.5112e-06,-2.6245e-06,-6.542e-07,8.7539e-07,1.7728e-07,-4.274e-06,1.0014e-05,1.6652e-06,-2.0471e-07,-4.312e-06,-3.2226e-06,2.9137e-06,-1.078e-06,-7.4158e-07,1.4097e-06,-3.2001e-06,1.066e-06,-1.0439e-06,-1.0439e-06,-2.9457e-06,-2.3808e-06,-1.0755e-06,2.6444e-08,-8.6628e-07,4.9396e-07,9.5359e-08,-2.4984e-06,-2.9633e-06,-1.7476e-06,3.1999e-06,1.5728e-06,-1.0958e-06,-2.1025e-06,-4.3717e-07,3.292e-06,-2.978e-07,-1.0135e-06,-9.3588e-07,1.0652e-07,-6.2689e-07,-2.0019e-06,-1.3792e-06,-1.5567e-06,5.6103e-07,5.6103e-07,-7.5366e-08,1.2888e-06
