,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,367.67,376.6,374.07,373.81,372.5,372.09,372.09,374.18,373.73,372.01,371.18,372.66,371.78,372.64,373.36,372.66,371.86,372.41,372.74,372.41,372.18,372.37,373.05,372.59,372.74,372.47,372.21,372.45,372.59,372.49,373.09,372.69,373.03,372.59,372.59,372.58,372.35,372.46,372.88,372.67,372.71,372.7,372.7,372.48,372.64,372.76,372.54,372.83,372.62,372.88,372.55,372.63,372.68,372.68
1,-367.79,-374.12,-370.55,-370.88,-369.49,-369.13,-369.13,-371.03,-370.42,-369.07,-368.26,-369.53,-368.71,-369.58,-370.39,-369.58,-368.9,-369.39,-369.78,-369.51,-369.23,-369.3,-369.96,-369.59,-369.74,-369.41,-369.27,-369.44,-369.57,-369.56,-370.01,-369.64,-369.92,-369.6,-369.6,-369.54,-369.35,-369.49,-369.82,-369.61,-369.65,-369.65,-369.65,-369.44,-369.62,-369.74,-369.53,-369.75,-369.58,-369.81,-369.52,-369.6,-369.62,-369.62
2,-22.537,-23.248,-24.787,-24.34,-24.419,-24.465,-24.465,-24.6,-24.771,-24.397,-24.358,-24.586,-24.539,-24.519,-24.438,-24.537,-24.418,-24.482,-24.419,-24.369,-24.427,-24.535,-24.554,-24.467,-24.461,-24.531,-24.405,-24.475,-24.487,-24.399,-24.548,-24.51,-24.564,-24.452,-24.452,-24.505,-24.467,-24.439,-24.52,-24.518,-24.523,-24.52,-24.52,-24.498,-24.487,-24.489,-24.479,-24.542,-24.509,-24.533,-24.494,-24.496,-24.52,-24.52
3,-0.21455,-0.24282,-0.26761,-0.25398,-0.24895,-0.25698,-0.25698,-0.258,-0.25735,-0.25265,-0.25308,-0.25727,-0.25233,-0.25567,-0.25365,-0.25396,-0.25364,-0.25416,-0.25293,-0.25177,-0.25311,-0.25574,-0.25516,-0.25354,-0.25407,-0.25415,-0.2526,-0.25379,-0.25478,-0.25095,-0.25428,-0.25471,-0.25541,-0.25312,-0.25312,-0.25397,-0.25386,-0.254,-0.25433,-0.25468,-0.25459,-0.25466,-0.25466,-0.25443,-0.2542,-0.2541,-0.25411,-0.25554,-0.25425,-0.25497,-0.25391,-0.25397,-0.25465,-0.25465
4,-0.00048979,-0.000522,-0.00055977,-0.00052957,-0.00052052,-0.00053813,-0.00053813,-0.00053496,-0.00053486,-0.00052526,-0.00052669,-0.00053008,-0.00052346,-0.00052885,-0.00052722,-0.00052583,-0.00052321,-0.00052754,-0.0005278,-0.00052192,-0.00052513,-0.00053108,-0.00052856,-0.00052725,-0.0005288,-0.00052992,-0.00052513,-0.00052615,-0.00052938,-0.00052237,-0.00052849,-0.00052735,-0.00053121,-0.0005255,-0.0005255,-0.00052809,-0.00052787,-0.00052887,-0.0005267,-0.00052851,-0.00052903,-0.00052798,-0.00052798,-0.000529,-0.000529,-0.00052823,-0.00052738,-0.00053008,-0.00052792,-0.00053,-0.00052822,-0.00052735,-0.0005295,-0.0005295
5,1.1852,0.78608,0.94939,0.95444,0.91895,0.98196,0.98196,0.96159,0.98984,0.97605,0.95407,0.97625,0.972,0.97431,0.97752,0.97026,0.97685,0.97684,0.96795,0.97227,0.97419,0.97443,0.97806,0.97438,0.97252,0.97572,0.97382,0.97376,0.97395,0.97449,0.97519,0.97423,0.97418,0.97346,0.97346,0.97391,0.97383,0.974,0.97398,0.97395,0.97401,0.97398,0.97398,0.9739,0.97388,0.97401,0.97377,0.9739,0.97391,0.97388,0.97406,0.9739,0.97391,0.97391
6,0.041094,0.019147,0.019852,0.020244,0.019095,0.021143,0.021143,0.020722,0.020946,0.01965,0.019793,0.020785,0.02052,0.020094,0.020466,0.020141,0.019689,0.02019,0.020169,0.020061,0.020127,0.020157,0.020243,0.020132,0.019814,0.020068,0.020141,0.02008,0.020105,0.020052,0.019963,0.0201,0.020021,0.020128,0.020128,0.020056,0.020018,0.020053,0.019944,0.020037,0.020015,0.020113,0.020113,0.020038,0.020042,0.020033,0.020011,0.020032,0.020023,0.020017,0.020066,0.020041,0.020044,0.020044
7,0.01366,0.0083237,0.016706,0.0093067,0.0091439,0.0097309,0.0097309,0.0096293,0.0099539,0.0096672,0.0095697,0.0097568,0.0096435,0.0096777,0.0097515,0.0096582,0.0096418,0.0096745,0.0096631,0.009667,0.0096844,0.0096761,0.0097089,0.0096744,0.0096478,0.009691,0.009689,0.0096719,0.0096766,0.0096845,0.0096576,0.0096733,0.0096623,0.0096829,0.0096829,0.0096714,0.0096693,0.0096678,0.0096604,0.0096721,0.0096626,0.0096803,0.0096803,0.0096695,0.0096723,0.0096723,0.0096691,0.0096733,0.0096693,0.00967,0.0096704,0.0096692,0.0096712,0.0096712
8,0.00034432,-0.00023856,-4.5997e-05,-9.7583e-05,-9.0535e-05,-0.00012301,-0.00012301,-9.9009e-05,-0.00010023,-0.00011339,-0.0001077,-9.9584e-05,-0.00010407,-0.00010895,-0.00010529,-0.00010518,-0.00010859,-0.000107,-0.00010553,-0.00010709,-0.000106,-0.00010731,-0.00010407,-0.00010772,-0.00010856,-0.00010659,-0.00010535,-0.00010672,-0.00010598,-0.00010732,-0.00010652,-0.00010598,-0.00010712,-0.00010578,-0.00010578,-0.00010614,-0.00010645,-0.00010646,-0.00010703,-0.00010635,-0.00010673,-0.0001059,-0.0001059,-0.00010647,-0.0001064,-0.00010666,-0.00010708,-0.00010637,-0.00010644,-0.00010652,-0.0001062,-0.00010646,-0.00010644,-0.00010644
9,-3.5161e-05,0.00013759,-3.3479e-05,1.0629e-05,-3.5246e-06,2.5013e-05,2.5013e-05,1.2278e-06,1.735e-07,6.3679e-06,1.7442e-06,3.148e-06,3.1568e-06,3.741e-06,1.9774e-06,1.9784e-06,5.3505e-07,4.3966e-06,1.6644e-06,2.9296e-06,2.278e-06,2.3093e-06,5.3113e-06,3.1334e-06,1.9734e-06,1.2633e-06,6.5643e-06,2.1197e-06,6.4444e-06,1.9186e-06,8.4218e-06,5.1718e-06,1.6187e-06,8.0883e-06,8.0883e-06,1.0711e-05,9.8783e-06,9.4264e-06,1.3528e-05,1.2646e-05,3.6847e-06,5.8892e-06,5.8892e-06,5.2832e-06,1.1002e-05,1.3596e-05,1.84e-06,1.2269e-05,6.8083e-06,7.3647e-06,1.0894e-05,7.9908e-06,6.5657e-06,6.5657e-06
