,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
0,446.19,475.59,467.17,458.16,458.16,463.36,462.8,460.04,462.41,463.9,460.02,461.73,463.67,460.52,461.26,460.78,462.61,461.84,463.21,461.96,461.74,461.41,462.71,462.71,462.57,463.2,462.66,462.5,462.42,462.22,462.22,462.58,462.58,462.53,462.53,462.06,462.06,462.06,462.9,462.3,462.35,462.22,462.22,462.31,462.31,462.14,462.27,462.27,462.27,462.43,462.43,462.35,462.35,462.4,462.4,462.44,462.44,462.44,462.69,462.23,462.66,462.66,462.31,462.57,462.57,462.39,462.39,462.39,462.45,462.45,462.37,462.37,462.37,462.37
1,-450.11,-471.45,-464.39,-455.66,-455.66,-460.93,-459.85,-457.31,-459.81,-461.03,-457.24,-459.08,-460.79,-457.77,-458.58,-458.2,-459.78,-459.14,-460.21,-459.16,-459.01,-458.68,-459.94,-459.94,-459.7,-460.19,-459.78,-459.67,-459.67,-459.43,-459.43,-459.82,-459.82,-459.8,-459.8,-459.23,-459.23,-459.23,-460.04,-459.53,-459.5,-459.46,-459.46,-459.48,-459.48,-459.37,-459.48,-459.48,-459.48,-459.65,-459.65,-459.54,-459.54,-459.56,-459.56,-459.66,-459.66,-459.66,-459.87,-459.44,-459.84,-459.84,-459.53,-459.76,-459.76,-459.6,-459.6,-459.6,-459.65,-459.65,-459.57,-459.57,-459.57,-459.57
2,-26.957,-31.174,-29.266,-29.274,-29.274,-29.233,-29.791,-29.506,-29.387,-29.631,-29.549,-29.453,-29.686,-29.569,-29.47,-29.368,-29.627,-29.505,-29.795,-29.581,-29.526,-29.518,-29.566,-29.566,-29.66,-29.8,-29.665,-29.621,-29.54,-29.588,-29.588,-29.557,-29.557,-29.523,-29.523,-29.617,-29.617,-29.617,-29.648,-29.562,-29.638,-29.55,-29.55,-29.621,-29.621,-29.564,-29.582,-29.582,-29.582,-29.571,-29.571,-29.596,-29.596,-29.627,-29.627,-29.575,-29.575,-29.575,-29.607,-29.583,-29.608,-29.608,-29.57,-29.6,-29.6,-29.583,-29.583,-29.583,-29.594,-29.594,-29.586,-29.586,-29.586,-29.586
3,-0.31694,-0.40744,-0.32935,-0.35111,-0.35111,-0.34478,-0.35715,-0.36232,-0.35443,-0.35916,-0.36089,-0.35777,-0.35648,-0.35875,-0.35429,-0.35129,-0.35626,-0.3568,-0.36227,-0.35773,-0.35562,-0.35569,-0.35605,-0.35605,-0.35744,-0.36062,-0.35937,-0.35597,-0.35486,-0.3559,-0.3559,-0.35687,-0.35687,-0.35501,-0.35501,-0.3583,-0.3583,-0.3583,-0.35841,-0.3564,-0.357,-0.35617,-0.35617,-0.35705,-0.35705,-0.3561,-0.35652,-0.35652,-0.35652,-0.35643,-0.35643,-0.35715,-0.35715,-0.35776,-0.35776,-0.3568,-0.3568,-0.3568,-0.3566,-0.35648,-0.35653,-0.35653,-0.3559,-0.35669,-0.35669,-0.35647,-0.35647,-0.35647,-0.35696,-0.35696,-0.35616,-0.35616,-0.35616,-0.35616
4,-0.00088485,-0.0010977,-0.0017394,-0.00093354,-0.00093354,-0.00089662,-0.00094623,-0.00093896,-0.00092842,-0.00094018,-0.00093744,-0.00094762,-0.00094702,-0.00093981,-0.00094304,-0.00093312,-0.00094633,-0.00093614,-0.00095351,-0.00094787,-0.00094252,-0.00094458,-0.00093907,-0.00093907,-0.00095154,-0.00094564,-0.00094815,-0.00094039,-0.00094024,-0.00093677,-0.00093677,-0.0009428,-0.0009428,-0.00093732,-0.00093732,-0.00094469,-0.00094469,-0.00094469,-0.00094501,-0.00094307,-0.00094177,-0.00094004,-0.00094004,-0.00094408,-0.00094408,-0.00094217,-0.00094163,-0.00094163,-0.00094163,-0.00094089,-0.00094089,-0.00094327,-0.00094327,-0.00094494,-0.00094494,-0.00094365,-0.00094365,-0.00094365,-0.00094285,-0.00094298,-0.00094359,-0.00094359,-0.00094237,-0.00094223,-0.00094223,-0.00094212,-0.00094212,-0.00094212,-0.00094275,-0.00094275,-0.00094089,-0.00094089,-0.00094089,-0.00094089
5,2.1137,1.0993,1.1413,1.1752,1.1752,1.1445,1.2254,1.2037,1.2224,1.2083,1.2039,1.2363,1.2398,1.2183,1.2252,1.2076,1.217,1.2219,1.2395,1.2143,1.2199,1.2196,1.2254,1.2254,1.2172,1.2217,1.2222,1.2198,1.2138,1.223,1.223,1.2183,1.2183,1.2209,1.2209,1.2192,1.2192,1.2192,1.2187,1.219,1.2177,1.2191,1.2191,1.2185,1.2185,1.2191,1.2198,1.2198,1.2198,1.2191,1.2191,1.2189,1.2189,1.219,1.219,1.2191,1.2191,1.2191,1.2188,1.219,1.2191,1.2191,1.219,1.219,1.219,1.219,1.219,1.219,1.2191,1.2191,1.2191,1.2191,1.2191,1.2191
6,0.067405,0.022866,0.021943,0.022444,0.022444,0.023542,0.024158,0.022285,0.022338,0.022075,0.022586,0.02359,0.02342,0.024716,0.022256,0.022826,0.022814,0.023214,0.023656,0.022324,0.023084,0.023133,0.022437,0.022437,0.022984,0.023323,0.022969,0.022929,0.022439,0.022917,0.022917,0.022869,0.022869,0.022934,0.022934,0.02295,0.02295,0.02295,0.023308,0.022941,0.022831,0.022966,0.022966,0.022846,0.022846,0.022936,0.022874,0.022874,0.022874,0.023028,0.023028,0.022948,0.022948,0.022991,0.022991,0.022941,0.022941,0.022941,0.022934,0.022944,0.022949,0.022949,0.02294,0.02294,0.02294,0.022932,0.022932,0.022932,0.02294,0.02294,0.022922,0.022922,0.022922,0.022922
7,0.023033,0.012288,0.0092312,0.011506,0.011506,0.011724,0.012509,0.012215,0.012431,0.012341,0.012382,0.012699,0.012635,0.012632,0.012413,0.012374,0.012422,0.012548,0.012658,0.012395,0.01249,0.012521,0.01245,0.01245,0.012476,0.012497,0.012488,0.012472,0.01241,0.012474,0.012474,0.012471,0.012471,0.012466,0.012466,0.012476,0.012476,0.012476,0.012511,0.012486,0.012475,0.012486,0.012486,0.012484,0.012484,0.012486,0.012454,0.012454,0.012454,0.012485,0.012485,0.012476,0.012476,0.01248,0.01248,0.01248,0.01248,0.01248,0.012489,0.01248,0.012475,0.012475,0.012478,0.01248,0.01248,0.012479,0.012479,0.012479,0.01248,0.01248,0.012471,0.012471,0.012471,0.012471
8,-0.00031909,-2.6734e-05,2.0182e-05,-0.00017263,-0.00017263,-0.00018792,-0.00018294,-0.00017472,-0.00014345,-0.00019014,-0.00020658,-0.00016622,-0.00020185,-0.00012423,-0.00016695,-0.00016612,-0.00016522,-0.00015434,-0.00016053,-0.00017877,-0.00015407,-0.00015977,-0.00015893,-0.00015893,-0.00015798,-0.00015254,-0.00016048,-0.00015406,-0.00016001,-0.00015698,-0.00015698,-0.00015786,-0.00015786,-0.00015836,-0.00015836,-0.00015714,-0.00015714,-0.00015714,-0.00015587,-0.00015754,-0.00015885,-0.00015872,-0.00015872,-0.00015803,-0.00015803,-0.00015859,-0.00015746,-0.00015746,-0.00015746,-0.00015563,-0.00015563,-0.0001559,-0.0001559,-0.00015792,-0.00015792,-0.00015773,-0.00015773,-0.00015773,-0.00015802,-0.00015729,-0.00015683,-0.00015683,-0.00015735,-0.00015674,-0.00015674,-0.00015718,-0.00015718,-0.00015718,-0.00015755,-0.00015755,-0.00015759,-0.00015759,-0.00015759,-0.00015759
9,0.00021379,-2.3378e-05,4.4181e-05,-8.3609e-05,-8.3609e-05,8.6106e-05,7.1404e-05,4.9997e-05,2.0138e-05,6.3519e-05,7.6034e-05,5.768e-05,7.952e-05,1.809e-05,4.476e-05,5.217e-05,4.539e-05,4.1019e-05,4.7182e-05,5.7918e-05,3.7925e-05,4.6294e-05,3.8832e-05,3.8832e-05,4.1893e-05,4.0271e-05,4.5507e-05,3.9508e-05,4.0352e-05,4.1504e-05,4.1504e-05,4.2634e-05,4.2634e-05,4.2813e-05,4.2813e-05,4.2556e-05,4.2556e-05,4.2556e-05,4.3289e-05,4.2556e-05,4.2524e-05,4.2015e-05,4.2015e-05,4.3363e-05,4.3363e-05,4.3877e-05,4.2453e-05,4.2453e-05,4.2453e-05,4.1528e-05,4.1528e-05,4.1138e-05,4.1138e-05,4.3863e-05,4.3863e-05,4.1948e-05,4.1948e-05,4.1948e-05,4.2773e-05,4.2859e-05,4.2474e-05,4.2474e-05,4.2987e-05,4.2239e-05,4.2239e-05,4.2794e-05,4.2794e-05,4.2794e-05,4.2496e-05,4.2496e-05,4.3064e-05,4.3064e-05,4.3064e-05,4.3064e-05
