,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,552.74,552.46,549.35,543.04,549.09,548.7,545.33,546.1,542.88,543.41,542.6,543.04,544.37,543.43,544.62,545.07,544.33,543.45,544.18,544.02,545.11,542.86,543.91,544.15,543.31,544.45,544.51,543.32,544.52,544.9,543.87,544.09,543.95,543.94,544.37,545.12,544.09,544.04,544.3,544.29,544.27,544.27,544.07,544.32,544.05,544.26,544.25,544.05,543.95,543.95,543.84,544.12,544.34,544.2,544.18,544.37,544.12,544.61,544.12,544.26
1,-551.98,-551.61,-549.35,-544.3,-548.51,-548.89,-545.44,-546.42,-543.68,-544.19,-543.11,-543.66,-544.76,-543.9,-544.9,-545.42,-544.83,-544.03,-544.67,-544.4,-545.46,-543.32,-544.37,-544.71,-543.73,-544.82,-544.85,-543.89,-544.91,-545.33,-544.32,-544.51,-544.43,-544.41,-544.76,-545.4,-544.47,-544.5,-544.7,-544.65,-544.68,-544.71,-544.49,-544.75,-544.47,-544.69,-544.68,-544.5,-544.39,-544.39,-544.29,-544.54,-544.74,-544.64,-544.59,-544.79,-544.55,-544.99,-544.58,-544.68
2,-34.88,-32.528,-31.853,-30.822,-32.612,-32.027,-32.051,-31.851,-31.327,-31.329,-31.604,-31.539,-31.763,-31.673,-31.854,-31.786,-31.638,-31.554,-31.653,-31.758,-31.781,-31.682,-31.685,-31.585,-31.721,-31.768,-31.793,-31.579,-31.748,-31.718,-31.685,-31.723,-31.66,-31.675,-31.751,-31.855,-31.766,-31.681,-31.733,-31.771,-31.728,-31.7,-31.714,-31.718,-31.724,-31.719,-31.71,-31.694,-31.698,-31.698,-31.693,-31.713,-31.737,-31.698,-31.725,-31.72,-31.714,-31.763,-31.681,-31.728
3,-0.50662,-0.46834,-0.44114,-0.40865,-0.45566,-0.43226,-0.44437,-0.43709,-0.43232,-0.42908,-0.43779,-0.43285,-0.43616,-0.43477,-0.44027,-0.43689,-0.43424,-0.43251,-0.43456,-0.43821,-0.43761,-0.43575,-0.43532,-0.43524,-0.4368,-0.4374,-0.4382,-0.43434,-0.43823,-0.43591,-0.43538,-0.43727,-0.4354,-0.43578,-0.4374,-0.43938,-0.43815,-0.43567,-0.43584,-0.4373,-0.43659,-0.43651,-0.43569,-0.43584,-0.43653,-0.43639,-0.43635,-0.43623,-0.43624,-0.43624,-0.43575,-0.43632,-0.43704,-0.43614,-0.43641,-0.43658,-0.43615,-0.43755,-0.43557,-0.43668
4,-0.0027187,-0.0021361,-0.0026334,-0.002272,-0.0026356,-0.0024279,-0.0024392,-0.0023328,-0.0023427,-0.0023972,-0.0025158,-0.0023576,-0.0024358,-0.0024364,-0.0024188,-0.0024562,-0.0023674,-0.0023927,-0.002384,-0.0024093,-0.0024469,-0.0024022,-0.0024108,-0.0024368,-0.0024478,-0.0024293,-0.0024599,-0.0024121,-0.0024164,-0.0024248,-0.0024115,-0.002414,-0.0024363,-0.0024213,-0.0024219,-0.0024391,-0.0024197,-0.0024112,-0.0024114,-0.0024173,-0.0024109,-0.0024243,-0.0024068,-0.0024148,-0.0024166,-0.0024059,-0.0024146,-0.0024083,-0.0024107,-0.0024107,-0.0024039,-0.0024215,-0.0024259,-0.0024061,-0.0024262,-0.002416,-0.0024159,-0.002423,-0.0024154,-0.0024282
5,1.7118,1.3816,1.3734,1.435,1.3824,1.5069,1.4638,1.4779,1.4612,1.4394,1.4465,1.4789,1.4669,1.4643,1.4703,1.4671,1.4636,1.4662,1.4652,1.4613,1.4624,1.4658,1.4662,1.4641,1.4658,1.4653,1.4655,1.4668,1.4647,1.4654,1.4651,1.465,1.4652,1.4649,1.4645,1.4646,1.4648,1.4646,1.4655,1.4646,1.4645,1.4646,1.4645,1.4644,1.4646,1.4645,1.4646,1.4647,1.4646,1.4646,1.4645,1.4648,1.4646,1.4646,1.4646,1.4646,1.4646,1.4646,1.4644,1.4647
6,0.059033,0.036638,0.02559,0.02652,0.024231,0.02994,0.026338,0.026091,0.02602,0.025176,0.025375,0.02594,0.026506,0.025982,0.025885,0.025446,0.025813,0.025693,0.025917,0.025746,0.02584,0.025905,0.02589,0.025752,0.025862,0.02582,0.025703,0.025868,0.025868,0.025885,0.025965,0.02598,0.025911,0.025843,0.025912,0.025885,0.025883,0.02587,0.025931,0.025857,0.025864,0.025848,0.025868,0.02587,0.025891,0.025877,0.025849,0.025859,0.025866,0.025866,0.025858,0.025854,0.025856,0.025869,0.025861,0.025869,0.025871,0.025884,0.025864,0.02585
7,0.021044,0.015456,0.014171,0.014439,0.014053,0.015591,0.014918,0.014984,0.01491,0.014704,0.014782,0.014963,0.014899,0.014912,0.014923,0.014851,0.014858,0.014885,0.014899,0.014871,0.0149,0.014874,0.014875,0.014865,0.014896,0.014876,0.014864,0.014875,0.01488,0.014886,0.014885,0.014895,0.014893,0.014886,0.014895,0.014891,0.014894,0.014894,0.014895,0.014894,0.014897,0.014888,0.014889,0.014894,0.014897,0.014894,0.01489,0.014892,0.014891,0.014891,0.014892,0.014884,0.014889,0.014891,0.014888,0.01489,0.014888,0.014889,0.014904,0.014885
8,-0.00030839,0.00067368,-0.00014976,-0.00034157,-0.00049624,-0.00016302,-0.00012783,-0.00012209,-0.00018202,-0.00011285,-0.00014844,-0.00010228,-8.9996e-05,-0.00010529,-0.00011339,-0.00016947,-0.00012005,-0.00010776,-0.0001087,-0.00010734,-0.00010573,-0.00010991,-0.00011193,-0.00011355,-0.00011356,-0.00011115,-0.00010557,-0.00010603,-0.00010965,-0.00010845,-0.00010598,-0.0001054,-0.00010469,-0.0001059,-0.00010589,-0.00010553,-0.00010589,-0.00010615,-0.00010651,-0.00010917,-0.00010589,-0.00010613,-0.00010565,-0.00010535,-0.00010731,-0.00010683,-0.00010569,-0.00010605,-0.00010586,-0.00010586,-0.00010709,-0.00010658,-0.00010728,-0.00010562,-0.00010589,-0.00010599,-0.00010559,-0.00010623,-0.0001062,-0.00010654
9,0.0009265,-8.1528e-05,8.9174e-05,0.00023984,0.00046961,9.0324e-05,2.7975e-05,3.2562e-05,8.2858e-05,6.1811e-06,4.1797e-05,-2.6823e-06,1.3828e-06,-2.4329e-06,7.8355e-06,6.1962e-05,1.7142e-05,1.2376e-06,6.3481e-06,1.2481e-06,3.0323e-06,3.5306e-06,7.9542e-06,7.2e-06,8.2621e-06,5.0411e-06,1.0565e-06,1.2672e-07,2.8299e-06,8.0374e-07,1.0567e-06,1.799e-06,-2.1235e-06,-3.3719e-07,-8.937e-07,-9.9314e-07,3.3782e-06,3.7305e-07,4.0345e-07,2.3686e-06,-5.9586e-08,-1.0743e-06,-4.7148e-07,4.4595e-06,7.6489e-07,5.7453e-08,9.3236e-08,2.7359e-06,1.7452e-06,1.7452e-06,-4.1952e-07,-4.8785e-07,2.2264e-07,-1.2218e-07,-3.4136e-07,1.0941e-06,2.1361e-06,-7.4688e-07,1.4365e-06,-6.5966e-08
