,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,620.52,620.52,628.63,626.24,618.55,620.42,622.91,620.09,620.46,621.37,621.29,622.06,620.73,619.57,621.49,622.35,621.18,621.73,621.02,621.8,622.3,621.31,622.41,621.24,621.84,621.98,621.75,622.67,622.02,621.66,621.75,622.02,622.08,622.12,621.63,621.82,622.14,622.14,621.76,621.63,622.14,621.66,621.85,621.78,622.13,621.73,621.73,621.83,621.75,621.89,621.73,622.03,622.01,621.81,621.89,621.97,621.69,621.65,621.77,621.83,622.15,621.89,622.13,621.77
1,-628.58,-625.33,-633.48,-630.99,-624.41,-625.38,-628.18,-625.54,-625.59,-626.57,-626.62,-627.43,-626.13,-624.77,-626.68,-627.59,-626.44,-627.07,-626.21,-627.01,-627.53,-626.58,-627.64,-626.6,-627.05,-627.19,-627.01,-627.72,-627.21,-626.93,-627.06,-627.23,-627.3,-627.36,-626.88,-627.01,-627.36,-627.35,-626.95,-626.89,-627.36,-626.91,-627.05,-626.96,-627.32,-626.96,-626.96,-627.05,-626.98,-627.11,-626.95,-627.23,-627.2,-626.99,-627.09,-627.17,-626.9,-626.88,-627.01,-627.09,-627.36,-627.1,-627.37,-627.01
2,-31.897,-32.159,-32.304,-32.585,-31.539,-32.493,-32.153,-31.956,-32.301,-32.245,-32.088,-32.05,-32.046,-32.216,-32.228,-32.178,-32.172,-32.094,-32.235,-32.221,-32.201,-32.15,-32.196,-32.071,-32.216,-32.218,-32.168,-32.375,-32.242,-32.156,-32.118,-32.21,-32.207,-32.189,-32.177,-32.235,-32.206,-32.213,-32.241,-32.171,-32.205,-32.178,-32.219,-32.253,-32.23,-32.204,-32.204,-32.208,-32.205,-32.201,-32.209,-32.224,-32.236,-32.248,-32.232,-32.23,-32.219,-32.2,-32.192,-32.174,-32.221,-32.217,-32.188,-32.187
3,-0.55709,-0.55414,-0.55532,-0.57895,-0.54377,-0.56998,-0.57119,-0.55505,-0.56594,-0.5596,-0.56067,-0.56496,-0.55872,-0.56603,-0.56783,-0.56391,-0.56329,-0.55959,-0.56817,-0.56165,-0.56307,-0.56454,-0.56402,-0.56065,-0.5638,-0.56296,-0.56244,-0.56773,-0.56511,-0.56402,-0.56069,-0.56503,-0.56362,-0.56279,-0.56443,-0.56545,-0.56343,-0.56475,-0.56519,-0.56377,-0.5647,-0.56355,-0.56494,-0.56524,-0.56526,-0.56472,-0.56472,-0.56405,-0.5642,-0.56424,-0.56483,-0.56445,-0.56515,-0.56535,-0.56517,-0.56455,-0.56421,-0.56432,-0.56426,-0.56379,-0.56483,-0.56404,-0.56359,-0.5635
4,-0.01627,-0.016385,-0.016484,-0.016927,-0.01596,-0.016663,-0.016028,-0.015543,-0.016443,-0.015918,-0.016199,-0.01625,-0.016064,-0.016186,-0.016272,-0.016221,-0.016186,-0.01612,-0.016239,-0.016168,-0.016213,-0.016272,-0.016203,-0.016135,-0.016247,-0.016268,-0.016218,-0.016269,-0.016279,-0.01623,-0.01613,-0.016263,-0.016273,-0.016196,-0.016236,-0.016262,-0.016174,-0.016252,-0.016245,-0.016195,-0.016245,-0.0162,-0.016257,-0.016272,-0.016268,-0.016225,-0.016225,-0.016223,-0.016242,-0.016223,-0.016213,-0.016252,-0.016245,-0.016249,-0.016239,-0.016222,-0.016255,-0.016225,-0.016243,-0.016207,-0.016239,-0.016235,-0.0162,-0.016199
5,2.101,1.6541,1.7082,1.698,1.723,1.7359,1.7198,1.7215,1.7276,1.7063,1.6997,1.7079,1.7138,1.7004,1.7039,1.7083,1.7178,1.7217,1.7148,1.7177,1.7171,1.7109,1.7117,1.7126,1.7112,1.715,1.7134,1.7164,1.7142,1.715,1.7146,1.7119,1.7136,1.7157,1.7142,1.714,1.7144,1.7142,1.7163,1.714,1.7174,1.7141,1.7139,1.7144,1.7138,1.714,1.714,1.714,1.7142,1.714,1.714,1.7139,1.714,1.714,1.7139,1.714,1.714,1.7139,1.7139,1.714,1.714,1.7141,1.7141,1.714
6,0.04427,0.039763,0.026947,0.023418,0.025482,0.028094,0.023174,0.024789,0.02393,0.024896,0.024534,0.023855,0.024868,0.02506,0.024461,0.024238,0.024287,0.024604,0.024325,0.023912,0.024454,0.024601,0.024369,0.024277,0.024035,0.024211,0.024485,0.024578,0.024307,0.024347,0.024512,0.024388,0.024336,0.024415,0.024408,0.024484,0.024473,0.024349,0.02416,0.024392,0.024475,0.024257,0.024508,0.024378,0.024403,0.024526,0.024526,0.024492,0.024346,0.024444,0.02442,0.024515,0.024418,0.024451,0.024371,0.024436,0.024439,0.024484,0.024439,0.02444,0.024388,0.024366,0.024383,0.024412
7,0.024751,0.015563,0.017013,0.016611,0.016921,0.017253,0.016673,0.016408,0.017007,0.016904,0.01686,0.016906,0.016929,0.016891,0.01687,0.016886,0.01691,0.016943,0.016926,0.016887,0.016883,0.01692,0.016896,0.016902,0.016873,0.016905,0.016936,0.016911,0.016906,0.016919,0.016921,0.016915,0.016901,0.016908,0.016929,0.016929,0.016913,0.016907,0.016906,0.016917,0.016922,0.016922,0.016925,0.016912,0.016922,0.016927,0.016927,0.016928,0.016918,0.016925,0.01693,0.01693,0.016923,0.016926,0.016939,0.016925,0.016921,0.016923,0.016925,0.016919,0.016925,0.01692,0.01692,0.016922
8,-0.00037362,0.0029006,3.0463e-05,-0.0011295,-0.0007959,-0.0010102,-0.00021332,6.833e-05,-0.00017888,9.6585e-05,-7.6785e-05,7.396e-05,-0.00020673,-0.0002634,-0.00016512,-0.00025208,-0.00028041,-3.3588e-05,0.00012752,-5.5798e-05,-0.00013321,0.00010671,0.0001569,-0.00022223,-0.0001691,0.0001446,9.6833e-05,9.3951e-05,2.5777e-05,8.4303e-05,0.00013594,-1.9519e-05,-0.00015979,0.00011349,0.00011023,0.0001468,5.4398e-05,-0.00014819,0.00011918,-0.00013542,0.00015427,7.0981e-05,-2.0759e-06,0.00014971,0.00011389,-0.00012012,-0.00012012,2.5369e-05,0.00011585,-1.0683e-05,7.4241e-05,3.9025e-05,6.1976e-05,0.00010767,0.00013924,2.834e-05,6.7367e-05,3.0919e-05,1.0029e-05,9.2369e-05,4.8021e-05,0.00011875,0.00012358,4.1404e-05
9,0.00078857,2.3041e-05,0.00026037,0.001353,0.000941,0.0013344,0.00032789,0.00023892,0.0003708,3.345e-05,0.00022747,6.7169e-05,0.0003864,0.00042852,0.00030763,0.00040933,0.00045942,0.00017427,3.4261e-05,0.00019345,0.00028579,2.8785e-05,1.3389e-06,0.00037456,0.00032664,7.4062e-06,4.6187e-05,5.0395e-05,0.00012805,6.3989e-05,1.69e-05,0.00017388,0.00031361,3.4703e-05,3.7158e-05,1.4065e-06,9.748e-05,0.00030761,2.9193e-05,0.00028616,2.7094e-06,8.4632e-05,0.00015196,2.7293e-06,3.6541e-05,0.00027214,0.00027214,0.00011904,3.3362e-05,0.00016243,7.3106e-05,0.00010703,8.5899e-05,3.9806e-05,7.2227e-06,0.00012081,8.0561e-05,0.00011657,0.00013653,5.5489e-05,0.00010174,3.0939e-05,2.6273e-05,0.00010871
