,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
0,697.6,697.1,697.1,700.37,691.26,698.39,697.35,699.0,699.0,699.58,697.29,698.61,698.05,698.77,700.43,698.51,697.28,697.46,699.34,697.94,697.47,696.89,698.49,698.5,699.31,698.02,697.89,697.48,698.18,698.53,698.28,698.45,698.65,698.33,697.72,698.01,698.38,698.32,698.36,697.94,697.86,698.5,698.31,697.98,698.26,697.97,697.97,698.0,698.0,697.72,698.41,697.99,697.92,697.92,698.09,698.26,698.0,698.32,698.29,698.42,698.42,698.11,698.21,698.4,698.25,698.31,698.22,698.3
1,-710.98,-706.26,-706.26,-710.03,-701.52,-708.23,-707.61,-709.1,-709.1,-709.51,-707.65,-708.61,-708.25,-708.82,-710.66,-708.75,-707.77,-707.9,-709.56,-708.3,-707.84,-707.2,-708.67,-708.67,-709.49,-708.24,-708.18,-707.76,-708.41,-708.7,-708.48,-708.7,-708.84,-708.58,-708.01,-708.26,-708.56,-708.57,-708.59,-708.22,-708.08,-708.63,-708.58,-708.2,-708.51,-708.28,-708.28,-708.29,-708.26,-707.99,-708.65,-708.24,-708.18,-708.18,-708.34,-708.51,-708.27,-708.58,-708.52,-708.66,-708.66,-708.34,-708.45,-708.67,-708.5,-708.52,-708.44,-708.53
2,-31.806,-33.186,-33.186,-33.034,-32.358,-32.781,-32.552,-32.617,-32.617,-32.773,-32.341,-32.712,-32.548,-32.686,-32.517,-32.485,-32.245,-32.292,-32.518,-32.359,-32.366,-32.423,-32.559,-32.55,-32.549,-32.512,-32.438,-32.443,-32.497,-32.558,-32.531,-32.479,-32.531,-32.476,-32.444,-32.475,-32.542,-32.483,-32.5,-32.452,-32.506,-32.595,-32.46,-32.512,-32.48,-32.421,-32.421,-32.435,-32.469,-32.461,-32.491,-32.475,-32.475,-32.475,-32.482,-32.483,-32.465,-32.476,-32.497,-32.49,-32.49,-32.497,-32.486,-32.463,-32.483,-32.519,-32.512,-32.495
3,-0.66154,-0.69224,-0.69224,-0.69664,-0.68835,-0.69341,-0.69108,-0.68905,-0.68905,-0.69717,-0.68663,-0.69484,-0.68751,-0.69045,-0.68622,-0.68509,-0.68089,-0.67902,-0.68693,-0.68387,-0.68217,-0.68494,-0.68747,-0.69073,-0.68975,-0.68852,-0.68633,-0.68397,-0.68733,-0.68795,-0.68907,-0.68558,-0.68853,-0.68619,-0.68537,-0.68705,-0.68759,-0.68618,-0.68631,-0.68617,-0.68767,-0.69003,-0.68624,-0.68751,-0.68638,-0.68495,-0.68495,-0.68674,-0.68526,-0.68685,-0.6869,-0.68704,-0.68624,-0.68624,-0.68672,-0.68686,-0.68568,-0.68648,-0.68725,-0.68708,-0.68708,-0.68749,-0.68696,-0.686,-0.68654,-0.68752,-0.68696,-0.6867
4,-0.028378,-0.021985,-0.021985,-0.022848,-0.020121,-0.019065,-0.021245,-0.022315,-0.022315,-0.023464,-0.020574,-0.022045,-0.022053,-0.021047,-0.021613,-0.021479,-0.021017,-0.020318,-0.021488,-0.020951,-0.020844,-0.021293,-0.021673,-0.021191,-0.021481,-0.021302,-0.021164,-0.021375,-0.021839,-0.02136,-0.021404,-0.02125,-0.021398,-0.021419,-0.021361,-0.021436,-0.021429,-0.021297,-0.021288,-0.021011,-0.021377,-0.021586,-0.0214,-0.021215,-0.02134,-0.021291,-0.021291,-0.021259,-0.021295,-0.021398,-0.021323,-0.021183,-0.021354,-0.021354,-0.021206,-0.021306,-0.021194,-0.021142,-0.02129,-0.021259,-0.021259,-0.021223,-0.021324,-0.021194,-0.021254,-0.021303,-0.021338,-0.021349
5,2.248,1.9182,1.9182,1.9361,1.8663,1.8434,1.9851,1.9863,1.9863,1.9591,1.9437,1.9862,1.9501,1.9551,1.9656,1.9579,1.9608,1.9619,1.956,1.9554,1.9516,1.9557,1.9631,1.9531,1.9541,1.9545,1.9509,1.9505,1.9556,1.9546,1.9572,1.9552,1.9557,1.9556,1.9552,1.9539,1.9543,1.9543,1.9548,1.9547,1.9565,1.9541,1.9545,1.9546,1.9546,1.9545,1.9545,1.9547,1.9547,1.9547,1.9538,1.9548,1.9547,1.9547,1.9547,1.9546,1.9548,1.9549,1.9547,1.9547,1.9547,1.9547,1.9546,1.9546,1.9547,1.9548,1.9547,1.9547
6,0.058576,0.033216,0.033216,0.032604,0.033204,0.03308,0.034717,0.033773,0.033773,0.030811,0.032107,0.032316,0.032566,0.032359,0.032188,0.031406,0.031923,0.03255,0.032363,0.031113,0.031946,0.032159,0.032117,0.032318,0.032101,0.032016,0.031567,0.031827,0.031802,0.0317,0.03171,0.032085,0.03214,0.031932,0.03181,0.031965,0.031907,0.032009,0.032041,0.031955,0.031862,0.031944,0.031877,0.031869,0.031924,0.031718,0.031718,0.031838,0.031813,0.031948,0.03189,0.031912,0.031947,0.031947,0.031893,0.03189,0.03185,0.031913,0.0319,0.031819,0.031819,0.031901,0.031866,0.031926,0.031888,0.031894,0.031893,0.031906
7,0.026356,0.019078,0.019078,0.018337,0.016205,0.018582,0.019642,0.019849,0.019849,0.019271,0.019308,0.019513,0.019224,0.019332,0.019423,0.019257,0.019299,0.019383,0.01934,0.019271,0.019301,0.019304,0.019357,0.019333,0.019313,0.019285,0.019275,0.019272,0.019278,0.019277,0.019268,0.019298,0.019327,0.019277,0.019279,0.01929,0.019294,0.019308,0.019314,0.0193,0.019269,0.019294,0.01929,0.019286,0.019291,0.019285,0.019285,0.019295,0.019285,0.01929,0.019306,0.019286,0.019295,0.019295,0.01929,0.01929,0.01929,0.019293,0.019292,0.019289,0.019289,0.019291,0.019295,0.0193,0.01929,0.019291,0.019291,0.019292
8,-5.3189e-05,-0.00014051,-0.00014051,0.00043118,0.0013345,-0.00013042,-5.606e-05,-0.00013503,-0.00013503,-0.00014824,-6.9745e-05,-0.00013151,-2.3687e-05,-0.0001366,-3.4921e-05,-8.9183e-05,-8.4244e-05,-0.00014063,-9.3203e-05,-0.00010011,-0.0001021,-6.1307e-05,-8.4786e-05,-9.2104e-05,-0.00010119,-8.1982e-05,-8.6185e-05,-0.00010034,-3.0576e-05,-6.9884e-05,-7.6295e-05,-7.015e-05,-3.4089e-05,-9.2207e-05,-6.4253e-05,-8.334e-05,-8.2809e-05,-7.0736e-05,-6.5839e-05,-6.6308e-05,-6.6792e-05,-7.7196e-05,-6.24e-05,-6.9832e-05,-8.7216e-05,-6.6276e-05,-6.6276e-05,-6.8609e-05,-8.2654e-05,-6.2009e-05,-8.1263e-05,-7.9895e-05,-7.4075e-05,-7.4075e-05,-6.8247e-05,-7.0252e-05,-8.5829e-05,-6.806e-05,-7.0714e-05,-6.352e-05,-6.352e-05,-6.2404e-05,-7.0345e-05,-7.1817e-05,-8.1953e-05,-7.0394e-05,-6.4642e-05,-6.7897e-05
9,0.00022618,7.9777e-06,7.9777e-06,9.9329e-05,0.00089616,0.00014363,3.6337e-05,0.00013478,0.00013478,0.00013416,4.7532e-05,0.00010847,1.4558e-05,0.00010105,1.6356e-05,5.6416e-05,8.3651e-05,0.000132,7.2848e-05,7.6011e-05,7.704e-05,4.3567e-05,7.4023e-05,6.8263e-05,7.7935e-05,6.0476e-05,6.0337e-05,7.1399e-05,7.8923e-06,4.7654e-05,5.4599e-05,4.9682e-05,1.2099e-05,7.4119e-05,4.6449e-05,6.1361e-05,6.3776e-05,5.1343e-05,4.2918e-05,4.3023e-05,4.531e-05,5.5339e-05,4.1337e-05,4.864e-05,6.5592e-05,4.6085e-05,4.6085e-05,4.7495e-05,6.2931e-05,4.0752e-05,5.9386e-05,6.0196e-05,5.2772e-05,5.2772e-05,4.6596e-05,4.8493e-05,6.2909e-05,4.6614e-05,4.9919e-05,4.4173e-05,4.4173e-05,4.008e-05,4.9279e-05,4.8462e-05,6.1578e-05,4.917e-05,4.2957e-05,4.5746e-05
