,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
0,776.27,777.17,774.53,771.18,774.76,776.09,776.09,773.99,777.46,775.92,773.48,777.12,774.08,772.26,772.51,775.4,776.36,774.8,774.94,775.44,775.76,775.34,775.68,774.67,774.6,774.73,774.25,774.62,774.38,774.25,775.56,775.08,774.57,775.07,774.59,775.25,774.99,774.75,774.54,774.41,774.44,775.38,774.6,774.57,774.7,775.18,774.96,774.34,775.02,775.02,774.7,774.62,774.65,774.53,774.77,774.44,774.54,774.52,774.64,774.39,774.55,774.66,774.66,774.72,774.56,774.69,774.72,774.41,774.57
1,-796.08,-792.11,-789.51,-786.32,-790.02,-790.82,-790.82,-788.72,-792.14,-790.94,-788.41,-792.15,-789.24,-787.45,-787.69,-790.19,-791.2,-789.79,-789.88,-790.57,-790.55,-790.34,-790.69,-789.66,-789.71,-789.74,-789.3,-789.7,-789.42,-789.32,-790.54,-790.12,-789.59,-790.06,-789.53,-790.26,-789.97,-789.81,-789.57,-789.43,-789.51,-790.37,-789.65,-789.53,-789.75,-790.15,-789.96,-789.35,-790.02,-790.02,-789.69,-789.66,-789.71,-789.56,-789.79,-789.47,-789.55,-789.51,-789.67,-789.46,-789.61,-789.67,-789.67,-789.72,-789.61,-789.7,-789.71,-789.44,-789.56
2,-31.692,-32.594,-32.811,-32.839,-32.79,-33.358,-33.358,-33.317,-33.386,-33.065,-33.165,-33.05,-32.927,-32.88,-32.888,-33.272,-33.236,-33.081,-33.13,-32.945,-33.283,-33.072,-33.067,-33.085,-32.96,-33.07,-33.028,-32.996,-33.042,-33.004,-33.091,-33.038,-33.062,-33.091,-33.136,-33.068,-33.097,-33.02,-33.047,-33.054,-33.006,-33.084,-33.028,-33.116,-33.029,-33.104,-33.08,-33.072,-33.08,-33.08,-33.088,-33.042,-33.018,-33.045,-33.065,-33.05,-33.065,-33.086,-33.051,-33.013,-33.026,-33.077,-33.077,-33.072,-33.032,-33.067,-33.089,-33.052,-33.083
3,-0.76202,-0.77128,-0.75987,-0.80156,-0.7724,-0.79586,-0.79586,-0.79145,-0.77982,-0.7789,-0.78028,-0.7814,-0.77045,-0.77793,-0.77601,-0.78558,-0.78279,-0.77886,-0.77687,-0.77467,-0.78044,-0.77595,-0.77752,-0.77987,-0.77727,-0.77752,-0.77777,-0.77772,-0.77756,-0.77719,-0.78027,-0.7772,-0.7778,-0.77862,-0.78255,-0.77819,-0.77861,-0.77702,-0.77863,-0.77836,-0.77715,-0.77744,-0.77831,-0.78003,-0.7778,-0.77853,-0.77872,-0.77927,-0.77905,-0.77905,-0.77813,-0.77735,-0.77639,-0.77696,-0.77847,-0.77771,-0.77902,-0.77883,-0.77806,-0.77698,-0.77772,-0.77795,-0.77795,-0.77875,-0.77716,-0.77812,-0.77898,-0.77849,-0.77847
4,-0.0057683,-0.012608,-0.013526,-0.010462,-0.013286,-0.011585,-0.011585,-0.011291,-0.011875,-0.01199,-0.011766,-0.011573,-0.011106,-0.011253,-0.011442,-0.012895,-0.01254,-0.012104,-0.012241,-0.012691,-0.012221,-0.012313,-0.011828,-0.012367,-0.011791,-0.012418,-0.012023,-0.012009,-0.012242,-0.012351,-0.012,-0.012434,-0.012443,-0.012577,-0.012265,-0.01227,-0.012281,-0.011957,-0.012588,-0.012136,-0.012042,-0.012288,-0.012113,-0.012384,-0.012052,-0.012234,-0.012432,-0.012324,-0.012325,-0.012325,-0.012193,-0.012273,-0.012078,-0.012391,-0.012409,-0.01235,-0.012318,-0.012307,-0.012376,-0.012193,-0.012222,-0.012159,-0.012159,-0.012221,-0.012262,-0.012301,-0.012302,-0.012255,-0.012351
5,2.7581,2.0488,2.163,2.1446,2.151,2.1892,2.1892,2.2037,2.1899,2.2016,2.2002,2.2185,2.2028,2.1927,2.1924,2.1974,2.1977,2.1878,2.1867,2.1937,2.2014,2.199,2.1954,2.2009,2.1934,2.2012,2.1968,2.1962,2.1956,2.1969,2.1968,2.1971,2.1991,2.198,2.1971,2.1973,2.1958,2.1972,2.1978,2.1969,2.1971,2.1963,2.1974,2.1973,2.1972,2.1971,2.1972,2.1972,2.197,2.197,2.197,2.197,2.1971,2.1972,2.1972,2.1971,2.1971,2.1972,2.1971,2.1972,2.1972,2.1971,2.1971,2.1972,2.1971,2.1972,2.1972,2.1972,2.1972
6,0.1034,0.050722,0.037108,0.037346,0.038082,0.038869,0.038869,0.039172,0.039477,0.038381,0.038518,0.038328,0.037706,0.037444,0.037575,0.038082,0.037433,0.038383,0.037954,0.037625,0.037345,0.038136,0.038075,0.038717,0.037837,0.038252,0.038226,0.037866,0.038135,0.0381,0.03817,0.038063,0.03841,0.038463,0.038309,0.038225,0.038298,0.038215,0.038278,0.038146,0.038133,0.038252,0.038152,0.0382,0.038161,0.038166,0.038216,0.038187,0.038159,0.038159,0.038165,0.038216,0.0382,0.038163,0.038179,0.038215,0.038191,0.038196,0.038195,0.038225,0.038212,0.038189,0.038189,0.03821,0.038198,0.038223,0.038187,0.038189,0.038207
7,0.036869,0.014693,0.021628,0.021188,0.021386,0.021948,0.021948,0.022104,0.02197,0.021993,0.02192,0.022007,0.021955,0.021676,0.021878,0.022068,0.021983,0.022031,0.021961,0.021952,0.021923,0.022019,0.022003,0.022111,0.021988,0.02208,0.022045,0.022014,0.022013,0.022007,0.021988,0.022026,0.022071,0.022089,0.022033,0.02206,0.022072,0.022046,0.022054,0.022042,0.022017,0.022056,0.022035,0.022042,0.022032,0.022045,0.022036,0.022041,0.022043,0.022043,0.022046,0.022049,0.022047,0.022038,0.022041,0.022042,0.02204,0.022036,0.02205,0.022043,0.022038,0.022048,0.022048,0.022045,0.022046,0.022045,0.022041,0.022041,0.022043
8,0.0015544,0.0073728,-0.00082372,-0.00071441,-0.00052964,-0.001748,-0.001748,-0.0014804,-0.0013858,-0.0017534,-0.0013186,-0.00072701,-0.0014599,-7.3137e-05,-0.0012034,-0.0012158,-0.00098391,-0.0010402,-0.0012873,-0.001125,-0.0010983,-0.00037347,-0.0013689,-0.0013762,-0.0013148,-0.0005094,-0.0008522,-0.00032976,-0.0010546,-0.0011721,-0.0012611,-0.00029015,-0.00077649,-0.00056742,-0.0013478,-0.00032828,-0.00028178,-0.0005345,-0.00074764,-0.00038983,-0.0010106,-0.00041645,-0.00071499,-0.0011845,-0.0011649,-0.00094964,-0.0010031,-0.0010092,-0.00017253,-0.00017253,-0.00078304,-0.001024,-0.00080349,-0.00060323,-0.00064853,-0.00089552,-0.00097894,-0.0011546,-0.00056836,-0.00083259,-0.0010556,-0.00068771,-0.00068771,-0.00092237,-0.00041748,-0.00077359,-0.00097642,-0.0008929,-0.00061032
9,0.00020348,0.00044287,0.00060521,0.00070649,0.00046452,0.0016275,0.0016275,0.0013319,0.0012486,0.0015938,0.0011323,0.00070827,0.001324,0.00025883,0.0010688,0.0010469,0.00081438,0.00087307,0.0011287,0.00095793,0.00099143,0.00020953,0.0012238,0.0012292,0.0011597,0.00034871,0.00068666,0.00016408,0.00089037,0.001056,0.0011353,0.00012591,0.00061205,0.00040643,0.0012058,0.00016474,0.00011532,0.00037104,0.00058454,0.00022484,0.00084696,0.00025357,0.00055176,0.0010244,0.0010051,0.00078817,0.00084087,0.00084833,-5.2697e-06,-5.2697e-06,0.00061979,0.00086175,0.00064064,0.0004413,0.0004866,0.00073318,0.00081554,0.00099328,0.00040511,0.00066952,0.00089354,0.00052432,0.00052432,0.00075986,0.00025361,0.00061053,0.00081483,0.00073119,0.00044696
