,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
0,55.92,51.549,53.395,54.737,52.192,53.167,52.198,53.021,53.28,52.851,52.553,53.239,53.189,53.213,52.933,52.776,52.974,53.171,53.267,53.051,53.243,53.243,52.977,52.96,52.648,52.669,52.909,52.909,52.88,52.88,52.971,53.045,52.97,52.941,53.05,53.05,52.865,52.979,53.032,53.032,53.001,53.001,53.027,53.018,53.018,53.018,52.977,53.048,53.048,52.905,53.098,53.098,52.953,52.953,52.953,53.085,53.085
1,-79.299,-75.059,-77.087,-78.358,-76.0,-76.788,-75.976,-76.737,-76.956,-76.527,-76.273,-76.909,-76.87,-76.924,-76.69,-76.501,-76.679,-76.886,-76.958,-76.762,-76.935,-76.935,-76.681,-76.676,-76.375,-76.391,-76.624,-76.624,-76.591,-76.591,-76.682,-76.753,-76.686,-76.651,-76.766,-76.766,-76.582,-76.682,-76.743,-76.743,-76.714,-76.714,-76.736,-76.729,-76.729,-76.729,-76.688,-76.754,-76.754,-76.616,-76.794,-76.794,-76.664,-76.664,-76.664,-76.788,-76.788
2,-2.5234,-2.6333,-2.6549,-2.607,-2.4662,-2.6515,-2.5045,-2.5533,-2.594,-2.6006,-2.5474,-2.6005,-2.5914,-2.5621,-2.5179,-2.5478,-2.57,-2.5588,-2.5829,-2.5628,-2.5811,-2.5811,-2.5697,-2.5581,-2.5467,-2.5523,-2.5581,-2.5581,-2.5631,-2.5631,-2.5617,-2.5652,-2.5576,-2.5631,-2.5581,-2.5581,-2.5566,-2.5702,-2.5628,-2.5628,-2.5612,-2.5612,-2.5644,-2.5625,-2.5625,-2.5625,-2.5624,-2.5679,-2.5679,-2.5621,-2.5771,-2.5771,-2.5624,-2.5624,-2.5624,-2.5708,-2.5708
3,-0.0016176,-0.0018384,-0.0039181,-0.0027953,-0.0029886,-0.0034673,-0.003111,-0.0030813,-0.0032696,-0.0033502,-0.0032014,-0.0032473,-0.0031841,-0.0030729,-0.0031153,-0.003229,-0.0031036,-0.0031108,-0.003175,-0.0031196,-0.003211,-0.003211,-0.0032108,-0.0031016,-0.0032268,-0.003143,-0.0031598,-0.0031598,-0.0031522,-0.0031522,-0.0032293,-0.0031594,-0.0031455,-0.0031639,-0.0031739,-0.0031739,-0.0031997,-0.0031742,-0.0031786,-0.0031786,-0.0031694,-0.0031694,-0.0031828,-0.003157,-0.003157,-0.003157,-0.0031635,-0.0031866,-0.0031866,-0.0031824,-0.0031988,-0.0031988,-0.0032032,-0.0032032,-0.0032032,-0.0031855,-0.0031855
4,-1.7778e-06,-1.9406e-06,-4.2471e-06,-3.0672e-06,-2.6435e-06,-3.4807e-06,-3.1456e-06,-2.8157e-06,-3.2965e-06,-3.1865e-06,-3.2375e-06,-3.1e-06,-3.0596e-06,-3.0627e-06,-3.1345e-06,-3.1144e-06,-3.0517e-06,-2.9754e-06,-3.1216e-06,-3.072e-06,-3.0928e-06,-3.0928e-06,-3.1118e-06,-3.0625e-06,-3.2157e-06,-3.0847e-06,-3.1369e-06,-3.1369e-06,-3.0769e-06,-3.0769e-06,-3.1967e-06,-3.1062e-06,-3.1931e-06,-3.1654e-06,-3.1058e-06,-3.1058e-06,-3.1469e-06,-3.1298e-06,-3.1395e-06,-3.1411e-06,-3.1009e-06,-3.1009e-06,-3.1416e-06,-3.1239e-06,-3.1239e-06,-3.1239e-06,-3.1107e-06,-3.1509e-06,-3.1503e-06,-3.1271e-06,-3.1665e-06,-3.1678e-06,-3.1539e-06,-3.1539e-06,-3.1539e-06,-3.1489e-06,-3.1489e-06
5,1.1804,1.1934,1.0862,1.0997,1.1068,1.0715,1.1063,1.0906,1.1056,1.1028,1.0907,1.1052,1.0939,1.0974,1.0953,1.0932,1.096,1.0956,1.096,1.0951,1.0942,1.0942,1.0948,1.0948,1.0951,1.096,1.0957,1.0957,1.0957,1.0957,1.0957,1.0958,1.0958,1.096,1.0961,1.0961,1.0961,1.0958,1.0957,1.0957,1.0957,1.0957,1.0956,1.0957,1.0957,1.0957,1.0957,1.0957,1.0957,1.0958,1.0957,1.0957,1.0957,1.0957,1.0957,1.0957,1.0957
6,0.44559,0.43814,0.38355,0.33312,0.38065,0.36394,0.36388,0.36208,0.34657,0.36259,0.3622,0.34954,0.36019,0.35599,0.36314,0.36183,0.36027,0.3591,0.35965,0.35968,0.36149,0.36149,0.36083,0.36117,0.36115,0.35987,0.36014,0.36014,0.3602,0.3602,0.36021,0.36026,0.36031,0.36004,0.35983,0.35983,0.35976,0.36,0.3601,0.3601,0.36012,0.36012,0.36014,0.36017,0.36017,0.36017,0.36019,0.36017,0.36017,0.36008,0.36012,0.36012,0.36016,0.36016,0.36016,0.36015,0.36015
7,0.0016623,0.0069585,0.0061688,0.0065001,0.0050875,0.005261,0.0045443,0.0038625,0.0066615,0.0053999,0.0057476,0.005509,0.0054839,0.0060018,0.0055831,0.0055297,0.0053878,0.0059448,0.0055471,0.0056811,0.0055331,0.0055331,0.005466,0.0054898,0.005588,0.0055755,0.0055053,0.0055053,0.0055044,0.0055044,0.0055308,0.0056193,0.0055842,0.0055702,0.0055672,0.0055672,0.0056149,0.0055876,0.0056043,0.0056043,0.0055574,0.0055574,0.0055942,0.005609,0.005609,0.005609,0.005583,0.0055798,0.0055798,0.0055834,0.005574,0.005574,0.0055705,0.0055705,0.0055705,0.0055714,0.0055714
8,0.0052375,0.00046372,0.00033883,0.00044914,0.001051,0.00066152,0.0010946,0.0018444,0.00037912,0.00049345,0.00033057,0.0003467,0.00043344,0.00020579,0.0004081,0.00039614,0.00047594,0.00021817,0.00037221,0.00031109,0.00038158,0.00038158,0.00041856,0.00040905,0.00035445,0.00035152,0.00038892,0.00038892,0.00039805,0.00039805,0.00038363,0.0003357,0.00034746,0.00035343,0.00035577,0.00035577,0.00033524,0.00034917,0.00034016,0.00034016,0.00036014,0.00036014,0.00034589,0.00034,0.00034,0.00034,0.00035188,0.00035402,0.00035402,0.00035099,0.00035697,0.00035697,0.00035774,0.00035774,0.00035774,0.00035656,0.00035656
9,0.00015453,-1.1977e-05,-6.6343e-06,-1.5607e-05,-6.7412e-06,-1.1044e-05,-1.0707e-05,-3.2743e-06,-1.4488e-05,-1.3324e-05,-6.3168e-06,-1.2203e-05,-1.0551e-05,-1.0579e-05,-1.3413e-05,-9.3152e-06,-9.3022e-06,-1.171e-05,-9.3944e-06,-8.9647e-06,-9.353e-06,-9.353e-06,-8.6965e-06,-8.0697e-06,-8.7734e-06,-8.7653e-06,-8.3585e-06,-8.3585e-06,-9.1004e-06,-9.1004e-06,-8.4961e-06,-9.0741e-06,-9.136e-06,-8.6579e-06,-9.0124e-06,-9.0124e-06,-9.3308e-06,-8.9458e-06,-9.2161e-06,-9.2155e-06,-8.8223e-06,-8.8223e-06,-8.9884e-06,-9.1501e-06,-9.1501e-06,-9.1501e-06,-8.8078e-06,-8.7864e-06,-8.786e-06,-8.7865e-06,-8.708e-06,-8.7079e-06,-8.7116e-06,-8.7116e-06,-8.7116e-06,-8.7316e-06,-8.7316e-06
