,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,55.92,51.549,53.395,53.167,52.198,53.021,52.851,52.553,53.239,53.189,53.213,52.776,53.267,52.96,52.648,52.669,52.88,52.88,52.971,53.045,52.941,53.05,53.05,52.953,52.953,52.953
1,-79.299,-75.059,-77.087,-76.788,-75.976,-76.737,-76.527,-76.273,-76.909,-76.87,-76.924,-76.501,-76.958,-76.676,-76.375,-76.391,-76.591,-76.591,-76.682,-76.753,-76.651,-76.766,-76.766,-76.664,-76.664,-76.664
2,-2.5234,-2.6333,-2.6549,-2.6515,-2.5045,-2.5533,-2.6006,-2.5474,-2.6005,-2.5914,-2.5621,-2.5478,-2.5829,-2.5581,-2.5467,-2.5523,-2.5631,-2.5631,-2.5617,-2.5652,-2.5631,-2.5581,-2.5581,-2.5624,-2.5624,-2.5624
3,-0.0016176,-0.0018384,-0.0039181,-0.0034673,-0.003111,-0.0030813,-0.0033502,-0.0032014,-0.0032473,-0.0031841,-0.0030729,-0.003229,-0.003175,-0.0031016,-0.0032268,-0.003143,-0.0031522,-0.0031522,-0.0032293,-0.0031594,-0.0031639,-0.0031739,-0.0031739,-0.0032032,-0.0032032,-0.0032032
4,-1.7778e-06,-1.9406e-06,-4.2471e-06,-3.4807e-06,-3.1456e-06,-2.8157e-06,-3.1865e-06,-3.2375e-06,-3.1e-06,-3.0596e-06,-3.0627e-06,-3.1144e-06,-3.1216e-06,-3.0625e-06,-3.2157e-06,-3.0847e-06,-3.0769e-06,-3.0769e-06,-3.1967e-06,-3.1062e-06,-3.1654e-06,-3.1058e-06,-3.1058e-06,-3.1539e-06,-3.1539e-06,-3.1539e-06
5,1.1804,1.1934,1.0862,1.0715,1.1063,1.0906,1.1028,1.0907,1.1052,1.0939,1.0974,1.0932,1.096,1.0948,1.0951,1.096,1.0957,1.0957,1.0957,1.0958,1.096,1.0961,1.0961,1.0957,1.0957,1.0957
6,0.44559,0.43814,0.38355,0.36394,0.36388,0.36208,0.36259,0.3622,0.34954,0.36019,0.35599,0.36183,0.35965,0.36117,0.36115,0.35987,0.3602,0.3602,0.36021,0.36026,0.36004,0.35983,0.35983,0.36016,0.36016,0.36016
7,0.0016623,0.0069585,0.0061688,0.005261,0.0045443,0.0038625,0.0053999,0.0057476,0.005509,0.0054839,0.0060018,0.0055297,0.0055471,0.0054898,0.005588,0.0055755,0.0055044,0.0055044,0.0055308,0.0056193,0.0055702,0.0055672,0.0055672,0.0055705,0.0055705,0.0055705
8,0.0052375,0.00046372,0.00033883,0.00066152,0.0010946,0.0018444,0.00049345,0.00033057,0.0003467,0.00043344,0.00020579,0.00039614,0.00037221,0.00040905,0.00035445,0.00035152,0.00039805,0.00039805,0.00038363,0.0003357,0.00035343,0.00035577,0.00035577,0.00035774,0.00035774,0.00035774
9,0.00015453,-1.1977e-05,-6.6343e-06,-1.1044e-05,-1.0707e-05,-3.2743e-06,-1.3324e-05,-6.3168e-06,-1.2203e-05,-1.0551e-05,-1.0579e-05,-9.3152e-06,-9.3944e-06,-8.0697e-06,-8.7734e-06,-8.7653e-06,-9.1004e-06,-9.1004e-06,-8.4961e-06,-9.0741e-06,-8.6579e-06,-9.0124e-06,-9.0124e-06,-8.7116e-06,-8.7116e-06,-8.7116e-06
10,-1.0291e-05,-8.179e-07,,-5.3559e-07,-2.1617e-06,,-4.882e-07,,-1.7649e-07,-1.1363e-06,-7.6084e-08,,,,,,,,,,,,,,,
11,2.874e-07,,,,,,,,,,,,,,,,,,,,,,,,,
